,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,,0.029,-0.0047,0.0075,0.0035,0.0127,,,,-0.009,,,,,0.0097,-0.0055,-0.0002,-0.017,-0.0054,0.01,-0.0139,-0.0065,-0.009,0.0124,,-0.0182,,,0.002,-0.0075,0.0063,-0.0193,-0.0084,-0.0035,,-0.0138,0.0034,,-0.0009,-0.0118,0.0084,,
autocracy_support|WVS_E,,0.0,0.0098,-0.0014,0.0067,0.008,0.008,,,,-0.0044,,,,,0.0035,-0.0051,0.0096,0.0025,0.0015,0.0105,0.0053,0.0021,0.0024,0.0169,,0.002,,,0.0068,0.0023,-0.0026,-0.0002,-0.0018,-0.0045,,-0.0015,0.0032,,-0.0066,-0.0096,0.0102,,
basic_needs_deprivation|WVS_H,0.029,0.0098,0.0,-0.0126,0.0169,0.017,0.0419,0.0024,0.0054,0.0266,,-0.0093,-0.0005,-0.0033,-0.0196,,-0.0171,0.0014,-0.048,-0.0169,,-0.0296,-0.0111,-0.0168,,-0.0215,-0.0485,-0.0474,-0.0097,,-0.0137,0.0078,-0.0388,-0.0076,-0.0154,-0.0561,-0.0278,0.0123,-0.009,,-0.0368,0.0246,,0.0287
child_qualities_autonomy_self_expression|WVS_A,-0.0047,-0.0014,-0.0126,0.0,,,-0.0048,-0.0074,-0.0064,-0.0103,0.0133,0.0028,-0.0008,-0.0004,0.0044,-0.005,0.0061,0.0084,0.0031,,-0.0053,0.0071,0.0032,0.0112,-0.0073,-0.0041,0.0123,0.0129,-0.0003,-0.0077,0.0086,-0.0042,0.0145,0.0137,-0.0033,0.0134,0.0158,,0.0017,-0.0069,,0.0001,,-0.0003
child_qualities_conformity_tradition|WVS_A,0.0075,0.0067,0.0169,,0.0,,0.0066,0.0089,0.0114,0.0212,-0.0262,0.0018,0.0066,0.0036,-0.0049,0.0013,-0.013,0.0012,0.023,,0.0103,-0.0068,-0.0094,-0.0298,0.0046,0.0106,-0.0178,-0.0236,0.0015,0.0354,-0.0174,0.0174,-0.034,-0.051,0.0151,-0.0273,-0.038,,-0.0136,0.0103,,0.0075,,0.0001
child_qualities_prosocial_diligence|WVS_A,0.0035,0.008,0.017,,,0.0,0.014,-0.0081,-0.0091,-0.0013,0.0033,0.0097,-0.0035,-0.0064,-0.0104,0.0097,-0.0026,0.0131,-0.0181,,0.0142,0.004,0.004,0.0148,0.0282,0.0007,0.0019,0.0128,-0.0036,-0.0097,0.0092,-0.0109,0.008,0.0228,-0.016,-0.0104,0.0125,,-0.0062,-0.0145,,0.0144,,0.0169
civic_dishonesty_tolerance|WVS_F,0.0127,0.008,0.0419,-0.0048,0.0066,0.014,0.0,-0.0042,-0.003,0.0091,-0.0092,0.0019,-0.0009,-0.0038,-0.0121,0.0151,-0.0079,0.0105,-0.0211,-0.0097,0.0203,-0.0085,-0.0034,,0.0318,-0.01,-0.0171,-0.0131,-0.0052,0.0008,,,,,-0.0125,-0.0274,,0.0022,-0.0079,-0.0096,-0.0203,,,0.0195
confidence_in_civil_society_organizations|WVS_E,,,0.0024,-0.0074,0.0089,-0.0081,-0.0042,0.0,,,-0.0196,,,,,0.0047,-0.0056,-0.024,-0.0028,0.0098,-0.0031,-0.0104,-0.0025,-0.0192,0.0008,,-0.014,,,0.0047,-0.0146,0.0047,-0.0176,-0.0154,0.0111,,-0.022,0.0236,,0.0174,0.0018,-0.0101,,
confidence_in_domestic_institutions|WVS_E,,,0.0054,-0.0064,0.0114,-0.0091,-0.003,,0.0,,-0.0159,,,,,0.0034,-0.0046,-0.0196,-0.0012,0.0073,-0.0028,-0.0117,-0.0047,-0.0202,-0.0026,,-0.014,,,0.0071,-0.0141,0.0076,-0.0201,-0.0203,0.0098,,-0.021,0.0184,,0.0146,0.0007,-0.0094,,
confidence_in_international_organizations|WVS_E,,,0.0266,-0.0103,0.0212,-0.0013,0.0091,,,0.0,-0.0251,,,,,0.0108,-0.0118,-0.0132,-0.0054,0.0072,0.0102,-0.014,-0.0059,-0.0229,0.0153,,-0.0248,,,0.0135,-0.0165,0.0077,-0.0255,-0.0261,0.0059,,-0.0323,0.0238,,0.0113,-0.0126,0.0014,,
crime_victimization|WVS_H,-0.009,-0.0044,,0.0133,-0.0262,0.0033,-0.0092,-0.0196,-0.0159,-0.0251,0.0,0.0054,-0.0017,-0.0001,0.012,,0.0154,0.0209,0.0049,-0.012,,0.0142,0.0064,0.0305,,-0.0159,0.0258,0.0227,-0.0019,,0.0208,-0.0089,0.0338,0.0342,-0.0092,0.0325,0.0398,-0.0338,0.005,,0.0135,0.0001,,-0.0003
democratic_system_evaluation|WVS_E,,,-0.0093,0.0028,0.0018,0.0097,0.0019,,,,0.0054,0.0,,,,-0.0025,-0.0011,0.0157,0.0161,0.0045,0.006,0.018,0.0073,0.0131,0.0097,,0.0187,,,0.0063,0.0101,-0.0082,0.0134,0.0061,-0.0041,,0.0115,-0.0047,,-0.0111,-0.0041,0.0102,,
democratic_values_importance|WVS_E,,,-0.0005,-0.0008,0.0066,-0.0035,-0.0009,,,,-0.0017,,0.0,,,-0.0026,-0.0007,0.0019,0.0071,0.0039,-0.0006,-0.0006,-0.0023,-0.0049,-0.0056,,-0.0013,,,0.007,-0.0023,0.0046,-0.0042,-0.011,0.0042,,-0.005,0.0006,,0.0018,-0.0006,0.0002,,
economic_ideology|WVS_E,,,-0.0033,-0.0004,0.0036,-0.0064,-0.0038,,,,-0.0001,,,0.0,,-0.0034,0.0009,-0.0015,0.0058,0.003,-0.004,-0.003,-0.0028,-0.0064,-0.011,,-0.0024,,,0.0041,-0.003,0.0054,-0.0041,-0.0092,0.006,,-0.0045,0.0001,,0.0042,0.0028,-0.0035,,
electoral_integrity|WVS_E,,,-0.0196,0.0044,-0.0049,-0.0104,-0.0121,,,,0.012,,,,0.0,-0.011,0.0073,0.0019,0.0119,0.0017,-0.0128,0.0019,-0.0019,0.0012,-0.027,,0.0081,,,-0.0004,0.0019,0.0051,0.0062,-0.0022,0.0075,,0.0077,-0.0117,,0.0033,0.0122,-0.008,,
existential_threat_worry|WVS_H,0.0097,0.0035,,-0.005,0.0013,0.0097,0.0151,0.0047,0.0034,0.0108,,-0.0025,-0.0026,-0.0034,-0.011,0.0,-0.0074,-0.0066,-0.0263,-0.0075,,-0.0117,-0.0017,-0.0046,,-0.0026,-0.0162,-0.0142,-0.0029,,-0.0057,-0.003,-0.0116,0.005,-0.0089,-0.0208,-0.0091,0.0103,-0.0007,,-0.0132,0.006,,0.0117
