,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,34.48275862068965,212.7659574468085,133.33333333333334,285.7142857142857,78.74015748031496,9999.0,9999.0,9999.0,111.11111111111111,9999.0,9999.0,9999.0,9999.0,103.09278350515464,181.81818181818184,1000.0,58.8235294117647,185.18518518518516,100.0,71.94244604316548,153.84615384615384,111.11111111111111,80.64516129032258,9999.0,54.94505494505494,9999.0,9999.0,500.0,133.33333333333334,158.73015873015873,51.81347150259067,119.04761904761905,285.7142857142857,9999.0,72.46376811594203,294.11764705882354,9999.0,1000.0,84.74576271186442,119.04761904761905,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,102.04081632653062,714.2857142857143,149.2537313432836,125.0,125.0,9999.0,9999.0,9999.0,227.27272727272725,9999.0,9999.0,9999.0,9999.0,285.7142857142857,196.078431372549,104.16666666666667,400.0,666.6666666666666,95.23809523809523,188.67924528301887,476.1904761904762,416.6666666666667,59.1715976331361,9999.0,500.0,9999.0,9999.0,147.05882352941177,434.7826086956522,384.61538461538464,1000.0,555.5555555555555,222.22222222222223,9999.0,666.6666666666666,312.5,9999.0,151.51515151515153,104.16666666666667,98.0392156862745,9999.0,9999.0
basic_needs_deprivation|WVS_H,34.48275862068965,102.04081632653062,0.0,79.36507936507937,59.1715976331361,58.8235294117647,23.86634844868735,416.6666666666667,185.18518518518516,37.59398496240602,9999.0,107.52688172043011,1000.0,303.03030303030306,51.02040816326531,9999.0,58.47953216374269,714.2857142857143,20.833333333333332,59.1715976331361,9999.0,33.78378378378378,90.09009009009009,59.523809523809526,9999.0,46.51162790697675,20.618556701030926,21.09704641350211,103.09278350515464,9999.0,72.99270072992701,128.2051282051282,25.77319587628866,131.57894736842104,64.93506493506493,17.825311942959004,35.97122302158274,81.30081300813008,111.11111111111111,9999.0,27.17391304347826,40.65040650406504,9999.0,34.84320557491289
child_qualities_autonomy_self_expression|WVS_A,212.7659574468085,714.2857142857143,79.36507936507937,0.0,9999.0,9999.0,208.33333333333334,135.13513513513513,156.25,97.08737864077669,75.18796992481204,357.14285714285717,1000.0,1000.0,227.27272727272725,200.0,163.93442622950818,119.04761904761905,322.5806451612903,9999.0,188.67924528301887,140.8450704225352,312.5,89.28571428571429,136.986301369863,243.90243902439022,81.30081300813008,77.51937984496124,1000.0,129.87012987012986,116.27906976744185,238.0952380952381,68.9655172413793,72.99270072992701,303.03030303030306,74.6268656716418,63.291139240506325,9999.0,588.2352941176471,144.92753623188406,9999.0,1000.0,9999.0,1000.0
child_qualities_conformity_tradition|WVS_A,133.33333333333334,149.2537313432836,59.1715976331361,9999.0,0.0,9999.0,151.51515151515153,112.35955056179776,87.71929824561403,47.16981132075472,38.167938931297705,555.5555555555555,151.51515151515153,277.77777777777777,204.08163265306123,769.2307692307693,76.92307692307692,833.3333333333334,43.47826086956522,9999.0,97.08737864077669,147.05882352941177,106.38297872340425,33.557046979865774,217.3913043478261,94.33962264150944,56.17977528089888,42.37288135593221,666.6666666666666,28.248587570621467,57.4712643678161,57.4712643678161,29.41176470588235,19.607843137254903,66.2251655629139,36.63003663003663,26.315789473684212,9999.0,73.52941176470588,97.08737864077669,9999.0,133.33333333333334,9999.0,1000.0
child_qualities_prosocial_diligence|WVS_A,285.7142857142857,125.0,58.8235294117647,9999.0,9999.0,0.0,71.42857142857143,123.4567901234568,109.89010989010988,769.2307692307693,303.03030303030306,103.09278350515464,285.7142857142857,156.25,96.15384615384616,103.09278350515464,384.61538461538464,76.33587786259541,55.24861878453038,9999.0,70.4225352112676,250.0,250.0,67.56756756756756,35.46099290780142,1000.0,526.3157894736842,78.125,277.77777777777777,103.09278350515464,108.69565217391305,91.74311926605505,125.0,43.859649122807014,62.5,96.15384615384616,80.0,9999.0,161.29032258064515,68.9655172413793,9999.0,69.44444444444444,9999.0,59.1715976331361
civic_dishonesty_tolerance|WVS_F,78.74015748031496,125.0,23.86634844868735,208.33333333333334,151.51515151515153,71.42857142857143,0.0,238.0952380952381,333.3333333333333,109.89010989010988,108.69565217391305,526.3157894736842,1000.0,263.1578947368421,82.64462809917356,66.2251655629139,126.58227848101265,95.23809523809523,47.39336492890995,103.09278350515464,49.26108374384237,117.6470588235294,294.11764705882354,9999.0,31.446540880503143,100.0,58.47953216374269,76.33587786259541,192.30769230769232,1000.0,9999.0,9999.0,9999.0,9999.0,80.0,36.496350364963504,9999.0,454.5454545454545,126.58227848101265,104.16666666666667,49.26108374384237,9999.0,9999.0,51.282051282051285
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,416.6666666666667,135.13513513513513,112.35955056179776,123.4567901234568,238.0952380952381,0.0,9999.0,9999.0,51.02040816326531,9999.0,9999.0,9999.0,9999.0,212.7659574468085,178.57142857142858,41.666666666666664,357.14285714285717,102.04081632653062,322.5806451612903,96.15384615384616,400.0,52.083333333333336,1000.0,9999.0,71.42857142857143,9999.0,9999.0,212.7659574468085,68.4931506849315,212.7659574468085,56.81818181818181,64.93506493506493,90.09009009009009,9999.0,45.45454545454546,42.37288135593221,9999.0,57.4712643678161,555.5555555555555,99.00990099009901,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,185.18518518518516,156.25,87.71929824561403,109.89010989010988,333.3333333333333,9999.0,0.0,9999.0,62.893081761006286,9999.0,9999.0,9999.0,9999.0,294.11764705882354,217.3913043478261,51.02040816326531,833.3333333333334,136.986301369863,357.14285714285717,85.47008547008546,212.7659574468085,49.504950495049506,384.61538461538464,9999.0,71.42857142857143,9999.0,9999.0,140.8450704225352,70.92198581560284,131.57894736842104,49.75124378109453,49.26108374384237,102.04081632653062,9999.0,47.61904761904761,54.34782608695652,9999.0,68.4931506849315,1000.0,106.38297872340425,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,37.59398496240602,97.08737864077669,47.16981132075472,769.2307692307693,109.89010989010988,9999.0,9999.0,0.0,39.8406374501992,9999.0,9999.0,9999.0,9999.0,92.59259259259258,84.74576271186442,75.75757575757576,185.18518518518516,138.88888888888889,98.0392156862745,71.42857142857143,169.49152542372883,43.66812227074236,65.35947712418302,9999.0,40.32258064516129,9999.0,9999.0,74.07407407407408,60.6060606060606,129.87012987012986,39.21568627450981,38.314176245210724,169.49152542372883,9999.0,30.959752321981423,42.016806722689076,9999.0,88.49557522123894,79.36507936507937,714.2857142857143,9999.0,9999.0
