,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,,0.0443,-0.0198,0.0576,-0.0265,-0.0028,,,,-0.0372,,,,,-0.0106,-0.0319,-0.0134,-0.0063,0.0163,,-0.0183,-0.0312,-0.0289,0.0287,,-0.0324,,,0.0168,-0.0066,0.0518,-0.0643,-0.0475,0.0364,,-0.0467,0.0346,,-0.0162,-0.0019,,,
autocracy_support|WVS_E,,0.0,-0.0432,0.0307,-0.0409,0.016,0.0093,,,,0.0276,,,,,0.0085,0.0328,0.0256,-0.0297,0.0004,,0.0094,0.0348,0.0352,-0.0196,,0.0279,,,-0.0149,0.0067,-0.034,0.0589,0.0322,-0.0391,,0.0442,-0.0399,,-0.0057,0.0148,,,
basic_needs_deprivation|WVS_H,0.0443,-0.0432,0.0,-0.0768,0.0869,-0.0322,-0.0226,-0.006,-0.0268,0.0236,,-0.0696,0.0078,0.0936,-0.0334,,-0.0745,-0.0729,0.0936,-0.007,,-0.0208,-0.0759,-0.0802,,-0.0841,-0.0613,-0.096,-0.0463,,-0.0156,0.0692,-0.1361,-0.0561,0.0938,-0.0456,-0.0981,0.0914,0.0264,,-0.0378,,,0.0318
child_qualities_autonomy_self_expression|WVS_A,-0.0198,0.0307,-0.0768,0.0,,,0.0631,-0.0116,0.027,-0.0258,0.0623,0.0344,-0.0253,-0.0776,0.0244,0.0141,0.051,0.0858,-0.1491,,,0.0127,0.0797,0.0805,-0.0472,0.0762,0.0413,0.0972,0.0226,-0.0372,0.011,-0.0637,0.1111,0.0606,-0.0858,0.043,0.0893,,-0.047,-0.1027,,,,0.0135
child_qualities_conformity_tradition|WVS_A,0.0576,-0.0409,0.0869,,0.0,,-0.062,-0.0019,-0.037,0.0142,-0.094,-0.0627,0.0185,0.1008,-0.0198,-0.0193,-0.0651,-0.0634,0.1174,,,-0.0336,-0.0913,-0.0819,0.0736,-0.0952,-0.0495,-0.1044,-0.0401,0.0478,-0.0107,0.1015,-0.138,-0.1004,0.0882,-0.0346,-0.1093,,0.0325,0.0745,,,,0.0094
child_qualities_prosocial_diligence|WVS_A,-0.0265,0.016,-0.0322,,,0.0,-0.0181,0.0035,0.009,0.0019,0.0237,0.0257,0.0073,-0.0221,0.0117,-0.0078,0.0178,0.0231,0.0209,,,-0.0014,0.0209,0.0249,-0.0147,0.026,0.0304,0.0171,0.0157,0.0217,0.0072,-0.0124,0.0465,0.0001,-0.0274,0.006,0.0276,,0.0136,0.0301,,,,-0.0389
civic_dishonesty_tolerance|WVS_F,-0.0028,0.0093,-0.0226,0.0631,-0.062,-0.0181,0.0,-0.016,0.0251,-0.0204,0.0563,0.0082,-0.0426,-0.0577,-0.0054,0.0275,0.0308,0.0429,-0.2058,0.0087,,0.0368,0.0541,,-0.055,0.0513,-0.0106,0.0875,0.0017,-0.0845,,,,,-0.0461,0.0281,,-0.0669,-0.0685,-0.1678,0.0632,,,0.0859
confidence_in_civil_society_organizations|WVS_E,,,-0.006,-0.0116,-0.0019,0.0035,-0.016,0.0,,,-0.014,,,,,0.0136,0.0092,-0.0276,0.042,-0.0102,,0.0094,-0.0099,-0.0113,0.0083,,0.0035,,,-0.02,-0.0004,-0.0106,-0.0004,0.0113,0.0067,,-0.0026,0.0167,,0.0402,-0.0108,,,
confidence_in_domestic_institutions|WVS_E,,,-0.0268,0.027,-0.037,0.009,0.0251,,0.0,,0.0367,,,,,0.0007,0.0186,0.0288,-0.0488,-0.0013,,0.0092,0.0286,0.0305,-0.027,,0.016,,,-0.0069,0.0033,-0.0326,0.0417,0.034,-0.0294,,0.0358,-0.0374,,-0.034,0.0158,,,
confidence_in_international_organizations|WVS_E,,,0.0236,-0.0258,0.0142,0.0019,-0.0204,,,0.0,-0.0049,,,,,-0.0124,-0.0204,-0.0229,0.0501,-0.0101,,-0.0039,-0.0231,-0.0218,0.0049,,-0.0103,,,0.0262,-0.0029,0.0156,-0.0286,-0.0174,0.025,,-0.0244,0.026,,0.0314,-0.0203,,,
