,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,,-0.0081,0.0011,-0.0119,0.0017,-0.036,,,,-0.014,,,,,0.0063,-0.0086,-0.0002,-0.0913,0.0071,,-0.0011,0.0403,-0.0321,0.0304,,-0.0068,,,0.0006,0.0153,0.0019,0.0149,0.0109,0.0098,,-0.0262,-0.0078,,0.0248,0.0004,-0.0115,0.0004,
autocracy_support|WVS_E,,0.0,-0.0123,0.001,-0.0086,0.0023,-0.0034,,,,0.0089,,,,,0.0081,0.005,0.0099,-0.0329,-0.007,,0.0096,0.016,-0.0061,0.0073,,0.0005,,,0.0033,0.002,0.0059,0.0164,0.0148,0.0003,,0.003,-0.0189,,0.0126,0.0017,-0.0011,0.0023,
basic_needs_deprivation|WVS_H,-0.0081,-0.0123,0.0,-0.0013,0.0212,-0.0127,-0.0175,-0.0169,-0.0378,-0.0035,,0.0162,0.0027,0.029,0.0423,,-0.0222,-0.0361,0.0098,0.0294,,-0.0289,-0.015,-0.0006,,-0.0549,-0.0036,-0.0496,0.0161,,0.0024,-0.0241,-0.0417,-0.027,0.0009,-0.0057,-0.0239,0.0545,0.0219,,-0.0068,-0.0051,-0.0008,-0.0344
child_qualities_autonomy_self_expression|WVS_A,0.0011,0.001,-0.0013,0.0,,,0.0075,-0.0018,0.006,-0.0029,0.0108,-0.0071,-0.0004,-0.0059,-0.0096,0.0049,0.0008,0.0071,-0.0086,,,0.0114,0.0071,0.0035,-0.0006,0.0174,0.0008,0.0106,-0.0081,0.003,-0.0021,0.0029,0.0089,0.0127,-0.0031,-0.0005,0.0081,,-0.0032,0.005,,0.0007,,0.0145
child_qualities_conformity_tradition|WVS_A,-0.0119,-0.0086,0.0212,,0.0,,0.0085,-0.0111,-0.0114,-0.0062,-0.0044,-0.0048,-0.0042,0.0102,0.0113,-0.0108,-0.0072,-0.0132,0.0367,,,-0.0089,-0.0214,0.0131,-0.0122,-0.0191,0.0014,-0.0277,0.0096,-0.009,-0.0057,-0.0114,-0.0216,-0.0124,-0.0048,-0.0078,0.0033,,0.0131,-0.0186,,0.0033,,-0.0003
child_qualities_prosocial_diligence|WVS_A,0.0017,0.0023,-0.0127,,,0.0,-0.0015,0.0063,0.0075,0.0038,-0.0038,0.0013,-0.0003,-0.0065,-0.0053,0.0035,0.0057,0.0054,0.0137,,,-0.0007,-0.0013,-0.004,-0.002,0.0042,-0.0013,0.0082,-0.0005,0.0067,0.002,0.007,0.0062,-0.0061,0.005,0.0032,-0.0044,,-0.0026,0.0052,,0.0004,,-0.007
civic_dishonesty_tolerance|WVS_F,-0.036,-0.0034,-0.0175,0.0075,0.0085,-0.0015,0.0,-0.0033,0.0661,-0.022,0.0909,-0.0747,-0.0228,-0.0375,-0.0867,0.0166,0.0374,0.0468,0.1404,-0.0396,,0.0523,-0.0504,,-0.0679,0.0829,0.0177,0.0337,-0.0073,0.0208,,,,,-0.0287,-0.0218,,-0.0513,-0.0053,-0.0184,0.0111,,0.0048,0.1096
confidence_in_civil_society_organizations|WVS_E,,,-0.0169,-0.0018,-0.0111,0.0063,-0.0033,0.0,,,0.0048,,,,,0.0054,0.0091,0.0081,-0.0152,-0.0102,,0.0035,0.007,-0.0044,0.0036,,0.0013,,,0.002,0.0019,0.0061,0.0115,0.0071,0.0014,,0.0018,-0.0124,,0.0084,0.0002,0.0003,0.0012,
confidence_in_domestic_institutions|WVS_E,,,-0.0378,0.006,-0.0114,0.0075,0.0661,,0.0,,0.0712,,,,,0.0254,0.0363,0.0545,0.062,-0.0435,,0.0524,-0.0155,0.0382,-0.0419,,0.0122,,,0.0261,-0.0211,0.0277,0.0477,0.0416,-0.016,,0.0663,-0.069,,0.0093,0.0119,0.0171,0.0034,
confidence_in_international_organizations|WVS_E,,,-0.0035,-0.0029,-0.0062,0.0038,-0.022,,,0.0,-0.0162,,,,,-0.0022,-0.0041,-0.0084,-0.0342,0.0045,,-0.0133,0.0106,-0.0168,0.0153,,-0.0024,,,-0.0049,0.0087,-0.0022,-0.0026,-0.0054,0.0067,,-0.018,0.008,,0.0058,-0.0029,-0.0058,-0.0003,
