,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,123.4567901234568,909.090909090909,84.03361344537815,588.2352941176471,27.77777777777778,9999.0,9999.0,9999.0,71.42857142857143,9999.0,9999.0,9999.0,9999.0,158.73015873015873,116.27906976744185,1000.0,10.952902519167578,140.8450704225352,9999.0,909.090909090909,24.813895781637715,31.152647975077883,32.89473684210526,9999.0,147.05882352941177,9999.0,9999.0,1000.0,65.35947712418302,526.3157894736842,67.11409395973155,91.74311926605505,102.04081632653062,9999.0,38.167938931297705,128.2051282051282,9999.0,40.32258064516129,1000.0,86.95652173913044,1000.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,81.30081300813008,1000.0,116.27906976744185,434.7826086956522,294.11764705882354,9999.0,9999.0,9999.0,112.35955056179776,9999.0,9999.0,9999.0,9999.0,123.4567901234568,200.0,101.010101010101,30.395136778115504,142.85714285714286,9999.0,104.16666666666667,62.5,163.93442622950818,136.986301369863,9999.0,1000.0,9999.0,9999.0,303.03030303030306,500.0,169.49152542372883,60.975609756097555,67.56756756756756,1000.0,9999.0,333.3333333333333,52.91005291005291,9999.0,79.36507936507937,588.2352941176471,909.090909090909,434.7826086956522,9999.0
basic_needs_deprivation|WVS_H,123.4567901234568,81.30081300813008,0.0,769.2307692307693,47.16981132075472,78.74015748031496,57.14285714285714,59.1715976331361,26.455026455026456,285.7142857142857,9999.0,61.7283950617284,370.3703703703703,34.48275862068965,23.64066193853428,9999.0,45.04504504504504,27.700831024930746,102.04081632653062,34.013605442176875,9999.0,34.602076124567475,66.66666666666667,1000.0,9999.0,18.214936247723134,277.77777777777777,20.161290322580644,62.11180124223603,9999.0,416.6666666666667,41.49377593360996,23.980815347721823,37.03703703703704,1000.0,175.43859649122805,41.84100418410041,18.34862385321101,45.662100456621005,9999.0,147.05882352941177,196.078431372549,1000.0,29.069767441860463
child_qualities_autonomy_self_expression|WVS_A,909.090909090909,1000.0,769.2307692307693,0.0,9999.0,9999.0,133.33333333333334,555.5555555555555,166.66666666666666,344.82758620689657,92.59259259259258,140.8450704225352,1000.0,169.49152542372883,104.16666666666667,204.08163265306123,1000.0,140.8450704225352,116.27906976744185,9999.0,9999.0,87.71929824561403,140.8450704225352,285.7142857142857,1000.0,57.4712643678161,1000.0,94.33962264150944,123.4567901234568,333.3333333333333,476.1904761904762,344.82758620689657,112.35955056179776,78.74015748031496,322.5806451612903,1000.0,123.4567901234568,9999.0,312.5,200.0,9999.0,1000.0,9999.0,68.9655172413793
child_qualities_conformity_tradition|WVS_A,84.03361344537815,116.27906976744185,47.16981132075472,9999.0,0.0,9999.0,117.6470588235294,90.09009009009009,87.71929824561403,161.29032258064515,227.27272727272725,208.33333333333334,238.0952380952381,98.0392156862745,88.49557522123894,92.59259259259258,138.88888888888889,75.75757575757576,27.247956403269754,9999.0,9999.0,112.35955056179776,46.728971962616825,76.33587786259541,81.96721311475409,52.35602094240838,714.2857142857143,36.101083032490976,104.16666666666667,111.11111111111111,175.43859649122805,87.71929824561403,46.29629629629629,80.64516129032258,208.33333333333334,128.2051282051282,303.03030303030306,9999.0,76.33587786259541,53.763440860215056,9999.0,303.03030303030306,9999.0,1000.0
child_qualities_prosocial_diligence|WVS_A,588.2352941176471,434.7826086956522,78.74015748031496,9999.0,9999.0,0.0,666.6666666666666,158.73015873015873,133.33333333333334,263.1578947368421,263.1578947368421,769.2307692307693,1000.0,153.84615384615384,188.67924528301887,285.7142857142857,175.43859649122805,185.18518518518516,72.99270072992701,9999.0,9999.0,1000.0,769.2307692307693,250.0,500.0,238.0952380952381,769.2307692307693,121.95121951219511,1000.0,149.2537313432836,500.0,142.85714285714286,161.29032258064515,163.93442622950818,200.0,312.5,227.27272727272725,9999.0,384.61538461538464,192.30769230769232,9999.0,1000.0,9999.0,142.85714285714286
civic_dishonesty_tolerance|WVS_F,27.77777777777778,294.11764705882354,57.14285714285714,133.33333333333334,117.6470588235294,666.6666666666666,0.0,303.03030303030306,15.1285930408472,45.45454545454546,11.001100110011002,13.386880856760374,43.859649122807014,26.666666666666668,11.534025374855824,60.24096385542168,26.7379679144385,21.367521367521366,7.122507122507122,25.25252525252525,9999.0,19.120458891013385,19.841269841269842,9999.0,14.727540500736376,12.062726176115802,56.497175141242934,29.673590504451038,136.986301369863,48.07692307692308,9999.0,9999.0,9999.0,9999.0,34.84320557491289,45.87155963302752,9999.0,19.49317738791423,188.67924528301887,54.34782608695652,90.09009009009009,9999.0,208.33333333333334,9.124087591240876
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,59.1715976331361,555.5555555555555,90.09009009009009,158.73015873015873,303.03030303030306,0.0,9999.0,9999.0,208.33333333333334,9999.0,9999.0,9999.0,9999.0,185.18518518518516,109.89010989010988,123.4567901234568,65.78947368421052,98.0392156862745,9999.0,285.7142857142857,142.85714285714286,227.27272727272725,277.77777777777777,9999.0,769.2307692307693,9999.0,9999.0,500.0,526.3157894736842,163.93442622950818,86.95652173913044,140.8450704225352,714.2857142857143,9999.0,555.5555555555555,80.64516129032258,9999.0,119.04761904761905,1000.0,1000.0,833.3333333333334,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,26.455026455026456,166.66666666666666,87.71929824561403,133.33333333333334,15.1285930408472,9999.0,0.0,9999.0,14.04494382022472,9999.0,9999.0,9999.0,9999.0,39.37007874015748,27.548209366391184,18.34862385321101,16.129032258064516,22.98850574712644,9999.0,19.083969465648853,64.51612903225806,26.17801047120419,23.86634844868735,9999.0,81.96721311475409,9999.0,9999.0,38.314176245210724,47.39336492890995,36.101083032490976,20.964360587002098,24.03846153846154,62.5,9999.0,15.082956259426847,14.492753623188404,9999.0,107.52688172043011,84.03361344537815,58.47953216374269,294.11764705882354,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,285.7142857142857,344.82758620689657,161.29032258064515,263.1578947368421,45.45454545454546,9999.0,9999.0,0.0,61.7283950617284,9999.0,9999.0,9999.0,9999.0,454.5454545454545,243.90243902439022,119.04761904761905,29.239766081871345,222.22222222222223,9999.0,75.18796992481204,94.33962264150944,59.523809523809526,65.35947712418302,9999.0,416.6666666666667,9999.0,9999.0,204.08163265306123,114.9425287356322,454.5454545454545,384.61538461538464,185.18518518518516,149.2537313432836,9999.0,55.55555555555556,125.0,9999.0,172.41379310344828,344.82758620689657,172.41379310344828,1000.0,9999.0
