,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,23.474178403755868,204.08163265306123,25.0,46.728971962616825,9999.0,9999.0,9999.0,53.475935828877,9999.0,9999.0,9999.0,9999.0,80.0,68.4931506849315,24.213075060532685,18.41620626151013,181.81818181818184,58.13953488372093,26.041666666666668,28.98550724637681,27.17391304347826,39.0625,9999.0,27.548209366391184,9999.0,9999.0,625.0,49.75124378109453,35.46099290780142,26.041666666666668,66.2251655629139,28.248587570621467,9999.0,26.881720430107528,9999.0,9999.0,46.51162790697675,40.32258064516129,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,9999.0,28.57142857142857,76.92307692307692,31.746031746031747,29.498525073746315,9999.0,9999.0,9999.0,48.309178743961354,9999.0,9999.0,9999.0,9999.0,60.6060606060606,43.29004329004329,55.24861878453038,9.560229445506693,49.504950495049506,73.52941176470588,23.52941176470588,38.314176245210724,46.51162790697675,23.255813953488374,9999.0,41.84100418410041,9999.0,9999.0,49.75124378109453,270.27027027027026,76.33587786259541,56.81818181818181,59.880239520958085,36.496350364963504,9999.0,41.32231404958678,9999.0,9999.0,21.551724137931036,38.314176245210724,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,23.474178403755868,28.57142857142857,9999.0,0.0,9999.0,9999.0,74.07407407407408,98.0392156862745,48.309178743961354,1000.0,40.816326530612244,46.948356807511736,1000.0,113.63636363636363,106.38297872340425,714.2857142857143,181.81818181818184,19.960079840319363,196.078431372549,9999.0,20.28397565922921,22.573363431151243,28.653295128939828,22.123893805309734,15.552099533437016,30.769230769230766,60.975609756097555,16.10305958132045,51.02040816326531,1000.0,112.35955056179776,21.598272138228943,34.013605442176875,56.17977528089888,57.4712643678161,107.52688172043011,19.305019305019304,9999.0,60.24096385542168,1000.0,9999.0,9999.0,9999.0,15.037593984962406
child_qualities_conformity_tradition|WVS_A,204.08163265306123,76.92307692307692,9999.0,9999.0,0.0,9999.0,23.255813953488374,312.5,322.5806451612903,50.25125628140703,142.85714285714286,58.13953488372093,47.16981132075472,87.71929824561403,85.47008547008546,68.9655172413793,113.63636363636363,86.95652173913044,8.984725965858042,9999.0,227.27272727272725,80.64516129032258,43.29004329004329,73.52941176470588,97.08737864077669,270.27027027027026,147.05882352941177,80.64516129032258,250.0,20.53388090349076,57.14285714285714,22.98850574712644,43.47826086956522,26.80965147453083,81.96721311475409,588.2352941176471,78.125,9999.0,1000.0,28.57142857142857,9999.0,9999.0,9999.0,50.76142131979696
child_qualities_prosocial_diligence|WVS_A,25.0,31.746031746031747,9999.0,9999.0,9999.0,0.0,29.239766081871345,82.64462809917356,102.04081632653062,97.08737864077669,101.010101010101,21.978021978021978,109.89010989010988,48.78048780487805,81.30081300813008,1000.0,666.6666666666666,22.831050228310502,13.477088948787062,9999.0,59.1715976331361,24.390243902439025,43.29004329004329,28.248587570621467,49.01960784313725,17.73049645390071,26.38522427440633,17.452006980802793,45.24886877828054,64.1025641025641,52.631578947368425,135.13513513513513,29.761904761904763,119.04761904761905,34.84320557491289,175.43859649122805,30.3030303030303,9999.0,84.03361344537815,41.666666666666664,9999.0,9999.0,9999.0,142.85714285714286
civic_dishonesty_tolerance|WVS_F,46.728971962616825,29.498525073746315,9999.0,74.07407407407408,23.255813953488374,29.239766081871345,0.0,67.11409395973155,49.01960784313725,72.99270072992701,222.22222222222223,17.699115044247787,93.45794392523365,24.449877750611247,47.16981132075472,54.054054054054056,100.0,60.24096385542168,5.020080321285141,70.4225352112676,222.22222222222223,25.706940874035993,80.0,9999.0,172.41379310344828,19.72386587771203,34.96503496503497,37.87878787878788,84.74576271186442,13.037809647979138,9999.0,9999.0,9999.0,9999.0,93.45794392523365,909.090909090909,9999.0,9999.0,175.43859649122805,15.723270440251572,26.954177897574123,9999.0,9999.0,24.57002457002457
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,98.0392156862745,312.5,82.64462809917356,67.11409395973155,0.0,9999.0,9999.0,333.3333333333333,9999.0,9999.0,9999.0,9999.0,78.74015748031496,80.0,55.24861878453038,108.69565217391305,45.24886877828054,169.49152542372883,114.9425287356322,666.6666666666666,81.96721311475409,277.77777777777777,9999.0,87.71929824561403,9999.0,9999.0,84.03361344537815,97.08737864077669,153.84615384615384,98.0392156862745,52.083333333333336,588.2352941176471,9999.0,102.04081632653062,9999.0,9999.0,476.1904761904762,138.88888888888889,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,48.309178743961354,322.5806451612903,102.04081632653062,49.01960784313725,9999.0,0.0,9999.0,117.6470588235294,9999.0,9999.0,9999.0,9999.0,98.0392156862745,232.5581395348837,1000.0,13.58695652173913,666.6666666666666,27.932960893854748,1000.0,370.3703703703703,714.2857142857143,22.321428571428573,9999.0,30.395136778115504,9999.0,9999.0,172.41379310344828,44.642857142857146,44.642857142857146,62.893081761006286,58.13953488372093,38.75968992248062,9999.0,113.63636363636363,9999.0,9999.0,39.37007874015748,69.93006993006993,9999.0,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,1000.0,50.25125628140703,97.08737864077669,72.99270072992701,9999.0,9999.0,0.0,1000.0,9999.0,9999.0,9999.0,9999.0,80.0,200.0,50.76142131979696,37.45318352059925,72.46376811594203,81.96721311475409,476.1904761904762,46.08294930875576,66.66666666666667,32.89473684210526,9999.0,31.545741324921135,9999.0,9999.0,34.013605442176875,31.545741324921135,53.475935828877,28.81844380403458,63.69426751592357,33.44481605351171,9999.0,86.95652173913044,9999.0,9999.0,101.010101010101,357.14285714285717,9999.0,9999.0,9999.0
