,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,34.24657534246575,285.7142857142857,188.67924528301887,333.3333333333333,33.11258278145695,9999.0,9999.0,9999.0,26.7379679144385,9999.0,9999.0,9999.0,9999.0,9999.0,322.5806451612903,294.11764705882354,27.247956403269754,31.746031746031747,55.55555555555556,344.82758620689657,50.5050505050505,99.00990099009901,60.975609756097555,9999.0,51.282051282051285,9999.0,9999.0,96.15384615384616,26.041666666666668,9999.0,9999.0,15.748031496062993,169.49152542372883,9999.0,9999.0,54.94505494505494,9999.0,47.84688995215311,333.3333333333333,57.4712643678161,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,62.5,34.24657534246575,238.0952380952381,100.0,11.587485515643106,9999.0,9999.0,9999.0,35.587188612099645,9999.0,9999.0,9999.0,9999.0,9999.0,27.77777777777778,19.37984496124031,22.075055187637968,222.22222222222223,93.45794392523365,14.326647564469914,13.986013986013987,21.73913043478261,769.2307692307693,9999.0,71.42857142857143,9999.0,9999.0,454.5454545454545,135.13513513513513,9999.0,9999.0,6.265664160401003,31.746031746031747,9999.0,9999.0,27.47252747252747,9999.0,21.551724137931036,99.00990099009901,45.24886877828054,9999.0,9999.0
basic_needs_deprivation|WVS_H,34.24657534246575,62.5,0.0,26.954177897574123,47.39336492890995,217.3913043478261,15.527950310559007,40.983606557377044,84.03361344537815,9999.0,9999.0,125.0,151.51515151515153,50.5050505050505,28.248587570621467,9999.0,23.809523809523807,13.623978201634877,108.69565217391305,129.87012987012986,9999.0,12.78772378516624,26.666666666666668,28.248587570621467,9999.0,17.98561151079137,51.282051282051285,28.653295128939828,12.658227848101266,9999.0,26.041666666666668,9999.0,9999.0,11.086474501108647,357.14285714285717,104.16666666666667,9999.0,13.66120218579235,357.14285714285717,9999.0,23.04147465437788,181.81818181818184,9999.0,41.1522633744856
child_qualities_autonomy_self_expression|WVS_A,285.7142857142857,34.24657534246575,26.954177897574123,0.0,9999.0,9999.0,8.496176720475786,25.77319587628866,43.29004329004329,9999.0,38.167938931297705,75.75757575757576,53.475935828877,102.04081632653062,172.41379310344828,9999.0,23.64066193853428,12.51564455569462,18.38235294117647,9999.0,344.82758620689657,10.37344398340249,12.062726176115802,17.241379310344826,33.003300330033,21.73913043478261,72.99270072992701,15.1285930408472,9.727626459143968,76.92307692307692,68.02721088435375,9999.0,9999.0,4.9431537320810675,42.73504273504273,28.409090909090907,9999.0,9999.0,120.48192771084337,11.723329425556859,9999.0,51.282051282051285,9999.0,42.19409282700422
child_qualities_conformity_tradition|WVS_A,188.67924528301887,238.0952380952381,47.39336492890995,9999.0,0.0,9999.0,36.496350364963504,144.92753623188406,250.0,9999.0,57.4712643678161,131.57894736842104,56.497175141242934,1000.0,140.8450704225352,9999.0,86.20689655172414,27.62430939226519,153.84615384615384,9999.0,588.2352941176471,25.38071065989848,46.728971962616825,64.1025641025641,32.154340836012864,204.08163265306123,555.5555555555555,107.52688172043011,36.90036900369004,88.49557522123894,384.61538461538464,9999.0,9999.0,19.569471624266146,625.0,75.75757575757576,9999.0,9999.0,108.69565217391305,29.673590504451038,9999.0,103.09278350515464,9999.0,384.61538461538464
child_qualities_prosocial_diligence|WVS_A,333.3333333333333,100.0,217.3913043478261,9999.0,9999.0,0.0,72.46376811594203,500.0,1000.0,9999.0,64.93506493506493,434.7826086956522,192.30769230769232,169.49152542372883,222.22222222222223,9999.0,121.95121951219511,83.33333333333333,232.5581395348837,9999.0,113.63636363636363,49.75124378109453,66.66666666666667,112.35955056179776,434.7826086956522,163.93442622950818,1000.0,250.0,75.18796992481204,1000.0,303.03030303030306,9999.0,9999.0,33.898305084745765,111.11111111111111,625.0,9999.0,9999.0,238.0952380952381,144.92753623188406,9999.0,1000.0,9999.0,434.7826086956522
civic_dishonesty_tolerance|WVS_F,33.11258278145695,11.587485515643106,15.527950310559007,8.496176720475786,36.496350364963504,72.46376811594203,0.0,9.140767824497258,12.315270935960593,9999.0,26.666666666666668,19.72386587771203,24.752475247524753,22.88329519450801,25.641025641025642,9999.0,9.319664492078285,5.14668039114771,5.955926146515783,9.84251968503937,67.11409395973155,4.3308791684712,4.535147392290249,9999.0,18.484288354898336,5.89622641509434,18.65671641791045,4.833252779120348,3.8226299694189603,26.38522427440633,9999.0,9999.0,9999.0,9999.0,13.986013986013987,9.910802775024777,9999.0,7.656967840735069,45.662100456621005,4.512635379061372,14.064697609001406,9999.0,9999.0,17.18213058419244
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,40.983606557377044,25.77319587628866,144.92753623188406,500.0,9.140767824497258,0.0,9999.0,9999.0,106.38297872340425,9999.0,9999.0,9999.0,9999.0,9999.0,26.954177897574123,16.39344262295082,17.241379310344826,35.587188612099645,123.4567901234568,12.919896640826874,12.919896640826874,17.699115044247787,75.75757575757576,9999.0,54.94505494505494,9999.0,9999.0,158.73015873015873,43.859649122807014,9999.0,9999.0,5.527915975677169,41.84100418410041,9999.0,9999.0,26.17801047120419,9999.0,14.04494382022472,44.24778761061947,33.333333333333336,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,84.03361344537815,43.29004329004329,250.0,1000.0,12.315270935960593,9999.0,0.0,9999.0,50.5050505050505,9999.0,9999.0,9999.0,9999.0,9999.0,54.054054054054056,36.76470588235294,16.0,32.67973856209151,84.03361344537815,24.93765586034913,17.301038062283737,26.7379679144385,70.92198581560284,9999.0,38.167938931297705,9999.0,9999.0,111.11111111111111,25.25252525252525,9999.0,9999.0,7.107320540156361,48.309178743961354,9999.0,9999.0,285.7142857142857,9999.0,19.880715705765407,217.3913043478261,28.57142857142857,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
