,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,769.2307692307693,909.090909090909,9999.0,263.1578947368421,588.2352941176471,384.61538461538464,238.0952380952381,909.090909090909,222.22222222222223,500.0,9999.0,555.5555555555555,333.3333333333333,384.61538461538464,476.1904761904762,9999.0,476.1904761904762,322.5806451612903,9999.0,142.85714285714286,909.090909090909,833.3333333333334,9999.0,238.0952380952381,116.27906976744185,204.08163265306123,196.078431372549,400.0,9999.0,434.7826086956522,769.2307692307693,1000.0,9999.0,222.22222222222223,1000.0,666.6666666666666,588.2352941176471,9999.0,208.33333333333334,526.3157894736842,1000.0,178.57142857142858,434.7826086956522,232.5581395348837,147.05882352941177,9999.0,125.0,9999.0,1000.0,1000.0,9999.0,1000.0,78.125,384.61538461538464
authoritarian_governance_tolerance|WVS_E,769.2307692307693,0.0,9999.0,64.51612903225806,100.0,52.631578947368425,123.4567901234568,1000.0,9999.0,9999.0,9999.0,294.11764705882354,9999.0,9999.0,9999.0,9999.0,243.90243902439022,212.7659574468085,181.81818181818184,222.22222222222223,1000.0,200.0,101.010101010101,117.6470588235294,9999.0,153.84615384615384,384.61538461538464,117.6470588235294,217.3913043478261,714.2857142857143,9999.0,9999.0,112.35955056179776,9999.0,181.81818181818184,434.7826086956522,9999.0,9999.0,102.04081632653062,238.0952380952381,149.2537313432836,54.054054054054056,36.63003663003663,56.81818181818181,9999.0,79.36507936507937,9999.0,9999.0,71.94244604316548,135.13513513513513,312.5,9999.0,909.090909090909,9999.0,149.2537313432836
autocracy_support|WVS_E,909.090909090909,9999.0,0.0,1000.0,357.14285714285717,1000.0,909.090909090909,400.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,400.0,476.1904761904762,588.2352941176471,555.5555555555555,370.3703703703703,1000.0,1000.0,625.0,9999.0,250.0,333.3333333333333,333.3333333333333,500.0,1000.0,9999.0,9999.0,625.0,9999.0,357.14285714285717,1000.0,9999.0,9999.0,588.2352941176471,526.3157894736842,625.0,1000.0,263.1578947368421,1000.0,9999.0,263.1578947368421,9999.0,9999.0,312.5,909.090909090909,1000.0,9999.0,1000.0,9999.0,1000.0
basic_needs_deprivation|WVS_H,9999.0,64.51612903225806,1000.0,0.0,67.56756756756756,42.73504273504273,75.75757575757576,500.0,294.11764705882354,1000.0,454.5454545454545,9999.0,1000.0,833.3333333333334,80.0,178.57142857142858,9999.0,196.078431372549,112.35955056179776,9999.0,92.59259259259258,172.41379310344828,67.11409395973155,9999.0,23.148148148148145,55.24861878453038,129.87012987012986,68.9655172413793,151.51515151515153,9999.0,61.34969325153375,24.449877750611247,107.52688172043011,9999.0,500.0,400.0,40.32258064516129,263.1578947368421,9999.0,135.13513513513513,156.25,50.25125628140703,28.169014084507044,44.24778761061947,60.24096385542168,51.54639175257732,9999.0,95.23809523809523,9999.0,125.0,588.2352941176471,9999.0,294.11764705882354,48.07692307692308,90.09009009009009
child_qualities_autonomy_self_expression|WVS_A,263.1578947368421,100.0,357.14285714285717,67.56756756756756,0.0,9999.0,9999.0,178.57142857142858,1000.0,138.88888888888889,55.55555555555556,45.04504504504504,666.6666666666666,61.34969325153375,1000.0,312.5,37.174721189591075,55.865921787709496,81.96721311475409,50.25125628140703,45.24886877828054,44.84304932735426,9999.0,87.71929824561403,18.587360594795538,24.875621890547265,32.25806451612903,32.05128205128205,63.69426751592357,232.5581395348837,26.666666666666668,33.11258278145695,100.0,9999.0,227.27272727272725,94.33962264150944,53.475935828877,294.11764705882354,61.7283950617284,67.11409395973155,97.08737864077669,43.859649122807014,29.940119760479043,43.10344827586207,31.948881789137378,32.154340836012864,9999.0,26.17801047120419,42.19409282700422,9999.0,112.35955056179776,9999.0,9999.0,144.92753623188406,51.81347150259067
child_qualities_conformity_tradition|WVS_A,588.2352941176471,52.631578947368425,1000.0,42.73504273504273,9999.0,0.0,9999.0,90.90909090909092,102.04081632653062,78.74015748031496,1000.0,1000.0,111.11111111111111,322.5806451612903,625.0,416.6666666666667,142.85714285714286,74.6268656716418,61.7283950617284,102.04081632653062,119.04761904761905,47.39336492890995,9999.0,1000.0,26.80965147453083,66.66666666666667,156.25,49.75124378109453,74.07407407407408,192.30769230769232,72.99270072992701,23.696682464454977,67.11409395973155,9999.0,131.57894736842104,185.18518518518516,40.0,312.5,47.61904761904761,32.78688524590164,47.39336492890995,48.78048780487805,15.197568389057752,35.3356890459364,36.496350364963504,27.62430939226519,9999.0,53.475935828877,25.839793281653748,9999.0,140.8450704225352,9999.0,9999.0,17.271157167530223,86.20689655172414
child_qualities_prosocial_diligence|WVS_A,384.61538461538464,123.4567901234568,909.090909090909,75.75757575757576,9999.0,9999.0,0.0,222.22222222222223,1000.0,333.3333333333333,212.7659574468085,82.64462809917356,1000.0,131.57894736842104,147.05882352941177,263.1578947368421,100.0,147.05882352941177,106.38297872340425,140.8450704225352,52.083333333333336,129.87012987012986,9999.0,175.43859649122805,26.595744680851062,33.003300330033,57.4712643678161,56.17977528089888,120.48192771084337,263.1578947368421,45.45454545454546,30.030030030030026,1000.0,9999.0,1000.0,434.7826086956522,54.054054054054056,188.67924528301887,250.0,357.14285714285717,222.22222222222223,67.11409395973155,45.04504504504504,55.24861878453038,57.4712643678161,45.662100456621005,9999.0,48.543689320388346,49.75124378109453,9999.0,454.5454545454545,9999.0,9999.0,69.44444444444444,68.4931506849315
civic_dishonesty_tolerance|WVS_F,238.0952380952381,1000.0,400.0,500.0,178.57142857142858,90.90909090909092,222.22222222222223,0.0,200.0,72.99270072992701,185.18518518518516,1000.0,153.84615384615384,178.57142857142858,135.13513513513513,136.986301369863,1000.0,149.2537313432836,107.52688172043011,270.27027027027026,85.47008547008546,106.38297872340425,277.77777777777777,125.0,88.49557522123894,67.11409395973155,126.58227848101265,9999.0,140.8450704225352,256.4102564102564,833.3333333333334,294.11764705882354,625.0,9999.0,77.51937984496124,666.6666666666666,322.5806451612903,333.3333333333333,370.3703703703703,9999.0,9999.0,9999.0,9999.0,142.85714285714286,76.92307692307692,9999.0,9999.0,56.17977528089888,50.25125628140703,1000.0,9999.0,9999.0,238.0952380952381,23.809523809523807,232.5581395348837
confidence_in_civil_society_organizations|WVS_E,909.090909090909,9999.0,9999.0,294.11764705882354,1000.0,102.04081632653062,1000.0,200.0,0.0,9999.0,9999.0,400.0,9999.0,9999.0,9999.0,9999.0,303.03030303030306,263.1578947368421,212.7659574468085,454.5454545454545,1000.0,103.09278350515464,500.0,303.03030303030306,9999.0,416.6666666666667,909.090909090909,250.0,303.03030303030306,588.2352941176471,9999.0,9999.0,263.1578947368421,9999.0,178.57142857142858,500.0,9999.0,9999.0,153.84615384615384,78.74015748031496,153.84615384615384,526.3157894736842,59.1715976331361,192.30769230769232,9999.0,105.26315789473685,9999.0,9999.0,90.90909090909092,555.5555555555555,625.0,9999.0,217.3913043478261,9999.0,909.090909090909
confidence_in_domestic_institutions|WVS_E,222.22222222222223,9999.0,9999.0,1000.0,138.88888888888889,78.74015748031496,333.3333333333333,72.99270072992701,9999.0,0.0,9999.0,833.3333333333334,9999.0,9999.0,9999.0,9999.0,217.3913043478261,86.95652173913044,99.00990099009901,140.8450704225352,158.73015873015873,95.23809523809523,500.0,100.0,9999.0,86.20689655172414,93.45794392523365,81.96721311475409,103.09278350515464,1000.0,9999.0,9999.0,909.090909090909,9999.0,67.56756756756756,1000.0,9999.0,9999.0,434.7826086956522,44.84304932735426,76.33587786259541,400.0,34.96503496503497,169.49152542372883,9999.0,42.73504273504273,9999.0,9999.0,45.45454545454546,500.0,204.08163265306123,9999.0,131.57894736842104,9999.0,384.61538461538464
