,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,188.67924528301887,58.8235294117647,9999.0,121.95121951219511,83.33333333333333,55.24861878453038,138.88888888888889,151.51515151515153,909.090909090909,156.25,9999.0,188.67924528301887,1000.0,142.85714285714286,1000.0,9999.0,117.6470588235294,89.28571428571429,9999.0,47.39336492890995,52.91005291005291,212.7659574468085,9999.0,1000.0,33.898305084745765,1000.0,47.39336492890995,188.67924528301887,9999.0,48.543689320388346,34.013605442176875,72.99270072992701,9999.0,68.02721088435375,113.63636363636363,62.893081761006286,200.0,9999.0,100.0,119.04761904761905,39.0625,87.71929824561403,158.73015873015873,123.4567901234568,88.49557522123894,35.97122302158274,156.25,9999.0,106.38297872340425,312.5,76.92307692307692,217.3913043478261,9999.0,416.6666666666667
authoritarian_governance_tolerance|WVS_E,188.67924528301887,0.0,9999.0,153.84615384615384,1000.0,344.82758620689657,1000.0,107.52688172043011,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,666.6666666666666,185.18518518518516,344.82758620689657,151.51515151515153,400.0,370.3703703703703,123.4567901234568,476.1904761904762,9999.0,303.03030303030306,833.3333333333334,1000.0,256.4102564102564,1000.0,9999.0,9999.0,625.0,9999.0,77.51937984496124,909.090909090909,9999.0,9999.0,588.2352941176471,1000.0,434.7826086956522,500.0,151.51515151515153,256.4102564102564,9999.0,238.0952380952381,526.3157894736842,9999.0,196.078431372549,370.3703703703703,344.82758620689657,178.57142857142858,256.4102564102564,9999.0,142.85714285714286
autocracy_support|WVS_E,58.8235294117647,9999.0,0.0,44.84304932735426,136.986301369863,94.33962264150944,58.8235294117647,104.16666666666667,9999.0,9999.0,9999.0,107.52688172043011,9999.0,9999.0,9999.0,9999.0,158.73015873015873,123.4567901234568,111.11111111111111,142.85714285714286,60.975609756097555,53.191489361702125,158.73015873015873,91.74311926605505,9999.0,41.49377593360996,833.3333333333334,55.24861878453038,434.7826086956522,161.29032258064515,9999.0,9999.0,68.02721088435375,9999.0,54.94505494505494,123.4567901234568,9999.0,9999.0,106.38297872340425,114.9425287356322,119.04761904761905,41.49377593360996,123.4567901234568,153.84615384615384,9999.0,113.63636363636363,45.87155963302752,9999.0,104.16666666666667,95.23809523809523,909.090909090909,80.0,172.41379310344828,9999.0,149.2537313432836
basic_needs_deprivation|WVS_H,9999.0,153.84615384615384,44.84304932735426,0.0,82.64462809917356,51.54639175257732,42.016806722689076,303.03030303030306,212.7659574468085,588.2352941176471,91.74311926605505,9999.0,90.09009009009009,333.3333333333333,84.03361344537815,1000.0,9999.0,200.0,63.69426751592357,9999.0,51.282051282051285,34.84320557491289,1000.0,9999.0,322.5806451612903,32.154340836012864,588.2352941176471,39.37007874015748,192.30769230769232,9999.0,29.41176470588235,20.04008016032064,36.76470588235294,9999.0,68.9655172413793,83.33333333333333,38.46153846153846,188.67924528301887,9999.0,87.71929824561403,63.69426751592357,28.409090909090907,55.865921787709496,185.18518518518516,57.4712643678161,51.54639175257732,32.89473684210526,243.90243902439022,9999.0,66.2251655629139,178.57142857142858,40.0,78.74015748031496,9999.0,163.93442622950818
child_qualities_autonomy_self_expression|WVS_A,121.95121951219511,1000.0,136.986301369863,82.64462809917356,0.0,9999.0,9999.0,222.22222222222223,117.6470588235294,169.49152542372883,69.44444444444444,60.6060606060606,500.0,303.03030303030306,92.59259259259258,370.3703703703703,105.26315789473685,1000.0,69.44444444444444,1000.0,54.6448087431694,45.87155963302752,9999.0,285.7142857142857,1000.0,46.948356807511736,454.5454545454545,53.191489361702125,121.95121951219511,476.1904761904762,76.33587786259541,39.0625,62.893081761006286,9999.0,303.03030303030306,131.57894736842104,45.04504504504504,185.18518518518516,175.43859649122805,151.51515151515153,85.47008547008546,44.052863436123346,45.662100456621005,1000.0,106.38297872340425,50.5050505050505,9999.0,357.14285714285717,303.03030303030306,9999.0,105.26315789473685,9999.0,9999.0,9999.0,222.22222222222223
child_qualities_conformity_tradition|WVS_A,83.33333333333333,344.82758620689657,94.33962264150944,51.54639175257732,9999.0,0.0,9999.0,62.5,37.59398496240602,48.309178743961354,31.746031746031747,39.682539682539684,1000.0,91.74311926605505,54.94505494505494,81.96721311475409,45.24886877828054,200.0,35.714285714285715,181.81818181818184,36.90036900369004,28.98550724637681,9999.0,131.57894736842104,454.5454545454545,29.498525073746315,833.3333333333334,31.645569620253163,126.58227848101265,312.5,35.842293906810035,17.57469244288225,28.81844380403458,9999.0,81.30081300813008,73.52941176470588,21.73913043478261,78.74015748031496,116.27906976744185,84.74576271186442,41.32231404958678,25.57544757033248,23.809523809523807,294.11764705882354,47.16981132075472,25.31645569620253,9999.0,120.48192771084337,232.5581395348837,9999.0,61.34969325153375,9999.0,9999.0,9999.0,89.28571428571429
child_qualities_prosocial_diligence|WVS_A,55.24861878453038,1000.0,58.8235294117647,42.016806722689076,9999.0,9999.0,0.0,129.87012987012986,65.35947712418302,88.49557522123894,35.714285714285715,32.362459546925564,476.1904761904762,158.73015873015873,52.35602094240838,153.84615384615384,57.80346820809249,322.5806451612903,34.48275862068965,303.03030303030306,26.041666666666668,25.77319587628866,9999.0,111.11111111111111,1000.0,22.72727272727273,344.82758620689657,26.595744680851062,62.893081761006286,1000.0,38.02281368821293,18.587360594795538,32.78688524590164,9999.0,277.77777777777777,65.78947368421052,23.696682464454977,81.96721311475409,80.64516129032258,67.11409395973155,46.51162790697675,22.42152466367713,27.3224043715847,1000.0,54.34782608695652,27.62430939226519,9999.0,128.2051282051282,161.29032258064515,9999.0,59.523809523809526,9999.0,9999.0,9999.0,109.89010989010988
civic_dishonesty_tolerance|WVS_F,138.88888888888889,107.52688172043011,104.16666666666667,303.03030303030306,222.22222222222223,62.5,129.87012987012986,0.0,34.013605442176875,53.763440860215056,51.81347150259067,136.986301369863,1000.0,78.74015748031496,108.69565217391305,101.010101010101,59.880239520958085,66.66666666666667,88.49557522123894,178.57142857142858,222.22222222222223,104.16666666666667,40.816326530612244,250.0,212.7659574468085,123.4567901234568,769.2307692307693,9999.0,161.29032258064515,1000.0,135.13513513513513,51.54639175257732,56.17977528089888,9999.0,37.3134328358209,400.0,45.45454545454546,232.5581395348837,192.30769230769232,9999.0,9999.0,9999.0,9999.0,95.23809523809523,76.33587786259541,9999.0,125.0,1000.0,714.2857142857143,1000.0,9999.0,39.0625,56.17977528089888,9999.0,136.986301369863
confidence_in_civil_society_organizations|WVS_E,151.51515151515153,9999.0,9999.0,212.7659574468085,117.6470588235294,37.59398496240602,65.35947712418302,34.013605442176875,0.0,9999.0,9999.0,54.6448087431694,9999.0,9999.0,9999.0,9999.0,57.4712643678161,69.93006993006993,39.52569169960474,50.0,63.69426751592357,59.523809523809526,31.446540880503143,357.14285714285717,9999.0,64.1025641025641,1000.0,53.763440860215056,53.191489361702125,400.0,9999.0,9999.0,42.016806722689076,9999.0,27.700831024930746,156.25,9999.0,9999.0,833.3333333333334,169.49152542372883,51.282051282051285,50.76142131979696,24.390243902439025,89.28571428571429,9999.0,27.855153203342617,26.315789473684212,9999.0,89.28571428571429,666.6666666666666,55.24861878453038,30.769230769230766,61.34969325153375,9999.0,38.91050583657587
confidence_in_domestic_institutions|WVS_E,909.090909090909,9999.0,9999.0,588.2352941176471,169.49152542372883,48.309178743961354,88.49557522123894,53.763440860215056,9999.0,0.0,9999.0,135.13513513513513,9999.0,9999.0,9999.0,9999.0,128.2051282051282,103.09278350515464,51.81347150259067,48.07692307692308,69.93006993006993,136.986301369863,49.01960784313725,250.0,9999.0,56.81818181818181,178.57142857142858,60.975609756097555,66.2251655629139,138.88888888888889,9999.0,9999.0,51.02040816326531,9999.0,42.918454935622314,222.22222222222223,9999.0,9999.0,153.84615384615384,114.9425287356322,74.07407407407408,60.24096385542168,39.682539682539684,172.41379310344828,9999.0,44.84304932735426,35.08771929824561,9999.0,119.04761904761905,1000.0,86.20689655172414,36.90036900369004,61.34969325153375,9999.0,47.16981132075472
