,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,59.523809523809526,45.45454545454546,9999.0,200.0,86.20689655172414,33.67003367003367,9999.0,96.15384615384616,37.59398496240602,67.11409395973155,9999.0,138.88888888888889,34.48275862068965,60.24096385542168,36.76470588235294,9999.0,65.35947712418302,32.57328990228013,9999.0,29.32551319648094,9999.0,48.78048780487805,9999.0,28.248587570621467,46.51162790697675,54.054054054054056,9999.0,72.99270072992701,9999.0,9999.0,15.290519877675841,34.24657534246575,9999.0,79.36507936507937,129.87012987012986,13.698630136986303,100.0,9999.0,91.74311926605505,41.49377593360996,44.44444444444444,56.497175141242934,80.64516129032258,238.0952380952381,9999.0,27.77777777777778,33.333333333333336,9999.0,32.67973856209151,1000.0,30.030030030030026,45.662100456621005,25.125628140703515,238.0952380952381
authoritarian_governance_tolerance|WVS_E,59.523809523809526,0.0,9999.0,62.11180124223603,1000.0,500.0,78.74015748031496,9999.0,9999.0,9999.0,9999.0,117.6470588235294,9999.0,9999.0,9999.0,9999.0,9999.0,126.58227848101265,89.28571428571429,250.0,128.2051282051282,9999.0,108.69565217391305,163.93442622950818,9999.0,89.28571428571429,108.69565217391305,9999.0,434.7826086956522,344.82758620689657,9999.0,9999.0,101.010101010101,9999.0,476.1904761904762,158.73015873015873,9999.0,9999.0,416.6666666666667,357.14285714285717,114.9425287356322,101.010101010101,588.2352941176471,188.67924528301887,9999.0,9999.0,454.5454545454545,9999.0,9999.0,96.15384615384616,222.22222222222223,56.497175141242934,51.81347150259067,9999.0,1000.0
autocracy_support|WVS_E,45.45454545454546,9999.0,0.0,46.08294930875576,277.77777777777777,153.84615384615384,81.30081300813008,9999.0,9999.0,9999.0,9999.0,555.5555555555555,9999.0,9999.0,9999.0,9999.0,9999.0,172.41379310344828,81.30081300813008,555.5555555555555,44.052863436123346,9999.0,103.09278350515464,27.77777777777778,9999.0,370.3703703703703,1000.0,9999.0,57.80346820809249,23.52941176470588,9999.0,9999.0,60.24096385542168,9999.0,172.41379310344828,1000.0,9999.0,9999.0,84.03361344537815,129.87012987012986,64.1025641025641,303.03030303030306,64.51612903225806,303.03030303030306,9999.0,9999.0,31.948881789137378,9999.0,9999.0,72.99270072992701,107.52688172043011,80.64516129032258,1000.0,9999.0,178.57142857142858
basic_needs_deprivation|WVS_H,9999.0,62.11180124223603,46.08294930875576,0.0,238.0952380952381,322.5806451612903,34.24657534246575,9999.0,78.74015748031496,28.49002849002849,62.5,9999.0,303.03030303030306,44.642857142857146,56.497175141242934,29.940119760479043,9999.0,37.3134328358209,23.52941176470588,9999.0,20.74688796680498,9999.0,47.84688995215311,9999.0,18.832391713747647,37.174721189591075,51.54639175257732,9999.0,41.49377593360996,9999.0,9999.0,11.778563015312132,30.030030030030026,9999.0,136.986301369863,84.74576271186442,9.83284169124877,72.46376811594203,9999.0,58.13953488372093,38.314176245210724,59.880239520958085,38.46153846153846,113.63636363636363,181.81818181818184,9999.0,23.31002331002331,30.959752321981423,9999.0,33.333333333333336,500.0,24.213075060532685,34.48275862068965,243.90243902439022,1000.0
child_qualities_autonomy_self_expression|WVS_A,200.0,1000.0,277.77777777777777,238.0952380952381,0.0,9999.0,9999.0,9999.0,1000.0,476.1904761904762,769.2307692307693,188.67924528301887,303.03030303030306,277.77777777777777,1000.0,714.2857142857143,9999.0,1000.0,277.77777777777777,1000.0,256.4102564102564,9999.0,9999.0,384.61538461538464,147.05882352941177,714.2857142857143,370.3703703703703,9999.0,588.2352941176471,232.5581395348837,9999.0,263.1578947368421,1000.0,9999.0,303.03030303030306,833.3333333333334,1000.0,1000.0,400.0,1000.0,1000.0,588.2352941176471,333.3333333333333,1000.0,588.2352941176471,9999.0,9999.0,303.03030303030306,9999.0,9999.0,1000.0,9999.0,9999.0,107.52688172043011,1000.0
child_qualities_conformity_tradition|WVS_A,86.20689655172414,500.0,153.84615384615384,322.5806451612903,9999.0,0.0,9999.0,9999.0,243.90243902439022,1000.0,526.3157894736842,57.14285714285714,111.11111111111111,98.0392156862745,256.4102564102564,102.04081632653062,9999.0,227.27272727272725,175.43859649122805,263.1578947368421,222.22222222222223,9999.0,9999.0,147.05882352941177,35.842293906810035,666.6666666666666,136.986301369863,9999.0,111.11111111111111,212.7659574468085,9999.0,43.47826086956522,357.14285714285717,9999.0,92.59259259259258,232.5581395348837,54.054054054054056,400.0,91.74311926605505,400.0,163.93442622950818,192.30769230769232,263.1578947368421,476.1904761904762,270.27027027027026,9999.0,9999.0,166.66666666666666,9999.0,9999.0,243.90243902439022,9999.0,9999.0,28.98550724637681,1000.0
child_qualities_prosocial_diligence|WVS_A,33.67003367003367,78.74015748031496,81.30081300813008,34.24657534246575,9999.0,9999.0,0.0,9999.0,87.71929824561403,50.5050505050505,102.04081632653062,1000.0,69.44444444444444,63.69426751592357,73.52941176470588,37.59398496240602,9999.0,106.38297872340425,88.49557522123894,357.14285714285717,57.4712643678161,9999.0,9999.0,29.761904761904763,22.779043280182233,117.6470588235294,263.1578947368421,9999.0,56.497175141242934,33.44481605351171,9999.0,14.471780028943561,35.2112676056338,9999.0,200.0,151.51515151515153,15.974440894568689,89.28571428571429,50.5050505050505,114.9425287356322,35.97122302158274,70.92198581560284,119.04761904761905,106.38297872340425,1000.0,9999.0,9999.0,57.14285714285714,9999.0,9999.0,169.49152542372883,9999.0,9999.0,37.03703703703704,136.986301369863
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,96.15384615384616,9999.0,9999.0,78.74015748031496,1000.0,243.90243902439022,87.71929824561403,9999.0,0.0,9999.0,9999.0,129.87012987012986,9999.0,9999.0,9999.0,9999.0,9999.0,175.43859649122805,263.1578947368421,526.3157894736842,82.64462809917356,9999.0,87.71929824561403,40.65040650406504,9999.0,1000.0,416.6666666666667,9999.0,73.52941176470588,36.101083032490976,9999.0,9999.0,68.4931506849315,9999.0,1000.0,434.7826086956522,9999.0,9999.0,72.46376811594203,156.25,72.99270072992701,500.0,142.85714285714286,476.1904761904762,9999.0,9999.0,71.94244604316548,9999.0,9999.0,136.986301369863,123.4567901234568,76.92307692307692,68.9655172413793,9999.0,227.27272727272725
confidence_in_domestic_institutions|WVS_E,37.59398496240602,9999.0,9999.0,28.49002849002849,476.1904761904762,1000.0,50.5050505050505,9999.0,9999.0,0.0,9999.0,89.28571428571429,9999.0,9999.0,9999.0,9999.0,9999.0,82.64462809917356,61.7283950617284,217.3913043478261,28.328611898016998,9999.0,56.17977528089888,17.482517482517483,9999.0,200.0,476.1904761904762,9999.0,34.24657534246575,14.880952380952381,9999.0,9999.0,34.96503496503497,9999.0,222.22222222222223,384.61538461538464,9999.0,9999.0,40.816326530612244,72.46376811594203,39.37007874015748,294.11764705882354,46.08294930875576,270.27027027027026,9999.0,9999.0,22.675736961451246,9999.0,9999.0,54.6448087431694,70.4225352112676,43.29004329004329,79.36507936507937,9999.0,133.33333333333334
