,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.0037,-0.0025,,-0.0165,0.0133,-0.0024,-0.0219,0.0109,-0.0128,-0.0047,,0.0027,0.0024,-0.0046,0.0007,,-0.028,-0.0264,,-0.032,0.0181,-0.0048,,0.0188,-0.0303,-0.0301,-0.0163,0.0145,,0.0117,-0.0202,-0.0089,0.0002,0.0245,0.0045,-0.0185,0.0194,,-0.0193,0.0118,-0.018,-0.0151,0.0207,-0.0098,-0.0293,-0.0132,0.005,,-0.0192,,,,,-0.0239
authoritarian_governance_tolerance|WVS_E,0.0037,0.0,,0.0336,-0.0585,0.0544,-0.034,-0.0352,,,,-0.0164,,,,,-0.0235,-0.0444,-0.0615,0.0375,-0.0451,0.019,0.005,-0.003,,-0.0787,-0.0749,-0.0713,0.0363,0.01,,,-0.0333,,0.07,0.0125,,,0.01,-0.0788,0.0406,-0.084,-0.0835,0.0759,,-0.0953,-0.0701,,0.0552,-0.0567,,,,,-0.0719
autocracy_support|WVS_E,-0.0025,,0.0,0.0065,0.0218,-0.018,0.0082,0.0167,,,,0.0312,,,,,-0.0084,0.0029,0.0301,-0.0135,0.0241,-0.0374,-0.0084,-0.0139,,0.0463,0.0407,0.0206,-0.0205,-0.0293,,,0.0137,,-0.0329,-0.0172,,,0.0276,0.0227,-0.0113,0.0256,0.0238,-0.0271,,0.0326,0.0336,,-0.024,0.0122,,,,,0.0255
basic_needs_deprivation|WVS_H,,0.0336,0.0065,0.0,-0.0178,0.023,-0.0146,-0.0031,-0.0194,-0.0227,-0.0055,,0.0068,0.0502,-0.0105,0.0022,,-0.0417,-0.0114,,-0.0121,-0.0483,-0.0092,,-0.0455,-0.0103,-0.0058,-0.0319,-0.0015,,-0.0281,-0.0641,-0.0068,-0.014,0.0097,-0.0199,-0.0405,-0.0125,,-0.0349,0.0168,-0.0462,-0.0424,0.0273,-0.0024,-0.0402,-0.0128,0.0124,,-0.0361,,,,,-0.0298
child_qualities_autonomy_self_expression|WVS_A,-0.0165,-0.0585,0.0218,-0.0178,0.0,,,0.0731,-0.0042,0.0677,-0.0039,0.0299,0.0261,-0.0047,0.0334,0.0138,0.0242,0.0689,0.0897,-0.0512,0.0762,-0.0681,,-0.0142,0.0343,0.1057,0.1167,0.0887,-0.0593,-0.023,0.0829,0.1298,0.0532,-0.0066,-0.1001,-0.0243,0.1058,-0.0634,-0.029,0.1038,-0.0648,0.1034,0.1142,-0.0997,0.0573,0.1397,,-0.046,-0.126,,,,,,0.0942
child_qualities_conformity_tradition|WVS_A,0.0133,0.0544,-0.018,0.023,,0.0,,-0.0609,-0.0031,-0.0601,0.0039,-0.0203,-0.0242,0.011,-0.0321,-0.0111,-0.024,-0.0617,-0.0742,0.0457,-0.0589,0.0539,,0.0128,-0.0471,-0.0853,-0.0931,-0.0779,0.0532,0.0168,-0.0839,-0.1271,-0.0475,0.0043,0.0884,0.0177,-0.1026,0.0528,0.0362,-0.093,0.0593,-0.0941,-0.1069,0.0875,-0.0521,-0.1199,,0.0412,0.1097,,,,,,-0.089
child_qualities_prosocial_diligence|WVS_A,-0.0024,-0.034,0.0082,-0.0146,,,0.0,0.0298,0.014,0.039,-0.0021,0.0084,0.0157,-0.014,0.0183,0.0051,0.0167,0.0288,0.0331,-0.0271,0.0171,-0.0165,,-0.0083,0.0433,0.0344,0.0442,0.044,-0.0247,-0.006,0.0563,0.0705,0.0304,-0.0022,-0.0435,-0.0058,0.0599,-0.0209,-0.0317,0.0513,-0.0388,0.0559,0.0678,-0.0479,0.0284,0.0661,,-0.024,-0.0526,,,,,,0.0485
civic_dishonesty_tolerance|WVS_F,-0.0219,-0.0352,0.0167,-0.0031,0.0731,-0.0609,0.0298,0.0,-0.0079,0.0584,0.0021,0.0314,0.0188,-0.0004,0.0257,0.0074,0.0194,0.0642,0.0792,-0.0412,0.0696,-0.073,0.0043,-0.0182,0.0056,0.0909,0.101,,-0.0541,-0.0243,0.0483,0.0956,0.0484,-0.0068,-0.0927,-0.0244,0.0892,-0.0626,-0.0313,,,,,-0.0868,0.0535,,0.0649,-0.0335,-0.1246,0.0658,,,,,0.0884
confidence_in_civil_society_organizations|WVS_E,0.0109,,,-0.0194,-0.0042,-0.0031,0.014,-0.0079,0.0,,,-0.0309,,,,,0.0181,-0.0006,-0.0241,-0.004,-0.0371,0.0353,0.0071,0.0008,,-0.0446,-0.0299,0.0002,0.0096,0.0297,,,0.0072,,0.0161,0.0165,,,-0.0569,0.0064,-0.0109,0.0093,0.0264,0.0017,,-0.0012,-0.0146,,0.0069,0.0076,,,,,-0.0038
confidence_in_domestic_institutions|WVS_E,-0.0128,,,-0.0227,0.0677,-0.0601,0.039,0.0584,,0.0,,0.0089,,,,,0.0327,0.0614,0.0581,-0.04,0.045,-0.0372,0.0055,-0.0077,,0.0614,0.0824,0.0701,-0.0446,-0.0036,,,0.0468,,-0.0729,-0.0081,,,-0.062,0.0882,-0.0602,0.0859,0.1023,-0.0788,,0.1109,0.0584,,-0.1071,0.0646,,,,,0.0776
