,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,270.27027027027026,400.0,9999.0,60.6060606060606,75.18796992481204,416.6666666666667,45.662100456621005,91.74311926605505,78.125,212.7659574468085,9999.0,370.3703703703703,416.6666666666667,217.3913043478261,1000.0,9999.0,35.714285714285715,37.87878787878788,9999.0,31.25,55.24861878453038,208.33333333333334,9999.0,53.191489361702125,33.003300330033,33.222591362126245,61.34969325153375,68.9655172413793,9999.0,85.47008547008546,49.504950495049506,112.35955056179776,1000.0,40.816326530612244,222.22222222222223,54.054054054054056,51.54639175257732,9999.0,51.81347150259067,84.74576271186442,55.55555555555556,66.2251655629139,48.309178743961354,102.04081632653062,34.129692832764505,75.75757575757576,200.0,9999.0,52.083333333333336,9999.0,9999.0,9999.0,9999.0,41.84100418410041
authoritarian_governance_tolerance|WVS_E,270.27027027027026,0.0,9999.0,29.761904761904763,17.094017094017094,18.38235294117647,29.41176470588235,28.409090909090907,9999.0,9999.0,9999.0,60.975609756097555,9999.0,9999.0,9999.0,9999.0,42.5531914893617,22.52252252252252,16.260162601626018,26.666666666666668,22.172949002217294,52.631578947368425,200.0,333.3333333333333,9999.0,12.706480304955527,13.35113484646195,14.025245441795231,27.548209366391184,100.0,9999.0,9999.0,30.030030030030026,9999.0,14.285714285714285,80.0,9999.0,9999.0,100.0,12.69035532994924,24.630541871921185,11.904761904761903,11.976047904191615,13.175230566534916,9999.0,10.493179433368311,14.265335235378032,9999.0,18.115942028985508,17.636684303350968,9999.0,9999.0,9999.0,9999.0,13.908205841446453
autocracy_support|WVS_E,400.0,9999.0,0.0,153.84615384615384,45.87155963302752,55.55555555555556,121.95121951219511,59.880239520958085,9999.0,9999.0,9999.0,32.05128205128205,9999.0,9999.0,9999.0,9999.0,119.04761904761905,344.82758620689657,33.222591362126245,74.07407407407408,41.49377593360996,26.7379679144385,119.04761904761905,71.94244604316548,9999.0,21.598272138228943,24.57002457002457,48.543689320388346,48.78048780487805,34.129692832764505,9999.0,9999.0,72.99270072992701,9999.0,30.395136778115504,58.13953488372093,9999.0,9999.0,36.231884057971016,44.052863436123346,88.49557522123894,39.0625,42.016806722689076,36.90036900369004,9999.0,30.674846625766875,29.761904761904763,9999.0,41.666666666666664,81.96721311475409,9999.0,9999.0,9999.0,9999.0,39.21568627450981
basic_needs_deprivation|WVS_H,9999.0,29.761904761904763,153.84615384615384,0.0,56.17977528089888,43.47826086956522,68.4931506849315,322.5806451612903,51.54639175257732,44.052863436123346,181.81818181818184,9999.0,147.05882352941177,19.9203187250996,95.23809523809523,454.5454545454545,9999.0,23.980815347721823,87.71929824561403,9999.0,82.64462809917356,20.70393374741201,108.69565217391305,9999.0,21.978021978021978,97.08737864077669,172.41379310344828,31.347962382445143,666.6666666666666,9999.0,35.587188612099645,15.600624024960997,147.05882352941177,71.42857142857143,103.09278350515464,50.25125628140703,24.691358024691358,80.0,9999.0,28.653295128939828,59.523809523809526,21.645021645021647,23.58490566037736,36.63003663003663,416.6666666666667,24.875621890547265,78.125,80.64516129032258,9999.0,27.700831024930746,9999.0,9999.0,9999.0,9999.0,33.557046979865774
child_qualities_autonomy_self_expression|WVS_A,60.6060606060606,17.094017094017094,45.87155963302752,56.17977528089888,0.0,9999.0,9999.0,13.679890560875513,238.0952380952381,14.771048744460858,256.4102564102564,33.44481605351171,38.314176245210724,212.7659574468085,29.940119760479043,72.46376811594203,41.32231404958678,14.513788098693759,11.148272017837234,19.53125,13.123359580052492,14.684287812041118,9999.0,70.4225352112676,29.15451895043732,9.460737937559129,8.56898029134533,11.273957158962796,16.863406408094434,43.47826086956522,12.062726176115802,7.704160246533128,18.79699248120301,151.51515151515153,9.990009990009991,41.1522633744856,9.45179584120983,15.772870662460567,34.48275862068965,9.633911368015413,15.4320987654321,9.671179883945841,8.756567425569177,10.030090270812437,17.452006980802793,7.158196134574088,9999.0,21.73913043478261,7.936507936507937,9999.0,9999.0,9999.0,9999.0,9999.0,10.615711252653927
child_qualities_conformity_tradition|WVS_A,75.18796992481204,18.38235294117647,55.55555555555556,43.47826086956522,9999.0,0.0,9999.0,16.420361247947454,322.5806451612903,16.638935108153078,256.4102564102564,49.26108374384237,41.32231404958678,90.90909090909092,31.152647975077883,90.09009009009009,41.666666666666664,16.207455429497568,13.477088948787062,21.88183807439825,16.97792869269949,18.552875695732837,9999.0,78.125,21.231422505307854,11.723329425556859,10.741138560687432,12.836970474967908,18.79699248120301,59.523809523809526,11.918951132300357,7.867820613690008,21.05263157894737,232.5581395348837,11.312217194570135,56.497175141242934,9.746588693957115,18.93939393939394,27.62430939226519,10.75268817204301,16.863406408094434,10.626992561105206,9.354536950420954,11.428571428571429,19.193857965451055,8.340283569641368,9999.0,24.271844660194173,9.115770282588878,9999.0,9999.0,9999.0,9999.0,9999.0,11.235955056179776
child_qualities_prosocial_diligence|WVS_A,416.6666666666667,29.41176470588235,121.95121951219511,68.4931506849315,9999.0,9999.0,0.0,33.557046979865774,71.42857142857143,25.641025641025642,476.1904761904762,119.04761904761905,63.69426751592357,71.42857142857143,54.6448087431694,196.078431372549,59.880239520958085,34.72222222222222,30.211480362537767,36.90036900369004,58.47953216374269,60.6060606060606,9999.0,120.48192771084337,23.094688221709006,29.069767441860463,22.62443438914027,22.72727272727273,40.48582995951417,166.66666666666666,17.761989342806395,14.184397163120568,32.89473684210526,454.5454545454545,22.98850574712644,172.41379310344828,16.69449081803005,47.84688995215311,31.545741324921135,19.49317738791423,25.77319587628866,17.88908765652952,14.749262536873157,20.876826722338205,35.2112676056338,15.1285930408472,9999.0,41.666666666666664,19.011406844106464,9999.0,9999.0,9999.0,9999.0,9999.0,20.618556701030926
civic_dishonesty_tolerance|WVS_F,45.662100456621005,28.409090909090907,59.880239520958085,322.5806451612903,13.679890560875513,16.420361247947454,33.557046979865774,0.0,126.58227848101265,17.123287671232877,476.1904761904762,31.847133757961785,53.191489361702125,1000.0,38.91050583657587,135.13513513513513,51.54639175257732,15.576323987538942,12.626262626262625,24.271844660194173,14.367816091954024,13.698630136986303,232.5581395348837,54.94505494505494,178.57142857142858,11.001100110011002,9.900990099009901,9999.0,18.484288354898336,41.1522633744856,20.70393374741201,10.460251046025103,20.66115702479339,147.05882352941177,10.787486515641856,40.983606557377044,11.210762331838565,15.974440894568689,31.948881789137378,9999.0,9999.0,9999.0,9999.0,11.52073732718894,18.69158878504673,9999.0,15.408320493066256,29.850746268656714,8.025682182985554,15.197568389057752,9999.0,9999.0,9999.0,9999.0,11.312217194570135
confidence_in_civil_society_organizations|WVS_E,91.74311926605505,9999.0,9999.0,51.54639175257732,238.0952380952381,322.5806451612903,71.42857142857143,126.58227848101265,0.0,9999.0,9999.0,32.362459546925564,9999.0,9999.0,9999.0,9999.0,55.24861878453038,1000.0,41.49377593360996,250.0,26.954177897574123,28.328611898016998,140.8450704225352,1000.0,9999.0,22.42152466367713,33.44481605351171,1000.0,104.16666666666667,33.67003367003367,9999.0,9999.0,138.88888888888889,9999.0,62.11180124223603,60.6060606060606,9999.0,9999.0,17.57469244288225,156.25,91.74311926605505,107.52688172043011,37.87878787878788,588.2352941176471,9999.0,833.3333333333334,68.4931506849315,9999.0,144.92753623188406,131.57894736842104,9999.0,9999.0,9999.0,9999.0,263.1578947368421
confidence_in_domestic_institutions|WVS_E,78.125,9999.0,9999.0,44.052863436123346,14.771048744460858,16.638935108153078,25.641025641025642,17.123287671232877,9999.0,0.0,9999.0,112.35955056179776,9999.0,9999.0,9999.0,9999.0,30.581039755351682,16.286644951140065,17.21170395869191,25.0,22.22222222222222,26.881720430107528,181.81818181818184,129.87012987012986,9999.0,16.286644951140065,12.135922330097086,14.265335235378032,22.42152466367713,277.77777777777777,9999.0,9999.0,21.367521367521366,9999.0,13.717421124828531,123.4567901234568,9999.0,9999.0,16.129032258064516,11.337868480725623,16.611295681063122,11.641443538998836,9.775171065493646,12.69035532994924,9999.0,9.017132551848512,17.123287671232877,9999.0,9.337068160597573,15.479876160990711,9999.0,9999.0,9999.0,9999.0,12.88659793814433
