,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,-0.0052,0.006,,-0.0336,0.0088,-0.0107,-0.045,-0.0044,-0.0284,0.0061,,0.0166,0.0127,0.0052,0.0522,,-0.0247,-0.0392,,-0.0379,-0.0736,0.0033,,-0.0124,-0.0612,0.0023,-0.0284,0.017,,-0.0299,-0.0739,0.0029,,0.0015,-0.0013,-0.0231,0.0402,,0.0057,0.014,-0.0218,0.0118,0.0069,0.0202,-0.0647,-0.0667,0.0501,,0.0239,-0.0228,-0.0192,-0.0156,-0.0249,-0.0251
authoritarian_governance_tolerance|WVS_E,-0.0052,0.0,,,0.002,0.0053,-0.0069,-0.0025,,,,0.0041,,,,,-0.0226,-0.002,0.0017,0.0103,0.0128,0.0065,0.0049,0.0026,,0.0098,0.0001,-0.0038,0.0005,0.0051,,,-0.0122,,0.0102,-0.0035,,,0.0171,0.0022,-0.0041,-0.0086,-0.0021,0.0106,,-0.0089,0.0036,,-0.0156,-0.002,-0.0112,-0.0107,-0.0072,,0.0014
autocracy_support|WVS_E,0.006,,0.0,,-0.0036,-0.0014,0.0021,-0.0027,,,,-0.0066,,,,,0.0129,-0.0009,-0.0037,-0.0037,-0.0088,-0.0094,-0.0019,0.0031,,-0.0086,-0.0,-0.0011,0.001,0.0005,,,0.0062,,-0.0046,0.0014,,,-0.0077,-0.0003,0.0041,0.002,0.0017,-0.0044,,-0.0017,-0.0064,,0.0101,0.0035,0.003,0.0035,0.0018,,-0.0031
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,-0.0336,0.002,-0.0036,,0.0,,,0.0513,0.0107,0.0372,-0.0046,0.0604,-0.0192,-0.0182,-0.009,-0.0577,-0.0239,0.0305,0.0455,-0.0176,0.0439,0.0801,,-0.0606,0.0117,0.0747,-0.0077,0.0331,-0.0228,-0.0366,0.0423,0.0805,0.0043,,-0.0038,0.0051,0.0372,-0.0401,0.0082,-0.005,-0.0087,0.0224,-0.0176,-0.0094,-0.0249,0.0711,,-0.0546,-0.0179,,0.0258,,,0.0108,0.0295
child_qualities_conformity_tradition|WVS_A,0.0088,0.0053,-0.0014,,,0.0,,-0.0196,-0.0061,-0.0057,0.0034,-0.0187,-0.0098,0.0003,0.0071,0.0137,-0.0039,-0.005,-0.0088,0.007,0.0039,-0.0204,,0.0127,0.0026,0.0026,-0.0065,-0.0092,-0.0034,0.0117,-0.0083,-0.0333,0.0005,,0.0091,0.0026,-0.0047,0.016,0.0259,0.0064,0.013,-0.0206,-0.0109,0.0112,0.003,-0.0315,,0.0296,0.0107,,-0.0185,,,0.0029,-0.0054
child_qualities_prosocial_diligence|WVS_A,-0.0107,-0.0069,0.0021,,,,0.0,0.0209,0.0095,0.0228,0.0007,0.02,-0.0088,-0.0136,-0.007,-0.0209,0.0008,0.0141,0.0194,-0.0152,0.0185,0.034,,-0.0303,0.003,0.0369,-0.007,0.0185,-0.0154,-0.0191,0.0279,0.042,0.0108,,-0.0045,0.0068,0.0337,-0.0079,0.005,-0.0009,0.0052,0.0098,-0.0159,-0.0086,-0.015,0.0328,,-0.0228,0.0044,,0.0134,,,-0.0161,0.0129
civic_dishonesty_tolerance|WVS_F,-0.045,-0.0025,-0.0027,,0.0513,-0.0196,0.0209,0.0,0.0165,0.0488,-0.0082,0.0837,-0.0124,-0.0205,-0.0155,-0.0788,-0.0255,0.0377,0.0577,-0.0251,0.0456,0.1085,-0.0099,-0.0795,0.0102,0.0842,-0.0021,,-0.0231,-0.0507,0.0538,0.1244,0.0029,,-0.0123,0.0022,0.0429,-0.0645,-0.0125,,,,,-0.0205,-0.0325,,0.0952,-0.0902,-0.0308,-0.0355,,0.0373,0.0276,0.0128,0.0351
confidence_in_civil_society_organizations|WVS_E,-0.0044,,,,0.0107,-0.0061,0.0095,0.0165,0.0,,,0.0138,,,,,0.011,0.0097,0.0123,-0.0129,0.0033,0.0189,-0.0048,-0.0202,,0.0126,-0.0019,0.0127,-0.0065,-0.0147,,,0.0114,,-0.0088,0.0042,,,-0.0115,-0.0029,0.0009,0.0129,-0.0033,-0.0113,,0.0266,0.019,,0.0068,-0.004,0.0163,0.0166,0.0128,,0.0068
confidence_in_domestic_institutions|WVS_E,-0.0284,,,,0.0372,-0.0057,0.0228,0.0488,,0.0,,0.052,,,,,-0.0107,0.0288,0.0453,-0.0233,0.0366,0.0756,-0.006,-0.0567,,0.0685,-0.0077,0.0346,-0.0237,-0.0396,,,0.0106,,-0.008,0.0068,,,0.0021,-0.0049,-0.0039,0.0235,-0.0189,-0.0129,,0.0675,0.0667,,-0.0074,-0.0157,0.03,0.0341,0.0271,,0.0289
