,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.0558,-0.0578,,-0.0293,0.0559,-0.0218,0.0097,-0.0606,-0.0951,-0.0319,,-0.0072,0.0336,0.0658,0.0311,,-0.0705,-0.0182,,-0.0376,0.0286,0.0376,,-0.0001,-0.0229,0.0118,-0.0273,0.033,,-0.0134,-0.1021,-0.02,,0.0021,0.0288,-0.1195,-0.0362,,-0.0729,,-0.0846,-0.0587,0.0395,0.0181,-0.0568,-0.0677,0.0086,,0.0159,0.0305,-0.0321,-0.0301,-0.0455,0.0078
authoritarian_governance_tolerance|WVS_E,0.0558,0.0,,0.0506,-0.0162,0.0347,-0.0143,-0.0014,,,,-0.0378,,,,,0.0618,-0.0467,-0.0113,0.0397,-0.0194,0.0121,0.0283,0.0097,,-0.02,0.0034,-0.0237,0.0337,0.0231,,,-0.0066,,0.0054,0.0156,,,0.004,-0.0531,,-0.0577,-0.0482,0.0299,,-0.051,-0.0405,,0.0226,0.0084,0.0238,-0.0196,-0.0211,,0.0035
autocracy_support|WVS_E,-0.0578,,0.0,-0.0541,0.0177,-0.0333,0.0101,-0.0112,,,,0.0404,,,,,-0.0414,0.0328,0.0007,-0.0572,0.0028,-0.043,-0.0155,-0.0123,,0.002,-0.0154,0.0093,-0.0153,-0.037,,,0.0273,,0.0039,-0.0144,,,-0.0174,0.0444,,0.0588,0.0364,-0.0164,,0.0342,0.0467,,0.0072,-0.0171,-0.0046,0.0137,0.0204,,-0.0245
basic_needs_deprivation|WVS_H,,0.0506,-0.0541,0.0,-0.0426,0.0705,-0.0271,0.0206,-0.0648,-0.1105,-0.037,,-0.0003,0.0269,0.0607,0.0352,,-0.0818,-0.0266,,-0.0696,0.0634,0.0429,,0.0091,-0.0338,0.0047,-0.0381,0.0292,,-0.0079,-0.1027,-0.0228,,-0.0007,0.038,-0.1259,-0.0442,,-0.0692,,-0.086,-0.0629,0.0315,0.0196,-0.0571,-0.0648,0.0193,,0.0221,0.0566,-0.0231,-0.0172,-0.0363,-0.0193
child_qualities_autonomy_self_expression|WVS_A,-0.0293,-0.0162,0.0177,-0.0426,0.0,,,-0.0107,0.024,0.038,0.0141,0.0299,0.0001,-0.0085,-0.017,-0.0133,-0.0317,0.0305,0.0101,-0.0182,0.0316,-0.0339,,-0.0042,-0.0065,0.0137,0.0014,0.0127,-0.0084,-0.0203,0.0002,0.0289,0.0094,,0.0007,-0.0142,0.0411,0.0178,0.0197,0.0232,,0.027,0.0219,-0.0055,-0.0073,0.0188,,-0.0097,0.0155,,-0.0224,,,0.012,0.0123
child_qualities_conformity_tradition|WVS_A,0.0559,0.0347,-0.0333,0.0705,,0.0,,0.011,-0.0455,-0.0684,-0.0226,-0.0542,-0.0021,0.0196,0.038,0.0252,0.054,-0.0511,-0.0172,0.039,-0.0402,0.0515,,0.01,0.0063,-0.0223,-0.0012,-0.0251,0.0221,0.0359,-0.0006,-0.0545,-0.0133,,0.0011,0.0215,-0.0693,-0.0257,-0.0215,-0.0504,,-0.0536,-0.0427,0.0183,0.0146,-0.0423,,0.0119,-0.0085,,0.0349,,,-0.0319,-0.0103
child_qualities_prosocial_diligence|WVS_A,-0.0218,-0.0143,0.0101,-0.0271,,,0.0,-0.0019,0.0184,0.0256,0.004,0.017,-0.0024,-0.0082,-0.0154,-0.0099,-0.0266,0.0225,0.009,-0.0106,0.0215,-0.0121,,-0.0023,-0.0017,0.0121,0.003,0.0125,-0.0126,-0.0104,-0.0019,0.0256,0.0015,,-0.002,-0.0095,0.0332,0.007,0.0117,0.0206,,0.0196,0.0191,-0.0095,-0.0055,0.0177,,-0.0097,-0.002,,-0.0181,,,0.0154,0.0103
civic_dishonesty_tolerance|WVS_F,0.0097,-0.0014,-0.0112,0.0206,-0.0107,0.011,-0.0019,0.0,-0.0079,-0.0143,-0.0225,-0.016,-0.0074,-0.0018,0.0024,0.0018,0.0011,-0.0025,0.0028,0.0161,-0.0082,0.0457,-0.0008,0.0014,0.0079,0.0045,0.007,,-0.0124,0.0153,-0.0059,0.0012,-0.0185,,-0.0087,0.0059,-0.0054,-0.0178,-0.0071,,,,,-0.0093,0.0,,-0.0105,-0.0076,-0.0355,0.0107,,0.0068,0.0077,0.0181,0.0042
confidence_in_civil_society_organizations|WVS_E,-0.0606,,,-0.0648,0.024,-0.0455,0.0184,-0.0079,0.0,,,0.0602,,,,,-0.0622,0.0584,0.0203,-0.039,0.0436,-0.048,-0.0367,-0.0154,,0.0282,0.0067,0.0301,-0.0322,-0.04,,,0.0089,,-0.0074,-0.0211,,,0.0253,0.0537,,0.0557,0.0558,-0.0236,,0.0549,0.0423,,-0.0033,-0.0131,-0.0427,0.0031,0.0056,,0.0119
confidence_in_domestic_institutions|WVS_E,-0.0951,,,-0.1105,0.038,-0.0684,0.0256,-0.0143,,0.0,,0.0799,,,,,-0.0932,0.0885,0.0249,-0.0699,0.061,-0.0667,-0.0486,-0.0184,,0.0319,0.0019,0.0379,-0.0383,-0.0579,,,0.0242,,-0.0038,-0.0334,,,0.0265,0.0861,,0.0914,0.0719,-0.0341,,0.0717,0.0716,,0.0045,-0.0209,-0.0474,0.0134,0.0149,,0.0086
