,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,17.921146953405017,17.301038062283737,9999.0,34.129692832764505,17.88908765652952,45.87155963302752,103.09278350515464,16.5016501650165,10.515247108307046,31.347962382445143,9999.0,138.88888888888889,29.761904761904763,15.197568389057752,32.154340836012864,9999.0,14.184397163120568,54.94505494505494,9999.0,26.595744680851062,34.96503496503497,26.595744680851062,9999.0,1000.0,43.66812227074236,84.74576271186442,36.63003663003663,30.3030303030303,9999.0,74.6268656716418,9.79431929480901,50.0,9999.0,476.1904761904762,34.72222222222222,8.368200836820083,27.62430939226519,9999.0,13.717421124828531,9999.0,11.82033096926714,17.035775127768314,25.31645569620253,55.24861878453038,17.6056338028169,14.771048744460858,116.27906976744185,9999.0,62.893081761006286,32.78688524590164,31.152647975077883,33.222591362126245,21.978021978021978,128.2051282051282
authoritarian_governance_tolerance|WVS_E,17.921146953405017,0.0,9999.0,19.76284584980237,61.7283950617284,28.81844380403458,69.93006993006993,714.2857142857143,9999.0,9999.0,9999.0,26.455026455026456,9999.0,9999.0,9999.0,9999.0,16.181229773462782,21.413276231263385,88.49557522123894,25.188916876574307,51.54639175257732,82.64462809917356,35.3356890459364,103.09278350515464,9999.0,50.0,294.11764705882354,42.19409282700422,29.673590504451038,43.29004329004329,9999.0,9999.0,151.51515151515153,9999.0,185.18518518518516,64.1025641025641,9999.0,9999.0,250.0,18.832391713747647,9999.0,17.33102253032929,20.74688796680498,33.44481605351171,9999.0,19.607843137254903,24.691358024691358,9999.0,44.24778761061947,119.04761904761905,42.016806722689076,51.02040816326531,47.39336492890995,9999.0,285.7142857142857
autocracy_support|WVS_E,17.301038062283737,9999.0,0.0,18.484288354898336,56.497175141242934,30.030030030030026,99.00990099009901,89.28571428571429,9999.0,9999.0,9999.0,24.752475247524753,9999.0,9999.0,9999.0,9999.0,24.154589371980677,30.487804878048777,1000.0,17.482517482517483,357.14285714285717,23.255813953488374,64.51612903225806,81.30081300813008,9999.0,500.0,64.93506493506493,107.52688172043011,65.35947712418302,27.027027027027028,9999.0,9999.0,36.63003663003663,9999.0,256.4102564102564,69.44444444444444,9999.0,9999.0,57.4712643678161,22.52252252252252,9999.0,17.006802721088437,27.47252747252747,60.975609756097555,9999.0,29.239766081871345,21.413276231263385,9999.0,138.88888888888889,58.47953216374269,217.3913043478261,72.99270072992701,49.01960784313725,9999.0,40.816326530612244
basic_needs_deprivation|WVS_H,9999.0,19.76284584980237,18.484288354898336,0.0,23.474178403755868,14.184397163120568,36.90036900369004,48.543689320388346,15.4320987654321,9.049773755656108,27.027027027027028,9999.0,1000.0,37.174721189591075,16.474464579901156,28.409090909090907,9999.0,12.224938875305623,37.59398496240602,9999.0,14.367816091954024,15.772870662460567,23.31002331002331,9999.0,109.89010989010988,29.58579881656805,212.7659574468085,26.246719160104984,34.24657534246575,9999.0,126.58227848101265,9.737098344693282,43.859649122807014,9999.0,1000.0,26.315789473684212,7.942811755361397,22.62443438914027,9999.0,14.450867052023122,9999.0,11.627906976744187,15.89825119236884,31.746031746031747,51.02040816326531,17.513134851138354,15.4320987654321,51.81347150259067,9999.0,45.24886877828054,17.6678445229682,43.29004329004329,58.13953488372093,27.548209366391184,51.81347150259067
child_qualities_autonomy_self_expression|WVS_A,34.129692832764505,61.7283950617284,56.497175141242934,23.474178403755868,0.0,9999.0,9999.0,93.45794392523365,41.666666666666664,26.315789473684212,70.92198581560284,33.44481605351171,1000.0,117.6470588235294,58.8235294117647,75.18796992481204,31.545741324921135,32.78688524590164,99.00990099009901,54.94505494505494,31.645569620253163,29.498525073746315,9999.0,238.0952380952381,153.84615384615384,72.99270072992701,714.2857142857143,78.74015748031496,119.04761904761905,49.26108374384237,1000.0,34.602076124567475,106.38297872340425,9999.0,1000.0,70.4225352112676,24.330900243309003,56.17977528089888,50.76142131979696,43.10344827586207,9999.0,37.03703703703704,45.662100456621005,181.81818181818184,136.986301369863,53.191489361702125,9999.0,103.09278350515464,64.51612903225806,9999.0,44.642857142857146,9999.0,9999.0,83.33333333333333,81.30081300813008
child_qualities_conformity_tradition|WVS_A,17.88908765652952,28.81844380403458,30.030030030030026,14.184397163120568,9999.0,0.0,9999.0,90.90909090909092,21.978021978021978,14.619883040935672,44.24778761061947,18.45018450184502,476.1904761904762,51.02040816326531,26.315789473684212,39.682539682539684,18.51851851851852,19.569471624266146,58.13953488372093,25.641025641025642,24.875621890547265,19.417475728155342,9999.0,100.0,158.73015873015873,44.84304932735426,833.3333333333334,39.8406374501992,45.24886877828054,27.855153203342617,1000.0,18.34862385321101,75.18796992481204,9999.0,909.090909090909,46.51162790697675,14.43001443001443,38.91050583657587,46.51162790697675,19.841269841269842,9999.0,18.65671641791045,23.419203747072597,54.6448087431694,68.4931506849315,23.64066193853428,9999.0,84.03361344537815,117.6470588235294,9999.0,28.653295128939828,9999.0,9999.0,31.347962382445143,97.08737864077669
child_qualities_prosocial_diligence|WVS_A,45.87155963302752,69.93006993006993,99.00990099009901,36.90036900369004,9999.0,9999.0,0.0,526.3157894736842,54.34782608695652,39.0625,250.0,58.8235294117647,416.6666666666667,121.95121951219511,64.93506493506493,101.010101010101,37.59398496240602,44.44444444444444,111.11111111111111,94.33962264150944,46.51162790697675,82.64462809917356,9999.0,434.7826086956522,588.2352941176471,82.64462809917356,333.3333333333333,80.0,79.36507936507937,96.15384615384616,526.3157894736842,39.0625,666.6666666666666,9999.0,500.0,105.26315789473685,30.12048192771084,142.85714285714286,85.47008547008546,48.543689320388346,9999.0,51.02040816326531,52.35602094240838,105.26315789473685,181.81818181818184,56.497175141242934,9999.0,103.09278350515464,500.0,9999.0,55.24861878453038,9999.0,9999.0,64.93506493506493,97.08737864077669
civic_dishonesty_tolerance|WVS_F,103.09278350515464,714.2857142857143,89.28571428571429,48.543689320388346,93.45794392523365,90.90909090909092,526.3157894736842,0.0,126.58227848101265,69.93006993006993,44.44444444444444,62.5,135.13513513513513,555.5555555555555,416.6666666666667,555.5555555555555,909.090909090909,400.0,357.14285714285717,62.11180124223603,121.95121951219511,21.88183807439825,1000.0,714.2857142857143,126.58227848101265,222.22222222222223,142.85714285714286,9999.0,80.64516129032258,65.35947712418302,169.49152542372883,833.3333333333334,54.054054054054056,9999.0,114.9425287356322,169.49152542372883,185.18518518518516,56.17977528089888,140.8450704225352,9999.0,9999.0,9999.0,9999.0,107.52688172043011,1000.0,9999.0,95.23809523809523,131.57894736842104,28.169014084507044,93.45794392523365,9999.0,147.05882352941177,129.87012987012986,55.24861878453038,238.0952380952381
confidence_in_civil_society_organizations|WVS_E,16.5016501650165,9999.0,9999.0,15.4320987654321,41.666666666666664,21.978021978021978,54.34782608695652,126.58227848101265,0.0,9999.0,9999.0,16.611295681063122,9999.0,9999.0,9999.0,9999.0,16.077170418006432,17.123287671232877,49.26108374384237,25.641025641025642,22.93577981651376,20.833333333333332,27.247956403269754,64.93506493506493,9999.0,35.46099290780142,149.2537313432836,33.222591362126245,31.055900621118013,25.0,9999.0,9999.0,112.35955056179776,9999.0,135.13513513513513,47.39336492890995,9999.0,9999.0,39.52569169960474,18.6219739292365,9999.0,17.953321364452425,17.921146953405017,42.37288135593221,9999.0,18.214936247723134,23.64066193853428,9999.0,303.03030303030306,76.33587786259541,23.419203747072597,322.5806451612903,178.57142857142858,9999.0,84.03361344537815
confidence_in_domestic_institutions|WVS_E,10.515247108307046,9999.0,9999.0,9.049773755656108,26.315789473684212,14.619883040935672,39.0625,69.93006993006993,9999.0,0.0,9999.0,12.51564455569462,9999.0,9999.0,9999.0,9999.0,10.729613733905579,11.299435028248588,40.16064257028113,14.306151645207438,16.39344262295082,14.992503748125937,20.5761316872428,54.34782608695652,9999.0,31.347962382445143,526.3157894736842,26.38522427440633,26.109660574412533,17.271157167530223,9999.0,9999.0,41.32231404958678,9999.0,263.1578947368421,29.940119760479043,9999.0,9999.0,37.735849056603776,11.614401858304298,9999.0,10.940919037199125,13.908205841446453,29.32551319648094,9999.0,13.94700139470014,13.966480446927374,9999.0,222.22222222222223,47.84688995215311,21.09704641350211,74.6268656716418,67.11409395973155,9999.0,116.27906976744185
