,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,1000.0,204.08163265306123,9999.0,1000.0,277.77777777777777,454.5454545454545,416.6666666666667,833.3333333333334,1000.0,303.03030303030306,9999.0,1000.0,263.1578947368421,357.14285714285717,1000.0,9999.0,1000.0,285.7142857142857,9999.0,158.73015873015873,23.474178403755868,1000.0,9999.0,108.69565217391305,333.3333333333333,526.3157894736842,526.3157894736842,175.43859649122805,9999.0,9999.0,58.8235294117647,256.4102564102564,217.3913043478261,100.0,1000.0,76.92307692307692,1000.0,9999.0,714.2857142857143,285.7142857142857,1000.0,1000.0,256.4102564102564,153.84615384615384,714.2857142857143,208.33333333333334,208.33333333333334,9999.0,84.03361344537815,135.13513513513513,9999.0,9999.0,434.7826086956522,238.0952380952381
authoritarian_governance_tolerance|WVS_E,1000.0,0.0,9999.0,434.7826086956522,270.27027027027026,104.16666666666667,833.3333333333334,227.27272727272725,9999.0,9999.0,9999.0,68.9655172413793,9999.0,9999.0,9999.0,9999.0,454.5454545454545,156.25,357.14285714285717,1000.0,104.16666666666667,74.07407407407408,112.35955056179776,61.34969325153375,9999.0,169.49152542372883,68.4931506849315,416.6666666666667,80.64516129032258,55.55555555555556,9999.0,9999.0,1000.0,9999.0,588.2352941176471,117.6470588235294,9999.0,9999.0,62.893081761006286,166.66666666666666,117.6470588235294,126.58227848101265,172.41379310344828,357.14285714285717,9999.0,1000.0,71.94244604316548,9999.0,129.87012987012986,277.77777777777777,41.49377593360996,9999.0,9999.0,9999.0,588.2352941176471
autocracy_support|WVS_E,204.08163265306123,9999.0,0.0,294.11764705882354,1000.0,163.93442622950818,1000.0,1000.0,9999.0,9999.0,9999.0,92.59259259259258,9999.0,9999.0,9999.0,9999.0,256.4102564102564,294.11764705882354,156.25,588.2352941176471,400.0,32.67973856209151,227.27272727272725,66.66666666666667,9999.0,1000.0,77.51937984496124,357.14285714285717,119.04761904761905,68.9655172413793,9999.0,9999.0,322.5806451612903,9999.0,144.92753623188406,200.0,9999.0,9999.0,217.3913043478261,131.57894736842104,175.43859649122805,138.88888888888889,222.22222222222223,370.3703703703703,9999.0,666.6666666666666,99.00990099009901,9999.0,163.93442622950818,142.85714285714286,65.35947712418302,9999.0,9999.0,9999.0,333.3333333333333
basic_needs_deprivation|WVS_H,9999.0,434.7826086956522,294.11764705882354,0.0,1000.0,294.11764705882354,285.7142857142857,714.2857142857143,454.5454545454545,217.3913043478261,1000.0,9999.0,1000.0,85.47008547008546,263.1578947368421,222.22222222222223,9999.0,204.08163265306123,294.11764705882354,9999.0,114.9425287356322,84.74576271186442,138.88888888888889,9999.0,126.58227848101265,144.92753623188406,370.3703703703703,147.05882352941177,1000.0,9999.0,9999.0,90.09009009009009,140.8450704225352,86.95652173913044,212.7659574468085,1000.0,101.010101010101,1000.0,9999.0,526.3157894736842,88.49557522123894,769.2307692307693,169.49152542372883,625.0,126.58227848101265,208.33333333333334,102.04081632653062,188.67924528301887,9999.0,103.09278350515464,114.9425287356322,9999.0,9999.0,68.4931506849315,333.3333333333333
child_qualities_autonomy_self_expression|WVS_A,1000.0,270.27027027027026,1000.0,1000.0,0.0,9999.0,9999.0,322.5806451612903,370.3703703703703,333.3333333333333,322.5806451612903,1000.0,454.5454545454545,188.67924528301887,416.6666666666667,270.27027027027026,1000.0,833.3333333333334,250.0,434.7826086956522,103.09278350515464,1000.0,9999.0,1000.0,1000.0,175.43859649122805,555.5555555555555,294.11764705882354,243.90243902439022,454.5454545454545,9999.0,101.010101010101,555.5555555555555,526.3157894736842,1000.0,666.6666666666666,227.27272727272725,1000.0,86.20689655172414,192.30769230769232,312.5,1000.0,1000.0,333.3333333333333,232.5581395348837,434.7826086956522,9999.0,384.61538461538464,192.30769230769232,9999.0,125.0,9999.0,9999.0,188.67924528301887,256.4102564102564
child_qualities_conformity_tradition|WVS_A,277.77777777777777,104.16666666666667,163.93442622950818,294.11764705882354,9999.0,0.0,9999.0,434.7826086956522,196.078431372549,126.58227848101265,250.0,135.13513513513513,434.7826086956522,156.25,1000.0,277.77777777777777,400.0,277.77777777777777,666.6666666666666,1000.0,105.26315789473685,41.1522633744856,9999.0,81.30081300813008,131.57894736842104,169.49152542372883,114.9425287356322,1000.0,99.00990099009901,72.99270072992701,9999.0,62.11180124223603,1000.0,204.08163265306123,222.22222222222223,185.18518518518516,75.75757575757576,277.77777777777777,70.92198581560284,454.5454545454545,129.87012987012986,212.7659574468085,322.5806451612903,1000.0,222.22222222222223,1000.0,9999.0,123.4567901234568,109.89010989010988,9999.0,53.191489361702125,9999.0,9999.0,98.0392156862745,1000.0
child_qualities_prosocial_diligence|WVS_A,454.5454545454545,833.3333333333334,1000.0,285.7142857142857,9999.0,9999.0,0.0,1000.0,1000.0,1000.0,714.2857142857143,204.08163265306123,1000.0,270.27027027027026,500.0,294.11764705882354,370.3703703703703,833.3333333333334,555.5555555555555,526.3157894736842,526.3157894736842,166.66666666666666,9999.0,1000.0,303.03030303030306,526.3157894736842,1000.0,285.7142857142857,476.1904761904762,625.0,9999.0,303.03030303030306,232.5581395348837,217.3913043478261,416.6666666666667,555.5555555555555,303.03030303030306,714.2857142857143,1000.0,1000.0,294.11764705882354,1000.0,555.5555555555555,1000.0,303.03030303030306,434.7826086956522,9999.0,833.3333333333334,625.0,9999.0,1000.0,9999.0,9999.0,294.11764705882354,500.0
civic_dishonesty_tolerance|WVS_F,416.6666666666667,227.27272727272725,1000.0,714.2857142857143,322.5806451612903,434.7826086956522,1000.0,0.0,250.0,208.33333333333334,217.3913043478261,120.48192771084337,454.5454545454545,178.57142857142858,769.2307692307693,666.6666666666666,1000.0,312.5,454.5454545454545,555.5555555555555,156.25,78.125,178.57142857142858,526.3157894736842,1000.0,196.078431372549,1000.0,9999.0,714.2857142857143,270.27027027027026,9999.0,222.22222222222223,1000.0,400.0,384.61538461538464,476.1904761904762,400.0,909.090909090909,98.0392156862745,9999.0,9999.0,9999.0,9999.0,217.3913043478261,303.03030303030306,9999.0,181.81818181818184,1000.0,454.5454545454545,1000.0,9999.0,9999.0,9999.0,123.4567901234568,833.3333333333334
confidence_in_civil_society_organizations|WVS_E,833.3333333333334,9999.0,9999.0,454.5454545454545,370.3703703703703,196.078431372549,1000.0,250.0,0.0,9999.0,9999.0,73.52941176470588,9999.0,9999.0,9999.0,9999.0,625.0,204.08163265306123,833.3333333333334,1000.0,161.29032258064515,526.3157894736842,126.58227848101265,109.89010989010988,9999.0,217.3913043478261,121.95121951219511,1000.0,188.67924528301887,93.45794392523365,9999.0,9999.0,1000.0,9999.0,1000.0,181.81818181818184,9999.0,9999.0,88.49557522123894,243.90243902439022,151.51515151515153,222.22222222222223,196.078431372549,294.11764705882354,9999.0,714.2857142857143,107.52688172043011,9999.0,285.7142857142857,1000.0,68.4931506849315,9999.0,9999.0,9999.0,625.0
confidence_in_domestic_institutions|WVS_E,1000.0,9999.0,9999.0,217.3913043478261,333.3333333333333,126.58227848101265,1000.0,208.33333333333334,9999.0,0.0,9999.0,45.04504504504504,9999.0,9999.0,9999.0,9999.0,277.77777777777777,125.0,222.22222222222223,1000.0,136.986301369863,153.84615384615384,94.33962264150944,63.291139240506325,9999.0,163.93442622950818,72.99270072992701,1000.0,113.63636363636363,55.865921787709496,9999.0,9999.0,384.61538461538464,9999.0,476.1904761904762,114.9425287356322,9999.0,9999.0,62.893081761006286,116.27906976744185,94.33962264150944,126.58227848101265,120.48192771084337,294.11764705882354,9999.0,833.3333333333334,64.93506493506493,9999.0,166.66666666666666,285.7142857142857,45.662100456621005,9999.0,9999.0,9999.0,322.5806451612903
