,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,105.26315789473685,144.92753623188406,9999.0,153.84615384615384,434.7826086956522,1000.0,96.15384615384616,400.0,149.2537313432836,322.5806451612903,9999.0,1000.0,1000.0,128.2051282051282,238.0952380952381,9999.0,212.7659574468085,75.75757575757576,9999.0,103.09278350515464,120.48192771084337,294.11764705882354,9999.0,104.16666666666667,222.22222222222223,270.27027027027026,357.14285714285717,256.4102564102564,9999.0,151.51515151515153,1000.0,476.1904761904762,9999.0,370.3703703703703,333.3333333333333,67.11409395973155,1000.0,9999.0,140.8450704225352,256.4102564102564,89.28571428571429,243.90243902439022,178.57142857142858,526.3157894736842,204.08163265306123,83.33333333333333,81.30081300813008,9999.0,149.2537313432836,101.010101010101,1000.0,357.14285714285717,1000.0,1000.0
authoritarian_governance_tolerance|WVS_E,105.26315789473685,0.0,9999.0,34.84320557491289,72.46376811594203,625.0,50.25125628140703,51.54639175257732,9999.0,9999.0,9999.0,76.92307692307692,9999.0,9999.0,9999.0,9999.0,89.28571428571429,128.2051282051282,68.9655172413793,178.57142857142858,68.9655172413793,63.69426751592357,434.7826086956522,77.51937984496124,9999.0,434.7826086956522,60.24096385542168,312.5,153.84615384615384,312.5,9999.0,9999.0,147.05882352941177,9999.0,1000.0,125.0,9999.0,9999.0,86.20689655172414,34.96503496503497,49.26108374384237,34.96503496503497,277.77777777777777,56.81818181818181,9999.0,156.25,78.125,9999.0,98.0392156862745,67.11409395973155,45.87155963302752,909.090909090909,163.93442622950818,9999.0,909.090909090909
autocracy_support|WVS_E,144.92753623188406,9999.0,0.0,35.08771929824561,73.52941176470588,285.7142857142857,34.129692832764505,49.26108374384237,9999.0,9999.0,9999.0,74.6268656716418,9999.0,9999.0,9999.0,9999.0,55.55555555555556,400.0,67.56756756756756,588.2352941176471,40.16064257028113,24.390243902439025,294.11764705882354,35.2112676056338,9999.0,232.5581395348837,49.75124378109453,555.5555555555555,125.0,416.6666666666667,9999.0,9999.0,65.35947712418302,9999.0,153.84615384615384,102.04081632653062,9999.0,9999.0,41.49377593360996,30.769230769230766,28.409090909090907,26.455026455026456,178.57142857142858,44.052863436123346,9999.0,129.87012987012986,140.8450704225352,9999.0,62.11180124223603,75.18796992481204,33.333333333333336,263.1578947368421,1000.0,9999.0,1000.0
basic_needs_deprivation|WVS_H,9999.0,34.84320557491289,35.08771929824561,0.0,41.1522633744856,384.61538461538464,32.154340836012864,39.0625,185.18518518518516,26.246719160104984,238.0952380952381,9999.0,89.28571428571429,63.291139240506325,84.03361344537815,61.34969325153375,9999.0,104.16666666666667,42.73504273504273,9999.0,28.169014084507044,14.22475106685633,1000.0,9999.0,384.61538461538464,144.92753623188406,43.29004329004329,144.92753623188406,57.80346820809249,9999.0,161.29032258064515,34.602076124567475,63.291139240506325,9999.0,227.27272727272725,75.75757575757576,16.129032258064516,1000.0,9999.0,20.964360587002098,24.93765586034913,19.49317738791423,58.8235294117647,35.08771929824561,44.84304932735426,181.81818181818184,29.850746268656714,23.52941176470588,9999.0,43.66812227074236,24.213075060532685,666.6666666666666,123.4567901234568,45.87155963302752,82.64462809917356
child_qualities_autonomy_self_expression|WVS_A,153.84615384615384,72.46376811594203,73.52941176470588,41.1522633744856,0.0,9999.0,9999.0,74.07407407407408,370.3703703703703,54.34782608695652,476.1904761904762,80.0,204.08163265306123,169.49152542372883,175.43859649122805,125.0,175.43859649122805,232.5581395348837,81.96721311475409,454.5454545454545,55.24861878453038,30.3030303030303,9999.0,82.64462809917356,555.5555555555555,232.5581395348837,95.23809523809523,270.27027027027026,114.9425287356322,333.3333333333333,277.77777777777777,75.75757575757576,129.87012987012986,9999.0,526.3157894736842,151.51515151515153,31.645569620253163,1000.0,121.95121951219511,45.87155963302752,51.81347150259067,40.983606557377044,135.13513513513513,73.52941176470588,92.59259259259258,270.27027027027026,9999.0,45.24886877828054,185.18518518518516,9999.0,49.01960784313725,9999.0,9999.0,72.99270072992701,192.30769230769232
child_qualities_conformity_tradition|WVS_A,434.7826086956522,625.0,285.7142857142857,384.61538461538464,9999.0,0.0,9999.0,217.3913043478261,188.67924528301887,270.27027027027026,454.5454545454545,357.14285714285717,1000.0,1000.0,270.27027027027026,416.6666666666667,149.2537313432836,1000.0,71.42857142857143,126.58227848101265,83.33333333333333,81.30081300813008,9999.0,169.49152542372883,144.92753623188406,78.125,833.3333333333334,1000.0,400.0,666.6666666666666,89.28571428571429,97.08737864077669,243.90243902439022,9999.0,1000.0,1000.0,104.16666666666667,1000.0,1000.0,357.14285714285717,222.22222222222223,277.77777777777777,92.59259259259258,1000.0,238.0952380952381,161.29032258064515,9999.0,129.87012987012986,109.89010989010988,9999.0,135.13513513513513,9999.0,9999.0,1000.0,1000.0
child_qualities_prosocial_diligence|WVS_A,1000.0,50.25125628140703,34.129692832764505,32.154340836012864,9999.0,9999.0,0.0,64.1025641025641,63.69426751592357,23.980815347721823,52.35602094240838,106.38297872340425,47.61904761904761,29.498525073746315,86.95652173913044,46.51162790697675,71.94244604316548,1000.0,79.36507936507937,99.00990099009901,66.66666666666667,22.42152466367713,9999.0,29.32551319648094,24.03846153846154,60.6060606060606,32.05128205128205,769.2307692307693,138.88888888888889,153.84615384615384,36.76470588235294,18.315018315018314,57.14285714285714,9999.0,63.69426751592357,81.30081300813008,22.573363431151243,200.0,22.98850574712644,17.57469244288225,20.618556701030926,21.27659574468085,27.247956403269754,33.557046979865774,30.8641975308642,285.7142857142857,9999.0,30.395136778115504,196.078431372549,9999.0,35.3356890459364,9999.0,9999.0,116.27906976744185,169.49152542372883
civic_dishonesty_tolerance|WVS_F,96.15384615384616,51.54639175257732,49.26108374384237,39.0625,74.07407407407408,217.3913043478261,64.1025641025641,0.0,370.3703703703703,40.65040650406504,555.5555555555555,72.99270072992701,114.9425287356322,104.16666666666667,125.0,60.975609756097555,68.4931506849315,161.29032258064515,44.84304932735426,588.2352941176471,42.016806722689076,37.174721189591075,555.5555555555555,54.94505494505494,217.3913043478261,138.88888888888889,66.2251655629139,9999.0,126.58227848101265,526.3157894736842,285.7142857142857,76.92307692307692,97.08737864077669,9999.0,1000.0,116.27906976744185,39.21568627450981,434.7826086956522,86.95652173913044,9999.0,9999.0,9999.0,9999.0,59.523809523809526,109.89010989010988,9999.0,72.99270072992701,30.959752321981423,62.5,78.74015748031496,9999.0,303.03030303030306,344.82758620689657,400.0,833.3333333333334
confidence_in_civil_society_organizations|WVS_E,400.0,9999.0,9999.0,185.18518518518516,370.3703703703703,188.67924528301887,63.69426751592357,370.3703703703703,0.0,9999.0,9999.0,909.090909090909,9999.0,9999.0,9999.0,9999.0,192.30769230769232,1000.0,69.44444444444444,131.57894736842104,384.61538461538464,80.64516129032258,208.33333333333334,333.3333333333333,9999.0,90.90909090909092,172.41379310344828,1000.0,555.5555555555555,357.14285714285717,9999.0,9999.0,588.2352941176471,9999.0,196.078431372549,555.5555555555555,9999.0,9999.0,105.26315789473685,68.9655172413793,113.63636363636363,136.986301369863,49.75124378109453,172.41379310344828,9999.0,136.986301369863,1000.0,9999.0,116.27906976744185,357.14285714285717,625.0,188.67924528301887,344.82758620689657,9999.0,172.41379310344828
confidence_in_domestic_institutions|WVS_E,149.2537313432836,9999.0,9999.0,26.246719160104984,54.34782608695652,270.27027027027026,23.980815347721823,40.65040650406504,9999.0,0.0,9999.0,58.13953488372093,9999.0,9999.0,9999.0,9999.0,47.84688995215311,476.1904761904762,76.33587786259541,909.090909090909,30.030030030030026,16.10305958132045,140.8450704225352,25.57544757033248,9999.0,166.66666666666666,38.314176245210724,500.0,83.33333333333333,263.1578947368421,9999.0,9999.0,46.51162790697675,9999.0,88.49557522123894,76.33587786259541,9999.0,9999.0,29.850746268656714,20.876826722338205,19.76284584980237,19.455252918287936,72.46376811594203,35.3356890459364,9999.0,153.84615384615384,80.0,9999.0,54.94505494505494,63.69426751592357,24.03846153846154,263.1578947368421,1000.0,9999.0,147.05882352941177
