,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,64.1025641025641,370.3703703703703,9999.0,120.48192771084337,285.7142857142857,1000.0,9999.0,1000.0,121.95121951219511,250.0,9999.0,1000.0,1000.0,500.0,89.28571428571429,9999.0,34.013605442176875,43.66812227074236,9999.0,18.050541516245488,88.49557522123894,39.21568627450981,9999.0,312.5,19.68503937007874,39.8406374501992,357.14285714285717,370.3703703703703,9999.0,68.02721088435375,62.893081761006286,41.666666666666664,9999.0,158.73015873015873,109.89010989010988,109.89010989010988,42.016806722689076,9999.0,212.7659574468085,9999.0,9999.0,7.751937984496124,243.90243902439022,87.71929824561403,9999.0,106.38297872340425,100.0,9999.0,59.523809523809526,35.3356890459364,52.631578947368425,43.10344827586207,20.66115702479339,42.5531914893617
authoritarian_governance_tolerance|WVS_E,64.1025641025641,0.0,9999.0,76.33587786259541,1000.0,400.0,270.27027027027026,9999.0,9999.0,9999.0,9999.0,86.95652173913044,9999.0,9999.0,9999.0,9999.0,9999.0,106.38297872340425,83.33333333333333,250.0,68.02721088435375,370.3703703703703,54.6448087431694,93.45794392523365,9999.0,50.25125628140703,58.13953488372093,370.3703703703703,50.5050505050505,217.3913043478261,9999.0,9999.0,79.36507936507937,9999.0,62.893081761006286,256.4102564102564,9999.0,9999.0,1000.0,138.88888888888889,9999.0,9999.0,18.315018315018314,181.81818181818184,9999.0,9999.0,105.26315789473685,9999.0,103.09278350515464,72.46376811594203,1000.0,166.66666666666666,222.22222222222223,9999.0,72.99270072992701
autocracy_support|WVS_E,370.3703703703703,9999.0,0.0,23.58490566037736,35.08771929824561,105.26315789473685,357.14285714285717,9999.0,9999.0,9999.0,9999.0,78.125,9999.0,9999.0,9999.0,9999.0,9999.0,37.03703703703704,144.92753623188406,312.5,75.18796992481204,25.44529262086514,32.362459546925564,666.6666666666666,9999.0,52.35602094240838,38.167938931297705,48.07692307692308,21.978021978021978,31.347962382445143,9999.0,9999.0,61.34969325153375,9999.0,37.45318352059925,37.87878787878788,9999.0,9999.0,526.3157894736842,46.29629629629629,9999.0,9999.0,10.683760683760683,44.642857142857146,9999.0,9999.0,39.8406374501992,9999.0,13.774104683195592,22.831050228310502,102.04081632653062,50.5050505050505,20.28397565922921,9999.0,91.74311926605505
basic_needs_deprivation|WVS_H,9999.0,76.33587786259541,23.58490566037736,0.0,44.84304932735426,204.08163265306123,434.7826086956522,9999.0,28.409090909090907,57.80346820809249,69.44444444444444,9999.0,181.81818181818184,1000.0,51.02040816326531,163.93442622950818,9999.0,208.33333333333334,65.35947712418302,9999.0,60.24096385542168,49.504950495049506,35.08771929824561,9999.0,43.859649122807014,54.34782608695652,1000.0,86.95652173913044,32.78688524590164,9999.0,144.92753623188406,71.42857142857143,833.3333333333334,9999.0,52.91005291005291,91.74311926605505,175.43859649122805,1000.0,9999.0,64.1025641025641,9999.0,9999.0,476.1904761904762,71.94244604316548,90.09009009009009,9999.0,117.6470588235294,47.16981132075472,9999.0,28.98550724637681,142.85714285714286,71.42857142857143,29.069767441860463,140.8450704225352,156.25
child_qualities_autonomy_self_expression|WVS_A,120.48192771084337,1000.0,35.08771929824561,44.84304932735426,0.0,9999.0,9999.0,9999.0,40.65040650406504,181.81818181818184,78.74015748031496,80.64516129032258,344.82758620689657,161.29032258064515,66.2251655629139,105.26315789473685,9999.0,277.77777777777777,133.33333333333334,158.73015873015873,96.15384615384616,84.03361344537815,9999.0,102.04081632653062,62.893081761006286,166.66666666666666,158.73015873015873,87.71929824561403,89.28571428571429,217.3913043478261,1000.0,138.88888888888889,384.61538461538464,9999.0,133.33333333333334,105.26315789473685,125.0,476.1904761904762,1000.0,116.27906976744185,9999.0,9999.0,80.0,74.07407407407408,72.99270072992701,9999.0,9999.0,50.76142131979696,30.487804878048777,9999.0,131.57894736842104,9999.0,9999.0,263.1578947368421,1000.0
child_qualities_conformity_tradition|WVS_A,285.7142857142857,400.0,105.26315789473685,204.08163265306123,9999.0,0.0,9999.0,9999.0,140.8450704225352,555.5555555555555,181.81818181818184,84.03361344537815,1000.0,270.27027027027026,136.986301369863,222.22222222222223,9999.0,277.77777777777777,217.3913043478261,112.35955056179776,91.74311926605505,1000.0,9999.0,102.04081632653062,169.49152542372883,131.57894736842104,555.5555555555555,123.4567901234568,1000.0,256.4102564102564,101.010101010101,47.39336492890995,476.1904761904762,9999.0,370.3703703703703,344.82758620689657,82.64462809917356,188.67924528301887,1000.0,322.5806451612903,9999.0,9999.0,50.0,136.986301369863,121.95121951219511,9999.0,9999.0,192.30769230769232,66.2251655629139,9999.0,99.00990099009901,9999.0,9999.0,181.81818181818184,526.3157894736842
child_qualities_prosocial_diligence|WVS_A,1000.0,270.27027027027026,357.14285714285717,434.7826086956522,9999.0,9999.0,0.0,9999.0,833.3333333333334,263.1578947368421,1000.0,178.57142857142858,1000.0,217.3913043478261,1000.0,666.6666666666666,9999.0,416.6666666666667,1000.0,312.5,188.67924528301887,200.0,9999.0,135.13513513513513,1000.0,322.5806451612903,1000.0,1000.0,104.16666666666667,133.33333333333334,454.5454545454545,125.0,1000.0,9999.0,169.49152542372883,769.2307692307693,1000.0,1000.0,1000.0,303.03030303030306,9999.0,9999.0,105.26315789473685,400.0,1000.0,9999.0,9999.0,1000.0,370.3703703703703,9999.0,172.41379310344828,9999.0,9999.0,232.5581395348837,1000.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,1000.0,9999.0,9999.0,28.409090909090907,40.65040650406504,140.8450704225352,833.3333333333334,9999.0,0.0,9999.0,9999.0,95.23809523809523,9999.0,9999.0,9999.0,9999.0,9999.0,44.44444444444444,243.90243902439022,476.1904761904762,92.59259259259258,32.67973856209151,57.80346820809249,384.61538461538464,9999.0,72.46376811594203,43.47826086956522,63.291139240506325,35.714285714285715,40.983606557377044,9999.0,9999.0,62.893081761006286,9999.0,70.92198581560284,45.24886877828054,9999.0,9999.0,1000.0,62.893081761006286,9999.0,9999.0,11.547344110854503,50.25125628140703,9999.0,9999.0,45.662100456621005,9999.0,18.34862385321101,30.487804878048777,238.0952380952381,100.0,28.409090909090907,9999.0,90.90909090909092
confidence_in_domestic_institutions|WVS_E,121.95121951219511,9999.0,9999.0,57.80346820809249,181.81818181818184,555.5555555555555,263.1578947368421,9999.0,9999.0,0.0,9999.0,108.69565217391305,9999.0,9999.0,9999.0,9999.0,9999.0,555.5555555555555,142.85714285714286,200.0,1000.0,78.125,65.35947712418302,73.52941176470588,9999.0,384.61538461538464,238.0952380952381,1000.0,37.735849056603776,60.6060606060606,9999.0,9999.0,416.6666666666667,9999.0,59.880239520958085,263.1578947368421,9999.0,9999.0,909.090909090909,96.15384615384616,9999.0,9999.0,294.11764705882354,555.5555555555555,9999.0,9999.0,625.0,9999.0,50.5050505050505,56.81818181818181,133.33333333333334,163.93442622950818,114.9425287356322,9999.0,208.33333333333334
confidence_in_international_organizations|WVS_E,250.0,9999.0,9999.0,69.44444444444444,78.74015748031496,181.81818181818184,1000.0,9999.0,9999.0,9999.0,0.0,78.125,9999.0,9999.0,9999.0,9999.0,9999.0,62.893081761006286,588.2352941176471,238.0952380952381,105.26315789473685,67.11409395973155,322.5806451612903,121.95121951219511,9999.0,72.46376811594203,54.94505494505494,90.90909090909092,119.04761904761905,103.09278350515464,9999.0,9999.0,78.125,9999.0,476.1904761904762,76.33587786259541,9999.0,9999.0,1000.0,175.43859649122805,9999.0,9999.0,16.949152542372882,71.94244604316548,9999.0,9999.0,63.69426751592357,9999.0,35.97122302158274,78.74015748031496,1000.0,232.5581395348837,49.01960784313725,9999.0,96.15384615384616
crime_victimization|WVS_H,9999.0,86.95652173913044,78.125,9999.0,80.64516129032258,84.03361344537815,178.57142857142858,9999.0,95.23809523809523,108.69565217391305,78.125,0.0,1000.0,63.291139240506325,102.04081632653062,84.03361344537815,9999.0,131.57894736842104,151.51515151515153,9999.0,34.129692832764505,144.92753623188406,285.7142857142857,9999.0,96.15384615384616,55.24861878453038,172.41379310344828,74.07407407407408,48.07692307692308,9999.0,62.5,21.929824561403507,1000.0,9999.0,109.89010989010988,357.14285714285717,58.8235294117647,158.73015873015873,9999.0,370.3703703703703,9999.0,9999.0,27.100271002710027,56.81818181818181,83.33333333333333,9999.0,97.08737864077669,74.6268656716418,9999.0,204.08163265306123,36.76470588235294,70.4225352112676,32.05128205128205,172.41379310344828,1000.0
democratic_system_evaluation|WVS_E,1000.0,9999.0,9999.0,181.81818181818184,344.82758620689657,1000.0,1000.0,9999.0,9999.0,9999.0,9999.0,1000.0,0.0,9999.0,9999.0,9999.0,9999.0,192.30769230769232,588.2352941176471,416.6666666666667,303.03030303030306,370.3703703703703,208.33333333333334,666.6666666666666,9999.0,303.03030303030306,232.5581395348837,1000.0,1000.0,454.5454545454545,9999.0,9999.0,196.078431372549,9999.0,322.5806451612903,454.5454545454545,9999.0,9999.0,1000.0,1000.0,9999.0,9999.0,43.66812227074236,333.3333333333333,9999.0,9999.0,303.03030303030306,9999.0,303.03030303030306,1000.0,500.0,161.29032258064515,270.27027027027026,9999.0,263.1578947368421
