,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,19.047619047619047,18.38235294117647,9999.0,29.41176470588235,476.1904761904762,48.309178743961354,26.666666666666668,30.395136778115504,217.3913043478261,175.43859649122805,9999.0,26.954177897574123,35.46099290780142,38.46153846153846,16.75041876046901,9999.0,21.78649237472767,31.847133757961785,9999.0,123.4567901234568,9999.0,51.02040816326531,9999.0,185.18518518518516,34.72222222222222,26.954177897574123,90.90909090909092,14.771048744460858,9999.0,39.37007874015748,21.008403361344538,22.72727272727273,9999.0,37.3134328358209,27.47252747252747,67.11409395973155,39.682539682539684,9999.0,27.548209366391184,161.29032258064515,13.927576601671309,29.761904761904763,48.78048780487805,116.27906976744185,50.25125628140703,13.966480446927374,66.66666666666667,9999.0,1000.0,31.645569620253163,25.57544757033248,24.630541871921185,8.960573476702509,17.793594306049823
authoritarian_governance_tolerance|WVS_E,19.047619047619047,0.0,9999.0,16.077170418006432,27.397260273972606,454.5454545454545,42.918454935622314,24.271844660194173,9999.0,9999.0,9999.0,14.880952380952381,9999.0,9999.0,9999.0,9999.0,26.525198938992045,21.321961620469086,27.47252747252747,52.631578947368425,136.986301369863,9999.0,47.16981132075472,18.484288354898336,9999.0,31.847133757961785,23.52941176470588,99.00990099009901,13.175230566534916,11.19820828667413,9999.0,9999.0,25.38071065989848,9999.0,33.67003367003367,25.510204081632654,9999.0,9999.0,1000.0,27.3224043715847,117.6470588235294,13.94700139470014,27.3224043715847,44.84304932735426,9999.0,58.13953488372093,13.717421124828531,9999.0,25.125628140703515,384.61538461538464,33.898305084745765,23.52941176470588,23.474178403755868,9999.0,17.271157167530223
autocracy_support|WVS_E,18.38235294117647,9999.0,0.0,15.105740181268883,28.248587570621467,277.77777777777777,46.728971962616825,23.419203747072597,9999.0,9999.0,9999.0,15.220700152207003,9999.0,9999.0,9999.0,9999.0,27.027027027027028,22.573363431151243,28.81844380403458,72.46376811594203,77.51937984496124,9999.0,53.763440860215056,19.841269841269842,9999.0,31.152647975077883,23.474178403755868,89.28571428571429,13.175230566534916,11.876484560570072,9999.0,9999.0,23.86634844868735,9999.0,33.898305084745765,24.875621890547265,9999.0,9999.0,277.77777777777777,26.17801047120419,117.6470588235294,13.60544217687075,25.839793281653748,47.84688995215311,9999.0,52.083333333333336,13.850415512465373,9999.0,27.247956403269754,1000.0,32.362459546925564,23.58490566037736,23.809523809523807,9999.0,17.241379310344826
basic_needs_deprivation|WVS_H,9999.0,16.077170418006432,15.105740181268883,0.0,25.641025641025642,526.3157894736842,40.16064257028113,22.321428571428573,25.31645569620253,188.67924528301887,144.92753623188406,9999.0,23.364485981308412,30.487804878048777,31.948881789137378,14.619883040935672,9999.0,19.083969465648853,27.247956403269754,9999.0,135.13513513513513,9999.0,43.66812227074236,9999.0,144.92753623188406,28.328611898016998,21.929824561403507,89.28571428571429,11.750881316098708,9999.0,34.84320557491289,17.064846416382252,20.408163265306122,9999.0,31.152647975077883,23.20185614849188,49.75124378109453,31.25,9999.0,21.78649237472767,119.04761904761905,11.737089201877934,23.148148148148145,43.10344827586207,84.74576271186442,47.84688995215311,11.876484560570072,53.475935828877,9999.0,500.0,28.409090909090907,20.876826722338205,19.76284584980237,7.1890726096333575,16.638935108153078
child_qualities_autonomy_self_expression|WVS_A,29.41176470588235,27.397260273972606,28.248587570621467,25.641025641025642,0.0,9999.0,9999.0,40.48582995951417,44.052863436123346,322.5806451612903,181.81818181818184,22.52252252252252,39.8406374501992,56.17977528089888,62.893081761006286,28.57142857142857,40.48582995951417,38.167938931297705,49.26108374384237,100.0,188.67924528301887,9999.0,9999.0,32.05128205128205,500.0,51.54639175257732,40.32258064516129,129.87012987012986,22.026431718061673,18.148820326678766,69.44444444444444,34.602076124567475,38.167938931297705,9999.0,58.47953216374269,40.0,109.89010989010988,56.17977528089888,1000.0,44.052863436123346,188.67924528301887,21.598272138228943,47.16981132075472,81.96721311475409,153.84615384615384,76.33587786259541,9999.0,95.23809523809523,48.78048780487805,9999.0,50.25125628140703,9999.0,9999.0,13.422818791946309,26.7379679144385
child_qualities_conformity_tradition|WVS_A,476.1904761904762,454.5454545454545,277.77777777777777,526.3157894736842,9999.0,0.0,9999.0,666.6666666666666,357.14285714285717,588.2352941176471,666.6666666666666,416.6666666666667,476.1904761904762,1000.0,666.6666666666666,476.1904761904762,1000.0,1000.0,370.3703703703703,454.5454545454545,212.7659574468085,9999.0,9999.0,1000.0,1000.0,526.3157894736842,322.5806451612903,588.2352941176471,333.3333333333333,277.77777777777777,1000.0,1000.0,1000.0,9999.0,666.6666666666666,666.6666666666666,666.6666666666666,434.7826086956522,500.0,454.5454545454545,1000.0,322.5806451612903,161.29032258064515,1000.0,714.2857142857143,526.3157894736842,9999.0,909.090909090909,666.6666666666666,9999.0,1000.0,9999.0,9999.0,243.90243902439022,454.5454545454545
child_qualities_prosocial_diligence|WVS_A,48.309178743961354,42.918454935622314,46.728971962616825,40.16064257028113,9999.0,9999.0,0.0,65.78947368421052,80.0,1000.0,454.5454545454545,43.66812227074236,64.51612903225806,93.45794392523365,104.16666666666667,47.61904761904761,71.42857142857143,58.47953216374269,65.35947712418302,112.35955056179776,416.6666666666667,9999.0,9999.0,52.91005291005291,333.3333333333333,84.74576271186442,64.93506493506493,454.5454545454545,36.101083032490976,28.901734104046245,138.88888888888889,57.4712643678161,66.2251655629139,9999.0,89.28571428571429,64.93506493506493,111.11111111111111,75.75757575757576,714.2857142857143,66.2251655629139,294.11764705882354,37.87878787878788,87.71929824561403,104.16666666666667,212.7659574468085,163.93442622950818,9999.0,151.51515151515153,65.35947712418302,9999.0,89.28571428571429,9999.0,9999.0,20.449897750511248,48.78048780487805
civic_dishonesty_tolerance|WVS_F,26.666666666666668,24.271844660194173,23.419203747072597,22.321428571428573,40.48582995951417,666.6666666666666,65.78947368421052,0.0,40.65040650406504,217.3913043478261,277.77777777777777,18.315018315018314,34.24657534246575,43.66812227074236,46.948356807511736,22.123893805309734,36.101083032490976,28.169014084507044,42.73504273504273,64.51612903225806,204.08163265306123,9999.0,67.56756756756756,23.923444976076556,263.1578947368421,45.87155963302752,35.2112676056338,9999.0,18.41620626151013,15.384615384615383,45.45454545454546,25.125628140703515,28.98550724637681,9999.0,45.04504504504504,34.602076124567475,84.03361344537815,50.76142131979696,1000.0,9999.0,9999.0,9999.0,9999.0,63.291139240506325,147.05882352941177,9999.0,17.482517482517483,87.71929824561403,31.746031746031747,1000.0,9999.0,32.467532467532465,31.847133757961785,11.325028312570781,23.31002331002331
confidence_in_civil_society_organizations|WVS_E,30.395136778115504,9999.0,9999.0,25.31645569620253,44.052863436123346,357.14285714285717,80.0,40.65040650406504,0.0,9999.0,9999.0,22.93577981651376,9999.0,9999.0,9999.0,9999.0,39.21568627450981,35.2112676056338,49.504950495049506,166.66666666666666,103.09278350515464,9999.0,97.08737864077669,32.154340836012864,9999.0,50.76142131979696,36.90036900369004,135.13513513513513,20.66115702479339,19.157088122605362,9999.0,9999.0,34.602076124567475,9999.0,58.47953216374269,40.48582995951417,9999.0,9999.0,238.0952380952381,37.87878787878788,204.08163265306123,21.83406113537118,36.63003663003663,88.49557522123894,9999.0,76.33587786259541,23.31002331002331,9999.0,51.81347150259067,1000.0,48.78048780487805,37.87878787878788,41.49377593360996,9999.0,26.595744680851062
confidence_in_domestic_institutions|WVS_E,217.3913043478261,9999.0,9999.0,188.67924528301887,322.5806451612903,588.2352941176471,1000.0,217.3913043478261,9999.0,0.0,9999.0,67.11409395973155,9999.0,9999.0,9999.0,9999.0,227.27272727272725,125.0,1000.0,303.03030303030306,434.7826086956522,9999.0,1000.0,129.87012987012986,9999.0,666.6666666666666,625.0,163.93442622950818,172.41379310344828,114.9425287356322,9999.0,9999.0,106.38297872340425,9999.0,370.3703703703703,434.7826086956522,9999.0,9999.0,1000.0,196.078431372549,1000.0,107.52688172043011,500.0,909.090909090909,9999.0,172.41379310344828,95.23809523809523,9999.0,285.7142857142857,666.6666666666666,175.43859649122805,277.77777777777777,263.1578947368421,9999.0,149.2537313432836
