,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,217.3913043478261,156.25,9999.0,100.0,204.08163265306123,135.13513513513513,147.05882352941177,1000.0,769.2307692307693,303.03030303030306,9999.0,909.090909090909,142.85714285714286,416.6666666666667,400.0,9999.0,112.35955056179776,714.2857142857143,9999.0,113.63636363636363,59.880239520958085,294.11764705882354,9999.0,217.3913043478261,50.25125628140703,714.2857142857143,133.33333333333334,526.3157894736842,9999.0,72.99270072992701,42.016806722689076,1000.0,83.33333333333333,196.078431372549,1000.0,89.28571428571429,151.51515151515153,9999.0,93.45794392523365,303.03030303030306,89.28571428571429,131.57894736842104,588.2352941176471,400.0,151.51515151515153,144.92753623188406,140.8450704225352,9999.0,500.0,384.61538461538464,117.6470588235294,400.0,1000.0,149.2537313432836
authoritarian_governance_tolerance|WVS_E,217.3913043478261,0.0,9999.0,169.49152542372883,227.27272727272725,333.3333333333333,172.41379310344828,555.5555555555555,9999.0,9999.0,9999.0,78.125,9999.0,9999.0,9999.0,9999.0,384.61538461538464,135.13513513513513,196.078431372549,138.88888888888889,138.88888888888889,114.9425287356322,1000.0,1000.0,9999.0,69.44444444444444,1000.0,133.33333333333334,270.27027027027026,200.0,9999.0,9999.0,303.03030303030306,9999.0,384.61538461538464,714.2857142857143,9999.0,9999.0,357.14285714285717,185.18518518518516,370.3703703703703,96.15384615384616,126.58227848101265,333.3333333333333,9999.0,128.2051282051282,1000.0,9999.0,714.2857142857143,833.3333333333334,909.090909090909,123.4567901234568,243.90243902439022,9999.0,294.11764705882354
autocracy_support|WVS_E,156.25,9999.0,0.0,56.17977528089888,294.11764705882354,78.74015748031496,55.865921787709496,714.2857142857143,9999.0,9999.0,9999.0,25.77319587628866,9999.0,9999.0,9999.0,9999.0,88.49557522123894,55.24861878453038,63.291139240506325,48.07692307692308,39.682539682539684,136.986301369863,588.2352941176471,322.5806451612903,9999.0,28.57142857142857,666.6666666666666,49.75124378109453,42.73504273504273,188.67924528301887,9999.0,9999.0,52.631578947368425,9999.0,120.48192771084337,82.64462809917356,9999.0,9999.0,588.2352941176471,109.89010989010988,126.58227848101265,29.673590504451038,59.880239520958085,188.67924528301887,9999.0,51.282051282051285,208.33333333333334,9999.0,87.71929824561403,238.0952380952381,149.2537313432836,32.89473684210526,58.47953216374269,9999.0,714.2857142857143
basic_needs_deprivation|WVS_H,9999.0,169.49152542372883,56.17977528089888,0.0,135.13513513513513,98.0392156862745,64.51612903225806,1000.0,1000.0,76.33587786259541,75.75757575757576,9999.0,135.13513513513513,1000.0,1000.0,101.010101010101,9999.0,48.07692307692308,66.66666666666667,9999.0,40.0,111.11111111111111,400.0,9999.0,55.24861878453038,23.419203747072597,1000.0,46.948356807511736,56.81818181818181,9999.0,33.003300330033,19.120458891013385,74.6268656716418,64.51612903225806,123.4567901234568,96.15384615384616,25.839793281653748,53.191489361702125,9999.0,277.77777777777777,128.2051282051282,36.76470588235294,69.93006993006993,93.45794392523365,204.08163265306123,51.02040816326531,136.986301369863,217.3913043478261,9999.0,454.5454545454545,333.3333333333333,39.52569169960474,83.33333333333333,1000.0,555.5555555555555
child_qualities_autonomy_self_expression|WVS_A,100.0,227.27272727272725,294.11764705882354,135.13513513513513,0.0,9999.0,9999.0,82.64462809917356,1000.0,232.5581395348837,153.84615384615384,112.35955056179776,476.1904761904762,84.74576271186442,74.07407407407408,769.2307692307693,238.0952380952381,76.33587786259541,212.7659574468085,81.30081300813008,74.07407407407408,63.291139240506325,9999.0,454.5454545454545,1000.0,24.154589371980677,270.27027027027026,126.58227848101265,1000.0,75.75757575757576,65.35947712418302,51.02040816326531,204.08163265306123,63.69426751592357,107.52688172043011,1000.0,166.66666666666666,85.47008547008546,126.58227848101265,142.85714285714286,333.3333333333333,158.73015873015873,208.33333333333334,277.77777777777777,769.2307692307693,666.6666666666666,9999.0,78.74015748031496,161.29032258064515,9999.0,277.77777777777777,9999.0,9999.0,416.6666666666667,344.82758620689657
child_qualities_conformity_tradition|WVS_A,204.08163265306123,333.3333333333333,78.74015748031496,98.0392156862745,9999.0,0.0,9999.0,129.87012987012986,133.33333333333334,344.82758620689657,370.3703703703703,51.282051282051285,1000.0,400.0,105.26315789473685,91.74311926605505,625.0,94.33962264150944,1000.0,84.74576271186442,54.6448087431694,714.2857142857143,9999.0,188.67924528301887,370.3703703703703,29.673590504451038,256.4102564102564,111.11111111111111,68.02721088435375,172.41379310344828,33.003300330033,39.8406374501992,128.2051282051282,69.44444444444444,89.28571428571429,126.58227848101265,94.33962264150944,108.69565217391305,416.6666666666667,208.33333333333334,243.90243902439022,62.893081761006286,208.33333333333334,1000.0,222.22222222222223,1000.0,9999.0,65.78947368421052,222.22222222222223,9999.0,125.0,9999.0,9999.0,31.152647975077883,181.81818181818184
child_qualities_prosocial_diligence|WVS_A,135.13513513513513,172.41379310344828,55.865921787709496,64.51612903225806,9999.0,9999.0,0.0,256.4102564102564,270.27027027027026,109.89010989010988,93.45794392523365,32.154340836012864,555.5555555555555,1000.0,1000.0,117.6470588235294,135.13513513513513,61.7283950617284,92.59259259259258,56.17977528089888,47.61904761904761,108.69565217391305,9999.0,400.0,70.92198581560284,28.653295128939828,555.5555555555555,57.4712643678161,59.1715976331361,133.33333333333334,30.674846625766875,20.491803278688522,71.94244604316548,55.865921787709496,112.35955056179776,114.9425287356322,34.24657534246575,75.75757575757576,333.3333333333333,104.16666666666667,144.92753623188406,37.3134328358209,78.125,208.33333333333334,136.986301369863,63.291139240506325,9999.0,112.35955056179776,133.33333333333334,9999.0,163.93442622950818,9999.0,9999.0,57.80346820809249,1000.0
civic_dishonesty_tolerance|WVS_F,147.05882352941177,555.5555555555555,714.2857142857143,1000.0,82.64462809917356,129.87012987012986,256.4102564102564,0.0,192.30769230769232,123.4567901234568,147.05882352941177,434.7826086956522,217.3913043478261,117.6470588235294,114.9425287356322,769.2307692307693,200.0,555.5555555555555,119.04761904761905,196.078431372549,312.5,105.26315789473685,135.13513513513513,1000.0,178.57142857142858,61.7283950617284,333.3333333333333,9999.0,1000.0,158.73015873015873,99.00990099009901,227.27272727272725,208.33333333333334,109.89010989010988,161.29032258064515,333.3333333333333,125.0,1000.0,158.73015873015873,9999.0,9999.0,9999.0,9999.0,243.90243902439022,476.1904761904762,9999.0,76.33587786259541,79.36507936507937,384.61538461538464,416.6666666666667,9999.0,909.090909090909,384.61538461538464,55.24861878453038,263.1578947368421
confidence_in_civil_society_organizations|WVS_E,1000.0,9999.0,9999.0,1000.0,1000.0,133.33333333333334,270.27027027027026,192.30769230769232,0.0,9999.0,9999.0,175.43859649122805,9999.0,9999.0,9999.0,9999.0,434.7826086956522,312.5,144.92753623188406,158.73015873015873,277.77777777777777,126.58227848101265,181.81818181818184,434.7826086956522,9999.0,833.3333333333334,384.61538461538464,250.0,113.63636363636363,303.03030303030306,9999.0,9999.0,256.4102564102564,9999.0,192.30769230769232,294.11764705882354,9999.0,9999.0,1000.0,238.0952380952381,1000.0,384.61538461538464,96.15384615384616,149.2537313432836,9999.0,114.9425287356322,172.41379310344828,9999.0,217.3913043478261,322.5806451612903,147.05882352941177,322.5806451612903,370.3703703703703,9999.0,238.0952380952381
confidence_in_domestic_institutions|WVS_E,769.2307692307693,9999.0,9999.0,76.33587786259541,232.5581395348837,344.82758620689657,109.89010989010988,123.4567901234568,9999.0,0.0,9999.0,43.859649122807014,9999.0,9999.0,9999.0,9999.0,91.74311926605505,79.36507936507937,59.1715976331361,45.87155963302752,68.02721088435375,400.0,243.90243902439022,250.0,9999.0,57.4712643678161,714.2857142857143,64.93506493506493,62.11180124223603,1000.0,9999.0,9999.0,66.2251655629139,9999.0,714.2857142857143,94.33962264150944,9999.0,9999.0,232.5581395348837,200.0,212.7659574468085,51.02040816326531,72.99270072992701,104.16666666666667,9999.0,49.75124378109453,63.69426751592357,9999.0,126.58227848101265,1000.0,1000.0,50.76142131979696,81.96721311475409,9999.0,163.93442622950818
