,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,0.0197,,-0.016,0.0006,-0.0009,-0.0284,0.0085,-0.0105,0.0058,,0.022,0.0013,0.0106,0.0209,,0.0134,-0.0208,,-0.0214,0.0033,-0.0116,,0.0115,-0.0346,0.0015,-0.005,0.0082,,-0.0033,-0.0234,0.0216,,-0.0028,-0.0046,-0.0095,0.0055,,0.0178,0.0196,-0.0043,-0.0107,-0.0048,0.0133,-0.0234,,0.0254,,0.0143,,0.0161,0.0153,-0.0292,-0.0161
authoritarian_governance_tolerance|WVS_E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,0.0197,,0.0,,-0.0091,-0.0152,0.0034,-0.0294,,,,-0.0336,,,,,0.0237,0.0192,-0.0108,-0.0232,-0.0072,0.0117,-0.0069,0.0405,,-0.0255,0.0173,-0.0002,0.0224,0.0299,,,0.0491,,-0.0226,-0.0355,,,-0.0258,0.0222,0.0314,0.0111,-0.0196,-0.0286,,-0.0185,,,0.0574,0.0304,,0.0367,0.0459,,-0.0115
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,-0.016,,-0.0091,,0.0,,,0.0553,-0.0591,-0.0108,-0.0494,0.0184,-0.0122,0.0267,-0.0177,-0.0112,-0.0015,-0.0124,0.0712,0.0011,0.0997,0.0018,,-0.0423,0.0137,0.1197,0.0294,0.0221,0.0024,-0.0096,0.0564,0.0919,-0.0015,,-0.0394,-0.047,0.0424,0.0207,0.0096,-0.0312,-0.0233,0.0339,-0.0001,-0.0247,-0.0088,0.0579,,-0.0625,-0.0528,,,,,0.0212,0.0548
child_qualities_conformity_tradition|WVS_A,0.0006,,-0.0152,,,0.0,,-0.0595,0.0225,0.0008,0.0199,-0.0131,-0.0275,-0.0239,0.0115,-0.0104,-0.039,0.0311,-0.0853,0.0255,-0.0603,-0.0101,,0.0201,-0.0103,-0.0846,-0.0259,-0.0264,-0.0072,-0.0035,-0.0663,-0.0959,-0.0037,,0.0343,0.0519,-0.0346,-0.0316,0.0334,0.0423,0.0251,-0.0523,-0.0221,0.0539,-0.0113,-0.0707,,0.0426,0.0468,,,,,-0.0221,-0.0368
child_qualities_prosocial_diligence|WVS_A,-0.0009,,0.0034,,,,0.0,0.0155,-0.0013,0.0076,0.0024,0.0099,0.0057,0.0025,-0.0032,-0.0017,0.0118,-0.0088,0.0215,-0.0102,0.0101,0.0079,,-0.005,0.0018,0.0207,0.0033,0.0068,0.0025,0.0011,0.0195,0.0273,-0.0014,,-0.0058,-0.0102,0.0096,0.0067,-0.0129,-0.0134,-0.0125,0.0122,0.0108,-0.0113,-0.004,0.0202,,-0.0121,-0.0155,,,,,0.008,0.0109
civic_dishonesty_tolerance|WVS_F,-0.0284,,-0.0294,,0.0553,-0.0595,0.0155,0.0,-0.0238,0.0284,-0.0311,0.0553,-0.0101,0.021,-0.0369,-0.0276,0.037,-0.0824,0.1604,-0.0118,0.1011,-0.0072,0.0195,-0.0842,-0.0265,0.1722,0.0204,,-0.0212,-0.0327,0.0623,0.156,-0.0567,,-0.0289,-0.0351,0.0516,0.022,-0.0162,,,,,-0.0556,-0.0079,,,-0.1084,-0.1491,-0.0314,,-0.0263,-0.0245,0.1218,0.0644
confidence_in_civil_society_organizations|WVS_E,0.0085,,,,-0.0591,0.0225,-0.0013,-0.0238,0.0,,,-0.0019,,,,,0.008,-0.0064,-0.0461,-0.0041,-0.0875,-0.0018,-0.0489,0.0249,,-0.085,-0.0335,-0.0136,-0.0093,-0.0008,,,-0.0169,,0.0386,0.052,,,-0.0167,0.0071,0.0014,-0.0247,0.0207,0.0172,,-0.0325,,,0.0175,0.0004,,-0.0115,-0.0316,,-0.0454
confidence_in_domestic_institutions|WVS_E,-0.0105,,,,-0.0108,0.0008,0.0076,0.0284,,0.0,,0.0337,,,,,-0.0002,-0.0225,0.006,-0.0039,-0.0243,0.0098,-0.0163,-0.0194,,-0.0,-0.0236,-0.0006,-0.0121,-0.017,,,-0.0402,,0.0281,0.0394,,,-0.0099,-0.0314,-0.0363,-0.0069,0.0362,0.0132,,0.0215,,,-0.0458,-0.0176,,-0.027,-0.0363,,-0.002
