,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,384.61538461538464,89.28571428571429,9999.0,526.3157894736842,208.33333333333334,285.7142857142857,188.67924528301887,60.24096385542168,41.1522633744856,72.46376811594203,9999.0,9999.0,217.3913043478261,169.49152542372883,200.0,9999.0,175.43859649122805,555.5555555555555,9999.0,55.24861878453038,9999.0,476.1904761904762,9999.0,588.2352941176471,82.64462809917356,163.93442622950818,232.5581395348837,1000.0,9999.0,476.1904761904762,294.11764705882354,81.96721311475409,46.08294930875576,161.29032258064515,227.27272727272725,80.0,69.44444444444444,9999.0,54.34782608695652,370.3703703703703,48.07692307692308,181.81818181818184,149.2537313432836,1000.0,1000.0,76.92307692307692,60.6060606060606,9999.0,105.26315789473685,169.49152542372883,476.1904761904762,111.11111111111111,9999.0,161.29032258064515
authoritarian_governance_tolerance|WVS_E,384.61538461538464,0.0,9999.0,1000.0,416.6666666666667,833.3333333333334,285.7142857142857,500.0,9999.0,9999.0,9999.0,243.90243902439022,9999.0,9999.0,9999.0,9999.0,238.0952380952381,384.61538461538464,172.41379310344828,312.5,217.3913043478261,9999.0,769.2307692307693,196.078431372549,9999.0,357.14285714285717,153.84615384615384,416.6666666666667,500.0,100.0,9999.0,9999.0,138.88888888888889,9999.0,625.0,1000.0,9999.0,9999.0,285.7142857142857,333.3333333333333,1000.0,357.14285714285717,138.88888888888889,294.11764705882354,9999.0,555.5555555555555,1000.0,9999.0,1000.0,833.3333333333334,208.33333333333334,125.0,111.11111111111111,9999.0,666.6666666666666
autocracy_support|WVS_E,89.28571428571429,9999.0,0.0,54.94505494505494,312.5,156.25,588.2352941176471,135.13513513513513,9999.0,9999.0,9999.0,62.11180124223603,9999.0,9999.0,9999.0,9999.0,133.33333333333334,344.82758620689657,454.5454545454545,277.77777777777777,1000.0,9999.0,82.64462809917356,119.04761904761905,9999.0,250.0,120.48192771084337,99.00990099009901,833.3333333333334,1000.0,9999.0,9999.0,113.63636363636363,9999.0,526.3157894736842,89.28571428571429,9999.0,9999.0,96.15384615384616,192.30769230769232,370.3703703703703,69.44444444444444,285.7142857142857,769.2307692307693,9999.0,135.13513513513513,434.7826086956522,9999.0,59.523809523809526,333.3333333333333,83.33333333333333,178.57142857142858,333.3333333333333,9999.0,95.23809523809523
basic_needs_deprivation|WVS_H,9999.0,1000.0,54.94505494505494,0.0,322.5806451612903,36.496350364963504,526.3157894736842,78.125,45.662100456621005,22.72727272727273,55.865921787709496,9999.0,9999.0,65.35947712418302,35.587188612099645,104.16666666666667,9999.0,107.52688172043011,79.36507936507937,9999.0,22.22222222222222,9999.0,169.49152542372883,9999.0,1000.0,25.25252525252525,40.32258064516129,181.81818181818184,1000.0,9999.0,54.6448087431694,21.598272138228943,102.04081632653062,20.449897750511248,74.6268656716418,1000.0,17.793594306049823,22.98850574712644,9999.0,18.148820326678766,243.90243902439022,24.271844660194173,106.38297872340425,90.09009009009009,178.57142857142858,117.6470588235294,23.752969121140143,25.0,9999.0,29.58579881656805,55.24861878453038,55.24861878453038,74.6268656716418,9999.0,104.16666666666667
child_qualities_autonomy_self_expression|WVS_A,526.3157894736842,416.6666666666667,312.5,322.5806451612903,0.0,9999.0,9999.0,625.0,126.58227848101265,1000.0,200.0,322.5806451612903,9999.0,243.90243902439022,108.69565217391305,588.2352941176471,1000.0,1000.0,119.04761904761905,181.81818181818184,111.11111111111111,9999.0,9999.0,370.3703703703703,303.03030303030306,99.00990099009901,133.33333333333334,1000.0,666.6666666666666,232.5581395348837,175.43859649122805,34.24657534246575,175.43859649122805,181.81818181818184,588.2352941176471,188.67924528301887,45.87155963302752,126.58227848101265,204.08163265306123,116.27906976744185,1000.0,322.5806451612903,121.95121951219511,1000.0,384.61538461538464,227.27272727272725,9999.0,181.81818181818184,357.14285714285717,9999.0,434.7826086956522,9999.0,9999.0,9999.0,833.3333333333334
child_qualities_conformity_tradition|WVS_A,208.33333333333334,833.3333333333334,156.25,36.496350364963504,9999.0,0.0,9999.0,147.05882352941177,29.32551319648094,60.24096385542168,71.94244604316548,116.27906976744185,9999.0,51.282051282051285,43.47826086956522,54.054054054054056,64.93506493506493,400.0,39.682539682539684,32.05128205128205,17.21170395869191,9999.0,9999.0,64.1025641025641,58.8235294117647,17.035775127768314,41.32231404958678,370.3703703703703,222.22222222222223,27.027027027027028,158.73015873015873,10.638297872340425,416.6666666666667,29.850746268656714,67.56756756756756,49.75124378109453,10.582010582010582,31.645569620253163,27.47252747252747,24.271844660194173,625.0,39.682539682539684,102.04081632653062,80.0,98.0392156862745,45.662100456621005,9999.0,26.38522427440633,70.92198581560284,9999.0,178.57142857142858,9999.0,9999.0,9999.0,357.14285714285717
child_qualities_prosocial_diligence|WVS_A,285.7142857142857,285.7142857142857,588.2352941176471,526.3157894736842,9999.0,9999.0,0.0,434.7826086956522,200.0,140.8450704225352,147.05882352941177,212.7659574468085,9999.0,357.14285714285717,200.0,181.81818181818184,1000.0,294.11764705882354,151.51515151515153,454.5454545454545,714.2857142857143,9999.0,9999.0,163.93442622950818,500.0,1000.0,138.88888888888889,322.5806451612903,270.27027027027026,78.74015748031496,151.51515151515153,52.631578947368425,153.84615384615384,270.27027027027026,1000.0,526.3157894736842,144.92753623188406,285.7142857142857,285.7142857142857,208.33333333333334,1000.0,303.03030303030306,243.90243902439022,526.3157894736842,200.0,1000.0,9999.0,555.5555555555555,163.93442622950818,9999.0,222.22222222222223,9999.0,9999.0,9999.0,1000.0
civic_dishonesty_tolerance|WVS_F,188.67924528301887,500.0,135.13513513513513,78.125,625.0,147.05882352941177,434.7826086956522,0.0,126.58227848101265,120.48192771084337,333.3333333333333,104.16666666666667,9999.0,188.67924528301887,105.26315789473685,1000.0,1000.0,1000.0,178.57142857142858,714.2857142857143,114.9425287356322,9999.0,243.90243902439022,166.66666666666666,1000.0,158.73015873015873,84.03361344537815,9999.0,357.14285714285717,909.090909090909,113.63636363636363,67.56756756756756,1000.0,105.26315789473685,384.61538461538464,526.3157894736842,93.45794392523365,74.6268656716418,107.52688172043011,9999.0,9999.0,9999.0,9999.0,666.6666666666666,196.078431372549,9999.0,101.010101010101,85.47008547008546,250.0,126.58227848101265,9999.0,82.64462809917356,125.0,9999.0,178.57142857142858
confidence_in_civil_society_organizations|WVS_E,60.24096385542168,9999.0,9999.0,45.662100456621005,126.58227848101265,29.32551319648094,200.0,126.58227848101265,0.0,9999.0,9999.0,41.84100418410041,9999.0,9999.0,9999.0,9999.0,38.314176245210724,217.3913043478261,113.63636363636363,58.47953216374269,42.19409282700422,9999.0,41.84100418410041,58.13953488372093,9999.0,33.898305084745765,147.05882352941177,79.36507936507937,312.5,1000.0,9999.0,9999.0,104.16666666666667,9999.0,200.0,40.48582995951417,9999.0,9999.0,166.66666666666666,588.2352941176471,175.43859649122805,76.92307692307692,344.82758620689657,163.93442622950818,9999.0,52.083333333333336,75.18796992481204,9999.0,25.06265664160401,178.57142857142858,63.69426751592357,1000.0,476.1904761904762,9999.0,59.523809523809526
confidence_in_domestic_institutions|WVS_E,41.1522633744856,9999.0,9999.0,22.72727272727273,1000.0,60.24096385542168,140.8450704225352,120.48192771084337,9999.0,0.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,588.2352941176471,84.74576271186442,526.3157894736842,44.44444444444444,23.923444976076556,9999.0,166.66666666666666,68.02721088435375,9999.0,29.850746268656714,80.64516129032258,434.7826086956522,270.27027027027026,17.98561151079137,9999.0,9999.0,55.865921787709496,9999.0,76.92307692307692,714.2857142857143,9999.0,9999.0,21.691973969631235,20.120724346076457,243.90243902439022,24.630541871921185,1000.0,75.75757575757576,9999.0,125.0,29.940119760479043,9999.0,39.682539682539684,40.0,109.89010989010988,1000.0,38.75968992248062,9999.0,147.05882352941177
confidence_in_international_organizations|WVS_E,72.46376811594203,9999.0,9999.0,55.865921787709496,200.0,71.94244604316548,147.05882352941177,333.3333333333333,9999.0,9999.0,0.0,212.7659574468085,9999.0,9999.0,9999.0,9999.0,104.16666666666667,153.84615384615384,119.04761904761905,909.090909090909,344.82758620689657,9999.0,188.67924528301887,666.6666666666666,9999.0,263.1578947368421,833.3333333333334,357.14285714285717,222.22222222222223,46.51162790697675,9999.0,9999.0,75.75757575757576,9999.0,370.3703703703703,96.15384615384616,9999.0,9999.0,70.92198581560284,68.4931506849315,270.27027027027026,63.291139240506325,303.03030303030306,476.1904761904762,9999.0,222.22222222222223,1000.0,9999.0,42.5531914893617,625.0,250.0,121.95121951219511,57.80346820809249,9999.0,156.25
crime_victimization|WVS_H,9999.0,243.90243902439022,62.11180124223603,9999.0,322.5806451612903,116.27906976744185,212.7659574468085,104.16666666666667,41.84100418410041,1000.0,212.7659574468085,0.0,9999.0,384.61538461538464,384.61538461538464,136.986301369863,9999.0,277.77777777777777,1000.0,9999.0,79.36507936507937,9999.0,38.75968992248062,9999.0,178.57142857142858,46.948356807511736,77.51937984496124,53.191489361702125,119.04761904761905,9999.0,77.51937984496124,49.504950495049506,178.57142857142858,144.92753623188406,322.5806451612903,68.9655172413793,30.959752321981423,250.0,9999.0,43.29004329004329,909.090909090909,1000.0,76.33587786259541,400.0,88.49557522123894,62.5,131.57894736842104,192.30769230769232,9999.0,133.33333333333334,57.80346820809249,53.191489361702125,31.446540880503143,9999.0,71.94244604316548
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
democratic_values_importance|WVS_E,217.3913043478261,9999.0,9999.0,65.35947712418302,243.90243902439022,51.282051282051285,357.14285714285717,188.67924528301887,9999.0,9999.0,9999.0,384.61538461538464,9999.0,0.0,9999.0,9999.0,204.08163265306123,769.2307692307693,103.09278350515464,90.90909090909092,44.24778761061947,9999.0,227.27272727272725,714.2857142857143,9999.0,45.45454545454546,80.0,400.0,344.82758620689657,78.74015748031496,9999.0,9999.0,1000.0,9999.0,163.93442622950818,227.27272727272725,9999.0,9999.0,58.47953216374269,59.1715976331361,1000.0,79.36507936507937,588.2352941176471,178.57142857142858,9999.0,185.18518518518516,47.84688995215311,9999.0,370.3703703703703,66.2251655629139,151.51515151515153,75.75757575757576,454.5454545454545,9999.0,555.5555555555555
economic_ideology|WVS_E,169.49152542372883,9999.0,9999.0,35.587188612099645,108.69565217391305,43.47826086956522,200.0,105.26315789473685,9999.0,9999.0,9999.0,384.61538461538464,9999.0,9999.0,0.0,9999.0,86.20689655172414,588.2352941176471,49.504950495049506,62.11180124223603,37.87878787878788,9999.0,126.58227848101265,333.3333333333333,9999.0,38.314176245210724,35.587188612099645,243.90243902439022,322.5806451612903,49.504950495049506,9999.0,9999.0,113.63636363636363,9999.0,161.29032258064515,294.11764705882354,9999.0,9999.0,41.32231404958678,28.98550724637681,833.3333333333334,50.0,41.84100418410041,555.5555555555555,9999.0,142.85714285714286,29.239766081871345,9999.0,80.0,37.45318352059925,59.523809523809526,42.37288135593221,312.5,9999.0,169.49152542372883
electoral_integrity|WVS_E,200.0,9999.0,9999.0,104.16666666666667,588.2352941176471,54.054054054054056,181.81818181818184,1000.0,9999.0,9999.0,9999.0,136.986301369863,9999.0,9999.0,9999.0,0.0,47.84688995215311,250.0,370.3703703703703,1000.0,117.6470588235294,9999.0,476.1904761904762,129.87012987012986,9999.0,105.26315789473685,909.090909090909,285.7142857142857,147.05882352941177,42.5531914893617,9999.0,9999.0,454.5454545454545,9999.0,434.7826086956522,153.84615384615384,9999.0,9999.0,192.30769230769232,73.52941176470588,312.5,120.48192771084337,62.5,196.078431372549,9999.0,555.5555555555555,188.67924528301887,9999.0,35.46099290780142,526.3157894736842,625.0,95.23809523809523,53.763440860215056,9999.0,500.0
existential_threat_worry|WVS_H,9999.0,238.0952380952381,133.33333333333334,9999.0,1000.0,64.93506493506493,1000.0,1000.0,38.314176245210724,588.2352941176471,104.16666666666667,9999.0,9999.0,204.08163265306123,86.20689655172414,47.84688995215311,0.0,1000.0,370.3703703703703,9999.0,66.2251655629139,9999.0,714.2857142857143,9999.0,102.04081632653062,70.92198581560284,196.078431372549,1000.0,400.0,9999.0,71.42857142857143,120.48192771084337,106.38297872340425,588.2352941176471,232.5581395348837,158.73015873015873,84.74576271186442,86.20689655172414,9999.0,277.77777777777777,526.3157894736842,714.2857142857143,50.76142131979696,125.0,322.5806451612903,217.3913043478261,172.41379310344828,144.92753623188406,9999.0,1000.0,169.49152542372883,1000.0,303.03030303030306,9999.0,277.77777777777777
familial_duty_obligations|WVS_D,175.43859649122805,384.61538461538464,344.82758620689657,107.52688172043011,1000.0,400.0,294.11764705882354,1000.0,217.3913043478261,84.74576271186442,153.84615384615384,277.77777777777777,9999.0,769.2307692307693,588.2352941176471,250.0,1000.0,0.0,9999.0,147.05882352941177,9999.0,9999.0,256.4102564102564,153.84615384615384,1000.0,123.4567901234568,833.3333333333334,588.2352941176471,416.6666666666667,54.34782608695652,357.14285714285717,526.3157894736842,153.84615384615384,90.90909090909092,277.77777777777777,1000.0,125.0,175.43859649122805,88.49557522123894,74.6268656716418,833.3333333333334,105.26315789473685,714.2857142857143,250.0,500.0,333.3333333333333,169.49152542372883,163.93442622950818,156.25,208.33333333333334,1000.0,238.0952380952381,86.20689655172414,9999.0,1000.0
