,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,67.11409395973155,54.054054054054056,9999.0,67.11409395973155,90.90909090909092,63.69426751592357,43.66812227074236,555.5555555555555,66.66666666666667,83.33333333333333,9999.0,909.090909090909,131.57894736842104,69.44444444444444,106.38297872340425,9999.0,1000.0,119.04761904761905,9999.0,238.0952380952381,128.2051282051282,185.18518518518516,9999.0,105.26315789473685,54.6448087431694,54.34782608695652,1000.0,74.6268656716418,9999.0,9999.0,400.0,384.61538461538464,9999.0,60.975609756097555,45.24886877828054,83.33333333333333,769.2307692307693,9999.0,30.959752321981423,1000.0,454.5454545454545,161.29032258064515,66.66666666666667,434.7826086956522,129.87012987012986,303.03030303030306,87.71929824561403,9999.0,1000.0,65.35947712418302,93.45794392523365,62.5,22.72727272727273,357.14285714285717
authoritarian_governance_tolerance|WVS_E,67.11409395973155,0.0,9999.0,92.59259259259258,73.52941176470588,72.46376811594203,175.43859649122805,49.26108374384237,9999.0,9999.0,9999.0,588.2352941176471,9999.0,9999.0,9999.0,9999.0,99.00990099009901,232.5581395348837,263.1578947368421,212.7659574468085,133.33333333333334,1000.0,181.81818181818184,93.45794392523365,9999.0,74.6268656716418,98.0392156862745,181.81818181818184,138.88888888888889,384.61538461538464,9999.0,9999.0,1000.0,9999.0,588.2352941176471,72.46376811594203,9999.0,9999.0,96.15384615384616,64.51612903225806,114.9425287356322,140.8450704225352,136.986301369863,163.93442622950818,9999.0,208.33333333333334,344.82758620689657,9999.0,181.81818181818184,250.0,62.893081761006286,92.59259259259258,322.5806451612903,9999.0,344.82758620689657
autocracy_support|WVS_E,54.054054054054056,9999.0,0.0,72.46376811594203,41.84100418410041,109.89010989010988,52.631578947368425,29.41176470588235,9999.0,9999.0,9999.0,70.92198581560284,9999.0,9999.0,9999.0,9999.0,50.25125628140703,178.57142857142858,454.5454545454545,714.2857142857143,500.0,192.30769230769232,101.010101010101,53.763440860215056,9999.0,142.85714285714286,50.25125628140703,166.66666666666666,95.23809523809523,192.30769230769232,9999.0,9999.0,142.85714285714286,9999.0,45.662100456621005,44.44444444444444,9999.0,9999.0,256.4102564102564,40.0,1000.0,166.66666666666666,555.5555555555555,46.51162790697675,9999.0,50.0,70.92198581560284,9999.0,76.33587786259541,101.010101010101,45.24886877828054,44.642857142857146,35.587188612099645,9999.0,400.0
basic_needs_deprivation|WVS_H,9999.0,92.59259259259258,72.46376811594203,0.0,416.6666666666667,102.04081632653062,71.42857142857143,117.6470588235294,1000.0,44.84304932735426,121.95121951219511,9999.0,333.3333333333333,147.05882352941177,128.2051282051282,49.504950495049506,9999.0,161.29032258064515,70.4225352112676,9999.0,84.03361344537815,40.16064257028113,1000.0,9999.0,95.23809523809523,44.44444444444444,64.93506493506493,121.95121951219511,45.24886877828054,9999.0,9999.0,63.69426751592357,285.7142857142857,9999.0,86.20689655172414,48.543689320388346,833.3333333333334,1000.0,9999.0,24.875621890547265,1000.0,333.3333333333333,138.88888888888889,123.4567901234568,434.7826086956522,111.11111111111111,111.11111111111111,238.0952380952381,9999.0,153.84615384615384,181.81818181818184,217.3913043478261,1000.0,35.842293906810035,121.95121951219511
child_qualities_autonomy_self_expression|WVS_A,67.11409395973155,73.52941176470588,41.84100418410041,416.6666666666667,0.0,9999.0,9999.0,13.10615989515072,76.92307692307692,64.1025641025641,36.90036900369004,71.94244604316548,192.30769230769232,156.25,22.88329519450801,24.213075060532685,23.148148148148145,43.66812227074236,57.14285714285714,94.33962264150944,40.48582995951417,19.193857965451055,9999.0,44.24778761061947,46.29629629629629,68.4931506849315,39.0625,33.11258278145695,181.81818181818184,65.78947368421052,9999.0,13.422818791946309,32.67973856209151,9999.0,21.413276231263385,37.3134328358209,12.626262626262625,112.35955056179776,27.17391304347826,128.2051282051282,1000.0,28.08988764044944,64.1025641025641,20.120724346076457,26.80965147453083,14.245014245014245,9999.0,26.954177897574123,77.51937984496124,9999.0,20.920502092050206,9999.0,9999.0,11.350737797956867,38.91050583657587
child_qualities_conformity_tradition|WVS_A,90.90909090909092,72.46376811594203,109.89010989010988,102.04081632653062,9999.0,0.0,9999.0,81.96721311475409,1000.0,138.88888888888889,1000.0,153.84615384615384,909.090909090909,89.28571428571429,172.41379310344828,1000.0,116.27906976744185,333.3333333333333,135.13513513513513,500.0,48.309178743961354,153.84615384615384,9999.0,243.90243902439022,263.1578947368421,35.587188612099645,103.09278350515464,1000.0,270.27027027027026,142.85714285714286,9999.0,85.47008547008546,1000.0,9999.0,1000.0,86.95652173913044,312.5,454.5454545454545,82.64462809917356,69.44444444444444,166.66666666666666,136.986301369863,322.5806451612903,126.58227848101265,90.90909090909092,232.5581395348837,9999.0,1000.0,120.48192771084337,9999.0,74.6268656716418,9999.0,9999.0,68.4931506849315,142.85714285714286
child_qualities_prosocial_diligence|WVS_A,63.69426751592357,175.43859649122805,52.631578947368425,71.42857142857143,9999.0,9999.0,0.0,24.03846153846154,114.9425287356322,75.75757575757576,47.84688995215311,42.73504273504273,86.95652173913044,212.7659574468085,38.91050583657587,1000.0,36.231884057971016,476.1904761904762,333.3333333333333,78.125,243.90243902439022,188.67924528301887,9999.0,52.631578947368425,86.20689655172414,80.64516129032258,39.37007874015748,263.1578947368421,37.174721189591075,105.26315789473685,9999.0,34.48275862068965,54.054054054054056,9999.0,26.38522427440633,41.1522633744856,29.069767441860463,200.0,588.2352941176471,35.46099290780142,104.16666666666667,44.642857142857146,109.89010989010988,22.93577981651376,45.04504504504504,41.32231404958678,9999.0,54.6448087431694,57.80346820809249,9999.0,45.04504504504504,9999.0,9999.0,17.98561151079137,169.49152542372883
civic_dishonesty_tolerance|WVS_F,43.66812227074236,49.26108374384237,29.41176470588235,117.6470588235294,13.10615989515072,81.96721311475409,24.03846153846154,0.0,59.880239520958085,104.16666666666667,29.32551319648094,62.893081761006286,119.04761904761905,75.75757575757576,18.45018450184502,22.72727272727273,17.33102253032929,45.45454545454546,61.34969325153375,49.504950495049506,67.56756756756756,18.832391713747647,35.714285714285715,35.587188612099645,41.84100418410041,1000.0,29.498525073746315,9999.0,666.6666666666666,66.66666666666667,9999.0,13.175230566534916,27.77777777777778,9999.0,17.6056338028169,27.77777777777778,11.299435028248588,109.89010989010988,21.413276231263385,9999.0,9999.0,9999.0,9999.0,16.69449081803005,26.109660574412533,9999.0,17.57469244288225,22.675736961451246,125.0,19.76284584980237,9999.0,12.01923076923077,11.135857461024498,9.40733772342427,40.983606557377044
confidence_in_civil_society_organizations|WVS_E,555.5555555555555,9999.0,9999.0,1000.0,76.92307692307692,1000.0,114.9425287356322,59.880239520958085,0.0,9999.0,9999.0,270.27027027027026,9999.0,9999.0,9999.0,9999.0,87.71929824561403,1000.0,555.5555555555555,114.9425287356322,1000.0,119.04761904761905,250.0,333.3333333333333,9999.0,250.0,142.85714285714286,222.22222222222223,227.27272727272725,384.61538461538464,9999.0,9999.0,95.23809523809523,9999.0,69.44444444444444,204.08163265306123,9999.0,9999.0,116.27906976744185,1000.0,285.7142857142857,83.33333333333333,125.0,63.291139240506325,9999.0,81.96721311475409,92.59259259259258,9999.0,1000.0,80.0,93.45794392523365,42.37288135593221,42.016806722689076,9999.0,238.0952380952381
confidence_in_domestic_institutions|WVS_E,66.66666666666667,9999.0,9999.0,44.84304932735426,64.1025641025641,138.88888888888889,75.75757575757576,104.16666666666667,9999.0,0.0,9999.0,61.34969325153375,9999.0,9999.0,9999.0,9999.0,238.0952380952381,51.81347150259067,43.66812227074236,138.88888888888889,40.65040650406504,21.83406113537118,135.13513513513513,169.49152542372883,9999.0,25.706940874035993,63.291139240506325,48.543689320388346,26.881720430107528,294.11764705882354,9999.0,9999.0,212.7659574468085,9999.0,86.20689655172414,62.5,9999.0,9999.0,36.63003663003663,19.23076923076923,144.92753623188406,166.66666666666666,192.30769230769232,142.85714285714286,9999.0,28.98550724637681,47.16981132075472,9999.0,23.20185614849188,69.93006993006993,120.48192771084337,294.11764705882354,434.7826086956522,9999.0,58.13953488372093
