,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,62.5,44.052863436123346,9999.0,166.66666666666666,1000.0,100.0,166.66666666666666,454.5454545454545,163.93442622950818,75.75757575757576,9999.0,285.7142857142857,65.78947368421052,105.26315789473685,294.11764705882354,9999.0,46.29629629629629,142.85714285714286,9999.0,91.74311926605505,277.77777777777777,56.497175141242934,9999.0,24.509803921568626,44.052863436123346,20.28397565922921,172.41379310344828,1000.0,9999.0,9999.0,16.051364365971107,99.00990099009901,31.746031746031747,24.330900243309003,39.37007874015748,41.32231404958678,136.986301369863,9999.0,51.02040816326531,53.763440860215056,22.779043280182233,178.57142857142858,46.51162790697675,56.17977528089888,204.08163265306123,20.408163265306122,131.57894736842104,9999.0,109.89010989010988,77.51937984496124,22.98850574712644,19.047619047619047,52.35602094240838,68.4931506849315
authoritarian_governance_tolerance|WVS_E,62.5,0.0,9999.0,238.0952380952381,123.4567901234568,153.84615384615384,142.85714285714286,50.76142131979696,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,57.14285714285714,416.6666666666667,104.16666666666667,135.13513513513513,69.93006993006993,19.569471624266146,625.0,9999.0,9999.0,38.91050583657587,28.57142857142857,21.598272138228943,384.61538461538464,68.4931506849315,9999.0,9999.0,93.45794392523365,9999.0,227.27272727272725,400.0,9999.0,9999.0,83.33333333333333,21.14164904862579,37.03703703703704,19.68503937007874,26.109660574412533,89.28571428571429,9999.0,23.809523809523807,31.545741324921135,9999.0,23.980815347721823,500.0,24.271844660194173,106.38297872340425,96.15384615384616,9999.0,153.84615384615384
autocracy_support|WVS_E,44.052863436123346,9999.0,0.0,166.66666666666666,47.84688995215311,116.27906976744185,121.95121951219511,24.875621890547265,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,34.602076124567475,128.2051282051282,128.2051282051282,71.94244604316548,62.11180124223603,9.18273645546373,144.92753623188406,9999.0,9999.0,35.587188612099645,17.152658662092627,11.481056257175661,243.90243902439022,48.309178743961354,9999.0,9999.0,48.543689320388346,9999.0,212.7659574468085,1000.0,9999.0,9999.0,57.14285714285714,11.862396204033216,17.094017094017094,10.526315789473685,15.873015873015873,38.167938931297705,9999.0,12.077294685990339,19.342359767891683,9999.0,13.35113484646195,344.82758620689657,11.933174224343675,44.642857142857146,78.125,9999.0,56.497175141242934
basic_needs_deprivation|WVS_H,9999.0,238.0952380952381,166.66666666666666,0.0,400.0,344.82758620689657,333.3333333333333,113.63636363636363,909.090909090909,277.77777777777777,204.08163265306123,9999.0,131.57894736842104,119.04761904761905,1000.0,103.09278350515464,9999.0,1000.0,78.74015748031496,9999.0,123.4567901234568,32.362459546925564,1000.0,9999.0,188.67924528301887,101.010101010101,217.3913043478261,62.5,192.30769230769232,9999.0,9999.0,95.23809523809523,200.0,270.27027027027026,94.33962264150944,128.2051282051282,136.986301369863,126.58227848101265,9999.0,71.42857142857143,1000.0,114.9425287356322,526.3157894736842,416.6666666666667,90.90909090909092,58.8235294117647,185.18518518518516,82.64462809917356,9999.0,123.4567901234568,85.47008547008546,270.27027027027026,105.26315789473685,30.8641975308642,100.0
child_qualities_autonomy_self_expression|WVS_A,166.66666666666666,123.4567901234568,47.84688995215311,400.0,0.0,9999.0,9999.0,69.93006993006993,169.49152542372883,147.05882352941177,133.33333333333334,1000.0,98.0392156862745,54.94505494505494,416.6666666666667,243.90243902439022,147.05882352941177,85.47008547008546,322.5806451612903,312.5,227.27272727272725,29.069767441860463,9999.0,9999.0,123.4567901234568,147.05882352941177,169.49152542372883,30.8641975308642,1000.0,1000.0,9999.0,37.87878787878788,238.0952380952381,270.27027027027026,147.05882352941177,175.43859649122805,37.03703703703704,263.1578947368421,303.03030303030306,54.6448087431694,42.918454935622314,51.54639175257732,57.14285714285714,49.01960784313725,1000.0,33.222591362126245,9999.0,107.52688172043011,71.42857142857143,9999.0,27.247956403269754,9999.0,9999.0,1000.0,91.74311926605505
child_qualities_conformity_tradition|WVS_A,1000.0,153.84615384615384,116.27906976744185,344.82758620689657,9999.0,0.0,9999.0,113.63636363636363,1000.0,1000.0,227.27272727272725,95.23809523809523,384.61538461538464,588.2352941176471,625.0,555.5555555555555,117.6470588235294,227.27272727272725,95.23809523809523,370.3703703703703,98.0392156862745,85.47008547008546,9999.0,9999.0,1000.0,66.2251655629139,153.84615384615384,60.6060606060606,769.2307692307693,256.4102564102564,9999.0,66.66666666666667,1000.0,142.85714285714286,185.18518518518516,384.61538461538464,285.7142857142857,192.30769230769232,454.5454545454545,61.34969325153375,294.11764705882354,79.36507936507937,38.75968992248062,163.93442622950818,133.33333333333334,60.6060606060606,9999.0,106.38297872340425,105.26315789473685,9999.0,64.1025641025641,9999.0,9999.0,196.078431372549,188.67924528301887
child_qualities_prosocial_diligence|WVS_A,100.0,142.85714285714286,121.95121951219511,333.3333333333333,9999.0,9999.0,0.0,333.3333333333333,1000.0,1000.0,142.85714285714286,1000.0,270.27027027027026,476.1904761904762,1000.0,434.7826086956522,188.67924528301887,357.14285714285717,175.43859649122805,400.0,109.89010989010988,158.73015873015873,9999.0,9999.0,95.23809523809523,67.11409395973155,67.11409395973155,96.15384615384616,909.090909090909,116.27906976744185,9999.0,196.078431372549,357.14285714285717,90.90909090909092,169.49152542372883,256.4102564102564,153.84615384615384,158.73015873015873,129.87012987012986,71.42857142857143,256.4102564102564,55.55555555555556,67.56756756756756,333.3333333333333,101.010101010101,126.58227848101265,9999.0,103.09278350515464,60.975609756097555,9999.0,222.22222222222223,9999.0,9999.0,303.03030303030306,833.3333333333334
civic_dishonesty_tolerance|WVS_F,166.66666666666666,50.76142131979696,24.875621890547265,113.63636363636363,69.93006993006993,113.63636363636363,333.3333333333333,0.0,172.41379310344828,270.27027027027026,500.0,35.08771929824561,1000.0,74.6268656716418,1000.0,117.6470588235294,36.101083032490976,65.78947368421052,55.24861878453038,101.010101010101,77.51937984496124,11.862396204033216,76.33587786259541,9999.0,277.77777777777777,56.81818181818181,51.02040816326531,9999.0,153.84615384615384,147.05882352941177,9999.0,19.157088122605362,86.95652173913044,59.523809523809526,45.04504504504504,58.13953488372093,41.32231404958678,112.35955056179776,714.2857142857143,9999.0,9999.0,9999.0,9999.0,34.72222222222222,51.54639175257732,9999.0,58.13953488372093,82.64462809917356,32.25806451612903,1000.0,9999.0,181.81818181818184,81.30081300813008,23.696682464454977,454.5454545454545
confidence_in_civil_society_organizations|WVS_E,454.5454545454545,9999.0,9999.0,909.090909090909,169.49152542372883,1000.0,1000.0,172.41379310344828,0.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,416.6666666666667,212.7659574468085,416.6666666666667,909.090909090909,416.6666666666667,71.94244604316548,270.27027027027026,9999.0,9999.0,312.5,476.1904761904762,78.74015748031496,1000.0,1000.0,9999.0,9999.0,555.5555555555555,9999.0,370.3703703703703,500.0,9999.0,9999.0,625.0,144.92753623188406,105.26315789473685,123.4567901234568,169.49152542372883,129.87012987012986,9999.0,83.33333333333333,1000.0,9999.0,175.43859649122805,227.27272727272725,67.11409395973155,1000.0,158.73015873015873,9999.0,200.0
confidence_in_domestic_institutions|WVS_E,163.93442622950818,9999.0,9999.0,277.77777777777777,147.05882352941177,1000.0,1000.0,270.27027027027026,9999.0,0.0,9999.0,86.95652173913044,9999.0,9999.0,9999.0,9999.0,666.6666666666666,666.6666666666666,196.078431372549,769.2307692307693,1000.0,144.92753623188406,714.2857142857143,9999.0,9999.0,625.0,78.74015748031496,71.42857142857143,476.1904761904762,87.71929824561403,9999.0,9999.0,416.6666666666667,9999.0,126.58227848101265,204.08163265306123,9999.0,9999.0,161.29032258064515,87.71929824561403,66.66666666666667,52.083333333333336,65.78947368421052,238.0952380952381,9999.0,96.15384615384616,84.03361344537815,9999.0,59.523809523809526,217.3913043478261,78.74015748031496,256.4102564102564,333.3333333333333,9999.0,99.00990099009901
