,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,166.66666666666666,144.92753623188406,9999.0,116.27906976744185,78.125,73.52941176470588,222.22222222222223,434.7826086956522,181.81818181818184,303.03030303030306,9999.0,1000.0,277.77777777777777,192.30769230769232,112.35955056179776,9999.0,70.92198581560284,144.92753623188406,9999.0,142.85714285714286,14.992503748125937,87.71929824561403,9999.0,107.52688172043011,90.09009009009009,90.09009009009009,1000.0,120.48192771084337,9999.0,9999.0,34.96503496503497,74.6268656716418,9999.0,204.08163265306123,91.74311926605505,60.6060606060606,87.71929824561403,9999.0,322.5806451612903,33.67003367003367,625.0,121.95121951219511,434.7826086956522,1000.0,1000.0,121.95121951219511,232.5581395348837,9999.0,81.96721311475409,1000.0,9999.0,9999.0,49.504950495049506,86.20689655172414
authoritarian_governance_tolerance|WVS_E,166.66666666666666,0.0,9999.0,52.083333333333336,769.2307692307693,79.36507936507937,169.49152542372883,222.22222222222223,9999.0,9999.0,9999.0,65.35947712418302,9999.0,9999.0,9999.0,9999.0,9999.0,58.47953216374269,69.93006993006993,62.5,81.96721311475409,21.73913043478261,88.49557522123894,44.44444444444444,9999.0,526.3157894736842,1000.0,94.33962264150944,85.47008547008546,52.91005291005291,9999.0,9999.0,181.81818181818184,9999.0,1000.0,114.9425287356322,9999.0,9999.0,84.74576271186442,108.69565217391305,32.154340836012864,49.504950495049506,98.0392156862745,116.27906976744185,9999.0,166.66666666666666,185.18518518518516,9999.0,107.52688172043011,833.3333333333334,227.27272727272725,9999.0,9999.0,9999.0,55.24861878453038
autocracy_support|WVS_E,144.92753623188406,9999.0,0.0,56.81818181818181,175.43859649122805,204.08163265306123,156.25,285.7142857142857,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,322.5806451612903,1000.0,200.0,169.49152542372883,42.19409282700422,111.11111111111111,192.30769230769232,9999.0,222.22222222222223,196.078431372549,344.82758620689657,555.5555555555555,370.3703703703703,9999.0,9999.0,163.93442622950818,9999.0,1000.0,416.6666666666667,9999.0,9999.0,588.2352941176471,1000.0,163.93442622950818,153.84615384615384,166.66666666666666,333.3333333333333,9999.0,769.2307692307693,192.30769230769232,9999.0,400.0,161.29032258064515,1000.0,9999.0,9999.0,9999.0,1000.0
basic_needs_deprivation|WVS_H,9999.0,52.083333333333336,56.81818181818181,0.0,56.81818181818181,142.85714285714286,55.865921787709496,77.51937984496124,108.69565217391305,175.43859649122805,400.0,9999.0,526.3157894736842,74.07407407407408,104.16666666666667,344.82758620689657,9999.0,1000.0,128.2051282051282,9999.0,30.395136778115504,13.404825737265416,32.467532467532465,9999.0,27.932960893854748,50.25125628140703,49.504950495049506,68.9655172413793,555.5555555555555,9999.0,9999.0,11.1731843575419,59.523809523809526,9999.0,217.3913043478261,131.57894736842104,16.051364365971107,1000.0,9999.0,140.8450704225352,105.26315789473685,29.498525073746315,1000.0,64.93506493506493,86.20689655172414,96.15384615384616,47.39336492890995,78.125,9999.0,50.5050505050505,238.0952380952381,9999.0,9999.0,53.763440860215056,222.22222222222223
child_qualities_autonomy_self_expression|WVS_A,116.27906976744185,769.2307692307693,175.43859649122805,56.81818181818181,0.0,9999.0,9999.0,140.8450704225352,161.29032258064515,666.6666666666666,181.81818181818184,200.0,344.82758620689657,500.0,256.4102564102564,769.2307692307693,9999.0,178.57142857142858,1000.0,769.2307692307693,666.6666666666666,56.17977528089888,9999.0,89.28571428571429,909.090909090909,833.3333333333334,256.4102564102564,714.2857142857143,303.03030303030306,93.45794392523365,9999.0,27.3224043715847,78.125,9999.0,277.77777777777777,212.7659574468085,46.08294930875576,666.6666666666666,454.5454545454545,526.3157894736842,95.23809523809523,85.47008547008546,62.5,250.0,277.77777777777777,666.6666666666666,9999.0,196.078431372549,232.5581395348837,9999.0,400.0,9999.0,9999.0,52.91005291005291,384.61538461538464
child_qualities_conformity_tradition|WVS_A,78.125,79.36507936507937,204.08163265306123,142.85714285714286,9999.0,0.0,9999.0,322.5806451612903,416.6666666666667,60.6060606060606,500.0,78.125,384.61538461538464,1000.0,112.35955056179776,178.57142857142858,9999.0,48.78048780487805,135.13513513513513,99.00990099009901,178.57142857142858,16.722408026755854,9999.0,93.45794392523365,63.291139240506325,277.77777777777777,1000.0,128.2051282051282,50.76142131979696,151.51515151515153,9999.0,161.29032258064515,71.94244604316548,9999.0,109.89010989010988,454.5454545454545,37.735849056603776,192.30769230769232,71.42857142857143,71.94244604316548,34.72222222222222,43.10344827586207,25.188916876574307,111.11111111111111,140.8450704225352,135.13513513513513,9999.0,500.0,476.1904761904762,9999.0,333.3333333333333,9999.0,9999.0,20.876826722338205,56.17977528089888
child_qualities_prosocial_diligence|WVS_A,73.52941176470588,169.49152542372883,156.25,55.865921787709496,9999.0,9999.0,0.0,156.25,185.18518518518516,138.88888888888889,500.0,95.23809523809523,357.14285714285717,588.2352941176471,153.84615384615384,181.81818181818184,9999.0,72.46376811594203,200.0,1000.0,303.03030303030306,21.14164904862579,9999.0,48.543689320388346,112.35955056179776,357.14285714285717,172.41379310344828,370.3703703703703,104.16666666666667,60.6060606060606,9999.0,33.67003367003367,59.880239520958085,9999.0,555.5555555555555,126.58227848101265,86.20689655172414,147.05882352941177,200.0,303.03030303030306,40.48582995951417,1000.0,39.8406374501992,1000.0,1000.0,270.27027027027026,9999.0,1000.0,416.6666666666667,9999.0,1000.0,9999.0,9999.0,32.154340836012864,86.20689655172414
civic_dishonesty_tolerance|WVS_F,222.22222222222223,222.22222222222223,285.7142857142857,77.51937984496124,140.8450704225352,322.5806451612903,156.25,0.0,151.51515151515153,909.090909090909,112.35955056179776,322.5806451612903,217.3913043478261,1000.0,357.14285714285717,344.82758620689657,9999.0,1000.0,312.5,227.27272727272725,153.84615384615384,90.90909090909092,62.5,909.090909090909,158.73015873015873,135.13513513513513,1000.0,9999.0,1000.0,270.27027027027026,9999.0,30.487804878048777,102.04081632653062,9999.0,333.3333333333333,1000.0,48.78048780487805,370.3703703703703,135.13513513513513,9999.0,9999.0,9999.0,9999.0,263.1578947368421,222.22222222222223,9999.0,161.29032258064515,116.27906976744185,128.2051282051282,140.8450704225352,9999.0,9999.0,9999.0,62.5,625.0
confidence_in_civil_society_organizations|WVS_E,434.7826086956522,9999.0,9999.0,108.69565217391305,161.29032258064515,416.6666666666667,185.18518518518516,151.51515151515153,0.0,9999.0,9999.0,500.0,9999.0,9999.0,9999.0,9999.0,9999.0,769.2307692307693,294.11764705882354,263.1578947368421,135.13513513513513,53.763440860215056,71.42857142857143,909.090909090909,9999.0,113.63636363636363,769.2307692307693,909.090909090909,1000.0,454.5454545454545,9999.0,9999.0,129.87012987012986,9999.0,357.14285714285717,1000.0,9999.0,9999.0,119.04761904761905,250.0,232.5581395348837,81.96721311475409,57.80346820809249,322.5806451612903,9999.0,476.1904761904762,204.08163265306123,9999.0,138.88888888888889,185.18518518518516,270.27027027027026,9999.0,9999.0,9999.0,370.3703703703703
confidence_in_domestic_institutions|WVS_E,181.81818181818184,9999.0,9999.0,175.43859649122805,666.6666666666666,60.6060606060606,138.88888888888889,909.090909090909,9999.0,0.0,9999.0,107.52688172043011,9999.0,9999.0,9999.0,9999.0,9999.0,72.99270072992701,140.8450704225352,769.2307692307693,153.84615384615384,33.11258278145695,117.6470588235294,138.88888888888889,9999.0,1000.0,434.7826086956522,133.33333333333334,78.125,238.0952380952381,9999.0,9999.0,181.81818181818184,9999.0,149.2537313432836,909.090909090909,9999.0,9999.0,104.16666666666667,100.0,56.81818181818181,51.282051282051285,46.728971962616825,117.6470588235294,9999.0,185.18518518518516,192.30769230769232,9999.0,714.2857142857143,303.03030303030306,322.5806451612903,9999.0,9999.0,9999.0,84.03361344537815
