,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,476.1904761904762,1000.0,9999.0,666.6666666666666,1000.0,303.03030303030306,588.2352941176471,476.1904761904762,526.3157894736842,1000.0,9999.0,238.0952380952381,238.0952380952381,1000.0,217.3913043478261,9999.0,714.2857142857143,144.92753623188406,9999.0,243.90243902439022,153.84615384615384,1000.0,9999.0,312.5,400.0,714.2857142857143,333.3333333333333,1000.0,9999.0,185.18518518518516,163.93442622950818,526.3157894736842,243.90243902439022,666.6666666666666,500.0,1000.0,243.90243902439022,9999.0,285.7142857142857,149.2537313432836,526.3157894736842,232.5581395348837,1000.0,128.2051282051282,172.41379310344828,303.03030303030306,227.27272727272725,9999.0,1000.0,138.88888888888889,196.078431372549,192.30769230769232,9999.0,526.3157894736842
authoritarian_governance_tolerance|WVS_E,476.1904761904762,0.0,9999.0,200.0,263.1578947368421,303.03030303030306,238.0952380952381,1000.0,9999.0,9999.0,9999.0,147.05882352941177,9999.0,9999.0,9999.0,9999.0,243.90243902439022,1000.0,625.0,714.2857142857143,1000.0,53.475935828877,500.0,312.5,9999.0,106.38297872340425,121.95121951219511,1000.0,312.5,250.0,9999.0,9999.0,222.22222222222223,9999.0,303.03030303030306,294.11764705882354,9999.0,9999.0,178.57142857142858,1000.0,270.27027027027026,357.14285714285717,833.3333333333334,1000.0,9999.0,666.6666666666666,238.0952380952381,9999.0,416.6666666666667,217.3913043478261,1000.0,151.51515151515153,149.2537313432836,9999.0,192.30769230769232
autocracy_support|WVS_E,1000.0,9999.0,0.0,500.0,1000.0,1000.0,1000.0,1000.0,9999.0,9999.0,9999.0,769.2307692307693,9999.0,9999.0,9999.0,9999.0,769.2307692307693,1000.0,1000.0,1000.0,1000.0,135.13513513513513,1000.0,1000.0,9999.0,312.5,500.0,1000.0,1000.0,1000.0,9999.0,9999.0,1000.0,9999.0,666.6666666666666,1000.0,9999.0,9999.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,9999.0,1000.0,1000.0,9999.0,1000.0,1000.0,1000.0,909.090909090909,909.090909090909,9999.0,1000.0
basic_needs_deprivation|WVS_H,9999.0,200.0,500.0,0.0,227.27272727272725,263.1578947368421,1000.0,1000.0,476.1904761904762,285.7142857142857,119.04761904761905,9999.0,344.82758620689657,303.03030303030306,285.7142857142857,144.92753623188406,9999.0,153.84615384615384,204.08163265306123,9999.0,107.52688172043011,16.89189189189189,1000.0,9999.0,117.6470588235294,62.11180124223603,80.0,196.078431372549,333.3333333333333,9999.0,500.0,500.0,303.03030303030306,1000.0,158.73015873015873,222.22222222222223,86.20689655172414,111.11111111111111,9999.0,250.0,227.27272727272725,1000.0,500.0,357.14285714285717,1000.0,175.43859649122805,312.5,172.41379310344828,9999.0,135.13513513513513,90.09009009009009,322.5806451612903,344.82758620689657,9999.0,172.41379310344828
child_qualities_autonomy_self_expression|WVS_A,666.6666666666666,263.1578947368421,1000.0,227.27272727272725,0.0,9999.0,9999.0,454.5454545454545,151.51515151515153,169.49152542372883,227.27272727272725,27.932960893854748,151.51515151515153,238.0952380952381,161.29032258064515,185.18518518518516,500.0,1000.0,120.48192771084337,222.22222222222223,666.6666666666666,34.24657534246575,9999.0,92.59259259259258,129.87012987012986,294.11764705882354,90.90909090909092,370.3703703703703,76.92307692307692,68.4931506849315,153.84615384615384,1000.0,133.33333333333334,169.49152542372883,909.090909090909,454.5454545454545,52.631578947368425,185.18518518518516,79.36507936507937,76.33587786259541,357.14285714285717,208.33333333333334,120.48192771084337,588.2352941176471,833.3333333333334,147.05882352941177,9999.0,1000.0,909.090909090909,9999.0,93.45794392523365,9999.0,9999.0,9999.0,136.986301369863
child_qualities_conformity_tradition|WVS_A,1000.0,303.03030303030306,1000.0,263.1578947368421,9999.0,0.0,9999.0,1000.0,1000.0,1000.0,1000.0,76.92307692307692,322.5806451612903,833.3333333333334,434.7826086956522,666.6666666666666,588.2352941176471,1000.0,909.090909090909,526.3157894736842,1000.0,41.84100418410041,9999.0,243.90243902439022,312.5,149.2537313432836,140.8450704225352,1000.0,232.5581395348837,178.57142857142858,1000.0,344.82758620689657,270.27027027027026,1000.0,476.1904761904762,416.6666666666667,101.010101010101,196.078431372549,188.67924528301887,285.7142857142857,833.3333333333334,400.0,666.6666666666666,1000.0,312.5,714.2857142857143,9999.0,333.3333333333333,666.6666666666666,9999.0,333.3333333333333,9999.0,9999.0,9999.0,217.3913043478261
child_qualities_prosocial_diligence|WVS_A,303.03030303030306,238.0952380952381,1000.0,1000.0,9999.0,9999.0,0.0,588.2352941176471,714.2857142857143,666.6666666666666,294.11764705882354,714.2857142857143,92.59259259259258,270.27027027027026,909.090909090909,178.57142857142858,250.0,250.0,123.4567901234568,1000.0,135.13513513513513,144.92753623188406,9999.0,344.82758620689657,384.61538461538464,434.7826086956522,172.41379310344828,222.22222222222223,175.43859649122805,909.090909090909,192.30769230769232,114.9425287356322,156.25,303.03030303030306,1000.0,322.5806451612903,109.89010989010988,156.25,79.36507936507937,1000.0,93.45794392523365,172.41379310344828,344.82758620689657,625.0,85.47008547008546,158.73015873015873,9999.0,212.7659574468085,333.3333333333333,9999.0,129.87012987012986,9999.0,9999.0,9999.0,175.43859649122805
civic_dishonesty_tolerance|WVS_F,588.2352941176471,1000.0,1000.0,1000.0,454.5454545454545,1000.0,588.2352941176471,0.0,833.3333333333334,769.2307692307693,1000.0,123.4567901234568,400.0,384.61538461538464,909.090909090909,256.4102564102564,454.5454545454545,666.6666666666666,192.30769230769232,909.090909090909,303.03030303030306,112.35955056179776,1000.0,277.77777777777777,333.3333333333333,1000.0,1000.0,9999.0,833.3333333333334,285.7142857142857,256.4102564102564,277.77777777777777,1000.0,357.14285714285717,1000.0,1000.0,769.2307692307693,666.6666666666666,625.0,9999.0,9999.0,9999.0,9999.0,1000.0,208.33333333333334,9999.0,588.2352941176471,416.6666666666667,1000.0,625.0,9999.0,357.14285714285717,357.14285714285717,9999.0,1000.0
confidence_in_civil_society_organizations|WVS_E,476.1904761904762,9999.0,9999.0,476.1904761904762,151.51515151515153,1000.0,714.2857142857143,833.3333333333334,0.0,9999.0,9999.0,90.09009009009009,9999.0,9999.0,9999.0,9999.0,303.03030303030306,588.2352941176471,243.90243902439022,714.2857142857143,1000.0,588.2352941176471,303.03030303030306,476.1904761904762,9999.0,181.81818181818184,1000.0,1000.0,200.0,243.90243902439022,9999.0,9999.0,769.2307692307693,9999.0,303.03030303030306,714.2857142857143,9999.0,9999.0,256.4102564102564,172.41379310344828,434.7826086956522,769.2307692307693,222.22222222222223,555.5555555555555,9999.0,312.5,769.2307692307693,9999.0,1000.0,384.61538461538464,333.3333333333333,1000.0,1000.0,9999.0,1000.0
confidence_in_domestic_institutions|WVS_E,526.3157894736842,9999.0,9999.0,285.7142857142857,169.49152542372883,1000.0,666.6666666666666,769.2307692307693,9999.0,0.0,9999.0,119.04761904761905,9999.0,9999.0,9999.0,9999.0,277.77777777777777,400.0,322.5806451612903,1000.0,625.0,83.33333333333333,303.03030303030306,1000.0,9999.0,149.2537313432836,625.0,1000.0,217.3913043478261,384.61538461538464,9999.0,9999.0,833.3333333333334,9999.0,250.0,526.3157894736842,9999.0,9999.0,232.5581395348837,200.0,625.0,833.3333333333334,256.4102564102564,476.1904761904762,9999.0,526.3157894736842,555.5555555555555,9999.0,833.3333333333334,666.6666666666666,666.6666666666666,1000.0,1000.0,9999.0,1000.0
confidence_in_international_organizations|WVS_E,1000.0,9999.0,9999.0,119.04761904761905,227.27272727272725,1000.0,294.11764705882354,1000.0,9999.0,9999.0,0.0,217.3913043478261,9999.0,9999.0,9999.0,9999.0,232.5581395348837,153.84615384615384,370.3703703703703,769.2307692307693,125.0,25.25252525252525,263.1578947368421,163.93442622950818,9999.0,76.92307692307692,153.84615384615384,243.90243902439022,270.27027027027026,322.5806451612903,9999.0,9999.0,909.090909090909,9999.0,147.05882352941177,294.11764705882354,9999.0,9999.0,161.29032258064515,476.1904761904762,227.27272727272725,400.0,714.2857142857143,285.7142857142857,9999.0,322.5806451612903,1000.0,9999.0,909.090909090909,588.2352941176471,123.4567901234568,1000.0,1000.0,9999.0,666.6666666666666
crime_victimization|WVS_H,9999.0,147.05882352941177,769.2307692307693,9999.0,27.932960893854748,76.92307692307692,714.2857142857143,123.4567901234568,90.09009009009009,119.04761904761905,217.3913043478261,0.0,136.986301369863,78.74015748031496,60.6060606060606,31.847133757961785,9999.0,64.93506493506493,23.809523809523807,9999.0,42.37288135593221,6.901311249137336,80.0,9999.0,29.58579881656805,49.01960784313725,30.211480362537767,43.10344827586207,44.052863436123346,9999.0,38.75968992248062,84.74576271186442,108.69565217391305,48.07692307692308,212.7659574468085,212.7659574468085,24.154589371980677,97.08737864077669,9999.0,31.446540880503143,34.602076124567475,454.5454545454545,35.08771929824561,909.090909090909,42.19409282700422,32.25806451612903,666.6666666666666,227.27272727272725,9999.0,34.36426116838488,19.193857965451055,625.0,416.6666666666667,9999.0,74.6268656716418
democratic_system_evaluation|WVS_E,238.0952380952381,9999.0,9999.0,344.82758620689657,151.51515151515153,322.5806451612903,92.59259259259258,400.0,9999.0,9999.0,9999.0,136.986301369863,0.0,9999.0,9999.0,9999.0,227.27272727272725,135.13513513513513,82.64462809917356,769.2307692307693,76.33587786259541,32.467532467532465,181.81818181818184,125.0,9999.0,277.77777777777777,454.5454545454545,123.4567901234568,158.73015873015873,384.61538461538464,9999.0,9999.0,142.85714285714286,9999.0,476.1904761904762,370.3703703703703,9999.0,9999.0,64.1025641025641,1000.0,65.35947712418302,140.8450704225352,185.18518518518516,312.5,9999.0,92.59259259259258,166.66666666666666,9999.0,312.5,909.090909090909,66.66666666666667,80.0,80.0,9999.0,185.18518518518516
democratic_values_importance|WVS_E,238.0952380952381,9999.0,9999.0,303.03030303030306,238.0952380952381,833.3333333333334,270.27027027027026,384.61538461538464,9999.0,9999.0,9999.0,78.74015748031496,9999.0,0.0,9999.0,9999.0,166.66666666666666,1000.0,102.04081632653062,714.2857142857143,256.4102564102564,294.11764705882354,909.090909090909,232.5581395348837,9999.0,138.88888888888889,303.03030303030306,277.77777777777777,500.0,217.3913043478261,9999.0,9999.0,454.5454545454545,9999.0,238.0952380952381,312.5,9999.0,9999.0,303.03030303030306,178.57142857142858,107.52688172043011,526.3157894736842,147.05882352941177,833.3333333333334,9999.0,126.58227848101265,208.33333333333334,9999.0,357.14285714285717,1000.0,107.52688172043011,136.986301369863,140.8450704225352,9999.0,333.3333333333333
economic_ideology|WVS_E,1000.0,9999.0,9999.0,285.7142857142857,161.29032258064515,434.7826086956522,909.090909090909,909.090909090909,9999.0,9999.0,9999.0,60.6060606060606,9999.0,9999.0,0.0,9999.0,1000.0,500.0,204.08163265306123,434.7826086956522,312.5,49.01960784313725,434.7826086956522,161.29032258064515,9999.0,227.27272727272725,181.81818181818184,400.0,238.0952380952381,138.88888888888889,9999.0,9999.0,416.6666666666667,9999.0,1000.0,714.2857142857143,9999.0,9999.0,357.14285714285717,196.078431372549,344.82758620689657,1000.0,285.7142857142857,1000.0,9999.0,250.0,1000.0,9999.0,1000.0,181.81818181818184,140.8450704225352,909.090909090909,833.3333333333334,9999.0,294.11764705882354
