country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2,ricci_mean,ricci_min,frac_negative_ricci,fiedler_value,spectral_gap,spectral_entropy,top_mediator,top_mediator_score,n_triangle_violations
ALB,Orthodox/ex-Communist,23,2,0,5.9079951494932175,0.1686757355928421,0.0,1.0,0.0875555574893951,0.0,2.828677251738147,1.0759117254450643,24,5,0,1.0,1.0,0.0,0.674291,0.674291,3.1216,gender_role_traditionalism|WVS_D,1077523.1532,326
AUS,English-speaking,22,0,0,4.264556385576725,0.0278849303722381,0.0,1.0,0.0278849303722381,0.0,2.7480837702208394,-1.000088900581841e-12,24,1,0,0.9996,0.9323,0.0,0.757104,0.757104,3.1264,gender_role_traditionalism|WVS_D,1198040.8708,346
BGD,South/Southeast Asian,23,0,0,9.359303131699562,0.0840585082769393,0.0,1.0,0.047437846660614,0.0,2.7712191337500074,0.9861207104065272,24,3,0,1.0,1.0,0.0,0.634362,0.634362,3.1198,religious_belief|WVS_F,877847.2277,204
BGR,Orthodox/ex-Communist,23,1,0,5.53455488756299,0.0907467156648635,0.0,1.0,0.0867470353841781,0.0,2.7679464898798054,0.2073279769772049,24,3,0,1.0,0.9996,0.0,0.647237,0.647237,3.1237,gender_role_traditionalism|WVS_D,1084278.3714,314
BIH,Orthodox/ex-Communist,23,6,0,4.723621025681496,0.6220221817493439,0.0,1.0,0.0783324986696243,0.0,2.856415316629033,2.425045178722492,24,13,0,1.0,1.0,0.0,0.716306,0.716306,3.1206,gender_role_traditionalism|WVS_D,1214066.7131,352
BLR,Orthodox/ex-Communist,21,0,0,4.438857983797789,0.2082500234246254,0.0164860561490058,1.0,0.0361075103282928,0.0099066495895385,2.696089232828985,2.4827219122094677,24,16,3,1.0,1.0,0.0,0.697669,0.697669,3.1234,gender_role_traditionalism|WVS_D,1199713.1296,310
BRA,Latin America,20,1,0,4.732135994359851,0.0856036692857742,0.0,1.0,0.0784313678741455,0.0,2.547422072372834,0.3450818859341698,24,3,0,1.0,1.0,0.0,0.650025,0.650025,3.1224,gender_role_traditionalism|WVS_D,1085967.1609,338
CHE,Protestant Europe,23,0,0,4.955025911331177,0.050604224205017,0.0,1.0,0.0256081074476242,0.0,2.6127022621569207,1.2215747983290846,24,4,0,1.0,1.0,0.0,0.82406,0.82406,3.1265,job_scarcity_nativist_preference|WVS_C,1180380.877,272
CHL,Latin America,23,2,0,4.552394330501556,0.4929587692022323,0.0017171651124954,1.0,0.0676731765270233,0.0017171651124954,2.826138087743006,2.7360022787492557,24,19,1,1.0,1.0,0.0,0.671993,0.671993,3.1225,job_scarcity_gender_discrimination|WVS_C,1170817.2881,326
CHN,Confucian,23,0,0,8.593637943267822,0.015172004699707,0.0,1.0,0.015172004699707,0.0,2.6611117363996684,-1.000088900581841e-12,24,1,0,1.0,1.0,0.0,0.676569,0.676569,3.1231,job_scarcity_nativist_preference|WVS_C,666874.442,206
