construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0,326.21819167542776,25.140078088499635,0.0,9944.646035690084,9956.406103921887,9958.565440463877,0.0,9952.851929875791,0.0,16.09172617906399,34.600161642810974,75.78060418122212,0.0,9973.075724698565,9937.57048748353,35.70900667082988,924.7222348889647,0.0,0.0,9954.57441992077,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,0.0,0.0,9958.242078218977,9964.259969402472,0.5528301149873798,3.5458340812242923,0.0,0.0,0.0,0.0,0.2976526803995867,9974.81674466513,10.656771511421471,36.76962903473647,0.0,0.0,128.26536474085287,2.7796189487615024,6.362900147321859,0.0,9980.794360936863,64.1410459375627,9984.511521912089,0.0
child_qualities_conformity_tradition|WVS_A,326.21819167542776,9958.242078218977,0.0,9940.072055906452,50.0895846832584,7.869973904060203,0.0,0.0,0.0,21.377549310340235,486.19176242429785,9950.62883116911,119.82015111885008,65.26370787588155,17.2655531687956,3.6281653939692333,0.0,0.0,0.0,115.21180675599932,9956.606447440843,29.23884672725731,9960.323608416069,0.0
child_qualities_prosocial_diligence|WVS_A,25.140078088499635,9964.259969402472,9940.072055906452,0.0,17.278324134376163,77.37992857961899,58.378149239493766,112.37661672577838,0.0,124.23570438276323,17.17591541616025,9956.646722352605,128.86284569012514,458.7084996441721,11.085644835323748,0.0,76.57043821376908,959.4206797596628,120.06365254510726,9.050210760007431,9962.624338624339,945.9710236250382,9966.341499599564,0.0
civic_dishonesty_tolerance|WVS_F,0.0,0.5528301149873798,50.0895846832584,17.278324134376163,0.0,0.0,0.0,1.1713830969278973,0.0,3.9990186659290146,0.0,0.8813100113495551,11.51585204977777,948.817646354702,9982.842458748795,0.0,0.0,9974.845615943877,9938.007675438597,9982.808480277556,6.227285279756831,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9944.646035690084,3.5458340812242923,7.869973904060203,77.37992857961899,0.0,0.0,9945.524434113675,9947.129931089583,0.0,9941.105263157895,95.77964745025656,68.48035098284706,940.8570878314262,276.96840594587417,0.0,9959.977812177503,9924.114387957408,0.0450077538939766,0.0,0.0,0.0,9949.910399025955,0.0,0.0
confidence_in_domestic_institutions|WVS_E,9956.406103921887,0.0,0.0,58.378149239493766,0.0,9945.524434113675,0.0,9957.348930970238,0.0,9951.324263038548,20.091008449946933,19.343746519656975,98.1349112414919,105.48314517489905,0.0,9970.196812058157,9945.912907182772,0.0,0.0,0.0,0.0,9959.526315789473,0.0,0.0
confidence_in_international_organizations|WVS_E,9958.565440463877,0.0,0.0,112.37661672577838,1.1713830969278973,9947.129931089583,9957.348930970238,0.0,0.0,9955.02466793169,0.0,0.0,0.0,15.04576658494112,0.0,9973.897216951296,9956.894270787214,0.0,0.0,0.0,11.272878326958022,9954.64395727179,0.0,0.0
democratic_system_evaluation|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic_ideology|WVS_E,9952.851929875791,0.0,21.377549310340235,124.23570438276323,3.9990186659290146,9941.105263157895,9951.324263038548,9955.02466793169,0.0,0.0,0.0,6.779889255165578,5.894681816388527,76.97401698840584,0.0,9967.872549019608,9934.342414629595,0.0,21.18146235677591,0.0,21.844995859979207,9948.619289340102,0.0,0.0
