construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0,0.0,165.89556391536593,869.6421366274558,9808.23544843172,9820.625019644822,9878.012077031879,0.0,9828.561527581329,23.993105090855096,688.6444199975554,262.0518639671758,13.26081374740889,28.996459574401086,9885.175284195086,9796.075787200853,0.0,278.2866869364102,3.6568683433369955,0.0,9848.443707257324,35.09138256770629,247.02623451972067
child_qualities_autonomy_self_expression|WVS_A,0.0,0.0,9911.76599762089,9932.503449170685,357.4462916275319,81.25798824453466,0.0,6.721097933067796,0.0,109.12014624039632,0.0,9908.011189359708,64.72087351013187,704.1374514503993,35.45052291060142,36.96276553134828,186.15802663925444,0.0,31.53697292097433,0.0,9938.36934175978,21.189813532712265,9896.6593625498,9871.440064304186
child_qualities_conformity_tradition|WVS_A,0.0,9911.76599762089,0.0,9928.296611761067,257.97557627368843,135.55021367521368,0.0,0.0,0.0,51.471562269118834,15.30068809234632,9920.742437540226,227.11643899265866,0.0,0.0,0.0,577.7928523625706,0.0,23.42174151611775,0.0,9936.791820256276,7.248126176669544,9889.10663507109,9863.887336825475
child_qualities_prosocial_diligence|WVS_A,165.89556391536593,9932.503449170685,9928.296611761067,0.0,0.0,0.0,27.849377086018308,58.94475894475895,0.0,0.0,0.0,9944.825779159113,0.0,0.0,77.93726245475979,0.0,0.0,0.0,0.0,2.917628937724224,9960.875161875161,22.68832068438232,9903.226208574035,9867.686702785133
civic_dishonesty_tolerance|WVS_F,869.6421366274558,357.4462916275319,257.97557627368843,0.0,0.0,0.0,0.0,0.0,0.0,16.255723702463143,0.0,63.035209621555005,0.0,0.0,9961.084362293896,0.0,0.0,9927.341603120913,9928.281958877398,9961.504320382079,0.0,0.0,345.10713662101824,197.36566729775515
confidence_in_civil_society_organizations|WVS_E,9808.23544843172,81.25798824453466,135.55021367521368,0.0,0.0,0.0,9906.760006769908,9894.254209975023,0.0,9909.68713894801,0.0,59.79512743410437,0.0,0.0,608.8025090120428,9914.22072847374,9881.361034672536,115.68308862480924,20.91234631913575,0.0,253.07293562871658,9864.38630185039,98.07997753378592,217.53100700469125
confidence_in_domestic_institutions|WVS_E,9820.625019644822,0.0,0.0,27.849377086018308,0.0,9906.760006769908,0.0,9897.792741993782,0.0,9916.415917415918,0.0,889.0310167494376,832.5701273678152,0.0,46.25010406230156,9918.895214280301,9888.089813140446,0.0,18.88762338648445,102.55356457888107,0.0,9868.088528882343,70.36767486653594,359.33187398876936
confidence_in_international_organizations|WVS_E,9878.012077031879,6.721097933067796,0.0,58.94475894475895,0.0,9894.254209975023,9897.792741993782,0.0,0.0,9908.741850386283,63.45564743069173,25.800909601532652,919.3129423988571,87.73252890899951,0.0,9962.207163207164,9887.156411990083,0.0,0.0,0.0,0.0,9925.4755862694,0.0,3.1790608619293437
democratic_system_evaluation|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic_ideology|WVS_E,9828.561527581329,109.12014624039632,51.471562269118834,0.0,16.255723702463143,9909.68713894801,9916.415917415918,9908.741850386283,0.0,0.0,0.0,44.318089182599124,0.0,0.0,101.30305299531673,9924.92855537018,9900.74382579446,0.0,0.0,368.17200411036407,0.0,9877.140776630182,2.7383306916854337,45.67009716909786
gender_role_traditionalism|WVS_D,23.993105090855096,0.0,15.30068809234632,0.0,0.0,0.0,0.0,63.45564743069173,0.0,0.0,0.0,3.4131537413775703,0.0,0.0,78.88167248825715,5.541719088333728,0.0,148.30725129483025,0.0,0.0,36.059984810964984,15.146627921747083,280.02375952262054,649.8659013649021
importance_of_life_domains|WVS_A,688.6444199975554,9908.011189359708,9920.742437540226,9944.825779159113,63.035209621555005,59.79512743410437,889.0310167494376,25.800909601532652,0.0,44.318089182599124,3.4131537413775703,0.0,98.27314038416034,2.0758221348191768,41.02446131431637,0.0,264.6516900902866,365.7629939239134,0.0,115.51849347657324,9953.32098765432,81.34602447317225,9895.672034353194,9860.132528564292
job_scarcity_gender_discrimination|WVS_C,262.0518639671758,64.72087351013187,227.11643899265866,0.0,0.0,0.0,832.5701273678152,919.3129423988571,0.0,0.0,0.0,98.27314038416034,0.0,9933.333560013602,919.7541588845936,19.82317199708504,0.0,0.0,0.0,0.0,326.27915626162263,142.33810821396133,39.95388624363889,353.4571723426213
job_scarcity_nativist_preference|WVS_C,13.26081374740889,704.1374514503993,0.0,0.0,0.0,0.0,0.0,87.73252890899951,0.0,0.0,0.0,2.0758221348191768,9933.333560013602,0.0,28.23338238036365,0.0,85.1293400623259,0.0,0.0,37.97270322079814,0.0,137.52923849952353,0.0,613.1011954825492
life_autonomy_morality_permissiveness|WVS_F,28.996459574401086,35.45052291060142,0.0,77.93726245475979,9961.084362293896,608.8025090120428,46.25010406230156,0.0,0.0,101.30305299531673,78.88167248825715,41.02446131431637,919.7541588845936,28.23338238036365,0.0,0.0,37.25539278776593,9930.056758442484,9933.790127978189,9958.012090593358,0.0,0.13319481073017414,0.0,40.78431777147358
offline_political_participation|WVS_E,9885.175284195086,36.96276553134828,0.0,0.0,0.0,9914.22072847374,9918.895214280301,9962.207163207164,0.0,9924.92855537018,5.541719088333728,0.0,19.82317199708504,0.0,0.0,0.0,9909.900503005767,95.92789075547695,138.12279875272003,0.0,0.0,9932.638793432609,0.0,891.9967260951568
postmaterialist_values|WVS_E,9796.075787200853,186.15802663925444,577.7928523625706,0.0,0.0,9881.361034672536,9888.089813140446,9887.156411990083,0.0,9900.74382579446,0.0,264.6516900902866,0.0,85.1293400623259,37.25539278776593,9909.900503005767,0.0,0.0,0.0,24.110910186859556,71.52428468217941,9853.528142192128,308.85288697788695,174.48685003648364
religious_belief|WVS_F,0.0,0.0,0.0,0.0,9927.341603120913,115.68308862480924,0.0,0.0,0.0,0.0,148.30725129483025,365.7629939239134,0.0,0.0,9930.056758442484,95.92789075547695,0.0,0.0,9916.52647298398,9935.106530934117,0.0,262.49301711441774,0.0,0.0
religious_practice_and_self_identification|WVS_F,278.2866869364102,31.53697292097433,23.42174151611775,0.0,9928.281958877398,20.91234631913575,18.88762338648445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9933.790127978189,138.12279875272003,0.0,9916.52647298398,0.0,9944.575387099565,0.0,909.0835295072652,0.0,0.0
