construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0,0.0,0.0,0.0,9948.188302174296,9964.001132946703,9957.769920150939,0.0,9961.994659728878,0.0,101.82175522662068,0.0,0.0,0.0,9972.185114673164,9958.121061359867,0.0,0.0,0.0,0.0,9939.097111290946,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,0.0,0.0,9979.002398512923,9978.528113725357,0.0,954.8246910424273,7.2410381178732095,0.0,0.0,0.0,0.0,9965.87829918118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9978.354069806617,158.25467718318447,9974.207779935565,0.0
child_qualities_conformity_tradition|WVS_A,0.0,9979.002398512923,0.0,9980.330357795641,0.0,1.4424007022759113,0.0,0.0,0.0,0.0,0.0,9968.66331149119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9980.156313876902,69.1115672866982,9974.597538285387,0.0
child_qualities_prosocial_diligence|WVS_A,0.0,9978.528113725357,9980.330357795641,0.0,0.0,0.0,0.0,6.343069266962139,0.0,0.0,0.0,9966.943322109988,0.0,0.0,0.0,0.0,21.47093712930012,0.0,0.0,0.0,9980.791690977563,46.952445623056,9972.840766212395,0.0
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,0.0,0.0,32.61182369226094,0.07644327479553326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9978.489440315741,1.0654061716447742,21.220487063923677,9980.714314224417,9981.202473315465,9980.251534603109,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9948.188302174296,954.8246910424273,1.4424007022759113,0.0,32.61182369226094,0.0,9947.160825458244,9938.287183247197,0.0,9943.45273154758,15.548645494918972,152.89792387543253,0.0,7.669364086877351,5.252565024845985,9956.771646935955,9937.478326309452,0.7740965082995643,0.0,0.0,63.91728709122516,9919.962751014535,145.56545559807398,0.0
confidence_in_domestic_institutions|WVS_E,9964.001132946703,7.2410381178732095,0.0,0.0,0.07644327479553326,9947.160825458244,0.0,9957.121617263829,0.0,9961.372075636713,0.0,122.97447176479434,0.0,0.0,0.0,9971.15763795711,9957.472758472759,0.0,0.0,0.0,0.6135064789710363,9937.39854107564,10.872928009220644,0.0
confidence_in_international_organizations|WVS_E,9957.769920150939,0.0,0.0,6.343069266962139,0.0,9938.287183247197,9957.121617263829,0.0,0.0,9958.078012715638,6.991230791797882,8.08044595410999,0.0,0.0,1.2047707807018284,9965.71163185984,9954.204414346626,0.0,0.0,0.0,0.0,9931.425491113723,3.666400672892358,0.0
democratic_system_evaluation|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic_ideology|WVS_E,9961.994659728878,0.0,0.0,0.0,0.0,9943.45273154758,9961.372075636713,9958.078012715638,0.0,0.0,8.23681454229622,12.5668286508362,0.0,0.0,1.384564095330994,9969.478191789247,9958.429153924566,0.0,0.0,0.0,0.0,9936.859102685443,12.056628520746479,0.0
