construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,47.60700711932173,62.21682469989257,120.80260699397834,56.879206886617766,84.74725895584315,46.84072685657274,61.65284425121479,81.61219312727886,51.044640573704186,61.410172925258664,67.6695997729208,76.90036900369003,52.14427144271443,57.13170998974801,58.17696474837089,81.1340388029707,73.10100772700154,56.70004289141424,36.90036900369004,45.476698334736355,81.84033469837271,46.948356807511736,9999.0
child_qualities_autonomy_self_expression|WVS_A,47.60700711932173,0.0,33.4206059530281,79.43998741544755,15.503875968992247,44.66293650936438,17.699115044247787,35.45911336315645,51.967459942920065,23.364485981308412,34.96503496503497,41.47586888486246,46.91358024691358,25.95054055465608,13.568521031207599,24.691358024691358,54.688900842746996,32.362459546925564,15.337423312883438,10.706638115631693,19.282967446678008,55.646603810314375,21.599884302995527,9999.0
child_qualities_conformity_tradition|WVS_A,62.21682469989257,33.4206059530281,0.0,80.83480305702528,25.906735751295336,47.408695836625604,29.194293751255774,40.01300720154817,41.1522633744856,30.42886165249034,49.82625961777116,56.0856864654333,51.08648297017766,30.83828468096099,27.247956403269754,46.593051440883386,64.85189012313786,32.154340836012864,18.083182640144663,25.31645569620253,29.306527196822554,65.67016356045892,31.914441284681317,9999.0
child_qualities_prosocial_diligence|WVS_A,120.80260699397834,79.43998741544755,80.83480305702528,0.0,83.8653752322817,93.42807729904504,75.21367521367522,86.03238866396761,39.682539682539684,76.44824311490979,59.884559884559884,77.70535337075262,96.17971482378262,76.85766614338043,86.98092031425364,89.12432596643123,79.6084257622719,62.5,64.1025641025641,83.9022379902883,75.32590865924199,73.52941176470588,77.93382274710075,9999.0
civic_dishonesty_tolerance|WVS_F,56.879206886617766,15.503875968992247,25.906735751295336,83.8653752322817,0.0,43.47826086956522,11.976047904191615,39.892537041909904,44.18283554974202,16.920473773265652,23.980815347721823,33.898305084745765,52.386115109258455,19.76284584980237,23.05752020689307,31.010351689136318,43.70468122543385,39.0268179441466,22.625853108559305,19.978837882927728,11.402508551881414,47.766144915517785,14.450867052023122,9999.0
confidence_in_civil_society_organizations|WVS_E,84.74725895584315,44.66293650936438,47.408695836625604,93.42807729904504,43.47826086956522,0.0,40.436624307592055,51.25533775788445,65.95554982651757,41.67119220882662,67.45907621728705,77.37656595431099,62.32881352651394,42.080615237297266,52.20386940817048,60.15670089041373,76.09422067947415,46.948356807511736,29.32551319648094,47.84688995215311,40.54885775315883,76.91249411679519,43.156771841017594,9999.0
confidence_in_domestic_institutions|WVS_E,46.84072685657274,17.699115044247787,29.194293751255774,75.21367521367522,11.976047904191615,40.436624307592055,0.0,33.04093567251462,47.74114774114774,23.45679012345679,34.36426116838488,40.70958862211347,44.114411441144114,23.86621315192744,12.738853503184714,31.216953597563553,54.08812704609691,27.47252747252747,11.11111111111111,9.940357852882704,14.992503748125937,51.3561401117623,18.01801801801802,9999.0
confidence_in_international_organizations|WVS_E,61.65284425121479,35.45911336315645,40.01300720154817,86.03238866396761,39.892537041909904,51.25533775788445,33.04093567251462,0.0,53.87205387205387,34.275503573749184,33.67003367003367,51.282051282051285,27.855153203342617,27.62430939226519,36.63003663003663,46.029070992205604,51.440058863719976,30.674846625766875,21.929824561403507,24.752475247524753,28.49002849002849,64.85366485366485,33.44481605351171,9999.0
democratic_system_evaluation|WVS_E,81.61219312727886,51.967459942920065,41.1522633744856,39.682539682539684,44.18283554974202,65.95554982651757,47.74114774114774,53.87205387205387,0.0,48.975715642382305,20.2020202020202,38.02281368821293,56.497175141242934,38.91050583657587,49.700545275766515,49.441786283891545,39.92588607973223,25.906735751295336,36.63003663003663,44.711824123588826,47.853381186714515,84.21701755035087,50.46129527457328,9999.0
economic_ideology|WVS_E,51.044640573704186,23.364485981308412,30.42886165249034,76.44824311490979,16.920473773265652,41.67119220882662,23.45679012345679,34.275503573749184,48.975715642382305,0.0,38.65407549158277,44.913502339244914,45.34897934237868,25.100781053162006,17.513134851138354,35.420867314694995,58.3779413692948,23.364485981308412,12.345679012345679,14.144271570014144,21.186440677966104,57.55007704160247,24.813895781637715,9999.0
