construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,81.25857544392493,67.95983211077551,89.49367485952853,175.74599129234363,87.27749979493069,58.81283447823372,64.43429731100964,9999.0,141.85247342763526,38.75968992248062,142.3397890096048,20.79002079002079,216.0765055569915,22.779043280182233,81.3960813960814,84.12873653171599,100.96313244080851,43.47826086956522,27.397260273972606,49.26108374384237,38.21162357747724,104.32033719704953,111.20432430740425
child_qualities_autonomy_self_expression|WVS_A,81.25857544392493,0.0,101.53880714365943,120.24756852343059,166.66666666666666,126.10540508387199,107.46725813265738,103.26220259995094,9999.0,189.51878707976266,93.44456712877766,177.45767745767745,69.44444444444444,254.90441084593277,58.47953216374269,130.05050505050505,119.82922541527644,134.54210747369243,67.56756756756756,66.2251655629139,100.14619883040936,68.9655172413793,143.1482424859908,141.9582179713063
child_qualities_conformity_tradition|WVS_A,67.95983211077551,101.53880714365943,0.0,83.85534118433142,181.81818181818184,83.33333333333333,50.0,98.36277745421602,9999.0,166.66666666666666,72.68001540238737,183.12074341773143,47.16981132075472,256.72787927426083,56.72787927426081,69.93006993006993,111.27237542331882,33.003300330033,75.30833263732286,68.17821468209925,68.9369262659165,32.57328990228013,102.44774477447744,81.54698965042135
child_qualities_prosocial_diligence|WVS_A,89.49367485952853,120.24756852343059,83.85534118433142,0.0,196.078431372549,140.8450704225352,81.30081300813008,123.05568827307958,9999.0,158.73015873015873,94.21385815114039,203.9072039072039,68.70365406950773,275.436640654032,75.43664065403196,111.11111111111111,132.80621817207185,87.71929824561403,94.01709401709402,89.71205743085227,87.64568764568764,51.282051282051285,157.16374269005848,124.2747520119783
civic_dishonesty_tolerance|WVS_F,175.74599129234363,166.66666666666666,181.81818181818184,196.078431372549,0.0,199.09810261209904,200.51931913970859,114.9425287356322,9999.0,192.30769230769232,136.986301369863,121.95121951219511,162.49650545149566,340.6588110556881,162.5615763546798,158.73015873015873,223.91126960621355,180.3020058598152,172.7459969437247,151.97956577266922,196.05355243136142,179.9181082389521,205.47945205479454,228.66022866022865
confidence_in_civil_society_organizations|WVS_E,87.27749979493069,126.10540508387199,83.33333333333333,140.8450704225352,199.09810261209904,0.0,118.91145657051555,96.91727655799512,9999.0,165.20458474739067,62.11180124223603,174.82276825659028,80.88864288230262,248.55948480397694,86.95652173913044,111.52761857554448,144.99120698486672,59.1715976331361,120.72928033250183,59.880239520958085,110.38529002600859,98.31024566975907,111.11111111111111,102.04081632653062
confidence_in_domestic_institutions|WVS_E,58.81283447823372,107.46725813265738,50.0,81.30081300813008,200.51931913970859,118.91145657051555,0.0,96.06825408659451,9999.0,166.6258012750002,63.533017769845586,173.97374578518966,38.02281368821293,247.71046233257636,55.383924799324035,98.62887429427353,102.12537779077704,69.44444444444444,77.86345113841213,59.03121704955747,71.57986066807871,55.44441647566937,132.0261684547771,91.74311926605505
confidence_in_international_organizations|WVS_E,64.43429731100964,103.26220259995094,98.36277745421602,123.05568827307958,114.9425287356322,96.91727655799512,96.06825408659451,0.0,9999.0,175.9721144490017,72.87933094384707,151.97956577266922,58.04544039838157,225.7162823200559,47.61904761904761,117.7154980665914,108.96874087058137,65.35947712418302,57.80346820809249,37.03703703703704,87.54208754208753,71.7736369910283,113.96011396011396,113.90316644457135
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,141.85247342763526,189.51878707976266,166.66666666666666,158.73015873015873,192.30769230769232,165.20458474739067,166.6258012750002,175.9721144490017,9999.0,0.0,103.09278350515464,231.841329402305,128.6029875867873,327.61432269498357,138.0578184701896,158.6483390607102,187.3106966363781,168.88225718936516,121.95121951219511,138.93507741196467,162.16003456665305,146.02459037424373,171.58593419008616,188.67924528301887
