construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,30.395136778115504,27.700831024930746,44.250886330809294,51.41284425638227,60.317460317460316,48.446305775296004,32.31667748215445,9999.0,41.38039958935481,15.873015873015873,37.19708805637735,19.841269841269842,20.32520325203252,14.925373134328357,32.72125547133554,78.46473813575345,15.479876160990711,37.698412698412696,15.174506828528072,29.58579881656805,36.88141923436041,52.23665223665224,9999.0
child_qualities_autonomy_self_expression|WVS_A,30.395136778115504,0.0,38.575711809301325,48.15790491022859,40.669610763068704,72.58782312281033,60.71666858064603,36.22369606157373,9999.0,45.2874181687741,28.1433786783659,41.10410663579664,21.367521367521366,19.23076923076923,18.832391713747647,21.978021978021978,77.37030411449015,20.161290322580644,27.17391304347826,19.120458891013385,38.24986744190299,44.73912746504298,46.30892222133098,9999.0
child_qualities_conformity_tradition|WVS_A,27.700831024930746,38.575711809301325,0.0,49.405834481621504,57.55842386263605,67.12018140589569,55.24902686373137,37.47162563296665,9999.0,46.53534774016702,22.675736961451246,42.352036207189556,23.20185614849188,23.52941176470588,20.080321285140563,38.866835077589315,81.66894664842681,21.929824561403507,41.05899900563474,19.455252918287936,39.49779701329591,43.684140322795784,59.03937332508761,9999.0
child_qualities_prosocial_diligence|WVS_A,44.250886330809294,48.15790491022859,49.405834481621504,0.0,74.24714434060229,83.08094460554364,71.20979006337933,46.71681754430703,9999.0,55.7805396515074,38.63650016109919,51.59722811852994,39.32551319648094,45.48060204946964,29.32551319648094,55.55555555555556,103.62013693319057,43.66812227074236,51.02040816326531,32.25806451612903,48.74298892463628,55.23224894777628,75.00013652473555,9999.0
civic_dishonesty_tolerance|WVS_F,51.41284425638227,40.669610763068704,57.55842386263605,74.24714434060229,0.0,81.15405124750919,69.28289670534488,56.31744994031965,9999.0,39.8406374501992,36.709606803064744,57.45127870752735,48.17749671132162,34.02901209793016,46.020593767682996,18.69158878504673,92.16854698165109,35.93296809539156,41.0130173564753,46.71961681307476,55.43619856336437,57.71801016440929,43.022489028355736,9999.0
confidence_in_civil_society_organizations|WVS_E,60.317460317460316,72.58782312281033,67.12018140589569,83.08094460554364,81.15405124750919,0.0,77.01773434672458,64.05228758169935,9999.0,80.21045786408915,44.44444444444444,76.0271463311117,55.91233435270132,69.44695820258039,53.755431409062695,62.46246246246246,127.58649308630132,59.94832041343669,73.76947720984418,54.45445445445445,63.17103620474407,65.45284780578898,80.8080808080808,9999.0
confidence_in_domestic_institutions|WVS_E,48.446305775296004,60.71666858064603,55.24902686373137,71.20979006337933,69.28289670534488,77.01773434672458,0.0,52.181133039535034,9999.0,68.33930332192483,32.57328990228013,64.15599178894738,44.04117981053701,57.575803660416085,41.88427686689838,50.59130792029815,115.71533854413701,48.07716587127238,51.282051282051285,42.583299912290144,51.29988166257975,53.58169326362467,54.94505494505494,9999.0
confidence_in_international_organizations|WVS_E,32.31667748215445,36.22369606157373,37.47162563296665,46.71681754430703,56.31744994031965,64.05228758169935,52.181133039535034,0.0,9999.0,43.84633080285254,19.607843137254903,39.66301926987508,24.330900243309003,33.54639320081478,17.391304347826086,37.62586115527292,91.6859280845357,35.11171910624715,37.59398496240602,20.0,36.80878007598143,40.61624649859944,55.97147950089127,9999.0
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,41.38039958935481,45.2874181687741,46.53534774016702,55.7805396515074,39.8406374501992,80.21045786408915,68.33930332192483,43.84633080285254,9999.0,0.0,35.76601341964471,48.726741377075456,36.455026455026456,42.61011530801515,26.455026455026456,51.05706075533662,100.74965019173608,51.269889388636955,28.73563218390805,31.25,45.872502183181794,52.36176220632179,53.475935828877,9999.0
