construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,77.68872428459825,89.54491836456006,188.23002935107365,40.86074242099132,49.27477063699973,45.348241530614516,52.55802446021036,9999.0,62.307714704426566,40.331823549722756,61.262782625011724,30.959752321981423,58.880147412686036,39.27230427543113,45.929812202220944,68.341565193883,52.37302855324481,51.24372798121063,39.793674583465524,39.356057947506194,68.71589562433394,55.83537421252869,51.49363322547218
child_qualities_autonomy_self_expression|WVS_A,77.68872428459825,0.0,105.31413800519545,203.99924899170907,56.62996206162673,65.04399027763515,61.117461171249914,68.32724410084577,9999.0,78.07693434506197,56.101043190358155,77.03200226564712,46.728971962616825,74.64936705332144,55.04152391606654,61.69903184285634,84.1107848345184,68.1422481938802,67.01294762184604,55.56289422410092,55.12527758814159,84.48511526496935,71.60459385316409,67.26285286610758
child_qualities_conformity_tradition|WVS_A,89.54491836456006,105.31413800519545,0.0,184.83319132201612,51.54639175257732,76.20627023612099,67.64033143762404,80.18343818080757,9999.0,89.93312842502377,64.28612750202475,76.05619567414595,58.58516604257863,71.62671303771788,62.11180124223603,73.55522592281815,83.19605983460625,54.054054054054056,47.84688995215311,49.75124378109453,62.97875700860776,76.01590403666016,70.44998343499698,79.11904694606939
child_qualities_prosocial_diligence|WVS_A,188.23002935107365,203.99924899170907,184.83319132201612,0.0,151.51515151515153,175.58529534411053,168.236301369863,178.86854916732116,9999.0,188.61823941153736,166.64234825683354,168.04220199098103,157.27027702909223,167.19778173240078,165.58282898254194,172.24033690933175,194.65208990099381,149.2537313432836,136.986301369863,166.10419929057633,165.666582654617,165.15531545437005,168.04220199098103,170.09888415131996
civic_dishonesty_tolerance|WVS_F,40.86074242099132,56.62996206162673,51.54639175257732,151.51515151515153,0.0,26.315789473684212,17.6678445229682,31.499262237238845,9999.0,41.24895248145504,17.006802721088437,24.509803921568626,9.900990099009901,20.080321285140563,18.21354205245961,24.87104997924942,43.29004329004329,31.314266330273284,30.18496575823911,18.734912360494,18.29729572453467,27.855153203342617,18.90359168241966,30.434871002500664
confidence_in_civil_society_organizations|WVS_E,49.27477063699973,65.04399027763515,76.20627023612099,175.58529534411053,26.315789473684212,0.0,32.70350752365141,39.91329045324726,9999.0,49.66298069746345,27.687089542759644,48.32177434774295,18.315018315018314,41.682898324892875,22.075055187637968,33.28507819525784,53.72062480789113,39.7282945462817,38.59899397424752,26.455026455026456,26.711323940543082,53.82108693366972,39.64974763052022,38.848899218509075
confidence_in_domestic_institutions|WVS_E,45.348241530614516,61.117461171249914,67.64033143762404,168.236301369863,17.6678445229682,32.70350752365141,0.0,35.98676134686204,9999.0,45.736451591078236,23.760560436374423,41.26173417512,14.388489208633093,34.62285815226991,15.015015015015013,29.358549088872614,46.66058463526818,35.80176543989648,31.25,17.88908765652952,21.598272138228943,45.52299772631082,32.58970745789726,34.92237011212386
confidence_in_international_organizations|WVS_E,52.55802446021036,68.32724410084577,80.18343818080757,178.86854916732116,31.499262237238845,39.91329045324726,35.98676134686204,0.0,9999.0,52.94623452067408,30.970343365970272,51.90130244125925,21.598272138228943,47.776857221761944,28.169014084507044,36.56833201846847,50.49088359046283,43.01154836949233,41.88224779745815,30.43219439971304,21.50537634408602,59.35441544058146,45.74370652738929,42.132153041719704
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,62.307714704426566,78.07693434506197,89.93312842502377,188.61823941153736,41.24895248145504,49.66298069746345,45.736451591078236,52.94623452067408,9999.0,0.0,40.720033610186476,61.650992685475444,31.347962382445143,59.268357473149756,39.66051433589485,46.318022262684664,68.72977525434672,52.76123861370853,51.63193804167435,40.181884643929244,39.744268007969914,69.10410568479766,56.22358427299241,44.052863436123346
gender_role_traditionalism|WVS_D,40.331823549722756,56.101043190358155,64.28612750202475,166.64234825683354,17.006802721088437,27.687089542759644,23.760560436374423,30.970343365970272,9999.0,40.720033610186476,0.0,39.318614584941585,9.37207122774133,32.6797385620915,13.071895424836601,24.34213110798085,41.3464466777736,30.785347459004715,29.65604688697054,14.534883720930232,12.360939431396787,44.817927170868344,30.64658786771885,29.90595213123209
importance_of_life_domains|WVS_A,61.262782625011724,77.03200226564712,76.05619567414595,168.04220199098103,24.509803921568626,48.32177434774295,41.26173417512,51.90130244125925,9999.0,61.650992685475444,39.318614584941585,0.0,30.3030303030303,44.59012520670919,26.246719160104984,45.27309018326982,57.89228878035814,51.716306534293686,31.055900621118013,29.761904761904763,37.794063270959484,52.36495712491124,43.413395603988285,50.836911206521066
job_scarcity_gender_discrimination|WVS_C,30.959752321981423,46.728971962616825,58.58516604257863,157.27027702909223,9.900990099009901,18.315018315018314,14.388489208633093,21.598272138228943,9999.0,31.347962382445143,9.37207122774133,30.3030303030303,0.0,27.920395090704613,8.31255195344971,14.970059880239521,37.38181287190158,21.413276231263385,20.28397565922921,8.8339222614841,8.39630562552477,37.75614330235252,24.875621890547265,20.53388090349076
