construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0,7.136943808596136,33.05065886352553,0.0,9905.056961960265,9972.11276072338,9934.683440017152,0.0,9853.240891851512,3.2055960795829463,115.78880575733605,0.0,26.47093645289089,6.766866639672333,9978.427560852613,9971.387715088154,17.640619271857297,99.24966977774096,0.030912641532111707,0.043391135143878046,9919.761359687769,41.9959488392055,0.0
child_qualities_autonomy_self_expression|WVS_A,0.0,0.0,9976.394300086791,9929.03064351379,0.0,920.2677297636031,0.0,0.0,0.0,188.16444930441648,0.0,9934.483245047248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9982.913742880744,96.03869820889166,9905.6195023005,0.0
child_qualities_conformity_tradition|WVS_A,7.136943808596136,9976.394300086791,0.0,9923.512987012988,0.0,752.7149362980991,6.16518089636369,0.0,0.0,274.02998236331575,9.323033396113583,9933.59711824841,0.0,25.643712433692627,0.0,0.0,3.1548883341941547,0.0,0.0,0.0,9974.655245263088,323.88378353290636,9897.361004682843,0.0
child_qualities_prosocial_diligence|WVS_A,33.05065886352553,9929.03064351379,9923.512987012988,0.0,0.0,857.281298446125,544.088319088319,14.349510138983817,0.0,72.65940774344136,161.70094496942747,9871.49681372977,0.0,57.46871937833426,199.40972782891077,0.0,473.91882900864937,61.19574119574119,468.70277578939,68.23420789570629,9925.131339924443,22.75575915558224,9846.12643678161,0.0
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9905.056961960265,920.2677297636031,752.7149362980991,857.281298446125,0.0,0.0,9924.301686498542,9870.724040443214,0.0,9786.05665338596,87.54298910415454,136.04181124310918,0.0,30.83020292805142,675.5930617899182,9916.887359052185,9916.608879273299,321.2206923855189,0.0,912.0566533859601,123.23000198906533,9883.253838691333,420.72758455779285,0.0
confidence_in_domestic_institutions|WVS_E,9972.11276072338,0.0,6.16518089636369,544.088319088319,0.0,9924.301686498542,0.0,9934.507347362227,0.0,9860.754966887418,0.0,12.45964782535279,0.0,0.0,0.0,9976.824771639205,9971.44881524221,10.167494249670263,0.0,0.0,0.0,9927.275434723675,524.5480892032616,0.0
confidence_in_international_organizations|WVS_E,9934.683440017152,0.0,0.0,14.349510138983817,0.0,9870.724040443214,9934.507347362227,0.0,0.0,9816.040114822737,80.20908118132434,0.0,7.5738487723417975,114.95996031464816,222.63571267296714,9942.376623376624,9932.174775030617,0.0,515.8252563485714,851.1310239136468,704.6008227911252,9882.560582658994,30.489606083559607,0.0
democratic_system_evaluation|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic_ideology|WVS_E,9853.240891851512,188.16444930441648,274.02998236331575,72.65940774344136,0.0,9786.05665338596,9860.754966887418,9816.040114822737,0.0,0.0,0.0,0.0,866.8831168831168,162.420787111496,0.0,9861.995198079232,9859.693848354793,49.661864745898356,47.004207826730806,0.0,1.8545891104911902,9815.520467836257,114.00955366472607,0.0
gender_role_traditionalism|WVS_D,3.2055960795829463,0.0,9.323033396113583,161.70094496942747,0.0,87.54298910415454,0.0,80.20908118132434,0.0,0.0,0.0,921.3788726918174,0.0,166.7905816274324,0.0,2.5441796270951045,0.0,116.06764962115334,517.584834751438,0.0,0.0,103.39054329627777,154.0654769891319,0.0
