construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.9999983586010721,0.9999986841988755,0.9999990566483934,0.999995090663803,NaN,NaN,NaN,NaN,NaN,0.9999995359305905,0.9999990580241911,0.9999993540675018,0.9999986855728926,0.9999967690637283,NaN,NaN,0.9999965623100108,0.9999992655315142,0.999995494169806,0.9999982124051064,NaN,0.9999999999982776,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9999983586010721,0.0,NaN,NaN,0.9999999936016686,0.9999991812513926,0.9999990245147099,0.9999984886639708,NaN,0.9999988701277521,0.9999999357507668,NaN,0.9999997496264994,0.999999995599884,0.9999999999999998,0.9999999999998079,0.9999999225256034,0.9999999682497956,0.9999997957254548,0.9999999999999999,NaN,0.9999980800696332,NaN,NaN
child_qualities_conformity_tradition|WVS_A,0.9999986841988755,NaN,0.0,NaN,0.9999996369420389,0.999999054943926,0.9999987205923184,0.9999984032877245,NaN,0.9999988806394522,1.0,NaN,1.0,1.0,0.9999998656639033,1.0,0.9999993068500239,0.9999992057079669,0.9999998327896992,0.9999994853245144,NaN,0.9999986877105378,NaN,NaN
child_qualities_prosocial_diligence|WVS_A,0.9999990566483934,NaN,NaN,0.0,0.9999997030501176,0.9999993596421861,0.9999993227603468,0.9999992345609063,NaN,0.9999992394243004,0.9999997218981659,NaN,0.9999997744453751,0.9999998595134425,0.9999999999945083,1.0,0.9999999385165603,0.9999997600603467,0.999999826065217,0.9999999999953518,NaN,0.9999990661691628,NaN,NaN
civic_dishonesty_tolerance|WVS_F,0.999995090663803,0.9999999936016686,0.9999996369420389,0.9999997030501176,0.0,0.9999962256409483,0.9999947307740246,0.9999970101768852,NaN,0.9999970924427053,0.9999999999999999,0.9999999999999889,0.9999999999999848,1.0,NaN,1.0,0.9999982305425851,NaN,NaN,NaN,0.9999992603133615,0.9999911139889124,0.9999999999999962,NaN
confidence_in_civil_society_organizations|WVS_E,NaN,0.9999991812513926,0.999999054943926,0.9999993596421861,0.9999962256409483,0.0,NaN,NaN,NaN,NaN,0.9999998386867748,0.9999994007393843,0.999999859751715,0.9999991492267862,0.9999982177303154,NaN,NaN,0.9999977687382909,0.9999990825537705,0.9999975144188632,0.9999989966169948,NaN,0.999999999999998,NaN
confidence_in_domestic_institutions|WVS_E,NaN,0.9999990245147099,0.9999987205923184,0.9999993227603468,0.9999947307740246,NaN,0.0,NaN,NaN,NaN,0.9999999999596687,0.9999993373021555,0.9999999995493396,0.9999990925310158,0.9999973871642283,NaN,NaN,0.9999963899380343,0.9999987869432021,0.9999963560619209,0.9999989104749234,NaN,0.9999999999999988,NaN
confidence_in_international_organizations|WVS_E,NaN,0.9999984886639708,0.9999984032877245,0.9999992345609063,0.9999970101768852,NaN,NaN,0.0,NaN,NaN,0.9999999895357234,0.9999991163245602,0.9999999568455624,0.9999992426006943,0.9999974423394887,NaN,NaN,0.9999950878673711,0.9999987661909409,0.999996433041935,0.9999987573733953,NaN,0.999999999999998,NaN
democratic_system_evaluation|WVS_E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
economic_ideology|WVS_E,NaN,0.9999988701277521,0.9999988806394522,0.9999992394243004,0.9999970924427053,NaN,NaN,NaN,NaN,0.0,0.9999997047630779,0.9999992656292044,0.9999998207720308,0.9999989673838463,0.9999976194366896,NaN,NaN,0.9999970985474255,0.9999993598682472,0.9999966800207188,0.999998823386104,NaN,0.9999999999999978,NaN
