construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,1.0,1.0,1.0,0.999999999999978,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,0.9999999999999551,NaN,NaN,0.9999999999999512,1.0,0.9999999999999579,1.0,NaN,1.0,NaN
child_qualities_autonomy_self_expression|WVS_A,1.0,0.0,NaN,NaN,1.0,1.0,1.0,1.0,0.9999999999999118,1.0,1.0,NaN,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999986785,1.0,1.0,NaN,1.0,NaN,NaN
child_qualities_conformity_tradition|WVS_A,1.0,NaN,0.0,NaN,1.0,1.0,0.9999999999999984,0.9999999999999998,0.9999999999990137,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,0.9999999999999872,1.0,1.0,NaN,1.0,NaN,NaN
child_qualities_prosocial_diligence|WVS_A,1.0,NaN,NaN,0.0,1.0,1.0,0.9999999999993665,0.9999999999992683,0.9999999999987643,0.9999999999992049,1.0,NaN,1.0,1.0,1.0,1.0,1.0,0.9999999999988187,1.0,1.0,NaN,1.0,NaN,NaN
civic_dishonesty_tolerance|WVS_F,0.999999999999978,1.0,1.0,1.0,0.0,0.999999999999428,0.9999999999990448,0.9999999999989234,0.99999999999873,0.999999999997864,0.9999999999998981,1.0,1.0,1.0,NaN,1.0,0.9999999999992558,NaN,NaN,NaN,1.0,0.9999999999996319,0.9999999999999992,NaN
confidence_in_civil_society_organizations|WVS_E,NaN,1.0,1.0,1.0,0.999999999999428,0.0,NaN,NaN,NaN,NaN,0.9999999999999087,1.0,1.0,1.0,0.9999999999979243,NaN,NaN,0.9999999999981077,1.0,0.9999999999985222,1.0,NaN,1.0,NaN
confidence_in_domestic_institutions|WVS_E,NaN,1.0,0.9999999999999984,0.9999999999993665,0.9999999999990448,NaN,0.0,NaN,NaN,NaN,0.9999999999998981,0.9999999999993356,0.9999999999993251,0.9999999999991271,0.9999999999980101,NaN,NaN,0.9999999999974214,1.0,0.9999999999984259,0.9999999999990307,NaN,1.0,NaN
confidence_in_international_organizations|WVS_E,NaN,1.0,0.9999999999999998,0.9999999999992683,0.9999999999989234,NaN,NaN,0.0,NaN,NaN,0.9999999999998911,0.9999999999992408,0.9999999999992608,0.9999999999989576,0.999999999997669,NaN,NaN,0.999999999996646,1.0,0.9999999999981951,0.9999999999989414,NaN,1.0,NaN
democratic_system_evaluation|WVS_E,NaN,0.9999999999999118,0.9999999999990137,0.9999999999987643,0.99999999999873,NaN,NaN,NaN,0.0,NaN,0.9999999999998641,0.9999999999988031,0.9999999999989959,0.999999999998477,0.9999999999972767,NaN,NaN,0.9999999999964044,1.0,0.99999999999788,0.9999999999985307,NaN,0.9999999999999997,NaN
economic_ideology|WVS_E,NaN,1.0,1.0,0.9999999999992049,0.999999999997864,NaN,NaN,NaN,NaN,0.0,NaN,0.9999999999990686,0.9999999999991653,0.9999999999985013,0.9999999999952062,NaN,NaN,0.9999999999943513,1.0,0.9999999999965824,0.9999999999988185,NaN,1.0,NaN
