construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.9999999999999976,0.9999999999797392,0.9999999999726301,0.9999999997676757,NaN,NaN,NaN,NaN,NaN,0.9999999999298593,0.9999999997291998,0.9999999998832705,0.9999999999739367,0.9999999999982159,NaN,NaN,0.9999999997849186,0.9999999999843995,0.9999999999999981,0.9999999996260671,NaN,0.9999999997563163,0.9999999997121131
child_qualities_autonomy_self_expression|WVS_A,0.9999999999999976,0.0,NaN,NaN,0.999999999661777,0.9999999999999999,0.9999999999984674,0.9999999999994984,NaN,0.9999999999997833,1.0,NaN,0.9999999999985438,1.0,0.999999999836273,0.9999999494074039,1.0,1.0,1.0,1.0,NaN,0.999999999999888,NaN,NaN
child_qualities_conformity_tradition|WVS_A,0.9999999999797392,NaN,0.0,NaN,0.9999999999999987,0.9999999999826865,0.9999999999806762,0.9999999999795574,NaN,0.9999999999783574,1.0,NaN,1.0,0.9999999999999997,1.0,1.0,0.9999999999841802,0.9999999999999932,0.999999999999992,0.9999999999999906,NaN,0.9999999999766368,NaN,NaN
child_qualities_prosocial_diligence|WVS_A,0.9999999999726301,NaN,NaN,0.0,0.9999999999999853,0.9999999999802582,0.9999999999774092,0.9999999999769466,NaN,0.9999999999752626,1.0,NaN,1.0,0.9999999999999999,1.0,1.0,0.9999999999808947,0.9999999999999187,0.999999999999917,0.9999999999999061,NaN,0.9999999999754892,NaN,NaN
civic_dishonesty_tolerance|WVS_F,0.9999999997676757,0.999999999661777,0.9999999999999987,0.9999999999999853,0.0,0.9999999998829809,0.9999999998557393,0.9999999998448604,NaN,0.9999999998249651,0.9999999999635876,0.9999999999999293,0.9999999999569144,0.9999999999867378,NaN,1.0,0.9999999998895824,NaN,NaN,NaN,0.9999999999999163,0.9999999998749438,0.9999999999999262,0.9999999999945842
confidence_in_civil_society_organizations|WVS_E,NaN,0.9999999999999999,0.9999999999826865,0.9999999999802582,0.9999999998829809,0.0,NaN,NaN,NaN,NaN,0.9999999999638441,0.9999999998421042,0.9999999999603366,0.9999999999796464,0.9999999999999959,NaN,NaN,0.9999999999139865,0.9999999999999589,0.9999999999999998,0.9999999998274607,NaN,0.9999999998208081,0.9999999997865711
confidence_in_domestic_institutions|WVS_E,NaN,0.9999999999984674,0.9999999999806762,0.9999999999774092,0.9999999998557393,NaN,0.0,NaN,NaN,NaN,0.9999999999404339,0.9999999997240919,0.9999999999041178,0.9999999999761101,0.9999999999998718,NaN,NaN,0.9999999998461913,0.9999999999988515,0.9999999999999994,0.9999999996303723,NaN,0.9999999997708479,0.9999999997300086
confidence_in_international_organizations|WVS_E,NaN,0.9999999999994984,0.9999999999795574,0.9999999999769466,0.9999999998448604,NaN,NaN,0.0,NaN,NaN,0.9999999999276499,0.9999999996630671,0.9999999998658231,0.9999999999749831,0.9999999999938353,NaN,NaN,0.9999999998451157,0.9999999999651252,0.9999999999999949,0.9999999996174429,NaN,0.9999999997547764,0.9999999997104306
democratic_system_evaluation|WVS_E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
economic_ideology|WVS_E,NaN,0.9999999999997833,0.9999999999783574,0.9999999999752626,0.9999999998249651,NaN,NaN,NaN,NaN,0.0,0.999999999918602,0.9999999996538382,0.9999999998585601,0.9999999999726451,0.9999999999453822,NaN,NaN,0.9999999997835174,0.9999999998857872,0.9999999999999393,0.9999999996079231,NaN,0.9999999997433155,0.9999999996969131
