construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,69.57976902158954,97.42982532371599,233.00759142760046,67.56756756756756,72.4227818217588,68.91462306993643,85.89927528234557,67.84467713787086,67.7763272410792,45.24886877828054,120.30346820809248,58.51146824777656,66.03888956830133,58.47953216374269,52.38478027867095,101.42864405917942,65.35494889086291,65.28800608512256,67.62023343152438,41.666666666666664,83.41680770957825,77.82215868056068,88.49557522123894,57.80346820809249
child_qualities_autonomy_self_expression|WVS_A,69.57976902158954,0.0,72.66935443731023,184.21052631578948,72.5698563747886,51.50481328678727,36.231884057971016,64.98130674737405,44.44444444444444,62.11180124223603,24.330900243309003,106.16812227074236,25.57544757033248,45.12092103332979,47.84688995215311,27.62430939226519,52.631578947368425,40.594478004457144,35.714285714285715,35.97122302158274,38.34242300426948,62.49883917460671,56.90419014558913,76.64391723540244,43.66812227074236
child_qualities_conformity_tradition|WVS_A,97.42982532371599,72.66935443731023,0.0,249.21400402786793,68.9655172413793,103.76469941344445,57.4712643678161,117.24119287403121,81.94116912825352,81.87281923146186,76.59078636996618,123.01957129543337,89.85338583946219,92.89193499719815,65.53684832373357,45.04504504504504,117.6350566594469,58.015213657237,57.94827085149666,78.2676364071713,55.76315865704933,112.33282972413407,79.88825061995794,94.0646528881823,68.85456885456885
child_qualities_prosocial_diligence|WVS_A,233.00759142760046,184.21052631578948,249.21400402786793,0.0,209.26116927734535,214.9326356927982,212.7659574468085,228.40912915338495,220.65345949142517,227.27272727272725,187.7587226493199,242.8594351732991,189.38241557651352,208.5487434393407,223.21971555712133,204.1689589828229,131.57894736842104,217.13912759501486,217.0721847892745,210.13008730256377,214.8870725948272,223.8376960428643,178.972312297331,164.0464798359535,180.3594351732991
civic_dishonesty_tolerance|WVS_F,67.56756756756756,72.5698563747886,68.9655172413793,209.26116927734535,0.0,99.00990099009901,90.6773279288441,123.02807643698829,89.60738199677853,81.25775504645462,82.37766993292324,54.054054054054056,95.64026940241926,100.55814786572316,73.20306119225857,52.71125791357005,77.68222190892429,65.681426525762,65.61448372002167,85.93384927569629,63.42937152557434,47.16981132075472,87.55446348848294,84.4572896596018,28.901734104046245
confidence_in_civil_society_organizations|WVS_E,72.4227818217588,51.50481328678727,103.76469941344445,214.9326356927982,99.00990099009901,0.0,55.90954522738631,67.8243195475433,60.068649885583525,75.7176023638666,27.17391304347826,139.24287856071965,40.43651251297428,47.963933833499055,62.63490595127968,58.7196543683994,83.35368832437715,71.68982298059136,71.622880174851,49.54527769672211,67.8243195475433,65.34185197477596,59.74720294575839,97.90777688079038,80.64984887235526
confidence_in_domestic_institutions|WVS_E,68.91462306993643,36.231884057971016,57.4712643678161,212.7659574468085,90.6773279288441,55.90954522738631,0.0,69.38603868797308,53.42596687447394,53.357616977682284,28.73563218390805,83.33333333333333,36.101083032490976,49.52565297392884,35.587188612099645,37.96607001527404,84.91540746480693,50.936238627466,34.72222222222222,36.231884057971016,27.247956403269754,66.90357111520575,61.308922086188176,86.9856778584113,61.77559382479785
confidence_in_international_organizations|WVS_E,85.89927528234557,64.98130674737405,117.24119287403121,228.40912915338495,123.02807643698829,67.8243195475433,69.38603868797308,0.0,73.5451433461703,89.19409582445338,40.65040650406504,152.7193720213064,53.91300597356106,61.44042729408583,76.11139941186646,72.19614782898617,96.83018178496391,85.16631644117813,85.09937363543779,63.02177115730889,81.30081300813008,78.81834543536274,73.22369640634517,86.95652173913044,94.12634233294204
democratic_system_evaluation|WVS_E,67.84467713787086,44.44444444444444,81.94116912825352,220.65345949142517,89.60738199677853,60.068649885583525,53.42596687447394,73.5451433461703,0.0,52.28767104561672,32.89473684210526,123.20564789273229,42.918454935622314,53.68475763212605,39.37007874015748,36.89612408320848,89.07451212300414,45.87155963302752,38.46153846153846,41.32231404958678,26.17801047120419,71.06267577340296,63.69426751592357,85.91573192634573,60.70564789273229
economic_ideology|WVS_E,67.7763272410792,62.11180124223603,81.87281923146186,227.27272727272725,81.25775504645462,75.7176023638666,53.357616977682284,89.19409582445338,52.28767104561672,0.0,48.543689320388346,114.85602094240838,61.80628878988437,69.33371011040913,39.0625,36.82777418641682,101.13650874728643,46.948356807511736,38.61003861003861,53.191489361702125,26.109660574412533,84.93318998617724,71.67097976132972,85.84738202955407,52.35602094240838
