construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,925.2963099616397,28.984535621703756,35.12010864952043,0.0,9939.82011415765,9957.475221633116,9897.921621101907,9948.751830556785,9948.839731826078,38.77314814814814,3.220797692216813,0.0,943.207161233986,0.0,9963.666388701797,9953.760233918129,185.09378227406705,0.4534307529771695,0.0,71.51186803272338,9933.45490833926,91.2453010804702,0.0,302.569226604635
child_qualities_autonomy_self_expression|WVS_A,925.2963099616397,0.0,9903.097121364211,9919.333704493038,0.0,88.53038251254014,0.0,207.38515365995124,0.0,112.1870025228894,216.4208893669871,9927.582063125028,474.6606984485144,59.65262150287472,0.0,0.0,65.11835452452367,22.32715610195369,163.08929763226237,0.0,9944.524181078574,180.41844089730475,9941.281297406631,9953.53607604351,86.89254752246879
child_qualities_conformity_tradition|WVS_A,28.984535621703756,9903.097121364211,0.0,9926.741007907587,0.0,192.1351166838843,49.65950520510269,0.0,0.0,692.6077258053047,173.61298474710406,9934.989366539578,0.0,234.5079726365571,0.0,246.49750313467132,328.29745866658556,24.623546297846005,18.27575287902272,0.0,9927.361459923099,67.10187358798431,9924.118576251158,9943.297458666586,365.5451221822903
child_qualities_prosocial_diligence|WVS_A,35.12010864952043,9919.333704493038,9926.741007907587,0.0,0.0,930.5939220349333,0.0,26.00805386351456,0.0,339.6135397033621,0.0,9951.225949668406,0.0,0.0,0.0,129.19530865692383,182.62927989065042,0.0,15.99173885889897,0.0,9943.598043051927,0.0,9940.355159379984,9959.534041795412,4.7556306106237685
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9939.82011415765,88.53038251254014,192.1351166838843,930.5939220349333,0.0,0.0,9956.77486795451,9897.221267423298,9948.051476878176,9948.13937814747,46.39294314976507,70.42122803534467,180.82734873894822,775.8401408887116,0.0,9962.96603502319,9953.059880239522,316.6685608705916,34.991318226506735,0.0,40.60341410797562,9932.754554660653,400.16286571543293,0.0,931.498502555657
confidence_in_domestic_institutions|WVS_E,9957.475221633116,0.0,49.65950520510269,0.0,0.0,9956.77486795451,0.0,9934.394151303242,9965.706584353644,9965.794485622937,22.651091420053447,105.75111948567397,47.18221980779559,0.0,0.0,9980.621142498656,9970.714987714988,0.0,84.31557622358302,0.0,0.0,9965.341384122998,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,9897.921621101907,207.38515365995124,0.0,26.00805386351456,0.0,9897.221267423298,9934.394151303242,0.0,9929.089015787706,9906.240885091727,75.69686058230397,0.0,18.1240662689426,26.985421062727795,0.0,9933.255232400108,9911.161387183778,0.0,0.0,0.0,42.919614052742176,9923.525816649104,323.7540628385699,298.53175755414753,902.0696210428163
democratic_system_evaluation|WVS_E,9948.751830556785,0.0,0.0,0.0,0.0,9948.051476878176,9965.706584353644,9929.089015787706,0.0,9957.071094546605,141.5129810313387,0.0,24.355024734042317,0.0,0.0,9971.897751422324,9961.991596638656,0.0,81.0034405585062,0.0,55.704919058476264,9949.768678590655,91.53542893897597,0.0,196.8404753650479
economic_ideology|WVS_E,9948.839731826078,112.1870025228894,692.6077258053047,339.6135397033621,0.0,9948.13937814747,9965.794485622937,9906.240885091727,9957.071094546605,0.0,77.10139829650507,106.5920570655112,6.234782795193439,49.56564091008163,0.0,9971.98565269162,9962.07949790795,28.310508898577098,27.833196464392003,0.0,38.52507380067198,9941.77417232908,54.637028838407275,0.0,226.23240593837156
