construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,953.5489978062926,34.83923074918954,117.16544241508718,0.0,9925.69172932331,9937.636976855862,9942.57256215835,9969.624650531192,9922.302107728337,0.0,118.65348931014643,26.0468087854239,58.05314326871859,188.13124073716926,9968.626168224298,9952.911150940981,34.982651796214725,83.5888830901727,234.09616400270605,546.8239347481272,9947.900520598107,203.14990318505397,0.0,677.1779192391575
child_qualities_autonomy_self_expression|WVS_A,953.5489978062926,0.0,9976.596012189964,9922.286041967547,0.0,19.36606497517201,0.0,13.947848614946786,172.83350191815592,46.53199893575654,0.0,9954.878955878956,0.0,0.0,0.0,0.0,148.924958970428,0.0,0.0,0.0,9980.401348402242,0.0,9950.946230584,9971.240586591339,0.0
child_qualities_conformity_tradition|WVS_A,34.83923074918954,9976.596012189964,0.0,9923.61696233144,0.0,93.86615207482775,0.0,0.0,0.0,145.30443178963435,0.0,9961.254859360968,0.0,0.0,0.0,0.0,231.51791123271622,0.0,0.0,0.0,9980.587713345903,0.0,9957.322134066015,9971.885658243913,0.0
child_qualities_prosocial_diligence|WVS_A,117.16544241508718,9922.286041967547,9923.61696233144,0.0,0.0,884.494992756152,64.22322857558562,52.29255843274359,0.0,790.19628025209,55.42231105189134,9899.476976701522,0.0,0.0,4.514397114452365,11.046891936089878,350.2392680248073,0.0,5.908954590129383,0.0,9925.990687776015,25.90970889870549,9893.413382006376,9922.091073753325,5.390691308370478
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,0.0,0.0,10.652184469023638,0.0,0.0,324.41441554267016,17.667848759282307,0.0,0.0,0.0,0.0,9975.024600350825,31.54818171049078,0.0,9975.905648764234,9975.591531058046,9977.940624754076,0.0,0.0,0.0,969.2490098039448,0.0
confidence_in_civil_society_organizations|WVS_E,9925.69172932331,19.36606497517201,93.86615207482775,884.494992756152,10.652184469023638,0.0,9927.527610119141,9914.88028643094,9928.960820053699,9920.422408480217,0.0,916.5110634822651,193.7497483571525,53.04928989139516,69.40955144067101,9942.000286606955,9918.487560101972,934.6203384726185,81.51334345185516,28.364701240936718,4.289070482180925,9943.057391184382,282.948708557681,18.35224233751616,18.524308837858662
confidence_in_domestic_institutions|WVS_E,9937.636976855862,0.0,0.0,64.22322857558562,0.0,9927.527610119141,0.0,9944.495140530602,9953.777948771583,9924.13798852417,8.49447643747947,15.452423347160178,0.0,0.0,0.0,9962.452268324549,9932.211715820411,0.0,0.0,0.0,0.0,9960.446074250953,30.475987079859678,10.520055002610334,0.0
confidence_in_international_organizations|WVS_E,9942.57256215835,13.947848614946786,0.0,52.29255843274359,0.0,9914.88028643094,9944.495140530602,0.0,9950.580390259636,9911.49066483597,256.5045744236496,10.007450531189988,0.0,0.0,0.0,9952.703703703704,9933.866890669424,0.0,0.0,0.0,1.408384459231911,9950.804779938806,21.629305211394765,0.0,19.92684417860776
democratic_system_evaluation|WVS_E,9969.624650531192,172.83350191815592,0.0,0.0,324.41441554267016,9928.960820053699,9953.777948771583,9950.580390259636,0.0,9925.571198458729,1.5684104582821945,0.0,0.0,0.0,4.837564587310808,9976.633996325585,9960.918979042266,0.0,52.95388772802682,1.3322469074681464,161.13576035658076,9963.992557472848,0.0,0.0,970.9000330547292
economic_ideology|WVS_E,9922.302107728337,46.53199893575654,145.30443178963435,790.19628025209,17.667848759282307,9920.422408480217,9924.13798852417,9911.49066483597,9925.571198458729,0.0,0.0,822.2123509782031,565.3601267621815,24.39651040168728,69.06871033350487,9938.610665011984,9915.097938507,931.2307168776475,108.63478211622814,26.820779166083824,20.57826253587281,9939.667769589412,46.17501796220266,19.424582518405927,45.49905971252328
gender_role_traditionalism|WVS_D,0.0,0.0,0.0,55.42231105189134,0.0,0.0,8.49447643747947,256.5045744236496,1.5684104582821945,0.0,0.0,112.83520717482982,0.8369107074727467,0.0,0.0,6.635938236027602,0.0,31.037852846789278,6.437856698506156,0.0,0.0,0.0,122.58611625316497,2.87236617652545,0.0
importance_of_life_domains|WVS_A,118.65348931014643,9954.878955878956,9961.254859360968,9899.476976701522,0.0,916.5110634822651,15.452423347160178,10.007450531189988,0.0,822.2123509782031,112.83520717482982,0.0,0.7169210800672161,0.0,0.0,13.809339569846415,554.4947121034078,0.0,0.0,0.0,9958.692760489574,9.275462286525908,9941.013220650992,9947.665832812174,35.269510410084536
job_scarcity_gender_discrimination|WVS_C,26.0468087854239,0.0,0.0,0.0,0.0,193.7497483571525,0.0,0.0,0.0,565.3601267621815,0.8369107074727467,0.7169210800672161,0.0,9978.9937611729,0.0,0.0,128.40523714841254,0.0,0.0,0.0,0.0,0.0,36.510368948664066,0.0,9981.187479679329
job_scarcity_nativist_preference|WVS_C,58.05314326871859,0.0,0.0,0.0,0.0,53.04928989139516,0.0,0.0,0.0,24.39651040168728,0.0,0.0,9978.9937611729,0.0,0.0,0.0,356.7548791872001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9981.75737253947
life_autonomy_morality_permissiveness|WVS_F,188.13124073716926,0.0,0.0,4.514397114452365,9975.024600350825,69.40955144067101,0.0,0.0,4.837564587310808,69.06871033350487,0.0,0.0,0.0,0.0,0.0,0.0,507.7083975310717,9972.943871815361,9972.629754109175,9980.233787814048,0.0,0.0,13.55799871377495,0.0,0.0
offline_political_participation|WVS_E,9968.626168224298,0.0,0.0,11.046891936089878,31.54818171049078,9942.000286606955,9962.452268324549,9952.703703703704,9976.633996325585,9938.610665011984,6.635938236027602,13.809339569846415,0.0,0.0,0.0,0.0,9959.920496735373,0.0,11.87754590461866,0.0,0.0,9974.393951374974,944.7225076007999,0.0,0.0
postmaterialist_values|WVS_E,9952.911150940981,148.924958970428,231.51791123271622,350.2392680248073,0.0,9918.487560101972,9932.211715820411,9933.866890669424,9960.918979042266,9915.097938507,0.0,554.4947121034078,128.40523714841254,356.7548791872001,507.7083975310717,9959.920496735373,0.0,245.97395000425857,17.873076466111698,172.511526591336,71.83418865374932,9940.27783669141,147.78420903067558,0.0,79.18653346451727
religious_belief|WVS_F,34.982651796214725,0.0,0.0,0.0,9975.905648764234,934.6203384726185,0.0,0.0,0.0,931.2307168776475,31.037852846789278,0.0,0.0,0.0,9972.943871815361,0.0,245.97395000425857,0.0,9973.933407046288,9976.282500742318,0.0,0.0,0.0,1.300659569909545,0.4274774438220028
