construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,83.33333333333333,129.19731659502526,161.22816032887977,138.88888888888889,92.52744159864902,115.0375194208456,150.53523639607494,241.22807017543857,137.731919727376,65.78947368421052,182.06854345165237,93.72243457806528,129.10166756320604,89.28571428571429,121.35614702154626,99.68777876895629,110.8058608058608,101.72478912249781,88.31199620673304,59.1715976331361,93.3376830506017,133.33333333333334,9999.0,84.23965818605554
child_qualities_autonomy_self_expression|WVS_A,83.33333333333333,0.0,46.26951995373048,88.72096953309835,55.55555555555556,40.32258064516129,46.29629629629629,106.82081789950239,197.513651678866,94.01750123080345,22.075055187637968,138.3541249550798,50.00801608149271,114.95083863504917,16.778523489932887,38.02281368821293,38.91050583657587,27.47252747252747,18.79699248120301,20.242914979757085,46.70559705955915,25.706940874035993,90.30793525463878,9999.0,21.78649237472767
child_qualities_conformity_tradition|WVS_A,129.19731659502526,46.26951995373048,0.0,117.60454649978648,92.59259259259258,85.98468110178229,55.483731954320184,153.09033785323285,243.78317163259652,140.28702118453393,68.34457514136845,184.62364490881032,77.223771253622,99.00990099009901,45.662100456621005,43.29004329004329,85.18002579030636,35.2112676056338,27.47252747252747,66.51243493348757,70.02571896188917,71.97646082776647,119.04761904761907,9999.0,68.05601232845815
child_qualities_prosocial_diligence|WVS_A,161.22816032887977,88.72096953309835,117.60454649978648,0.0,144.2765250886539,108.69565217391305,130.76597545493019,178.06267806267806,273.9767872152446,170.48063676718203,98.53819072401654,214.8172604914584,85.47008547008546,177.20820501917183,71.94244604316548,111.11111111111111,111.78308349336467,116.19349700562583,107.51796201430138,81.30081300813008,107.27813508910188,100.92795328954229,145.47185780787134,9999.0,95.58310798169975
civic_dishonesty_tolerance|WVS_F,138.88888888888889,55.55555555555556,92.59259259259258,144.2765250886539,0.0,95.87813620071685,101.85185185185185,162.37637345505794,169.49152542372883,149.57305678635902,77.63061074319353,193.90968051063538,105.56357163704828,103.09278350515464,72.33407904548844,93.57836924376849,94.46606139213142,83.02808302808303,74.35254803675856,75.79847053531265,102.26115261511471,81.26249642959155,145.86349081019432,9999.0,77.34204793028323
confidence_in_civil_society_organizations|WVS_E,92.52744159864902,40.32258064516129,85.98468110178229,108.69565217391305,95.87813620071685,0.0,86.61887694145759,111.48373062630291,202.17656440566657,98.68041395760397,26.7379679144385,143.01703768188037,40.16064257028113,121.29857971642961,40.32258064516129,78.34539433337422,60.636272999184264,67.79510811768876,59.1195731263643,43.859649122807014,51.36850978635968,54.28617728082968,113.85199240986717,9999.0,36.90036900369004
confidence_in_domestic_institutions|WVS_E,115.0375194208456,46.29629629629629,55.483731954320184,130.76597545493019,101.85185185185185,86.61887694145759,0.0,153.11711419579868,243.80994797516232,140.31379752709972,68.37135148393426,184.65042125137612,77.51937984496124,124.16505063563888,58.8235294117647,55.03823150881974,85.20680213287216,60.975609756097555,28.011204481792713,66.53921127605338,55.865921787709496,72.00323717033228,130.7958072663955,9999.0,68.08278867102396
confidence_in_international_organizations|WVS_E,150.53523639607494,106.82081789950239,153.09033785323285,178.06267806267806,162.37637345505794,111.48373062630291,153.11711419579868,0.0,260.18435920309247,156.6882087550299,84.74576271186442,201.02483247930627,92.59259259259258,179.30637451385553,111.34150739271547,144.84363158771532,118.64406779661019,134.29334537202985,125.6178103807054,107.26828523438694,109.3763045837856,112.29397207825559,136.986301369863,9999.0,103.19594721370943
democratic_system_evaluation|WVS_E,241.22807017543857,197.513651678866,243.78317163259652,273.9767872152446,169.49152542372883,202.17656440566657,243.80994797516232,260.18435920309247,0.0,247.38104253439354,175.43859649122805,291.7176662586699,203.3715573850828,263.1578947368421,202.0343411720791,235.53646536707896,209.33690157597383,224.9861791513935,216.31064416006905,197.9611190137506,200.06913836314925,202.98680585761923,222.22222222222223,9999.0,193.88878099307308
economic_ideology|WVS_E,137.731919727376,94.01750123080345,140.28702118453393,170.48063676718203,149.57305678635902,98.68041395760397,140.31379752709972,156.6882087550299,247.38104253439354,0.0,71.94244604316548,188.22151581060734,99.87540693702022,166.5030578451566,98.53819072401654,132.04031491901637,105.84075112791123,121.49002870333092,112.81449371200645,94.464968565688,96.57298791508666,99.49065540955667,172.06760248872243,9999.0,90.39263054501049
gender_role_traditionalism|WVS_D,65.78947368421052,22.075055187637968,68.34457514136845,98.53819072401654,77.63061074319353,26.7379679144385,68.37135148393426,84.74576271186442,175.43859649122805,71.94244604316548,0.0,116.27906976744185,27.932960893854748,94.56061180199112,26.595744680851062,60.09786887585089,33.898305084745765,49.54758266016544,40.87204766884098,22.52252252252252,24.630541871921185,27.548209366391184,100.12515644555694,9999.0,18.45018450184502
