construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,125.56154971078622,126.47843583238561,183.3580578384202,9999.0,99.92106028501391,200.863240885268,106.65441926923862,108.5261373473357,138.11106738595026,92.44896692932927,120.4225352112676,70.4225352112676,125.04668842571743,178.06716331044117,95.4225352112676,111.86644265748461,137.14222414728738,94.33962264150944,149.5728742048609,151.49746859659285,123.99470825425041,112.69188190908636,106.52361824375858,135.4078577774432
child_qualities_autonomy_self_expression|WVS_A,125.56154971078622,0.0,52.7499375329687,124.02167369054787,9999.0,33.557046979865774,167.47774271103745,25.125628140703515,26.666666666666668,66.3154755585439,33.11258278145695,47.2852233676976,55.13901449951862,44.69509976496966,133.0496453900709,63.52717213393532,37.03703703703704,55.61343301875229,62.02599714439356,68.04408307632583,69.96867746805778,52.91005291005291,38.14646147403685,73.13812006952801,53.54838709677419
child_qualities_conformity_tradition|WVS_A,126.47843583238561,52.7499375329687,0.0,119.55147584235695,9999.0,50.25125628140703,139.38153724864145,27.62430939226519,26.315789473684212,54.054054054054056,42.07517644428831,46.93434617471514,56.05590062111801,47.19378101653133,113.70052872029157,31.055900621118013,28.011204481792713,58.11211427031397,64.52467839595522,70.54276432788751,72.46735871961945,40.0,39.23568611451108,45.041914607132,53.19750990379174
child_qualities_prosocial_diligence|WVS_A,183.3580578384202,124.02167369054787,119.55147584235695,0.0,9999.0,107.82956468235658,196.82121184876235,104.16666666666667,106.98626132709735,136.5711913657119,90.90909090909092,113.49557522123894,112.9355226271526,117.6470588235294,171.1402033204125,88.49557522123894,110.32656663724626,134.65447154471545,137.2053872053872,147.08512160228898,149.00971599402092,122.45483223401206,111.15200588884801,102.48158920725292,129.47918177861598
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,99.92106028501391,33.557046979865774,50.25125628140703,107.82956468235658,9999.0,0.0,140.85125054848618,31.371340825288776,32.99764419127209,49.674390428593064,16.920473773265652,47.16981132075472,29.498525073746315,25.125628140703515,129.53071510315806,46.8860870039845,36.337949501420994,41.666666666666664,40.816326530612244,52.631578947368425,76.21439015264303,44.44115616059978,21.50537634408602,46.51162790697675,46.08294930875576
confidence_in_domestic_institutions|WVS_E,200.863240885268,167.47774271103745,139.38153724864145,196.82121184876235,9999.0,140.85125054848618,0.0,144.56947162426616,146.62624392824878,153.16315205327413,149.85818140215576,133.3256366275234,130.4407056740004,125.0,190.970264726697,108.32563662752342,130.4407056740004,166.15226337448559,181.4698406279562,163.7840670859539,179.6448087431694,130.31084566309218,133.70634728742192,94.33962264150944,149.30924318490048
confidence_in_international_organizations|WVS_E,106.65441926923862,25.125628140703515,27.62430939226519,104.16666666666667,9999.0,31.371340825288776,144.56947162426616,0.0,25.940729974160206,41.189847417840376,14.450867052023122,24.096385542168672,36.231884057971016,19.569471624266146,121.04617209240537,38.40154399323181,29.360702614379086,30.487804878048777,36.90036900369004,42.918454935622314,44.84304932735426,35.956613149847094,13.020833333333334,50.52922394624757,28.98550724637681
democratic_system_evaluation|WVS_E,108.5261373473357,26.666666666666668,26.315789473684212,106.98626132709735,9999.0,32.99764419127209,146.62624392824878,25.940729974160206,0.0,41.08891072533392,16.077170418006432,20.618556701030926,38.103602136068105,23.64066193853428,106.38297872340425,38.30060730072535,29.259765921872628,35.842293906810035,45.04504504504504,51.54639175257732,50.25125628140703,35.855676457340635,12.919896640826874,52.28662128673935,26.881720430107528
economic_ideology|WVS_E,138.11106738595026,66.3154755585439,54.054054054054056,136.5711913657119,9999.0,49.674390428593064,153.16315205327413,41.189847417840376,41.08891072533392,0.0,45.662100456621005,42.37288135593221,67.68853217468268,60.016147842468826,136.19435284357908,53.54972474440552,44.5088833655528,71.67765229588916,78.09021642153041,84.10830235346269,86.03289674519463,51.104793901020805,28.169014084507044,58.8235294117647,61.28159686596399
