construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,1.0182621370857774,104.35013753091559,65.64799440945757,0.0,9978.054284495454,9968.540352372833,9972.547685590547,9915.402845399447,9953.55234055446,10.055988729650963,17.72594097269826,0.0,17.08946921639363,0.0,9979.82656583803,9970.820853686491,0.0,0.0,0.0,4.492070504814002,9960.537481039602,0.0,0.0,10.65288598800663
child_qualities_autonomy_self_expression|WVS_A,1.0182621370857774,0.0,9945.46209619991,9899.48154093098,0.0,23.647572798413464,1.9271524794591244,132.81033155156825,0.0,29.793546561839236,19.713009769946545,9948.28567797041,50.38079311888525,204.22901080631755,0.0,0.0,7.292152662905941,222.9496133990516,15.259108350439504,0.0,9967.37458493162,54.174492213847664,9954.80705277823,0.0,0.0
child_qualities_conformity_tradition|WVS_A,104.35013753091559,9945.46209619991,0.0,9880.89622375754,0.0,952.3652292588434,0.0,124.06623354502763,8.746528423731377,548.5899666521676,443.90387734040985,9929.700360796971,62.909924989151335,559.4244758237056,0.0,149.4032265586603,32.2969323025077,18.127639400720213,118.87169380415915,0.0,9950.73705013522,85.58587995675983,9936.28797130949,0.0,76.00638703452279
child_qualities_prosocial_diligence|WVS_A,65.64799440945757,9899.48154093098,9880.89622375754,0.0,914.8162703871094,153.56362567055413,69.04407595330082,320.82125440792265,301.55520209561075,0.0,193.87063182621753,9904.946994182288,31.193602038288674,895.0647924197341,105.1876334652684,0.0,902.427755837201,117.67399267399269,108.67224587676799,26.874052945895343,9907.361004741084,140.59871878137915,9911.468368990109,0.0,0.0
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,914.8162703871094,0.0,0.0,0.0,0.0,529.6831607944085,29.039552501146794,0.0,348.23579204192527,12.18837477411325,0.0,9976.675861524336,0.0,0.0,9966.014072584912,9961.26402646796,9973.657356300038,0.0,0.3554653589647856,0.0,0.0,14.151818559866932
confidence_in_civil_society_organizations|WVS_E,9978.054284495454,23.647572798413464,952.3652292588434,153.56362567055413,0.0,0.0,9968.208840615569,9972.810877827253,9915.666037636154,9953.815532791168,1.1878645796728904,3.510368730640103,0.0,7.093963861663738,0.0,9980.089758074735,9971.084045923199,0.0,0.0,0.0,1.9981101748036494,9960.067724282682,0.0,0.0,530.5653622699018
confidence_in_domestic_institutions|WVS_E,9968.540352372833,1.9271524794591244,0.0,69.04407595330082,0.0,9968.208840615569,0.0,9962.702241710662,9905.557401519562,9943.706896674576,173.37520114428747,6.836219732745846,196.28195801288712,354.6124463891396,0.0,9969.981121958144,9963.256535947712,130.32178129880276,2.4752083093764625,0.0,68.44241649228861,9954.232422784416,268.5206904847829,0.0,44.58098259746056
confidence_in_international_organizations|WVS_E,9972.547685590547,132.81033155156825,124.06623354502763,320.82125440792265,0.0,9972.810877827253,9962.702241710662,0.0,9910.159438731245,9948.30893388626,0.0,84.53767214910818,0.0,12.690419429700611,0.0,9974.583159169828,9965.57744701829,0.0,0.0,0.0,0.5219004039666224,9953.197299997439,107.68155122587862,0.0,0.0
democratic_system_evaluation|WVS_E,9915.402845399447,0.0,8.746528423731377,301.55520209561075,529.6831607944085,9915.666037636154,9905.557401519562,9910.159438731245,0.0,9891.16409369516,406.17396593673965,218.3945297508777,118.46308984818516,102.06964340972387,0.0,9917.438318978728,9908.432606827191,0.0,28.894261583249715,56.104564806368145,12.453234371850854,9894.659336887627,248.30547371226368,0.0,0.0
economic_ideology|WVS_E,9953.55234055446,29.793546561839236,548.5899666521676,0.0,29.039552501146794,9953.815532791168,9943.706896674576,9948.30893388626,9891.16409369516,0.0,256.82346109175376,1.5309473121690615,299.71022810084236,125.40432374992314,0.0,9955.587814133742,9946.582101982205,78.20211532550775,1.6899749327566838,0.0,25.457796929253746,9932.808832042641,0.0,0.0,0.0
