construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,26.702084255666378,30.40700562622026,33.047735618115055,9999.0,22.15723591576537,27.366272173025465,31.15332823816283,26.50497607900325,37.05560010692328,22.55606214670734,45.62435789670309,31.671832429296217,28.855010815454197,36.396172913820266,27.213477842528548,29.954743021015368,15.503875968992247,23.86634844868735,9999.0,32.00552613400875,25.27904703448589,51.50497607900325,9999.0,47.06820459717923
child_qualities_autonomy_self_expression|WVS_A,26.702084255666378,0.0,26.101337943902145,28.742067935796936,9999.0,17.851568233447253,23.060604490707348,26.847660555844712,22.199308396685133,32.74993242460516,15.552099533437016,41.31869021438497,20.242914979757085,24.54934313313608,28.49002849002849,22.90781016021043,25.64907533869725,11.19820828667413,16.722408026755854,9999.0,27.69985845169063,20.973379352167775,47.19930839668513,9999.0,39.924264175247735
child_qualities_conformity_tradition|WVS_A,30.40700562622026,26.101337943902145,0.0,32.44698930635082,9999.0,21.556489604001136,26.76552586126123,30.552581926398595,16.722408026755854,36.45485379515905,21.955315834943107,45.023611584938855,30.967422271770097,28.254264503689967,25.839793281653748,22.88329519450801,29.35399670925114,14.903129657228016,28.474220658932676,9999.0,27.895592384297753,24.678300722721662,41.72240802675586,9999.0,51.02508327680357
child_qualities_prosocial_diligence|WVS_A,33.047735618115055,28.742067935796936,32.44698930635082,0.0,9999.0,24.197219595895927,29.40625585315602,33.19331191829338,28.544959759133807,39.09558378705384,24.596045826837894,47.66434157683365,33.71181610942678,30.894994495584754,38.43615659395082,29.2534615226591,31.99472670114593,17.543859649122805,31.114950650827467,9999.0,34.04550981413931,27.319030714616453,53.5449597591338,9999.0,53.66581326869836
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,22.15723591576537,17.851568233447253,21.556489604001136,24.197219595895927,9999.0,0.0,18.515756150806336,22.3028122159437,17.654460056784124,28.205084084704158,12.836970474967908,36.77384187448396,16.38150830876218,20.00449479323507,27.545656891601137,18.36296182030942,21.104226998796243,6.653359946773121,7.412898443291327,9999.0,23.155010111789622,16.428531012266767,42.654460056784124,9999.0,30.61475459178321
confidence_in_domestic_institutions|WVS_E,27.366272173025465,23.060604490707348,26.76552586126123,29.40625585315602,9999.0,18.515756150806336,0.0,27.511848473203795,22.86349631404422,33.41412034196425,18.914582381748307,41.98287813174406,25.52490125619933,25.213531050495163,32.75469314886123,23.571998077569514,26.313263256056338,11.862396204033216,16.556291390728475,9999.0,28.364046369049717,21.637567269526862,47.86349631404422,9999.0,39.75814753922036
confidence_in_international_organizations|WVS_E,31.15332823816283,26.847660555844712,30.552581926398595,33.19331191829338,9999.0,22.3028122159437,27.511848473203795,0.0,26.650552379181583,37.20117640710161,22.70163844688567,45.76993419688142,31.81740872947455,29.000587115632527,36.54174921399859,27.359054142706878,30.1003193211937,15.64945226917058,27.548209366391184,9999.0,32.15110243418708,25.424623334664226,51.65055237918158,9999.0,50.75006551488306
democratic_system_evaluation|WVS_E,26.50497607900325,22.199308396685133,16.722408026755854,28.544959759133807,9999.0,17.654460056784124,22.86349631404422,26.650552379181583,0.0,32.55282424794204,14.66275659824047,41.12158203772184,14.245014245014245,19.120458891013385,9.891196834817013,22.710701983547303,25.451967162034123,11.001100110011002,21.18166142223004,9999.0,11.1731843575419,20.776271175504647,25.0,9999.0,43.732524040100934
economic_ideology|WVS_E,37.05560010692328,32.74993242460516,36.45485379515905,39.09558378705384,9999.0,28.205084084704158,33.41412034196425,37.20117640710161,32.55282424794204,0.0,28.603910315646125,51.67220606564187,37.719680598235,33.898305084745765,32.25806451612903,33.26132601146733,36.00259118995416,21.551724137931036,35.1228151396357,9999.0,23.64066193853428,31.326895203424684,45.45454545454546,9999.0,57.673677757506596
