construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,4.769241456649347,0.0,204.3236744453032,82.5610493381374,9865.203013743998,9959.103662279205,9918.136191677175,9941.150458112494,9944.845593386577,3.017144146176406,63.91458004361229,0.0,16.06158639328951,0.0,9950.84209508977,9954.453786651313,3.4228767574502967,0.0,10.068665240494049,74.51796244648983,9931.651673115306,11.080920244778376,0.0,0.6975233472821998
child_qualities_autonomy_self_expression|WVS_A,4.769241456649347,0.0,9965.449364954478,9898.693119277688,65.80813116206933,598.4388180233879,0.0,0.0,15.34916689070085,3.3213750798578587,8.838383838383834,9921.727272727272,0.0,5.598140459207208,0.0,3.411447456161561,0.0,0.0,0.0,0.0,9873.410851529496,76.88946701354145,9962.294836054692,0.0,0.0
child_qualities_conformity_tradition|WVS_A,0.0,9965.449364954478,0.0,9898.096107729201,466.2152630836507,643.4681929731436,0.0,223.03707004059189,132.00304992905308,197.7824424093441,0.0,9934.502283105023,0.0,3.5811072396438277,0.0,0.0,0.0,26.796084287373475,0.0,0.0,9884.929094562189,0.0,9961.002265525301,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,204.3236744453032,9898.693119277688,9898.096107729201,0.0,20.305299539170505,0.0,181.08434775101443,0.0,97.80059122164387,0.0,241.23784261715298,9862.553113553113,524.7124370956146,644.7595614262282,9.50768925791229,0.0,309.0726873912715,577.8388278388279,0.0,0.0,9831.986832986833,0.0,9889.316839469382,0.0,0.0
civic_dishonesty_tolerance|WVS_F,82.5610493381374,65.80813116206933,466.2152630836507,20.305299539170505,0.0,151.86226339176147,493.4726007554035,0.0,75.28981386105423,0.0,32.97385620915031,56.93489517018929,387.46651308498474,886.568365080198,9914.80813116207,0.0,113.35338845667084,9874.116713352007,9907.044778194966,9887.977144036131,177.88376611906023,0.0,452.0281395000748,0.0,105.66501274827425
confidence_in_civil_society_organizations|WVS_E,9865.203013743998,598.4388180233879,643.4681929731436,0.0,151.86226339176147,0.0,9886.766554433221,9849.912975912976,9872.927242348294,9876.622377622378,0.0,435.4575163398693,783.3283328332833,629.2195458862126,877.1957299089082,9871.394154309048,9873.744617318875,551.0318605556702,0.0,141.77666210186536,9.576791491685128,9858.819121447028,874.7768239293663,0.0,882.7032540387589
confidence_in_domestic_institutions|WVS_E,9959.103662279205,0.0,0.0,181.08434775101443,493.4726007554035,9886.766554433221,0.0,9939.699732366398,9962.713998801719,9966.4091340758,0.0,32.388980315613566,0.0,0.0,0.0,9969.59678376194,9973.20847532348,0.0,0.0,0.0,34.352847518003216,9950.406361787474,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,9918.136191677175,0.0,223.03707004059189,0.0,0.0,9849.912975912976,9939.699732366398,0.0,9925.860420281473,9929.555555555555,927.8691166989039,8.153669544432375,261.48512755372076,230.06874455642654,0.0,9926.976118924551,9930.587810486091,306.3459908698004,0.0,0.0,0.0,9907.785696950084,38.821112973655346,0.0,4.129582656868365
democratic_system_evaluation|WVS_E,9941.150458112494,15.34916689070085,132.00304992905308,97.80059122164387,75.28981386105423,9872.927242348294,9962.713998801719,9925.860420281473,0.0,9952.569821990875,0.0,43.519846963175496,39.47058239658553,390.48167556939484,9.322949558304089,9947.341598677545,9948.091022547633,0.0,0.0,67.93576391093545,384.567298061139,9933.165526675786,120.21579372159214,0.0,114.90069840725593
economic_ideology|WVS_E,9944.845593386577,3.3213750798578587,197.7824424093441,0.0,0.0,9876.622377622378,9966.4091340758,9929.555555555555,9952.569821990875,0.0,20.117859146498546,0.0,112.61016211511262,242.66165932832604,0.0,9951.036733951627,9945.581196581197,44.59385411766364,0.0,0.0,15.792797707691335,9918.783093484783,74.90133128278931,0.0,24.074228743066968
