construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,68.9655172413793,96.67173694895939,181.81818181818184,103.5594417947359,115.41924959891107,105.17498138495904,169.57486409935314,100.09935419771486,234.88311906278054,73.52941176470588,114.17981826877093,83.36796754762901,113.77526898013033,118.17226890756302,72.28149304652037,181.22708722418204,132.88755365258098,9999.0,9999.0,127.53011183105073,168.9655172413793,54.6448087431694,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,68.9655172413793,0.0,39.966567889977966,133.22338281106835,57.62255081062901,58.71408053992964,62.763881521138565,112.86969504037172,39.682539682539684,178.17795000379914,36.96145966269496,65.4224884111282,26.66279848864759,57.0700999211489,64.8307374199453,15.576323987538942,159.79528677190257,76.18238459359955,9999.0,9999.0,70.82494277206932,100.0,33.21300829088991,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,96.67173694895939,39.966567889977966,0.0,142.03730272596843,66.43647072552909,67.52800045482972,71.57780143603864,121.6836149552718,74.69240467805747,186.9918699186992,45.77537957759505,74.23640832602828,35.47671840354767,65.88401983604899,73.64465733484538,24.390243902439025,168.60920668680265,84.99630450849963,9999.0,9999.0,79.6388626869694,139.96656788997797,42.02692820578999,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,181.81818181818184,133.22338281106835,142.03730272596843,0.0,159.69328564661947,128.2051282051282,164.83461635712902,214.9404298763622,131.57894736842104,277.77777777777777,139.03219449868544,167.49322324711866,128.73353332463805,159.14083475713937,166.90147225593574,117.6470588235294,261.866021607893,178.25311942959001,9999.0,9999.0,172.89567760805977,233.22338281106835,135.28374312688038,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,103.5594417947359,57.62255081062901,66.43647072552909,159.69328564661947,0.0,63.01103437326347,61.67559965028319,117.16664887370557,70.17543859649123,182.47490383713296,30.030030030030026,69.71944224446204,30.959752321981423,83.54000275670003,69.12769125327912,42.046226823090066,186.2651896074537,87.45692746322436,9999.0,9999.0,97.29484560762045,144.59611595834505,59.682911126441034,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,115.41924959891107,58.71408053992964,67.52800045482972,128.2051282051282,63.01103437326347,0.0,68.15236508377302,118.2581786030062,71.26696832579185,183.56643356643357,42.349943225329426,70.81097197376266,32.05128205128205,84.63153248600065,70.21922098257976,43.1377565523907,187.3567193367543,88.54845719252498,9999.0,9999.0,98.38637533692108,145.68764568764567,60.774440855741666,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,105.17498138495904,62.763881521138565,71.57780143603864,164.83461635712902,61.67559965028319,68.15236508377302,0.0,122.30797958421512,75.31676930700078,187.6162345476425,31.645569620253163,72.2959761243182,36.101083032490976,88.68133346720958,74.26902196378867,47.18755753359962,191.40652031796324,92.59825817373391,9999.0,9999.0,102.43617631813001,149.7374466688546,64.82424183695059,9999.0,9999.0
confidence_in_international_organizations|WVS_E,169.57486409935314,112.86969504037172,121.6836149552718,214.9404298763622,117.16664887370557,118.2581786030062,122.30797958421512,0.0,125.42258282623395,237.7220480668757,96.50555772577151,124.96658647420476,86.20689655172414,138.78714698644274,124.37483548302185,97.29337105283278,241.5123338371964,142.7040716929671,9999.0,9999.0,152.54198983736316,199.84326018808775,114.93005535618374,9999.0,9999.0
democratic_system_evaluation|WVS_E,100.09935419771486,39.682539682539684,74.69240467805747,131.57894736842104,70.17543859649123,71.26696832579185,75.31676930700078,125.42258282623395,0.0,190.73083778966134,49.51434744855718,77.97537619699042,39.21568627450981,91.79593670922841,77.3836252058075,50.302160775618454,172.03682393555812,95.71286141575274,9999.0,9999.0,105.55077956014884,139.6825396825397,45.45454545454546,9999.0,9999.0
economic_ideology|WVS_E,234.88311906278054,178.17795000379914,186.9918699186992,277.77777777777777,182.47490383713296,183.56643356643357,187.6162345476425,237.7220480668757,190.73083778966134,0.0,161.8138126891989,190.27484143763215,151.51515151515153,204.09540194987014,189.68309044644923,162.60162601626018,306.8205888006238,208.01232665639446,9999.0,9999.0,217.85024480079056,265.1515151515151,180.23831031961114,9999.0,9999.0
