construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.0,135.4347424660985,336.9615165668745,542.7979751495628,9793.249775381852,9853.543531154131,9820.42857142857,9822.47055460263,9833.01413473384,4.872486004561466,54.226640621874,0.0,43.27801981358357,174.31224689289206,9881.708914122526,9818.480417549643,0.0,0.0,33.40087808172913,0.0,9830.843760344256,0.0,0.0,71.65557354440247
child_qualities_autonomy_self_expression|WVS_A,0.0,0.0,9820.300358994815,9781.986111111111,0.0,0.0,0.0,819.761305512706,226.88433171433712,0.0,851.1140235910877,9767.885716511915,177.4070197700598,171.875,0.0,0.0,0.0,0.0,0.0,0.0,9868.518979057591,738.8105285419897,9862.8124362895,0.0,28.004779893608827
child_qualities_conformity_tradition|WVS_A,135.4347424660985,9820.300358994815,0.0,9850.72167609424,867.081944200737,451.8670777663583,135.2657004830918,593.7786722704,269.54971712004954,259.7473791473321,0.0,9851.869584032023,0.0,0.0,24.2114001106807,619.4870096243303,564.6165088695625,0.0,0.0,0.0,9901.61226133597,322.7943960620977,9867.599033816425,0.0,211.36280599196203
child_qualities_prosocial_diligence|WVS_A,336.9615165668745,9781.986111111111,9850.72167609424,0.0,7.616048613191083,0.0,645.7739974323154,784.5824658801758,0.0,133.07133863224993,45.445326008160706,9847.476152212592,0.0,0.0,0.0,0.0,55.51467958347385,551.5710988815906,61.27095974424219,34.059241723700666,9897.21882951654,218.40096424266773,9837.194036667319,0.0,227.75423728813558
civic_dishonesty_tolerance|WVS_F,542.7979751495628,0.0,867.081944200737,7.616048613191083,0.0,108.66724738675958,0.0,60.129264674719224,0.0,2.59827340541446,90.12329134280355,107.73885934348061,0.0,44.8239123619268,9841.870544090056,150.71363667270379,46.873444189983076,9899.264700321422,9853.409005628519,9754.301862771375,0.0,268.5438410448178,7.400458619970806,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9793.249775381852,0.0,451.8670777663583,0.0,108.66724738675958,0.0,9744.919399104434,9717.061200885628,9742.506493506493,9753.050073637702,2.084122773777949,551.1856564488144,0.0,0.0,73.48901098901098,9778.341543579583,9710.215636811148,818.3831672203765,129.6703296703297,442.651098901099,831.697564521992,9750.87969924812,540.9035409035409,0.0,713.7039431157078
confidence_in_domestic_institutions|WVS_E,9853.543531154131,0.0,135.2657004830918,645.7739974323154,0.0,9744.919399104434,0.0,9854.948869223206,9845.40522875817,9784.683758456422,34.36041083099907,136.1692171980556,5.055611729019205,21.943798616493012,0.0,9834.793112618003,9819.009350163627,0.0,0.0,0.0,0.0,9782.51338406684,0.0,0.0,22.607216402542747
confidence_in_international_organizations|WVS_E,9820.42857142857,819.761305512706,593.7786722704,784.5824658801758,60.129264674719224,9717.061200885628,9854.948869223206,0.0,9812.465209092486,9756.825560237616,289.1441763315561,694.8212829088682,138.696121520549,142.06500344060558,0.0,9833.007615421227,9764.881708652792,828.8923719958202,0.0,243.2504565247928,0.0,9754.655185848034,776.1508894252256,0.0,109.09115177725278
democratic_system_evaluation|WVS_E,9822.47055460263,226.88433171433712,269.54971712004954,0.0,0.0,9742.506493506493,9845.40522875817,9812.465209092486,0.0,9782.270852858483,447.126403008756,105.29331349764789,0.0,18.986630715649937,0.0,9807.562322800362,9739.436416031927,302.14940098661026,0.0,0.0,22.208666323416395,9780.1004784689,214.65919701213824,0.0,87.03969392635102
economic_ideology|WVS_E,9833.01413473384,0.0,259.7473791473321,133.07133863224993,2.59827340541446,9753.050073637702,9784.683758456422,9756.825560237616,9782.270852858483,0.0,58.113934305336755,446.7192465700333,0.0,735.7725695982385,0.0,9818.105902931571,9749.979996163136,858.1475265723648,29.683136227286838,167.73014356777242,43.87571697742851,9790.644058600108,168.57998816761705,0.0,47.585949526519585
gender_role_traditionalism|WVS_D,4.872486004561466,851.1140235910877,0.0,45.445326008160706,90.12329134280355,2.084122773777949,34.36041083099907,289.1441763315561,447.126403008756,58.113934305336755,0.0,19.290722114855598,0.0,85.97476452749041,876.3736263736264,162.56045953423808,430.45715611580994,0.0,0.0,0.0,0.0,36.75584005646451,0.0,0.0,217.36694677871148
importance_of_life_domains|WVS_A,54.226640621874,9767.885716511915,9851.869584032023,9847.476152212592,107.73885934348061,551.1856564488144,136.1692171980556,694.8212829088682,105.29331349764789,446.7192465700333,19.290722114855598,0.0,0.0,763.6773831785811,66.75342201657989,847.0107165119144,403.8848097434794,78.36003246039967,840.1966454598033,741.0895026026606,9898.366737454322,219.5488721804511,9838.341944605103,0.0,781.3731160480386
job_scarcity_gender_discrimination|WVS_C,0.0,177.4070197700598,0.0,0.0,0.0,0.0,5.055611729019205,138.696121520549,0.0,0.0,0.0,0.0,0.0,9837.865353103392,0.0,448.5144759104106,92.1680177635296,0.0,22.9114971050455,173.4203296703297,0.0,0.0,0.0,0.0,9855.561085972851
job_scarcity_nativist_preference|WVS_C,43.27801981358357,171.875,0.0,0.0,44.8239123619268,0.0,21.943798616493012,142.06500344060558,18.986630715649937,735.7725695982385,85.97476452749041,763.6773831785811,9837.865353103392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.389077096807284,733.6021952086563,21.28096938223524,0.0,9813.594192107223
life_autonomy_morality_permissiveness|WVS_F,174.31224689289206,0.0,24.2114001106807,0.0,9841.870544090056,73.48901098901098,0.0,0.0,0.0,0.0,876.3736263736264,66.75342201657989,0.0,0.0,0.0,773.4015548151673,1.3552399517311642,9864.086463923673,9879.367585630744,9823.812030075187,0.0,386.81829006906406,0.0,0.0,0.0
offline_political_participation|WVS_E,9881.708914122526,0.0,619.4870096243303,0.0,150.71363667270379,9778.341543579583,9834.793112618003,9833.007615421227,9807.562322800362,9818.105902931571,162.56045953423808,847.0107165119144,448.5144759104106,0.0,773.4015548151673,0.0,9826.162051346748,0.0,21.421139084572815,100.14044943820224,0.0,9815.93552854199,0.0,0.0,790.1838165693598
postmaterialist_values|WVS_E,9818.480417549643,0.0,564.6165088695625,55.51467958347385,46.873444189983076,9710.215636811148,9819.009350163627,9764.881708652792,9739.436416031927,9749.979996163136,430.45715611580994,403.8848097434794,92.1680177635296,0.0,1.3552399517311642,9826.162051346748,0.0,0.0,20.77801071511763,0.0,0.0,9747.809621773555,0.0,0.0,85.77523602033403
religious_belief|WVS_F,0.0,0.0,0.0,551.5710988815906,9899.264700321422,818.3831672203765,0.0,828.8923719958202,302.14940098661026,858.1475265723648,0.0,78.36003246039967,0.0,0.0,9864.086463923673,0.0,0.0,0.0,9892.827160493827,9837.271604938273,0.0,112.38740859303894,0.0,0.0,0.0
religious_practice_and_self_identification|WVS_F,0.0,0.0,0.0,61.27095974424219,9853.409005628519,129.6703296703297,0.0,0.0,0.0,29.683136227286838,0.0,840.1966454598033,22.9114971050455,0.0,9879.367585630744,21.421139084572815,20.77801071511763,9892.827160493827,0.0,9854.555555555555,489.59866104118,476.78812415654517,0.0,0.0,0.0
sexual_and_reproductive_morality_permissiveness|WVS_F,33.40087808172913,0.0,0.0,34.059241723700666,9754.301862771375,442.651098901099,0.0,243.2504565247928,0.0,167.73014356777242,0.0,741.0895026026606,173.4203296703297,0.0,9823.812030075187,100.14044943820224,0.0,9837.271604938273,9854.555555555555,0.0,468.92289073305665,711.0143146327357,0.0,0.0,0.0
social_intolerance_outgroups|WVS_A,0.0,9868.518979057591,9901.61226133597,9897.21882951654,0.0,831.697564521992,0.0,0.0,22.208666323416395,43.87571697742851,0.0,9898.366737454322,0.0,60.389077096807284,0.0,0.0,0.0,0.0,489.59866104118,468.92289073305665,0.0,20.806700999549548,9888.084621909049,0.0,155.0398375117682
societal_change_attitudes|WVS_E,9830.843760344256,738.8105285419897,322.7943960620977,218.40096424266773,268.5438410448178,9750.87969924812,9782.51338406684,9754.655185848034,9780.1004784689,9790.644058600108,36.75584005646451,219.5488721804511,0.0,733.6021952086563,386.81829006906406,9815.93552854199,9747.809621773555,112.38740859303894,476.78812415654517,711.0143146327357,20.806700999549548,0.0,244.04936533082986,0.0,751.2979280781138
subjective_wellbeing|WVS_A,0.0,9862.8124362895,9867.599033816425,9837.194036667319,7.400458619970806,540.9035409035409,0.0,776.1508894252256,214.65919701213824,168.57998816761705,0.0,9838.341944605103,0.0,21.28096938223524,0.0,0.0,0.0,0.0,0.0,0.0,9888.084621909049,244.04936533082986,0.0,0.0,20.188816267247645
voluntary_association_belonging|WVS_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work_ethic|WVS_C,71.65557354440247,28.004779893608827,211.36280599196203,227.75423728813558,0.0,713.7039431157078,22.607216402542747,109.09115177725278,87.03969392635102,47.585949526519585,217.36694677871148,781.3731160480386,9855.561085972851,9813.594192107223,0.0,790.1838165693598,85.77523602033403,0.0,0.0,0.0,155.0398375117682,751.2979280781138,20.188816267247645,0.0,0.0
