construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.9999970702098513,0.9999995868639171,0.9999994835523537,NaN,NaN,NaN,NaN,NaN,NaN,0.9999997290154632,0.9999979221732539,0.9999999713806821,0.9999985233425689,NaN,NaN,NaN,0.9999984970356198,0.9999999482709513,NaN,0.9999967093308322,NaN,0.9999964944283009,1.0,0.9999985331598183
child_qualities_autonomy_self_expression|WVS_A,0.9999970702098513,0.0,NaN,NaN,NaN,0.9999950165446209,0.9999958179374842,0.9999997420065105,0.9999967433957754,0.9999952789231846,0.999999005856071,NaN,0.9999992736675982,0.9999994773220386,NaN,1.0,0.9999934787236344,0.9999994251367431,0.9999990872073141,NaN,NaN,0.9999999330369972,NaN,NaN,0.9999996798917706
child_qualities_conformity_tradition|WVS_A,0.9999995868639171,NaN,0.0,NaN,NaN,0.9999994034645935,0.9999995575129799,0.9999999679230274,0.9999994362400649,0.9999994439049,0.9999999998525005,NaN,1.0,1.0,NaN,1.0,0.9999992399896656,1.0,1.0,NaN,NaN,0.9999999926971975,NaN,NaN,1.0
child_qualities_prosocial_diligence|WVS_A,0.9999994835523537,NaN,NaN,0.0,NaN,0.9999992872720133,0.9999994174209227,0.9999999604523456,0.9999995180368213,0.9999993167748721,0.9999999999896075,NaN,1.0,1.0,NaN,1.0,0.9999990486891204,1.0,1.0,NaN,NaN,0.9999999879165329,NaN,NaN,1.0
civic_dishonesty_tolerance|WVS_F,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
confidence_in_civil_society_organizations|WVS_E,NaN,0.9999950165446209,0.9999994034645935,0.9999992872720133,NaN,0.0,NaN,NaN,NaN,NaN,0.9999994973852726,0.9999972268744975,0.9999963412501397,0.9999968439850327,NaN,NaN,NaN,0.9999969416626115,0.9999970246433337,NaN,0.9999944276021064,NaN,0.9999940587723001,1.0,0.9999970687692665
confidence_in_domestic_institutions|WVS_E,NaN,0.9999958179374842,0.9999995575129799,0.9999994174209227,NaN,NaN,0.0,NaN,NaN,NaN,0.9999996760596517,0.9999977043323139,0.9999999041808982,0.9999963380313014,NaN,NaN,NaN,0.9999951021149461,0.9999997857588128,NaN,0.9999909553320314,NaN,0.9999924848667195,1.0,0.9999978788310522
confidence_in_international_organizations|WVS_E,NaN,0.9999997420065105,0.9999999679230274,0.9999999604523456,NaN,NaN,NaN,0.0,NaN,NaN,1.0,0.9999998739317513,1.0,1.0,NaN,NaN,NaN,1.0,1.0,NaN,0.9999996873342828,NaN,0.9999996941792227,1.0,1.0
democratic_system_evaluation|WVS_E,NaN,0.9999967433957754,0.9999994362400649,0.9999995180368213,NaN,NaN,NaN,NaN,0.0,NaN,0.9999997663066754,0.9999976263969246,0.9999999999905733,0.9999983011325481,NaN,NaN,NaN,0.999996761242479,0.9999999999744391,NaN,0.9999961198139757,NaN,0.9999961734467758,1.0,0.9999985103706422
economic_ideology|WVS_E,NaN,0.9999952789231846,0.9999994439049,0.9999993167748721,NaN,NaN,NaN,NaN,NaN,0.0,0.999999540614602,0.999997287013271,0.9999967729317625,0.9999970569266851,NaN,NaN,NaN,0.9999970766858435,0.9999974474854106,NaN,0.9999943572196814,NaN,0.9999940595868838,1.0,0.9999973014756905
