construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.9999999999999196,0.9999999999999447,0.9999999999999768,0.9999999999999991,NaN,NaN,NaN,NaN,NaN,1.0,0.999999999999984,0.999999999999925,0.9999999999999281,0.9999999999999989,NaN,NaN,0.9999999999999993,0.9999999999999993,0.9999999999999998,0.999999999999999,NaN,0.9999999999999984,0.9999999999998694,0.9999999999999999
child_qualities_autonomy_self_expression|WVS_A,0.9999999999999196,0.0,NaN,NaN,0.9999999999990489,1.0,0.9999999999995666,0.9999999999996334,0.9999999999998379,0.9999999999997177,1.0,NaN,0.9999999999970179,0.9999999999969111,0.9999999999999859,0.9999999999999996,0.9999999999997683,0.9999999999992926,0.9999999999992424,0.9999999999999558,NaN,0.999999999999298,NaN,NaN,1.0
child_qualities_conformity_tradition|WVS_A,0.9999999999999447,NaN,0.0,NaN,0.9999999999999842,1.0,1.0,0.9999999999997279,0.9999999999998405,1.0,1.0,NaN,0.9999999999975419,0.9999999999976046,0.9999999999999857,1.0,0.999999999999902,0.999999999999463,0.9999999999999873,1.0,NaN,1.0,NaN,NaN,1.0
child_qualities_prosocial_diligence|WVS_A,0.9999999999999768,NaN,NaN,0.0,0.999999999999998,1.0,1.0,0.9999999999999373,0.9999999999999529,1.0,1.0,NaN,0.9999999999996347,0.999999999999594,0.9999999999999978,1.0,0.9999999999999963,0.999999999999998,0.9999999999999982,1.0,NaN,1.0,NaN,NaN,1.0
civic_dishonesty_tolerance|WVS_F,0.9999999999999991,0.9999999999990489,0.9999999999999842,0.999999999999998,0.0,1.0,1.0,0.9999999999999989,0.9999999999999966,1.0,1.0,0.9999999999999944,1.0,1.0,NaN,1.0,0.9999999999999994,NaN,NaN,NaN,1.0,1.0,0.999999999999995,0.9999999999999954,1.0
confidence_in_civil_society_organizations|WVS_E,NaN,1.0,1.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,0.9999999999999988,NaN,1.0,1.0,1.0
confidence_in_domestic_institutions|WVS_E,NaN,0.9999999999995666,1.0,1.0,1.0,NaN,0.0,NaN,NaN,NaN,1.0,1.0,0.999999999999999,1.0,0.9999999999999987,NaN,NaN,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0
confidence_in_international_organizations|WVS_E,NaN,0.9999999999996334,0.9999999999997279,0.9999999999999373,0.9999999999999989,NaN,NaN,0.0,NaN,NaN,1.0,1.0,0.9999999999998441,0.9999999999998515,0.9999999999999984,NaN,NaN,1.0,0.999999999999999,1.0,1.0,NaN,1.0,0.9999999999997946,1.0
democratic_system_evaluation|WVS_E,NaN,0.9999999999998379,0.9999999999998405,0.9999999999999529,0.9999999999999966,NaN,NaN,NaN,0.0,NaN,1.0,0.9999999999999578,0.9999999999999857,0.9999999999999802,0.9999999999999958,NaN,NaN,0.9999999999999956,0.9999999999999969,1.0,1.0,NaN,0.9999999999999925,0.9999999999996811,1.0
economic_ideology|WVS_E,NaN,0.9999999999997177,1.0,1.0,1.0,NaN,NaN,NaN,NaN,0.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,0.9999999999999988,NaN,1.0,1.0,1.0
gender_role_traditionalism|WVS_D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999102,1.0,1.0,1.0,1.0
importance_of_life_domains|WVS_A,0.999999999999984,NaN,NaN,NaN,0.9999999999999944,1.0,1.0,1.0,0.9999999999999578,1.0,1.0,0.0,0.9999999999996404,0.9999999999996051,0.9999999999999961,1.0,0.9999999999999992,0.9999999999999959,0.9999999999999957,1.0,NaN,1.0,NaN,NaN,1.0
job_scarcity_gender_discrimination|WVS_C,0.999999999999925,0.9999999999970179,0.9999999999975419,0.9999999999996347,1.0,1.0,0.999999999999999,0.9999999999998441,0.9999999999999857,1.0,1.0,0.9999999999996404,0.0,NaN,1.0,1.0,0.9999999999997874,0.99999999999971,1.0,1.0,1.0,1.0,0.9999999999999125,0.9999999999982087,NaN
