construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.9999999999999974,1.0,0.999949444603024,0.9999999967685103,NaN,NaN,NaN,NaN,NaN,1.0,0.9999999985324042,1.0,0.9996297132567951,0.9999666429791917,NaN,NaN,NaN,1.0,NaN,0.9999999986155098,NaN,0.9999999967527852,NaN,NaN
child_qualities_autonomy_self_expression|WVS_A,0.9999999999999974,0.0,NaN,NaN,0.9999999994780415,1.0,0.9999569537371774,0.9999999999999502,0.9999999999999792,0.9999999999999443,1.0,NaN,1.0,0.9997724117614699,0.9999715681316637,0.9999592334321149,0.9999999021398474,NaN,1.0,NaN,NaN,0.9999999999999224,NaN,NaN,NaN
child_qualities_conformity_tradition|WVS_A,1.0,NaN,0.0,NaN,1.0,1.0,1.0,0.9999999999999974,1.0,0.9999999983405481,0.9999999918788157,NaN,0.9999999999957244,1.0,1.0,0.9999999929823599,0.9999999983972157,NaN,1.0,NaN,NaN,0.9999999999990357,NaN,NaN,NaN
child_qualities_prosocial_diligence|WVS_A,0.999949444603024,NaN,NaN,0.0,0.999999999676269,1.0,0.999999999696026,0.9999999999999445,0.9999737738274167,0.9999999999999228,1.0,NaN,1.0,0.9999984275814046,1.0,0.9999942043610007,0.9999999999605738,NaN,1.0,NaN,NaN,0.9999999999999651,NaN,NaN,NaN
civic_dishonesty_tolerance|WVS_F,0.9999999967685103,0.9999999994780415,1.0,0.999999999676269,0.0,1.0,0.9999999982131957,0.9999999999999912,0.9999999987584817,0.9999999999999487,1.0,1.0,1.0,0.9999999989176658,NaN,0.9999999842838144,0.9999999949823755,NaN,NaN,NaN,0.9999999989396956,0.9999999999999869,0.9999999999999991,NaN,NaN
confidence_in_civil_society_organizations|WVS_E,NaN,1.0,1.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,0.9999998963916954,1.0,0.999999978390577,1.0,1.0,NaN,NaN,NaN,0.9999999995165563,NaN,1.0,NaN,1.0,NaN,NaN
confidence_in_domestic_institutions|WVS_E,NaN,0.9999569537371774,1.0,0.999999999696026,0.9999999982131957,NaN,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.9999661351314377,0.999996174939163,NaN,NaN,NaN,1.0,NaN,1.0,NaN,0.99999999915986,NaN,NaN
confidence_in_international_organizations|WVS_E,NaN,0.9999999999999502,0.9999999999999974,0.9999999999999445,0.9999999999999912,NaN,NaN,0.0,NaN,NaN,0.9999999821724458,0.9999999998465049,0.9999999998872687,0.9999999999999839,0.9999999999999111,NaN,NaN,NaN,0.9999999999999947,NaN,0.9999999999999939,NaN,0.999999999802859,NaN,NaN
democratic_system_evaluation|WVS_E,NaN,0.9999999999999792,1.0,0.9999737738274167,0.9999999987584817,NaN,NaN,NaN,0.0,NaN,1.0,0.9999999995710357,1.0,0.9998052790018029,0.9999999999999793,NaN,NaN,NaN,1.0,NaN,0.9999999999998757,NaN,0.9999999987127548,NaN,NaN
economic_ideology|WVS_E,NaN,0.9999999999999443,0.9999999983405481,0.9999999999999228,0.9999999999999487,NaN,NaN,NaN,NaN,0.0,1.0,0.9999999999914884,0.9999999999851836,0.9999999999999728,0.9999999999998898,NaN,NaN,NaN,0.999999999974316,NaN,0.9999999999999915,NaN,0.9999999992680864,NaN,NaN
gender_role_traditionalism|WVS_D,1.0,1.0,0.9999999918788157,1.0,1.0,0.9999998963916954,1.0,0.9999999821724458,1.0,1.0,0.0,0.9999999999999997,0.9174223108026285,1.0,1.0,0.999999849588603,0.9999999677022384,NaN,0.9999984361149677,NaN,1.0,0.9999999999999365,0.9999999999999999,NaN,NaN
importance_of_life_domains|WVS_A,0.9999999985324042,NaN,NaN,NaN,1.0,1.0,1.0,0.9999999998465049,0.9999999995710357,0.9999999999914884,0.9999999999999997,0.0,1.0,1.0,1.0,0.9999999802145981,0.9999999938461229,NaN,1.0,NaN,NaN,0.9999999999999999,NaN,NaN,NaN
job_scarcity_gender_discrimination|WVS_C,1.0,1.0,0.9999999999957244,1.0,1.0,0.999999978390577,1.0,0.9999999998872687,1.0,0.9999999999851836,0.9174223108026285,1.0,0.0,NaN,1.0,0.9999999179433563,0.999999983418387,NaN,0.9999992840083582,NaN,1.0,1.0,1.0,NaN,NaN
job_scarcity_nativist_preference|WVS_C,0.9996297132567951,0.9997724117614699,1.0,0.9999984275814046,0.9999999989176658,1.0,0.9999661351314377,0.9999999999999839,0.9998052790018029,0.9999999999999728,1.0,1.0,NaN,0.0,0.9999330918431131,0.9998418962450166,0.9999522222800808,NaN,1.0,NaN,0.9998976704812934,0.9999999999999994,0.9999999999999919,NaN,NaN
life_autonomy_morality_permissiveness|WVS_F,0.9999666429791917,0.9999715681316637,1.0,1.0,NaN,1.0,0.999996174939163,0.9999999999999111,0.9999999999999793,0.9999999999998898,1.0,1.0,1.0,0.9999330918431131,0.0,0.9999999999999837,0.9999999999999686,NaN,NaN,NaN,0.9999999999999437,0.9999999999999211,1.0,NaN,NaN
offline_political_participation|WVS_E,NaN,0.9999592334321149,0.9999999929823599,0.9999942043610007,0.9999999842838144,NaN,NaN,NaN,NaN,NaN,0.999999849588603,0.9999999802145981,0.9999999179433563,0.9998418962450166,0.9999999999999837,0.0,NaN,NaN,1.0,NaN,0.999999987067906,NaN,0.9999999713960263,NaN,NaN
postmaterialist_values|WVS_E,NaN,0.9999999021398474,0.9999999983972157,0.9999999999605738,0.9999999949823755,NaN,NaN,NaN,NaN,NaN,0.9999999677022384,0.9999999938461229,0.999999983418387,0.9999522222800808,0.9999999999999686,NaN,0.0,NaN,1.0,NaN,0.9999999984944776,NaN,0.9999999936368836,NaN,NaN
religious_belief|WVS_F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
religious_practice_and_self_identification|WVS_F,1.0,1.0,1.0,1.0,NaN,0.9999999995165563,1.0,0.9999999999999947,1.0,0.999999999974316,0.9999984361149677,1.0,0.9999992840083582,1.0,NaN,1.0,1.0,NaN,0.0,NaN,1.0,1.0,1.0,NaN,NaN
sexual_and_reproductive_morality_permissiveness|WVS_F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN
social_intolerance_outgroups|WVS_A,0.9999999986155098,NaN,NaN,NaN,0.9999999989396956,1.0,1.0,0.9999999999999939,0.9999999999998757,0.9999999999999915,1.0,NaN,1.0,0.9998976704812934,0.9999999999999437,0.999999987067906,0.9999999984944776,NaN,1.0,NaN,0.0,0.9999999999999949,NaN,NaN,NaN
societal_change_attitudes|WVS_E,NaN,0.9999999999999224,0.9999999999990357,0.9999999999999651,0.9999999999999869,NaN,NaN,NaN,NaN,NaN,0.9999999999999365,0.9999999999999999,1.0,0.9999999999999994,0.9999999999999211,NaN,NaN,NaN,1.0,NaN,0.9999999999999949,0.0,0.9999999999999976,NaN,NaN
subjective_wellbeing|WVS_A,0.9999999967527852,NaN,NaN,NaN,0.9999999999999991,1.0,0.99999999915986,0.999999999802859,0.9999999987127548,0.9999999992680864,0.9999999999999999,NaN,1.0,0.9999999999999919,1.0,0.9999999713960263,0.9999999936368836,NaN,1.0,NaN,NaN,0.9999999999999976,0.0,NaN,NaN
voluntary_association_belonging|WVS_A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN
work_ethic|WVS_C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0
