construct,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.9999997300050627,0.9966546815475261,0.999914418748573,0.9989653461835616,NaN,NaN,NaN,NaN,NaN,0.9999999271280341,0.9984867329540467,0.9999999276609478,0.999998894497991,0.9999999535303545,NaN,NaN,0.9990504719149074,0.9990064830990596,0.9999999206362229,0.9961100279032906,NaN,0.9973562956223078,0.9942390589054965,0.9991621376120209
child_qualities_autonomy_self_expression|WVS_A,0.9999997300050627,0.0,NaN,NaN,0.999999975039266,0.9999999950442334,0.9999998000972674,0.9999998011290039,0.9999996390586987,0.9999998155688645,0.9999999827766965,NaN,0.9999999988169581,0.9999999699290053,0.9999999989409798,0.7974591360477001,0.999999901332877,0.9999999897072432,0.9999999999744373,0.9999999996377683,NaN,0.9999999633927419,NaN,NaN,0.9999999742384958
child_qualities_conformity_tradition|WVS_A,0.9966546815475261,NaN,0.0,NaN,0.9994534632636612,0.9993802380668829,0.997297619999086,0.9980313022111117,0.9959497347200367,0.9986119841747694,0.9971513928779253,NaN,0.9987129582262834,0.9987692258418145,0.9991815024930082,0.9999999998829291,0.9996292769429935,0.999415907687706,0.9998096709575539,0.9989731658542584,NaN,0.9997944778819732,NaN,NaN,0.9992678369523188
child_qualities_prosocial_diligence|WVS_A,0.999914418748573,NaN,NaN,0.0,0.9999999999973571,0.9999567114041066,0.9999138427910429,0.9999155624852991,0.9999184063304988,0.9999444304661484,1.0,NaN,1.0,0.9999999999999832,0.9999999999999843,0.9999999999902283,0.9999811374071454,0.9999999999999714,0.9999999999999708,1.0,NaN,0.9999872392028357,NaN,NaN,0.99999999999997
civic_dishonesty_tolerance|WVS_F,0.9989653461835616,0.999999975039266,0.9994534632636612,0.9999999999973571,0.0,0.9999901314104243,0.9989701191618608,0.998877357566399,0.9990748772249337,0.9999876972617221,0.9999984198168701,0.9999162057840978,0.9999999999958556,0.9999999999999335,NaN,0.9999999999911651,0.9999999563612005,NaN,NaN,NaN,0.9993924629095776,0.9999999999999846,0.9996752679793097,0.9994599693512909,0.9999999999999988
confidence_in_civil_society_organizations|WVS_E,NaN,0.9999999950442334,0.9993802380668829,0.9999567114041066,0.9999901314104243,0.0,NaN,NaN,NaN,NaN,1.0,0.9995011083398223,0.9999999999999897,0.9999999999999893,0.9999999999999859,NaN,NaN,1.0,1.0,0.9999999999999907,0.9993578638705918,NaN,0.9994748963939287,0.9993721788947697,1.0
confidence_in_domestic_institutions|WVS_E,NaN,0.9999998000972674,0.997297619999086,0.9999138427910429,0.9989701191618608,NaN,0.0,NaN,NaN,NaN,0.9999999428972363,0.9986262469534735,0.9999999514415433,0.9999032566217316,0.9999999719786821,NaN,NaN,0.9991232397888384,0.9990865637635072,0.9999999394013848,0.9968440810302697,NaN,0.9978798708859734,0.9957642370821946,0.9991838188007496
confidence_in_international_organizations|WVS_E,NaN,0.9999998011290039,0.9980313022111117,0.9999155624852991,0.998877357566399,NaN,NaN,0.0,NaN,NaN,0.9999999312253441,0.9984736822971527,0.9999999284216149,0.999999945263685,0.9999999400869258,NaN,NaN,0.9994873621905025,0.9995038073296162,0.9999999192479919,0.9979370361819444,NaN,0.9984627139962344,0.9956533915884301,0.9997377988911536
democratic_system_evaluation|WVS_E,NaN,0.9999996390586987,0.9959497347200367,0.9999184063304988,0.9990748772249337,NaN,NaN,NaN,0.0,NaN,0.999999906319612,0.9976033031700324,0.9999998958610089,0.9999998618261486,0.9999999268715514,NaN,NaN,0.9985365322216935,0.9985472065313395,0.9999998949251384,0.9964298578306479,NaN,0.9967335497105114,0.9922600156437356,0.9992874860982713
economic_ideology|WVS_E,NaN,0.9999998155688645,0.9986119841747694,0.9999444304661484,0.9999876972617221,NaN,NaN,NaN,NaN,0.0,0.9999999285665387,0.9987442393464228,0.9999999064666577,0.9999999252832151,0.9999999213337679,NaN,NaN,0.9999999405863018,0.9999999401543219,0.9999999001225218,0.9985461622317362,NaN,0.9989144838712799,0.996934028223496,0.9999999245616359
gender_role_traditionalism|WVS_D,0.9999999271280341,0.9999999827766965,0.9971513928779253,1.0,0.9999984198168701,1.0,0.9999999428972363,0.9999999312253441,0.999999906319612,0.9999999285665387,0.0,0.9993761928452107,0.9999999029597628,0.999784653227811,0.9999994625589198,0.9999999948365424,0.9999999584213144,0.9996732914022132,0.9996057494854304,0.999999994451434,0.9975070696907895,0.9999999880611823,0.9989316179157155,0.9984757345935673,0.9997484947348244
importance_of_life_domains|WVS_A,0.9984867329540467,NaN,NaN,NaN,0.9999162057840978,0.9995011083398223,0.9986262469534735,0.9984736822971527,0.9976033031700324,0.9987442393464228,0.9993761928452107,0.0,0.9999999999811847,0.9999999587138145,0.9999999999813465,0.9999999999329813,0.9997631525156006,0.9999999999389214,0.9999999999999023,0.9999999999873666,NaN,0.9998381001030954,NaN,NaN,0.9999999184552466
job_scarcity_gender_discrimination|WVS_C,0.9999999276609478,0.9999999988169581,0.9987129582262834,1.0,0.9999999999958556,0.9999999999999897,0.9999999514415433,0.9999999284216149,0.9999998958610089,0.9999999064666577,0.9999999029597628,0.9999999999811847,0.0,NaN,1.0,0.9999999999536326,0.9999999504406525,0.9999999999999983,0.9999999999989235,1.0,0.9987005722959114,1.0,0.999996050958022,0.9999373584757727,NaN
job_scarcity_nativist_preference|WVS_C,0.999998894497991,0.9999999699290053,0.9987692258418145,0.9999999999999832,0.9999999999999335,0.9999999999999893,0.9999032566217316,0.999999945263685,0.9999998618261486,0.9999999252832151,0.999784653227811,0.9999999587138145,NaN,0.0,1.0,0.9999999999626455,0.9999999596990186,0.9999999999929692,0.999999996629396,0.9999999999999949,0.9989246765969033,0.9999999999999993,0.9995111117021904,0.999241527029814,NaN
life_autonomy_morality_permissiveness|WVS_F,0.9999999535303545,0.9999999989409798,0.9991815024930082,0.9999999999999843,NaN,0.9999999999999859,0.9999999719786821,0.9999999400869258,0.9999999268715514,0.9999999213337679,0.9999994625589198,0.9999999999813465,1.0,1.0,0.0,0.999999999972872,0.999999959575498,NaN,NaN,NaN,0.9990090347396896,1.0,0.9999971948817833,0.9999536968418019,1.0
offline_political_participation|WVS_E,NaN,0.7974591360477001,0.9999999998829291,0.9999999999902283,0.9999999999911651,NaN,NaN,NaN,NaN,NaN,0.9999999948365424,0.9999999999329813,0.9999999999536326,0.9999999999626455,0.999999999972872,0.0,NaN,0.9999999999999623,0.9999999999942768,0.9999999999620031,0.999999999896282,NaN,0.9999999999074174,0.9999806251612889,0.9999999999796845
postmaterialist_values|WVS_E,NaN,0.999999901332877,0.9996292769429935,0.9999811374071454,0.9999999563612005,NaN,NaN,NaN,NaN,NaN,0.9999999584213144,0.9997631525156006,0.9999999504406525,0.9999999596990186,0.999999959575498,NaN,0.0,0.9999999703050131,0.9999999750914501,0.9999999445643842,0.999614490698472,NaN,0.9996952439679461,0.9994402148726794,0.9999999617402955
religious_belief|WVS_F,0.9990504719149074,0.9999999897072432,0.999415907687706,0.9999999999999714,NaN,1.0,0.9991232397888384,0.9994873621905025,0.9985365322216935,0.9999999405863018,0.9996732914022132,0.9999999999389214,0.9999999999999983,0.9999999999929692,NaN,0.9999999999999623,0.9999999703050131,0.0,NaN,NaN,0.9993619631946253,0.99999999999998,0.9999735305570122,0.9996375122524059,1.0
religious_practice_and_self_identification|WVS_F,0.9990064830990596,0.9999999999744373,0.9998096709575539,0.9999999999999708,NaN,1.0,0.9990865637635072,0.9995038073296162,0.9985472065313395,0.9999999401543219,0.9996057494854304,0.9999999999999023,0.9999999999989235,0.999999996629396,NaN,0.9999999999942768,0.9999999750914501,NaN,0.0,NaN,0.999432218957834,0.9999999999999867,0.9999999574165731,0.9999988857681674,1.0
sexual_and_reproductive_morality_permissiveness|WVS_F,0.9999999206362229,0.9999999996377683,0.9989731658542584,1.0,NaN,0.9999999999999907,0.9999999394013848,0.9999999192479919,0.9999998949251384,0.9999999001225218,0.999999994451434,0.9999999999873666,1.0,0.9999999999999949,NaN,0.9999999999620031,0.9999999445643842,NaN,NaN,0.0,0.9987703368376895,0.999999990426174,0.999998036281668,0.9999686192816609,0.9999999999999991
social_intolerance_outgroups|WVS_A,0.9961100279032906,NaN,NaN,NaN,0.9993924629095776,0.9993578638705918,0.9968440810302697,0.9979370361819444,0.9964298578306479,0.9985461622317362,0.9975070696907895,NaN,0.9987005722959114,0.9989246765969033,0.9990090347396896,0.999999999896282,0.999614490698472,0.9993619631946253,0.999432218957834,0.9987703368376895,0.0,0.999785873124584,NaN,NaN,0.9991726938172639
