construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,47.39336492890995,37.735849056603776,70.4225352112676,44.210090984284534,70.60986821942997,55.041075429424936,91.01019462465246,74.91057024619485,103.38168861742062,61.728983091212186,9999.0,30.769230769230766,92.11892402076452,43.47826086956522,72.96332359623499,55.55555555555556,59.982961646745096,54.6448087431694,69.08571287483178,44.46786090621707,43.82406105643703,71.29289603646956,53.34259420038201,9999.0,48.04038793676099,116.27906976744185,9999.0,72.46376811594203,45.283018867924525
child_qualities_autonomy_self_expression|WVS_A,9999.0,47.39336492890995,0.0,41.24435269632312,53.14059542247462,23.04147465437788,66.2251655629139,53.42726527436186,95.6671587958718,60.29183273660744,82.21307228751398,66.38594726243154,9999.0,35.42619494045012,82.00413332626782,48.233554379722264,77.62028776745433,50.76142131979696,22.172949002217294,51.24271644407776,44.44444444444444,22.123893805309734,22.371364653243848,58.4875301689461,33.11258278145695,9999.0,23.255813953488374,125.5162850305402,9999.0,54.5914262728422,24.875621890547265
child_qualities_conformity_tradition|WVS_A,9999.0,37.735849056603776,41.24435269632312,0.0,50.532076619033134,43.170130936433175,72.65831358720784,50.81874647092039,93.05863999243033,37.174721189591075,77.51937984496124,48.309178743961354,9999.0,32.81767613700864,79.00069841197147,45.230119465425915,75.01176896401286,53.763440860215056,27.397260273972606,55.865921787709496,46.644566279909895,19.120458891013385,19.76284584980237,33.557046979865774,43.47826086956522,9999.0,33.84799939174976,122.90776622709873,9999.0,51.58799135854585,31.843105201445955
child_qualities_prosocial_diligence|WVS_A,9999.0,70.4225352112676,53.14059542247462,50.532076619033134,0.0,57.2649212714908,83.66469850663623,61.82513139034878,104.06502491185873,70.01507268925948,103.06984912978254,74.78381337841846,9999.0,43.82406105643703,91.72737327891987,57.5788822437616,86.01815388344124,78.45784578457847,45.45454545454546,67.94395195882184,57.650951199338294,31.847133757961785,30.769230769230766,68.21077012159816,64.1025641025641,9999.0,45.716913878348855,133.91415114652713,9999.0,64.31466622549425,44.24631971801783
civic_dishonesty_tolerance|WVS_F,9999.0,44.210090984284534,23.04147465437788,43.170130936433175,57.2649212714908,0.0,53.28149766525297,36.231884057971016,73.68182407047544,64.53315004391308,59.1715976331361,44.40061253703519,9999.0,13.440860215053764,74.79055346658751,34.10201723984716,55.63495304205799,48.77617099249357,15.772870662460567,44.44444444444444,24.875621890547265,26.365211112615377,26.495690502260032,62.72884747625175,35.96399337361138,9999.0,12.376237623762377,103.53095030514385,9999.0,47.16981132075472,13.64256480218281
confidence_in_civil_society_organizations|WVS_E,9999.0,70.60986821942997,66.2251655629139,72.65831358720784,83.66469850663623,53.28149766525297,0.0,64.11248211039337,100.0816013056209,91.70720651848322,112.45309529838906,70.80038977218062,9999.0,39.8406374501992,101.19033070173296,56.81818181818181,82.03473027720342,92.59259259259258,69.05436832771353,90.07018892699654,78.15711955580022,53.539267587185506,52.89546773740547,89.90290395082187,62.41400088135045,9999.0,57.11179461772943,106.38297872340425,9999.0,86.00680005471797,54.35442554889296
confidence_in_domestic_institutions|WVS_E,9999.0,55.041075429424936,53.42726527436186,50.81874647092039,61.82513139034878,36.231884057971016,64.11248211039337,0.0,84.51280851561586,71.87222715173026,95.40348169110712,55.231596982175596,9999.0,24.271844660194173,85.62153791172793,44.93300168498756,66.46593748719839,80.97967472441667,47.97637439438367,68.2306218107091,57.93762105122554,36.63003663003663,31.055900621118013,70.58159232072276,46.84520809134541,9999.0,41.543001827724396,114.36193475028426,9999.0,65.53865924180766,38.78563275888793
confidence_in_international_organizations|WVS_E,9999.0,91.01019462465246,95.6671587958718,93.05863999243033,104.06502491185873,73.68182407047544,100.0816013056209,84.51280851561586,0.0,112.10753292370569,132.85342170361156,91.20071617740311,9999.0,60.24096385542168,121.59065710695543,80.90212088021508,102.43505668242591,118.32844755356415,89.45469473293602,110.47051533221904,98.55744596102271,73.93959399240799,73.29579414262795,110.30323035604437,82.81432728657293,9999.0,77.5121210229519,150.33105394551177,9999.0,106.40712645994046,74.75475195411545
democratic_system_evaluation|WVS_E,9999.0,74.91057024619485,60.29183273660744,37.174721189591075,70.01507268925948,64.53315004391308,91.70720651848322,71.87222715173026,112.10753292370569,0.0,109.71411465349499,82.82632139026543,9999.0,51.86656906828401,98.0481784522558,64.27759950571024,94.06066189528823,86.96902757096736,53.965727240934356,75.76192389370372,65.86876995622845,38.167938931297705,40.816326530612244,70.73176816945684,73.21201381315885,9999.0,52.89547943203408,141.9566591583741,9999.0,70.63547139883016,50.89058524173028
