construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,87.17445788384003,58.01858252314527,29.850746268656714,56.02633237621682,62.853551225644246,98.5142118863049,51.2184884971538,91.18156868409649,45.596537545094776,51.4869592875318,65.56611780682397,25.06265664160401,41.84100418410041,47.84688995215311,55.00277640208306,29.069767441860463,59.1715976331361,48.32858781537315,108.08992072003869,53.39126853962101,25.44529262086514,52.91005291005291,41.132493617976266,59.30923198406977,37.3134328358209,58.48153214774281,99.0900091351701,9999.0,9999.0,49.63268121162858
autocracy_support|WVS_E,87.17445788384003,0.0,95.23809523809523,80.30349999261917,94.26614207824889,101.0595569462404,133.78068461734478,98.10104407539767,133.38052566311464,82.6456821457268,89.83628519080361,96.85851654763572,62.11180124223603,51.81347150259067,79.82467598438339,92.05192100271506,71.26872442087861,67.56756756756756,99.46687646568759,140.0313356835096,90.44041314025303,76.58358127117958,85.47008547008546,65.34527123195468,74.6268656716418,75.06928545607904,95.48159377333303,150.22829778548456,9999.0,9999.0,86.6818258122606
child_qualities_autonomy_self_expression|WVS_A,58.01858252314527,95.23809523809523,0.0,51.76714786773118,63.15432965763181,58.13953488372093,139.78740139687636,57.14285714285714,131.02881887412275,67.57895083471445,58.614956568946795,78.02783535682559,47.04506993122369,62.071814976026445,74.06706583589009,54.94505494505494,70.34295695243193,81.96721311475409,22.172949002217294,104.81757710139085,70.81824092133371,32.57328990228013,64.93506493506493,58.280230776316124,45.04504504504504,62.19658508273884,88.16956491375095,72.93437032201425,9999.0,9999.0,63.46125130655517
child_qualities_conformity_tradition|WVS_A,29.850746268656714,80.30349999261917,51.76714786773118,0.0,49.77489772080274,53.7648272305312,94.76090014064698,44.96705384173971,87.42825693843855,43.47826086956522,45.23552463211772,44.44444444444444,28.011204481792713,28.49002849002849,36.95413319866515,57.95132424227175,25.31645569620253,34.129692832764505,38.314176245210724,94.33962264150944,56.33981637980971,19.193857965451055,35.842293906810035,18.050541516245488,59.40252759426937,34.28430775001172,54.72822040208489,89.07559756500768,9999.0,9999.0,40.986321332759246
child_qualities_prosocial_diligence|WVS_A,56.02633237621682,94.26614207824889,63.15432965763181,49.77489772080274,0.0,78.00096115071828,123.2078853046595,56.35423563164034,115.87524210245108,52.688221739503625,56.622706422018354,74.52722219194507,32.154340836012864,56.8218430194073,62.19363497246295,62.094460596491906,53.763440860215056,67.21348826611985,53.46433494985969,113.22566785452524,60.482952734029865,30.581039755351682,74.3459439111613,43.29004329004329,66.40091617847861,47.30585598752801,83.1752055660974,104.22575626965666,9999.0,9999.0,56.724365406037435
civic_dishonesty_tolerance|WVS_F,62.853551225644246,101.0595569462404,58.13953488372093,53.7648272305312,78.00096115071828,0.0,82.64462809917356,25.44529262086514,73.52941176470588,41.666666666666664,70.4225352112676,70.2801341487473,45.84662031470542,49.24608544364972,54.617877396705374,66.0085914798752,33.78378378378378,59.637730690362275,51.282051282051285,107.26036957375854,63.291139240506325,51.2184884971538,66.42889917824218,35.714285714285715,39.69280200619098,34.84320557491289,30.030030030030026,102.04347260184824,9999.0,9999.0,21.27659574468085
confidence_in_civil_society_organizations|WVS_E,98.5142118863049,133.78068461734478,139.78740139687636,94.76090014064698,123.2078853046595,82.64462809917356,0.0,101.25397716638592,131.55624568668048,98.26288824847902,119.99002680296701,105.94079480940795,98.01587301587301,81.96721311475409,96.25409591897528,121.65507265827127,69.44444444444444,105.4306155966368,130.09740668910425,162.9068507521546,120.21312021312022,107.21411149459624,112.56307124167826,81.50717062056025,95.33928318458705,84.74576271186442,98.85620915032679,177.30649629934112,9999.0,9999.0,76.92307692307692
confidence_in_domestic_institutions|WVS_E,51.2184884971538,98.10104407539767,57.14285714285714,44.96705384173971,56.35423563164034,25.44529262086514,101.25397716638592,0.0,91.89846781087657,51.50481328678727,51.814862542955325,71.22774133083412,40.244975905232224,55.102947711450156,66.17027174224242,49.78996787744008,42.73504273504273,56.17977528089888,48.65649107079667,91.04174597132344,49.247374280044525,25.77319587628866,40.983606557377044,47.26668005982276,23.474178403755868,31.847133757961785,55.475322650895166,99.41791239059364,9999.0,9999.0,24.330900243309003
confidence_in_international_organizations|WVS_E,91.18156868409649,133.38052566311464,131.02881887412275,87.42825693843855,115.87524210245108,73.52941176470588,131.55624568668048,91.89846781087657,0.0,90.93024504627061,118.45130629661016,98.60815160719953,90.6832298136646,81.56705416052397,88.92145271676685,112.29956330276191,62.11180124223603,98.09797239442838,122.76476348689583,153.55134139664526,110.85761085761087,99.88146829238782,105.23042803946984,74.17452741835183,85.98377382907769,79.36507936507937,91.52356594811837,167.95098694383177,9999.0,9999.0,67.56756756756756
democratic_system_evaluation|WVS_E,45.596537545094776,82.6456821457268,67.57895083471445,43.47826086956522,52.688221739503625,41.666666666666664,98.26288824847902,51.50481328678727,90.93024504627061,0.0,61.047327599100996,62.90676225942297,20.53388090349076,48.27369672232251,55.62809527856541,50.474000663969804,28.81844380403458,64.80461495622694,57.88895612694233,101.58117300974445,48.862492801507756,35.005660932434324,71.9370706012684,40.88116998015038,34.013605442176875,29.850746268656714,58.230208509916935,108.6503774467393,9999.0,9999.0,27.17391304347826
democratic_values_importance|WVS_E,51.4869592875318,89.83628519080361,58.614956568946795,45.23552463211772,56.622706422018354,70.4225352112676,119.99002680296701,51.814862542955325,118.45130629661016,61.047327599100996,0.0,71.49621212121212,40.51344669561023,38.02281368821293,57.14285714285714,58.78332194121668,57.47806660650086,39.21568627450981,48.92496186117468,100.03510003510003,58.240728343821125,26.041666666666668,33.222591362126245,51.55461341757693,32.467532467532465,55.66496184712538,81.6909359589553,99.68638318097165,9999.0,9999.0,50.88373872904259
economic_ideology|WVS_E,65.56611780682397,96.85851654763572,78.02783535682559,44.44444444444444,74.52722219194507,70.2801341487473,105.94079480940795,71.22774133083412,98.60815160719953,62.90676225942297,71.49621212121212,0.0,42.37288135593221,45.04504504504504,61.7283950617284,72.31300111641124,36.496350364963504,72.48252151715586,68.33784064905348,128.09917355371903,70.70149325394921,45.45454545454546,79.61497716219732,48.55907654107931,69.64111611495426,42.016806722689076,65.90811507084585,119.09926196885044,9999.0,9999.0,60.43301298419921
gender_role_traditionalism|WVS_D,25.06265664160401,62.11180124223603,47.04506993122369,28.011204481792713,32.154340836012864,45.84662031470542,98.01587301587301,40.244975905232224,90.6832298136646,20.53388090349076,40.51344669561023,42.37288135593221,0.0,38.40732910500353,50.28887306770104,29.940119760479043,28.57142857142857,55.308726361357934,37.35507522345157,97.11640812811711,28.328611898016998,14.471780028943561,62.441182006399394,31.38528138528138,34.24657534246575,15.15151515151515,57.98319327731092,88.11649654324853,9999.0,9999.0,24.57002457002457
immigrant_origin_status|WVS_G,41.84100418410041,51.81347150259067,62.071814976026445,28.49002849002849,56.8218430194073,49.24608544364972,81.96721311475409,55.102947711450156,81.56705416052397,48.27369672232251,38.02281368821293,45.04504504504504,38.40732910500353,0.0,28.011204481792713,68.34744886548256,19.455252918287936,37.45318352059925,52.38182026825432,96.86513306269734,58.8235294117647,29.498525073746315,38.02281368821293,13.531799729364007,50.88012334575356,23.255813953488374,43.66812227074236,103.1432415880513,9999.0,9999.0,36.46757954587777
