construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,25.188916876574307,52.18263066925273,48.56014501657779,40.66879303756502,46.787189014803246,83.32845176029524,50.18891687657431,64.09942271315018,199.39895176772376,65.43692023933177,36.36363636363637,45.030186717844146,50.597342146741624,44.49393618159361,28.328611898016998,36.88482330932284,34.371653332038036,42.5531914893617,43.110063829979325,79.24297093062836,55.76995663192599,64.0604848138166,33.38563818804972,9999.0,37.89539718152983,58.909651653368684,9999.0,9999.0,36.23864063348039
child_qualities_autonomy_self_expression|WVS_A,9999.0,25.188916876574307,0.0,26.99371379267842,23.37122814000348,15.479876160990711,21.598272138228943,58.13953488372093,25.0,38.91050583657587,174.21003489114943,40.24800336275746,11.337868480725623,19.841269841269842,25.40842527016732,19.305019305019304,9.00900900900901,11.695906432748536,9.18273645546373,26.315789473684212,17.921146953405017,54.054054054054056,30.581039755351682,38.87156793724228,8.19672131147541,9999.0,12.706480304955527,35.42945561556871,9999.0,9999.0,11.049723756906078
child_qualities_conformity_tradition|WVS_A,9999.0,52.18263066925273,26.99371379267842,0.0,33.97149930973108,26.666666666666668,45.534960395641505,85.13324867639935,44.57018835749167,65.90421962925429,185.3968253968254,50.848274532485064,38.21446820935835,36.1280150115323,36.00869643989492,37.77232454951421,29.97017683874491,26.315789473684212,32.05128205128205,51.06268889538852,37.281280836101345,46.948356807511736,54.6448087431694,49.47183910696988,18.79699248120301,9999.0,31.68359041934734,46.65214568454563,9999.0,9999.0,29.761904761904763
child_qualities_prosocial_diligence|WVS_A,9999.0,48.56014501657779,23.37122814000348,33.97149930973108,0.0,24.630541871921185,41.91247474296657,81.51076302372441,40.947702704816734,62.28173397657935,183.36070060207993,47.225788879810125,34.59198255668341,32.50552935885736,32.38621078721998,34.14983889683927,21.413276231263385,21.691973969631235,21.50537634408602,40.516783188192484,33.658795183426406,51.81347150259067,46.29629629629629,45.84935345429495,15.174506828528072,9999.0,26.041666666666668,43.02966003187069,9999.0,9999.0,25.77319587628866
civic_dishonesty_tolerance|WVS_F,9999.0,40.66879303756502,15.479876160990711,26.666666666666668,24.630541871921185,0.0,37.078148299219656,73.61941104471164,40.47987616099071,54.390381997566585,158.73015873015873,49.26108374384237,26.817744641716335,16.0,21.05263157894737,30.395136778115504,24.48888516999972,27.17578259373925,24.66261261645444,41.795665634674926,21.50537634408602,61.21066468814013,46.060915916342395,54.351444098232996,23.67659747246612,9999.0,19.193857965451055,50.909331776559426,9999.0,9999.0,18.6219739292365
confidence_in_civil_society_organizations|WVS_E,9999.0,46.787189014803246,21.598272138228943,45.534960395641505,41.91247474296657,37.078148299219656,0.0,79.73780702194986,46.59827213822894,60.508777974804815,195.8083070293784,58.78924996572055,28.73563218390805,41.439541979498784,43.94967187313041,40.90329144324825,28.011204481792713,33.29417857097748,30.781008593692672,47.914061611913155,39.519419091633964,75.652326192283,52.179311893580625,57.412814540205375,26.7379679144385,9999.0,34.30475244318447,54.593121117781116,9999.0,9999.0,32.64799589513502
confidence_in_domestic_institutions|WVS_E,9999.0,83.32845176029524,58.13953488372093,85.13324867639935,81.51076302372441,73.61941104471164,79.73780702194986,0.0,83.13953488372093,97.0500407202968,232.34956977487036,98.38753824647839,69.47740336444654,77.98080472499078,83.54796015388825,77.44455418874023,67.14854389272993,69.83544131646946,67.32227133918465,84.45532435740515,76.06068183712594,81.30081300813008,88.72057463907261,97.01110282096322,66.33625619519634,9999.0,70.84601518867646,93.56899049928964,9999.0,9999.0,69.189258640627
confidence_in_international_organizations|WVS_E,9999.0,50.18891687657431,25.0,44.57018835749167,40.947702704816734,40.47987616099071,46.59827213822894,83.13953488372093,0.0,63.91050583657587,199.21003489114946,57.82447792757071,36.337868480725625,43.104218406617946,42.98489983498057,44.3050193050193,30.487804878048777,36.69590643274854,34.182736455463726,51.31578947368421,42.921146953405014,79.05405405405406,55.58103975535168,56.448042502055536,25.77319587628866,9999.0,37.70648030495553,53.62834907963128,9999.0,9999.0,36.049723756906076
democratic_system_evaluation|WVS_E,9999.0,64.09942271315018,38.91050583657587,65.90421962925429,62.28173397657935,54.390381997566585,60.508777974804815,97.0500407202968,63.91050583657587,0.0,213.1205407277253,79.15850919933334,50.2483743173015,58.751775677845714,64.3189311067432,58.21552514159518,41.32231404958678,50.60641226932441,48.093242292039605,46.728971962616825,56.83165278998089,92.96455989062993,69.49154559192755,77.78207377381815,47.10722714805128,9999.0,51.6169861415314,71.90335380493846,9999.0,9999.0,49.96022959348195
democratic_values_importance|WVS_E,9999.0,199.39895176772376,174.21003489114943,185.3968253968254,183.36070060207993,158.73015873015873,195.8083070293784,232.34956977487036,199.21003489114946,213.1205407277253,0.0,207.9912424740011,185.54790337187507,174.73015873015873,179.7827903091061,189.12529550827423,183.21904390015845,185.905941323898,183.3927713466132,175.43859649122805,180.23553507424475,219.94082341829886,204.79107464650113,213.08160282839174,182.40675620262485,9999.0,177.9240166956098,209.63949050671818,9999.0,9999.0,177.35213265939524
economic_ideology|WVS_E,9999.0,65.43692023933177,40.24800336275746,50.848274532485064,47.225788879810125,49.26108374384237,58.78924996572055,98.38753824647839,57.82447792757071,79.15850919933334,207.9912424740011,0.0,51.4687577794374,49.382304581611336,49.26298600997396,51.02661411959325,43.22446640882395,43.29004329004329,45.366861278978455,64.37826812308492,50.53557040618038,54.94505494505494,68.9655172413793,62.726128677048926,32.05128205128205,9999.0,44.93787998942638,59.90643525462467,9999.0,9999.0,44.871794871794876
