construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,43.43907714491709,34.013605442176875,44.24778761061947,53.191489361702125,27.397260273972606,54.13492533861432,82.8148785565399,41.254467506405845,36.533785455269495,47.54721197899207,96.24585940375414,23.923444976076556,9999.0,74.74073096785044,32.467532467532465,46.08294930875576,43.531288113331456,43.737392261140656,26.315789473684212,46.04733878138629,39.8406374501992,40.0,9999.0,37.566009778259364,9999.0,58.84380115447575,64.92582808372282,9999.0,9999.0,9999.0
autocracy_support|WVS_E,43.43907714491709,0.0,37.53415396749387,39.02631618908782,40.65040650406504,18.45018450184502,53.35517172920389,71.21212121212122,38.73416016107423,34.60580515375036,38.354710176540735,87.0533576013028,35.46099290780142,9999.0,65.28221512247072,30.997235944755936,33.333333333333336,55.06883604505632,34.54489045868932,17.123287671232877,55.00207555002076,27.100271002710027,27.3224043715847,9999.0,48.57192838763818,9999.0,49.896725382348166,54.34782608695652,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,34.013605442176875,37.53415396749387,0.0,38.94628465935315,45.75063613231552,19.083969465648853,41.212580472548765,61.12188465129641,19.960079840319363,23.61144058920394,45.26197993685304,101.45185034099242,11.001100110011002,9999.0,53.04773706260695,14.55604075691412,37.70707700838705,24.096385542168672,39.917302798982185,31.521780410922485,33.12499391532074,34.96503496503497,50.074656106655326,9999.0,15.873015873015873,9999.0,32.89473684210526,53.32619939361512,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,44.24778761061947,39.02631618908782,38.94628465935315,0.0,47.242798353909464,20.5761316872428,59.48663752381867,80.21390374331551,40.188032212075676,47.09309909988259,46.75414215844699,102.94401256258637,34.48275862068965,9999.0,70.26180353546656,24.390243902439025,56.799096100406146,40.32258064516129,41.409465020576135,33.01394263251643,56.606652425999386,23.31002331002331,34.24657534246575,9999.0,34.96503496503497,9999.0,52.02267256774594,71.62398124255503,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,53.191489361702125,40.65040650406504,45.75063613231552,47.242798353909464,0.0,26.666666666666668,65.57717250324254,91.95402298850574,46.95064232589588,44.24778761061947,48.309178743961354,101.27803231251508,52.10031604772192,9999.0,84.12536351548695,39.213718109577584,67.55781092064278,63.663595860188835,39.52569169960474,31.347962382445143,63.70370370370371,35.714285714285715,39.37007874015748,9999.0,56.78841055245984,9999.0,58.11320754716981,69.95800099248375,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,27.397260273972606,18.45018450184502,19.083969465648853,20.5761316872428,26.666666666666668,0.0,38.91050583657587,73.04387155133423,20.28397565922921,27.027027027027028,26.17801047120419,82.36788087534356,25.433649381055247,9999.0,57.45869684882028,12.547051442910917,41.47041633719532,36.99692919352216,20.833333333333332,12.437810945273633,37.03703703703704,30.752829260291946,30.99068664100647,9999.0,30.121743885793165,9999.0,31.446540880503143,51.04784955531224,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,54.13492533861432,53.35517172920389,41.212580472548765,59.48663752381867,65.57717250324254,38.91050583657587,0.0,86.7426447118905,47.542502892867056,42.821820841730705,57.46330656327887,106.16195398804095,30.211480362537767,9999.0,78.66849712320104,43.0980783006821,63.32783706898114,49.819323499792674,53.653486845427466,36.231884057971016,52.335374167847505,51.282051282051285,41.84100418410041,9999.0,41.49377593360996,9999.0,66.70783072750127,55.24861878453038,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,82.8148785565399,71.21212121212122,61.12188465129641,80.21390374331551,91.95402298850574,73.04387155133423,86.7426447118905,0.0,59.065228556753986,61.188811188811194,69.82766966792526,102.39491691104595,58.89143358046335,9999.0,69.82766966792526,62.82356122116279,37.87878787878788,78.49927671771826,69.62481962481962,60.6060606060606,81.01532738577308,78.92107892107892,79.15893630179343,9999.0,45.24886877828054,9999.0,77.4032096142934,76.92307692307692,9999.0,9999.0,9999.0
confidence_in_international_organizations|WVS_E,41.254467506405845,38.73416016107423,19.960079840319363,40.188032212075676,46.95064232589588,20.28397565922921,47.542502892867056,59.065228556753986,0.0,29.941363009522227,46.4619861304334,85.70256971022417,17.33102253032929,9999.0,37.174721189591075,15.797788309636653,21.186440677966104,34.72222222222222,41.11730899256254,32.72178660450284,39.45491633563903,37.921682114946385,51.274662300235676,9999.0,20.2020202020202,9999.0,45.296313383382966,57.65520372261945,9999.0,9999.0,9999.0
democratic_system_evaluation|WVS_E,36.533785455269495,34.60580515375036,23.61144058920394,47.09309909988259,44.24778761061947,27.027027027027028,42.821820841730705,61.188811188811194,29.941363009522227,0.0,38.71393998782534,87.41258741258741,12.610340479192939,9999.0,52.083333333333336,25.44529262086514,23.31002331002331,32.218183616447845,34.90412026997393,17.482517482517483,34.734234284502676,35.7975357975358,33.898305084745765,9999.0,26.252905281375746,9999.0,49.10669084415645,54.98322183512515,9999.0,9999.0,9999.0
