construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,80.0,135.82132729801052,109.89010989010988,88.49557522123894,103.44553194875468,149.95511906647658,141.9672606113284,197.15545039413485,9999.0,151.73527037933815,103.66698646199765,9999.0,119.03045039413485,90.09009009009009,56.497175141242934,99.00990099009901,108.17327273023474,9999.0,163.90795031741933,9999.0,129.26108374384236,9999.0,127.39336492890996,115.02774595043921,90.8614363096278,144.40515678820577,9999.0,9999.0,142.85714285714286
child_qualities_autonomy_self_expression|WVS_A,9999.0,80.0,0.0,83.60596914276485,113.23624686628546,55.55555555555556,72.0979600289945,142.719027669076,80.0,137.5399127156462,9999.0,144.4991789819376,51.451628306751985,9999.0,59.41491271564621,33.78378378378378,49.26108374384237,34.96503496503497,51.866966423928446,9999.0,111.69259216217367,9999.0,49.26108374384237,9999.0,47.39336492890995,58.721439644132914,36.90036900369004,88.09885048189946,9999.0,9999.0,66.66666666666667
child_qualities_conformity_tradition|WVS_A,9999.0,135.82132729801052,83.60596914276485,0.0,147.35136304112132,95.80158744415333,65.59915688952458,131.1642418261119,87.40295962054324,138.21230172986762,9999.0,143.26545194712398,32.154340836012864,9999.0,60.08730172986761,49.82218535898106,79.32415215676758,84.53717948047885,67.90536799912573,9999.0,92.39530469143455,9999.0,44.24778761061947,9999.0,92.55483419740008,74.75984121933018,77.29471283150853,104.13725205709675,9999.0,9999.0,95.04742259701915
child_qualities_prosocial_diligence|WVS_A,9999.0,109.89010989010988,113.23624686628546,147.35136304112132,0.0,97.08737864077669,114.9425287356322,147.05882352941177,153.49729635443921,182.62989194710246,9999.0,128.2051282051282,115.19702220510847,9999.0,104.50489194710245,98.08318264014466,68.02721088435375,112.35955056179776,80.0,9999.0,175.4268777627053,9999.0,122.39397960363198,9999.0,136.97242441463493,100.49180327868852,76.33587786259541,116.23188405797102,9999.0,9999.0,147.76444929116684
civic_dishonesty_tolerance|WVS_F,9999.0,88.49557522123894,55.55555555555556,95.80158744415333,97.08737864077669,0.0,97.09206266165216,113.63636363636363,108.69565217391305,113.83928571428572,9999.0,97.08737864077669,63.64724660814046,9999.0,35.714285714285715,73.33180142467504,71.42857142857143,60.16416346489696,55.24861878453038,9999.0,106.63627152988855,9999.0,53.603373370815234,9999.0,68.18181818181819,75.7404220632189,51.02040816326531,91.4805028425014,9999.0,9999.0,86.20689655172414
confidence_in_civil_society_organizations|WVS_E,9999.0,103.44553194875468,72.0979600289945,65.59915688952458,114.9425287356322,97.09206266165216,0.0,132.4547170436107,88.6934348380421,139.50277694736644,9999.0,142.18645204560696,33.44481605351171,9999.0,61.377776947366456,38.314176245210724,46.948356807511736,76.33587786259541,56.39735888535539,9999.0,93.6857799089334,9999.0,65.19084779954346,9999.0,93.84530941489892,63.251832105559856,65.78670371773819,92.6292429433264,9999.0,9999.0,88.49557522123894
confidence_in_domestic_institutions|WVS_E,9999.0,149.95511906647658,142.719027669076,131.1642418261119,147.05882352941177,113.63636363636363,132.4547170436107,0.0,154.2585197746294,205.06786188395375,9999.0,188.69603916332886,99.00990099009901,9999.0,126.94286188395375,116.67774551306721,93.45794392523365,114.9425287356322,134.76092815321186,9999.0,159.2508648455207,9999.0,130.75593273613077,9999.0,114.9425287356322,141.61540137341635,127.82220509361852,170.99281221118287,9999.0,9999.0,126.58227848101265
confidence_in_international_organizations|WVS_E,9999.0,141.9672606113284,80.0,87.40295962054324,153.49729635443921,108.69565217391305,88.6934348380421,154.2585197746294,0.0,161.30657967838513,9999.0,166.3597298956415,55.24861878453038,9999.0,83.18157967838513,56.17977528089888,85.47008547008546,62.11180124223603,74.26295792104355,9999.0,115.48958263995206,9999.0,86.99465053056213,9999.0,70.4225352112676,81.117431141248,83.65230275342635,110.49484197901457,9999.0,9999.0,88.49557522123894
democratic_system_evaluation|WVS_E,9999.0,197.15545039413485,137.5399127156462,138.21230172986762,182.62989194710246,113.83928571428572,139.50277694736644,205.06786188395375,161.30657967838513,0.0,9999.0,176.1642156862745,106.05796089385476,9999.0,78.125,119.10860655737704,140.6582752528919,102.57487775061125,105.82583102493075,9999.0,149.04698581560285,9999.0,96.01408765652951,9999.0,110.59253246753246,126.31763430361927,106.29401408450704,142.05771508290178,9999.0,9999.0,144.3501655629139
democratic_values_importance|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,151.73527037933815,144.4991789819376,143.26545194712398,128.2051282051282,97.08737864077669,142.18645204560696,188.69603916332886,166.3597298956415,176.1642156862745,9999.0,0.0,111.11111111111111,9999.0,98.0392156862745,112.65695410596315,95.23809523809523,122.48909343688575,108.21110152430255,9999.0,168.96120150187733,9999.0,115.92830334280401,9999.0,119.04761904761905,87.71929824561403,126.20822977078154,120.48192771084337,9999.0,9999.0,131.57894736842104
gender_role_traditionalism|WVS_D,9999.0,103.66698646199765,51.451628306751985,32.154340836012864,115.19702220510847,63.64724660814046,33.44481605351171,99.00990099009901,55.24861878453038,106.05796089385476,9999.0,111.11111111111111,0.0,9999.0,27.932960893854748,17.6678445229682,47.16981132075472,52.38283864446599,35.751027163112866,9999.0,60.24096385542168,9999.0,31.746031746031747,9999.0,60.40049336138721,42.60550038331733,45.14037199549567,71.98291122108388,9999.0,9999.0,62.893081761006286
immigrant_origin_status|WVS_G,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
importance_of_life_domains|WVS_A,9999.0,119.03045039413485,59.41491271564621,60.08730172986761,104.50489194710245,35.714285714285715,61.377776947366456,126.94286188395375,83.18157967838513,78.125,9999.0,98.0392156862745,27.932960893854748,9999.0,0.0,40.983606557377044,62.533275252891926,24.449877750611247,27.700831024930746,9999.0,70.92198581560284,9999.0,17.88908765652952,9999.0,32.467532467532465,48.19263430361927,28.169014084507044,63.932715082901765,9999.0,9999.0,66.2251655629139
job_scarcity_gender_discrimination|WVS_C,9999.0,90.09009009009009,33.78378378378378,49.82218535898106,98.08318264014466,73.33180142467504,38.314176245210724,116.67774551306721,56.17977528089888,119.10860655737704,9999.0,112.65695410596315,17.6678445229682,9999.0,40.983606557377044,0.0,61.836788640912346,42.73504273504273,18.083182640144663,9999.0,77.90880837838988,9999.0,49.41387626899994,9999.0,73.45113902490951,24.93765586034913,27.47252747252747,54.31506669811568,9999.0,9999.0,80.56092628397448
job_scarcity_nativist_preference|WVS_C,9999.0,56.497175141242934,49.26108374384237,79.32415215676758,68.02721088435375,71.42857142857143,46.948356807511736,93.45794392523365,85.47008547008546,140.6582752528919,9999.0,95.23809523809523,47.16981132075472,9999.0,62.533275252891926,61.836788640912346,0.0,63.291139240506325,79.919971281057,9999.0,107.4107751761764,9999.0,78.91584306678646,9999.0,95.00080772042438,86.77444450126148,34.36426116838488,116.15185533902803,9999.0,9999.0,105.79283259695632
life_autonomy_morality_permissiveness|WVS_F,9999.0,99.00990099009901,34.96503496503497,84.53717948047885,112.35955056179776,60.16416346489696,76.33587786259541,114.9425287356322,62.11180124223603,102.57487775061125,9999.0,122.48909343688575,52.38283864446599,9999.0,24.449877750611247,42.73504273504273,63.291139240506325,0.0,52.15070877554199,9999.0,95.37186356621409,9999.0,42.33896540714076,9999.0,56.917410218143715,54.6448087431694,39.52569169960474,88.382592833513,9999.0,9999.0,50.25125628140703
