construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,72.19251336898395,31.948881789137378,45.24886877828054,69.30427376354875,34.129692832764505,93.6857799089334,58.11320754716981,64.40563241613422,97.96094508576977,69.03954802259888,68.84865146703322,50.76142131979696,28.81844380403458,105.15432166662998,80.10049508608586,59.21358058215009,38.75968992248062,37.812165035147245,59.83859675320892,86.54690618762476,26.666666666666668,30.8641975308642,60.751573356615374,26.7379679144385,33.44481605351171,41.957186544342505,34.602076124567475,9999.0,38.61003861003861,32.05128205128205
autocracy_support|WVS_E,72.19251336898395,0.0,50.76142131979696,74.2714197497557,91.75084175084174,74.90273288106881,105.28600890046673,82.46694904376845,80.0820039720674,104.98485548539452,93.39328951919751,87.82742681047768,61.04968272889203,63.769563769563774,115.26873006959275,104.54916360669114,66.00764632575037,52.91005291005291,46.49364197197791,68.52007369003958,92.23562575135762,51.02040816326531,70.92198581560284,73.00626526494636,45.45454545454546,45.04504504504504,64.35813713696513,59.24874401279423,9999.0,38.75968992248062,63.90472995639048
child_qualities_autonomy_self_expression|WVS_A,31.948881789137378,50.76142131979696,0.0,39.128515575734646,61.5923009623797,30.395136778115504,74.30555555555556,52.95191722458917,55.55555555555556,75.69815805109923,63.878257700018224,48.309178743961354,22.22222222222222,32.57328990228013,88.31265256672998,78.97664071190212,39.05156882288762,22.93577981651376,11.350737797956867,33.37716951601854,72.56062567633116,21.50537634408602,28.08988764044944,39.52569169960474,18.587360594795538,23.046644230705404,28.08988764044944,24.105839838773193,9999.0,19.08468984745416,25.125628140703515
child_qualities_conformity_tradition|WVS_A,45.24886877828054,74.2714197497557,39.128515575734646,0.0,64.40927493559073,30.674846625766875,94.41715186802523,53.475935828877,59.510633588176205,95.80975436356889,65.41722090968652,71.67366472526976,42.3338185346919,23.923444976076556,100.25932283867196,75.20549625812784,54.31858175419206,40.062790062790064,27.77777777777778,49.80420949583945,83.2447255022665,23.364485981308412,24.509803921568626,61.67866222651914,30.12048192771084,39.473684210526315,27.932960893854748,40.532879818594104,9999.0,35.51172982727507,30.8641975308642
child_qualities_prosocial_diligence|WVS_A,69.30427376354875,91.75084175084174,61.5923009623797,64.40927493559073,0.0,57.23624871998318,90.09009009009009,85.93797308091368,76.07301857161382,92.84601456903448,81.97960589312413,88.6691776522285,39.37007874015748,40.48582995951417,111.31252478332296,91.76788124156545,70.88096673762968,64.91659123238071,52.631578947368425,74.6580106654301,109.18937805730258,54.49143220041053,53.540660246720435,80.30990173847317,46.29629629629629,58.16707122136049,54.35545547962513,64.88028282179013,9999.0,60.365530996865715,55.523423944476576
civic_dishonesty_tolerance|WVS_F,34.129692832764505,74.90273288106881,30.395136778115504,30.674846625766875,57.23624871998318,0.0,93.79801083528746,42.73504273504273,52.337607372568655,96.44106749488202,58.24419469407897,54.34782608695652,42.96513166600503,16.75041876046901,93.08629662306441,68.03247004252029,47.14555553858452,40.69410319410319,28.409090909090907,50.43552262715258,89.6189787874652,30.75602100136537,29.805249047675275,49.75124378109453,35.065437075487324,33.557046979865774,19.120458891013385,28.248587570621467,9999.0,36.1430429585882,20.2020202020202
confidence_in_civil_society_organizations|WVS_E,93.6857799089334,105.28600890046673,74.30555555555556,94.41715186802523,90.09009009009009,93.79801083528746,0.0,103.38898692366863,98.2637775436346,105.55926916221034,114.31532739909768,111.84011275743174,52.083333333333336,79.5087865914525,124.0257793764988,129.41371041098157,94.34020511517821,78.92438637525974,66.63937409024746,88.66580580830913,124.75709288767975,71.94244604316548,88.2521683372144,102.33458961474037,76.65335790335791,60.24096385542168,87.23296592084131,77.593537414966,9999.0,74.37332613974475,86.48768301552667
confidence_in_domestic_institutions|WVS_E,58.11320754716981,82.46694904376845,52.95191722458917,53.475935828877,85.93797308091368,42.73504273504273,103.38898692366863,0.0,75.11466315124551,113.39497688366862,73.81942223643534,79.75571962446449,61.53053194797627,45.4521431213995,118.02105746016642,88.91780524831924,68.75997371632404,59.259503476074435,46.97449119106215,69.00092290912383,91.32678040146124,31.446540880503143,36.496350364963504,69.76071712571387,41.1522633744856,54.86574462757574,46.737060758178984,45.662100456621005,9999.0,47.16981132075472,41.1522633744856
confidence_in_international_organizations|WVS_E,64.40563241613422,80.0820039720674,55.55555555555556,59.510633588176205,76.07301857161382,52.337607372568655,98.2637775436346,75.11466315124551,0.0,102.538942720471,77.0809645457096,87.41792640097725,56.81980616941594,35.587188612099645,104.81663929939793,86.86923989415092,55.55555555555556,59.62108582644187,49.05626609908407,71.08269781714574,94.79824987846378,43.66812227074236,48.64201889930591,75.56888939205254,45.04504504504504,38.02281368821293,49.4568141322106,61.811368139900395,9999.0,41.32231404958678,50.62478259706205
democratic_system_evaluation|WVS_E,97.96094508576977,104.98485548539452,75.69815805109923,95.80975436356889,92.84601456903448,96.44106749488202,105.55926916221034,113.39497688366862,102.538942720471,0.0,125.27772770189885,113.2327152529754,53.475935828877,83.78395176828889,125.41838187204247,132.01463924712442,93.47312196618365,80.3169888708034,68.03197658579111,89.28571428571429,119.7011013917909,83.55992689635012,92.52733351405078,100.47174090537965,78.04596039890157,64.51612903225806,92.52733351405078,78.98613991050965,9999.0,66.2251655629139,89.91381466018936
democratic_values_importance|WVS_E,69.03954802259888,93.39328951919751,63.878257700018224,65.41722090968652,81.97960589312413,58.24419469407897,114.31532739909768,73.81942223643534,77.0809645457096,125.27772770189885,0.0,90.68206009989356,72.45687242340534,41.49377593360996,117.82965379620538,92.77582721566125,71.88891271172547,70.1858439515035,57.900831666491214,79.92726338455289,102.25312087689029,42.37288135593221,47.39336492890995,80.68705760114293,59.808794248628274,60.76159866964079,55.36340145372092,69.54679439941047,9999.0,64.59510357815444,56.531369918572366
economic_ideology|WVS_E,68.84865146703322,87.82742681047768,48.309178743961354,71.67366472526976,88.6691776522285,54.34782608695652,111.84011275743174,79.75571962446449,87.41792640097725,113.2327152529754,90.68206009989356,0.0,59.75677942409841,60.68789967095052,123.96359215205518,105.78044311177746,74.70250840821282,59.286689668294365,47.00167738328208,69.02810910134374,105.2659631169385,48.309178743961354,63.291139240506325,72.26938903067868,42.37288135593221,58.697583816030615,61.27647303835187,34.24657534246575,9999.0,54.735629432779376,55.865921787709496
gender_role_traditionalism|WVS_D,50.76142131979696,61.04968272889203,22.22222222222222,42.3338185346919,39.37007874015748,42.96513166600503,52.083333333333336,61.53053194797627,56.81980616941594,53.475935828877,72.45687242340534,59.75677942409841,0.0,38.064815217233836,71.94244604316548,84.97857596818172,42.256871781844865,26.841053041926408,14.55604075691412,36.582472474975795,75.76592863528842,30.08399106747313,40.197066397939764,50.25125628140703,24.57002457002457,18.79699248120301,43.47361625244423,25.510204081632654,9999.0,22.289992806411412,36.43787883131237
immigrant_origin_status|WVS_G,28.81844380403458,63.769563769563774,32.57328990228013,23.923444976076556,40.48582995951417,16.75041876046901,79.5087865914525,45.4521431213995,35.587188612099645,83.78395176828889,41.49377593360996,60.68789967095052,38.064815217233836,0.0,76.33587786259541,51.282051282051285,30.395136778115504,33.898305084745765,29.38921543572706,51.41564715378873,73.88584176185444,14.005602240896357,13.054830287206267,52.31977848610708,18.315018315018314,19.267822736030826,13.869625520110958,39.59161405969917,9999.0,36.22782446311858,15.037593984962406
importance_of_life_domains|WVS_A,105.15432166662998,115.26873006959275,88.31265256672998,100.25932283867196,111.31252478332296,93.08629662306441,124.0257793764988,118.02105746016642,104.81663929939793,125.41838187204247,117.82965379620538,123.96359215205518,71.94244604316548,76.33587786259541,0.0,127.6179291446467,49.26108374384237,89.2469270537854,76.96191476877311,98.98834648683479,129.98497597598913,86.57451657966327,89.39070814980168,110.75561548957788,88.03611188948186,88.63116248399984,90.20550338270637,89.71701680958944,9999.0,76.50904014711213,91.37347184755782
job_scarcity_gender_discrimination|WVS_C,80.10049508608586,104.54916360669114,78.97664071190212,75.20549625812784,91.76788124156545,68.03247004252029,129.41371041098157,88.91780524831924,86.86923989415092,132.01463924712442,92.77582721566125,105.78044311177746,84.97857596818172,51.282051282051285,127.6179291446467,0.0,81.67718806016678,82.70754749627989,70.4225352112676,92.44896692932927,117.35150388877418,57.4712643678161,64.33688156925756,95.78544061302682,69.5970695970696,70.54987401808211,65.15167680216224,83.17763725208393,9999.0,65.78947368421052,66.3196452670137
job_scarcity_nativist_preference|WVS_C,59.21358058215009,66.00764632575037,39.05156882288762,54.31858175419206,70.88096673762968,47.14555553858452,94.34020511517821,68.75997371632404,55.55555555555556,93.47312196618365,71.88891271172547,74.70250840821282,42.256871781844865,30.395136778115504,49.26108374384237,81.67718806016678,0.0,39.985843309943036,27.700831024930746,49.72726274299242,80.72389223214675,37.3134328358209,43.10344827586207,61.49453174573551,38.775028145639496,39.37007874015748,44.26476229822646,40.455933065747075,9999.0,27.247956403269754,45.43273076307791
life_autonomy_morality_permissiveness|WVS_F,38.75968992248062,52.91005291005291,22.93577981651376,40.062790062790064,64.91659123238071,40.69410319410319,78.92438637525974,59.259503476074435,59.62108582644187,80.3169888708034,70.1858439515035,59.286689668294365,26.841053041926408,33.898305084745765,89.2469270537854,82.70754749627989,39.985843309943036,0.0,12.285012285012286,34.31144400307396,73.49490016338657,27.812962595571292,37.92603792603793,44.052863436123346,23.35920940572103,21.598272138228943,31.545741324921135,25.04011432582861,9999.0,20.01896433450958,30.030030030030026
offline_political_participation|WVS_E,37.812165035147245,46.49364197197791,11.350737797956867,27.77777777777778,52.631578947368425,28.409090909090907,66.63937409024746,46.97449119106215,49.05626609908407,68.03197658579111,57.900831666491214,47.00167738328208,14.55604075691412,29.38921543572706,76.96191476877311,70.4225352112676,27.700831024930746,12.285012285012286,0.0,22.026431718061673,61.20988787837429,15.527950310559007,25.641025641025642,41.980527391963044,11.074197120708748,11.695906432748536,29.977788803128405,12.755102040816327,9999.0,7.733952049497293,21.88183807439825
outgroup_trust|WVS_G,59.83859675320892,68.52007369003958,33.37716951601854,49.80420949583945,74.6580106654301,50.43552262715258,88.66580580830913,69.00092290912383,71.08269781714574,89.28571428571429,79.92726338455289,69.02810910134374,36.582472474975795,51.41564715378873,98.98834648683479,92.44896692932927,49.72726274299242,34.31144400307396,22.026431718061673,0.0,83.23631959643596,37.55438202862068,47.667457359087315,64.00695911002472,33.10062883877042,33.72233815081021,52.00422052119008,34.781533758878,9999.0,29.760383767558967,43.90826979245992
postmaterialist_values|WVS_E,86.54690618762476,92.23562575135762,72.56062567633116,83.2447255022665,109.18937805730258,89.6189787874652,124.75709288767975,91.32678040146124,94.79824987846378,119.7011013917909,102.25312087689029,105.2659631169385,75.76592863528842,73.88584176185444,129.98497597598913,117.35150388877418,80.72389223214675,73.49490016338657,61.20988787837429,83.23631959643596,0.0,59.880239520958085,78.74015748031496,87.72251117134275,62.893081761006286,64.51612903225806,75.17075939863392,73.96498991919061,9999.0,53.475935828877,77.6107359748588
religious_belief|WVS_F,26.666666666666668,51.02040816326531,21.50537634408602,23.364485981308412,54.49143220041053,30.75602100136537,71.94244604316548,31.446540880503143,43.66812227074236,83.55992689635012,42.37288135593221,48.309178743961354,30.08399106747313,14.005602240896357,86.57451657966327,57.4712643678161,37.3134328358209,27.812962595571292,15.527950310559007,37.55438202862068,59.880239520958085,0.0,27.060432528102623,38.314176245210724,26.602147431267753,23.419203747072597,15.290519877675841,27.17391304347826,9999.0,22.22222222222222,17.73049645390071
religious_practice_and_self_identification|WVS_F,30.8641975308642,70.92198581560284,28.08988764044944,24.509803921568626,53.540660246720435,29.805249047675275,88.2521683372144,36.496350364963504,48.64201889930591,92.52733351405078,47.39336492890995,63.291139240506325,40.197066397939764,13.054830287206267,89.39070814980168,64.33688156925756,43.10344827586207,37.92603792603793,25.641025641025642,47.667457359087315,78.74015748031496,27.060432528102623,0.0,51.54639175257732,31.36984860222458,28.011204481792713,15.174506828528072,34.72222222222222,9999.0,33.37497769052293,17.271157167530223
science_technology_optimism|WVS_E,60.751573356615374,73.00626526494636,39.52569169960474,61.67866222651914,80.30990173847317,49.75124378109453,102.33458961474037,69.76071712571387,75.56888939205254,100.47174090537965,80.68705760114293,72.26938903067868,50.25125628140703,52.31977848610708,110.75561548957788,95.78544061302682,61.49453174573551,44.052863436123346,41.980527391963044,64.00695911002472,87.72251117134275,38.314176245210724,51.54639175257732,0.0,34.013605442176875,44.44444444444444,52.917197124596534,38.02281368821293,9999.0,34.24657534246575,47.39336492890995
sexual_and_reproductive_morality_permissiveness|WVS_F,26.7379679144385,45.45454545454546,18.587360594795538,30.12048192771084,46.29629629629629,35.065437075487324,76.65335790335791,41.1522633744856,45.04504504504504,78.04596039890157,59.808794248628274,42.37288135593221,24.57002457002457,18.315018315018314,88.03611188948186,69.5970695970696,38.775028145639496,23.35920940572103,11.074197120708748,33.10062883877042,62.893081761006286,26.602147431267753,31.36984860222458,34.013605442176875,0.0,17.6056338028169,18.90359168241966,21.27659574468085,9999.0,18.80814917020604,18.45018450184502
social_intolerance_outgroups|WVS_A,33.44481605351171,45.04504504504504,23.046644230705404,39.473684210526315,58.16707122136049,33.557046979865774,60.24096385542168,54.86574462757574,38.02281368821293,64.51612903225806,60.76159866964079,58.697583816030615,18.79699248120301,19.267822736030826,88.63116248399984,70.54987401808211,39.37007874015748,21.598272138228943,11.695906432748536,33.72233815081021,64.51612903225806,23.419203747072597,28.011204481792713,44.44444444444444,17.6056338028169,0.0,28.011204481792713,24.451008473564862,9999.0,19.42985848224583,26.246719160104984
societal_change_attitudes|WVS_E,41.957186544342505,64.35813713696513,28.08988764044944,27.932960893854748,54.35545547962513,19.120458891013385,87.23296592084131,46.737060758178984,49.4568141322106,92.52733351405078,55.36340145372092,61.27647303835187,43.47361625244423,13.869625520110958,90.20550338270637,65.15167680216224,44.26476229822646,31.545741324921135,29.977788803128405,52.00422052119008,75.17075939863392,15.290519877675841,15.174506828528072,52.917197124596534,18.90359168241966,28.011204481792713,0.0,33.557046979865774,9999.0,37.51274209989806,17.513134851138354
subjective_wellbeing|WVS_A,34.602076124567475,59.24874401279423,24.105839838773193,40.532879818594104,64.88028282179013,28.248587570621467,77.593537414966,45.662100456621005,61.811368139900395,78.98613991050965,69.54679439941047,34.24657534246575,25.510204081632654,39.59161405969917,89.71701680958944,83.17763725208393,40.455933065747075,25.04011432582861,12.755102040816327,34.781533758878,73.96498991919061,27.17391304347826,34.72222222222222,38.02281368821293,21.27659574468085,24.451008473564862,33.557046979865774,0.0,9999.0,20.48905409031362,27.100271002710027
violence_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0
