construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9882.411774267433,926.6666970450026,911.9006183201951,277.1317955533548,0.0,9900.751542607202,9897.070772722584,9899.046144830329,9908.006160830091,9872.824677182716,9845.666697045002,54.74029656410644,130.70382430974598,26.08165745670499,64.0481068024998,0.0,0.0,9943.587843998408,33.934647762011195,9943.054959156208,0.0,0.0,9881.552965565365,0.0,660.0551723689618,9940.375616027426,89.44172523262921,0.0,105.67675508731872,63.48496672414308
autocracy_support|WVS_E,9882.411774267433,0.0,57.25903769128067,38.586571544221826,0.0,27.825471949895913,9909.23166023166,9868.985908612782,9909.463483146068,9881.127192982456,9881.981601731602,9822.412883845127,0.0,0.0,0.2583983477570655,0.0,120.68599571844636,539.6959459459459,9900.440320967848,0.0,9933.565531820204,0.0,91.66082936494044,9894.560645724257,0.0,257.3114272809394,9931.06880612784,34.877106425159965,0.0,38.05459154817632,56.502525252525245
child_qualities_autonomy_self_expression|WVS_A,926.6666970450026,57.25903769128067,0.0,9935.693011188909,9951.639896595425,953.6697621375041,110.69149608145557,0.0,0.0,2.2736115824315704,43.414095774965446,0.0,0.0,249.6138642372837,9969.9800739123,1.2679008088036738,60.53273747062866,54.07277810281742,0.0,22.49568202984392,0.0,0.0,26.943813956332015,141.2354343312899,0.0,9927.315412186379,0.0,9952.750241148578,0.0,9963.596335564078,101.16415625905987
child_qualities_conformity_tradition|WVS_A,911.9006183201951,38.586571544221826,9935.693011188909,0.0,9953.037884187563,41.036007689456305,116.43276402312549,903.2660359565638,35.023089128235966,23.707747194910326,140.37328791427154,856.6930111889093,0.0,0.0,9944.819227445925,0.0,144.08470013732762,231.61966046002192,0.0,6.494476179637367,0.0,0.0,310.126141893908,71.10709381168999,0.0,9905.237504998,0.0,9939.81863213696,0.0,9938.755771523538,31.249707092577495
child_qualities_prosocial_diligence|WVS_A,277.1317955533548,0.0,9951.639896595425,9953.037884187563,0.0,0.0,92.83488326078354,32.84928499944269,0.0,0.0,0.0,105.19803613030825,0.0,0.0,9960.766112852441,0.0,29.596802935147267,311.7135851378777,114.6017599476537,0.0,0.0,0.0,0.0,0.0,0.0,9924.849159677367,0.0,9955.765517543476,0.0,9954.702656930052,0.0
civic_dishonesty_tolerance|WVS_F,0.0,27.825471949895913,953.6697621375041,41.036007689456305,0.0,0.0,30.33132051485778,4.895460206382609,50.538534905901784,46.317157642106665,618.2947487295314,176.70006516780714,0.0,0.0,38.0115098015751,0.0,30.077300837258065,9954.089258925893,0.0,13.308619271695065,0.0,0.0,9944.10046088502,504.8233725541207,0.0,9.570587496749084,0.0,91.0908577303262,0.0,620.7750582750582,12.170480840557573
confidence_in_civil_society_organizations|WVS_E,9900.751542607202,9909.23166023166,110.69149608145557,116.43276402312549,92.83488326078354,30.33132051485778,0.0,9883.956828541417,9911.739322533136,9893.287428668653,9879.588923271851,9837.383803773762,0.0,35.61407829700512,140.27597747758796,0.0,325.0508550410222,82.28944562899787,9915.534064120699,206.08280702131105,9948.536451748842,0.0,291.81693447876205,9892.167967264506,0.0,217.42191500256016,9943.86823855756,922.5094247218141,0.0,321.4465641083917,915.2209579038847
confidence_in_domestic_institutions|WVS_E,9897.070772722584,9868.985908612782,0.0,903.2660359565638,32.84928499944269,4.895460206382609,9883.956828541417,0.0,9888.894419306183,9923.224217148512,9859.733389199337,9867.71794871795,137.45069803748413,91.56076736984352,0.0,74.51726810185731,182.31107130953427,0.0,9945.348029376342,136.67017392716667,9934.420376792577,0.0,0.0,9868.713221003707,0.0,33.42965893866321,9923.443508180606,53.154552613461206,0.0,0.0,80.06383742116739
confidence_in_international_organizations|WVS_E,9899.046144830329,9909.463483146068,0.0,35.023089128235966,0.0,50.538534905901784,9911.739322533136,9888.894419306183,0.0,9898.24878479894,9908.262403320128,9860.176470588236,5.9263575883873685,0.0,28.517949326410744,0.0,85.82081317111586,750.5369415807561,9922.25532363483,253.06802244039272,9950.534480054373,0.0,927.9012980336718,9916.990691702777,0.0,0.0,9946.97908963407,926.0504661144373,0.0,13.534682504014057,26.085993827929315
democratic_system_evaluation|WVS_E,9908.006160830091,9881.127192982456,2.2736115824315704,23.707747194910326,0.0,46.317157642106665,9893.287428668653,9923.224217148512,9898.24878479894,0.0,9872.027317151325,9873.184816045281,517.6252879345406,0.0,0.0,152.22393660516116,13.454267442914102,0.0,9954.678629503578,0.0,9943.750976919811,0.0,89.85115097118194,9880.854505373381,0.0,204.94549167366654,9932.77410830784,0.0,0.0,0.0,68.86657831086616
democratic_values_importance|WVS_E,9872.824677182716,9881.981601731602,43.414095774965446,140.37328791427154,0.0,618.2947487295314,9879.588923271851,9859.733389199337,9908.262403320128,9872.027317151325,0.0,9813.160364431682,133.33578052174778,0.0,672.5173499194674,75.03336771629455,122.25598712751224,255.42357935650614,9891.187801554403,63.600286136062635,9924.31301240676,0.0,22.16175809690148,9890.769224055162,0.0,168.20697236766105,9920.757621986455,115.95988904779766,0.0,191.34077182513383,10.78453710032656
economic_ideology|WVS_E,9845.666697045002,9822.412883845127,0.0,856.6930111889093,105.19803613030825,176.70006516780714,9837.383803773762,9867.71794871795,9860.176470588236,9873.184816045281,9813.160364431682,0.0,377.62711864406776,875.4962171784601,0.0,874.0980894880489,0.0,552.2438695482451,9901.078853046594,25.48946847610972,9887.847352024923,0.0,33.60727086533538,9822.140196236052,0.0,98.31541218637994,9873.404107077375,35.04056372922314,0.0,0.0,851.672630835331
gender_role_traditionalism|WVS_D,54.74029656410644,0.0,0.0,0.0,0.0,0.0,0.0,137.45069803748413,5.9263575883873685,517.6252879345406,133.33578052174778,377.62711864406776,0.0,0.0,8.695534487775504,0.0,300.629610665453,0.0,0.0,1.7217706369842816,0.0,0.0,32.306705014207736,98.01504559030707,0.0,3.4893450027396398,0.0,31.686063944128463,0.0,956.549129256632,80.44664067608618
immigrant_origin_status|WVS_G,130.70382430974598,0.0,249.6138642372837,0.0,0.0,0.0,35.61407829700512,91.56076736984352,0.0,0.0,0.0,875.4962171784601,0.0,0.0,8.87022104609585,0.0,28.141229878226014,449.98827392120074,68.46618303681335,9964.41744264823,0.0,0.0,1.2940202481313392,0.0,0.0,0.0,0.0,0.0,0.0,24.348451197299127,0.0
