construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,71.01564836041064,74.07407407407408,52.91005291005291,117.2409078479628,103.0741410488246,57.7552301946657,52.22170130749596,72.2959761243182,89.44903782834565,107.98144748284858,78.15719752722991,54.34782608695652,9999.0,80.0,68.02721088435375,105.13175421754886,47.16981132075472,9999.0,9999.0,117.11565509033863,9999.0,49.01960784313725,9999.0,68.02721088435375,31.645569620253163,130.10540184453228,236.16600790513837,9999.0,9999.0,9999.0
autocracy_support|WVS_E,71.01564836041064,0.0,64.51612903225806,42.918454935622314,120.48192771084337,110.79865016872891,65.47973931457001,59.94621042740028,80.02048524422253,97.17354694824996,115.70595660275289,85.88170664713422,86.5398900609122,9999.0,67.11409395973155,90.39048690342278,112.85626333745319,67.14785651793525,9999.0,9999.0,124.84016421024295,9999.0,75.34130176174023,9999.0,81.03674540682414,39.37007874015748,162.29746581848798,268.35807187909404,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,74.07407407407408,64.51612903225806,0.0,58.830799653936474,103.4098614743776,127.84699702262427,40.65040650406504,35.842293906810035,66.2251655629139,114.22189380214533,132.75430345664824,102.93005350102959,47.84688995215311,9999.0,73.01701509640111,64.4031813428816,88.75234681686294,75.75757575757576,9999.0,9999.0,130.95238095238096,9999.0,59.523809523809526,9999.0,98.0392156862745,56.418425594052835,123.60446570972888,229.66507177033495,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,52.91005291005291,42.918454935622314,58.830799653936474,0.0,90.556073314694,114.99320886294066,28.409090909090907,22.98850574712644,41.49377593360996,81.96721311475409,119.90051529696464,57.4712643678161,46.08294930875576,9999.0,60.163226936717514,62.63924069948423,75.89855865717935,58.13953488372093,9999.0,9999.0,125.15964240102173,9999.0,58.47953216374269,9999.0,85.2313041010359,43.56463743436924,121.84052506633152,227.9011311269376,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,117.2409078479628,120.48192771084337,103.4098614743776,90.556073314694,0.0,159.57227068338182,95.23809523809523,67.56756756756756,105.26315789473685,145.94716746290285,164.47957711740577,134.6553271617871,62.893081761006286,9999.0,104.74228875715863,79.44937315173476,120.47762047762048,114.5159243750793,9999.0,9999.0,147.01694071930234,9999.0,83.72641509433961,9999.0,129.81036592147703,88.14369925481037,138.65065751858205,244.71126357918814,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,103.0741410488246,110.79865016872891,127.84699702262427,114.99320886294066,159.57227068338182,0.0,97.53823200298396,92.00470311581424,107.52688172043011,129.23203963666393,142.85714285714286,117.94019933554819,118.59838274932615,9999.0,129.1794243054053,122.44897959183675,127.38608374384236,99.20634920634922,9999.0,9999.0,78.125,9999.0,107.39979445015416,9999.0,113.0952380952381,71.42857142857143,194.3559585069019,300.416564567508,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,57.7552301946657,65.47973931457001,40.65040650406504,28.409090909090907,95.23809523809523,97.53823200298396,0.0,46.68579226165534,66.76006707847758,83.91312878250503,102.44553843700794,72.62128848138929,36.496350364963504,9999.0,45.662100456621005,53.05264175569198,49.75124378109453,53.887438352190316,9999.0,9999.0,99.0123275249369,9999.0,39.0625,9999.0,67.7763272410792,26.109660574412533,112.25392612253927,218.31453218314533,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,52.22170130749596,59.94621042740028,35.842293906810035,22.98850574712644,67.56756756756756,92.00470311581424,46.68579226165534,0.0,61.22653819130784,78.37959989533529,96.91200954983822,67.08775959421955,30.030030030030026,9999.0,37.174721189591075,46.5863214207585,52.91005291005291,46.948356807511736,9999.0,9999.0,102.17113665389527,9999.0,35.587188612099645,9999.0,62.242798353909464,20.5761316872428,105.7876057876058,211.84821184821186,9999.0,9999.0,9999.0
confidence_in_international_organizations|WVS_E,72.2959761243182,80.02048524422253,66.2251655629139,41.49377593360996,105.26315789473685,107.52688172043011,66.76006707847758,61.22653819130784,0.0,98.45387471215753,116.98628436666044,87.16203441104179,61.34969325153375,9999.0,81.96721311475409,77.90598464226223,114.13659110136075,68.42818428184282,9999.0,9999.0,126.1204919741505,9999.0,76.62162952564778,9999.0,82.3170731707317,40.65040650406504,137.10726900910953,243.1678750697156,9999.0,9999.0,9999.0
democratic_system_evaluation|WVS_E,89.44903782834565,97.17354694824996,114.22189380214533,81.96721311475409,145.94716746290285,129.23203963666393,83.91312878250503,78.37959989533529,98.45387471215753,0.0,134.1393460706879,104.31509611506924,104.9732795288472,9999.0,115.55432108492636,108.8238763713578,131.2896528053882,83.33333333333333,9999.0,9999.0,143.27355367817796,9999.0,93.77469122967523,9999.0,99.47013487475915,57.80346820809249,180.73085528642298,286.79146134702904,9999.0,9999.0,9999.0
democratic_values_importance|WVS_E,107.98144748284858,115.70595660275289,132.75430345664824,119.90051529696464,164.47957711740577,142.85714285714286,102.44553843700794,96.91200954983822,116.98628436666044,134.1393460706879,0.0,122.84750576957217,102.04081632653062,9999.0,134.0867307394293,118.59710771725909,91.74311926605505,70.4225352112676,9999.0,9999.0,140.8450704225352,9999.0,112.30710088417814,9999.0,118.00254452926208,76.33587786259541,177.79839208410638,283.8589981447125,9999.0,9999.0,9999.0
economic_ideology|WVS_E,78.15719752722991,85.88170664713422,102.93005350102959,57.4712643678161,134.6553271617871,117.94019933554819,72.62128848138929,67.08775959421955,87.16203441104179,104.31509611506924,122.84750576957217,0.0,75.75757575757576,9999.0,94.33962264150944,92.31386714830424,119.99781250427245,61.34969325153375,9999.0,9999.0,131.77222846280137,9999.0,82.48285092855949,9999.0,88.17829457364341,46.51162790697675,151.51515151515153,257.5757575757576,9999.0,9999.0,9999.0
gender_role_traditionalism|WVS_D,54.34782608695652,86.5398900609122,47.84688995215311,46.08294930875576,62.893081761006286,118.59838274932615,36.496350364963504,30.030030030030026,61.34969325153375,104.9732795288472,102.04081632653062,75.75757575757576,0.0,9999.0,67.2047512196211,16.556291390728475,82.94008294008293,74.94758909853249,9999.0,9999.0,84.12385895829604,9999.0,20.833333333333332,9999.0,68.02721088435375,47.16981132075472,75.75757575757576,181.81818181818184,9999.0,9999.0,9999.0
immigrant_origin_status|WVS_G,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
importance_of_life_domains|WVS_A,80.0,67.11409395973155,73.01701509640111,60.163226936717514,104.74228875715863,129.1794243054053,45.662100456621005,37.174721189591075,81.96721311475409,115.55432108492636,134.0867307394293,94.33962264150944,67.2047512196211,9999.0,0.0,83.76104261034958,90.084774099644,71.94244604316548,9999.0,9999.0,139.34585784348636,9999.0,72.76190980169072,9999.0,99.41751954350053,57.750852876833875,142.96232697719688,249.02293303780294,9999.0,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,68.02721088435375,90.39048690342278,64.4031813428816,62.63924069948423,79.44937315173476,122.44897959183675,53.05264175569198,46.5863214207585,77.90598464226223,108.8238763713578,118.59710771725909,92.31386714830424,16.556291390728475,9999.0,83.76104261034958,0.0,99.4963743308114,78.79818594104309,9999.0,9999.0,67.56756756756756,9999.0,32.467532467532465,9999.0,81.96721311475409,51.02040816326531,92.31386714830424,198.37447320891033,9999.0,9999.0,9999.0
job_scarcity_nativist_preference|WVS_C,105.13175421754886,112.85626333745319,88.75234681686294,75.89855865717935,120.47762047762048,127.38608374384236,49.75124378109453,52.91005291005291,114.13659110136075,131.2896528053882,91.74311926605505,119.99781250427245,82.94008294008293,9999.0,90.084774099644,99.4963743308114,0.0,86.20689655172414,9999.0,9999.0,49.26108374384237,9999.0,88.49724152215256,9999.0,115.15285126396236,73.4861845972957,158.6976586976587,264.7582647582648,9999.0,9999.0,9999.0
life_autonomy_morality_permissiveness|WVS_F,47.16981132075472,67.14785651793525,75.75757575757576,58.13953488372093,114.5159243750793,99.20634920634922,53.887438352190316,46.948356807511736,68.42818428184282,83.33333333333333,70.4225352112676,61.34969325153375,74.94758909853249,9999.0,71.94244604316548,78.79818594104309,86.20689655172414,0.0,9999.0,9999.0,70.4225352112676,9999.0,63.749000799360516,9999.0,69.44444444444444,27.77777777777778,150.70516485610827,256.76577091671436,9999.0,9999.0,9999.0
offline_political_participation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
outgroup_trust|WVS_G,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
postmaterialist_values|WVS_E,117.11565509033863,124.84016421024295,130.95238095238096,125.15964240102173,147.01694071930234,78.125,99.0123275249369,102.17113665389527,126.1204919741505,143.27355367817796,140.8450704225352,131.77222846280137,84.12385895829604,9999.0,139.34585784348636,67.56756756756756,49.26108374384237,70.4225352112676,9999.0,9999.0,0.0,9999.0,71.42857142857143,9999.0,82.64462809917356,85.47008547008546,159.88143471587182,265.9420407764779,9999.0,9999.0,9999.0
religious_belief|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
religious_practice_and_self_identification|WVS_F,49.01960784313725,75.34130176174023,59.523809523809526,58.47953216374269,83.72641509433961,107.39979445015416,39.0625,35.587188612099645,76.62162952564778,93.77469122967523,112.30710088417814,82.48285092855949,20.833333333333332,9999.0,72.76190980169072,32.467532467532465,88.49724152215256,63.749000799360516,9999.0,9999.0,71.42857142857143,9999.0,0.0,9999.0,77.6378896882494,35.97122302158274,96.5909090909091,202.65151515151518,9999.0,9999.0,9999.0
science_technology_optimism|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
sexual_and_reproductive_morality_permissiveness|WVS_F,68.02721088435375,81.03674540682414,98.0392156862745,85.2313041010359,129.81036592147703,113.0952380952381,67.7763272410792,62.242798353909464,82.3170731707317,99.47013487475915,118.00254452926208,88.17829457364341,68.02721088435375,9999.0,99.41751954350053,81.96721311475409,115.15285126396236,69.44444444444444,9999.0,9999.0,82.64462809917356,9999.0,77.6378896882494,9999.0,0.0,41.666666666666664,143.78478664192951,249.8453927025356,9999.0,9999.0,9999.0
social_intolerance_outgroups|WVS_A,31.645569620253163,39.37007874015748,56.418425594052835,43.56463743436924,88.14369925481037,71.42857142857143,26.109660574412533,20.5761316872428,40.65040650406504,57.80346820809249,76.33587786259541,46.51162790697675,47.16981132075472,9999.0,57.750852876833875,51.02040816326531,73.4861845972957,27.77777777777778,9999.0,9999.0,85.47008547008546,9999.0,35.97122302158274,9999.0,41.666666666666664,0.0,122.92738707833048,228.98799313893656,9999.0,9999.0,9999.0
societal_change_attitudes|WVS_E,130.10540184453228,162.29746581848798,123.60446570972888,121.84052506633152,138.65065751858205,194.3559585069019,112.25392612253927,105.7876057876058,137.10726900910953,180.73085528642298,177.79839208410638,151.51515151515153,75.75757575757576,9999.0,142.96232697719688,92.31386714830424,158.6976586976587,150.70516485610827,9999.0,9999.0,159.88143471587182,9999.0,96.5909090909091,9999.0,143.78478664192951,122.92738707833048,0.0,257.5757575757576,9999.0,9999.0,9999.0
subjective_wellbeing|WVS_A,236.16600790513837,268.35807187909404,229.66507177033495,227.9011311269376,244.71126357918814,300.416564567508,218.31453218314533,211.84821184821186,243.1678750697156,286.79146134702904,283.8589981447125,257.5757575757576,181.81818181818184,9999.0,249.02293303780294,198.37447320891033,264.7582647582648,256.76577091671436,9999.0,9999.0,265.9420407764779,9999.0,202.65151515151518,9999.0,249.8453927025356,228.98799313893656,257.5757575757576,0.0,9999.0,9999.0,9999.0
violence_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0
voluntary_association_active_membership|WVS_A,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0
work_ethic|WVS_C,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0
