construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9927.984351639589,0.0,0.0,7.759092152037198,39.78300180831826,9941.244769805335,9946.778298692505,9926.704023875682,9909.550962171654,9891.018552517151,9920.842802472771,0.0,0.0,0.0,0.0,664.0990150132204,0.0,0.0,0.0,9881.884344909662,0.0,0.0,0.0,0.0,0.0,9868.894598155468,763.8339920948616,0.0,0.0,0.0
autocracy_support|WVS_E,9927.984351639589,0.0,0.0,0.0,0.0,444.75690538682665,9933.52026068543,9939.0537895726,9918.979514755778,9901.82645305175,9883.294043397247,9913.118293352865,0.41663167821823777,0.0,0.0,48.4984019854661,10.600526786003613,3.2746786933323477,0.0,0.0,9874.159835789756,0.0,16.40181750431482,0.0,33.905783328808056,0.0,9836.702534181512,731.641928120906,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,0.0,0.0,0.0,9940.169200346063,9895.590138525622,872.1530029773758,0.0,0.0,0.0,13.983234402982873,492.24569654335176,1.2366131656370811,0.0,0.0,9925.9829849036,6.0193538683860055,205.3653002419606,0.0,0.0,0.0,869.047619047619,0.0,0.0,0.0,0.0,9942.581574405947,645.6263035210404,9769.334928229666,0.0,0.0,0.0
child_qualities_conformity_tradition|WVS_A,0.0,0.0,9940.169200346063,0.0,9908.443926685306,794.0977002279683,0.0,0.0,0.0,0.0,280.0994847030354,0.0,0.0,0.0,9938.836773063282,15.485759300515767,37.737804979184276,0.0,0.0,0.0,87.60631504578677,0.0,0.0,0.0,4.054410184678389,9955.435362565631,878.1594749336684,9771.098868873063,0.0,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,7.759092152037198,0.0,9895.590138525622,9908.443926685306,0.0,240.42772931661818,0.0,0.0,0.0,54.052832537097146,835.5204228825942,61.42310421076189,0.0,0.0,9894.25771124284,9.046202069504176,879.5223795223795,18.81740895825405,0.0,0.0,852.9830592806977,0.0,22.656563629064635,0.0,70.18963407852297,9910.85630074519,416.90489803697346,9754.288736420813,0.0,0.0,0.0
civic_dishonesty_tolerance|WVS_F,39.78300180831826,444.75690538682665,872.1530029773758,794.0977002279683,240.42772931661818,0.0,165.61966273385812,532.9952968841858,0.0,108.86319845857417,0.0,266.67518527983646,184.4319202809769,0.0,34.755001924102885,171.6686674669868,872.6139162561576,9899.79365079365,0.0,0.0,0.0,0.0,9891.600205549847,0.0,9885.904761904761,0.0,99.76168855192162,699.583435432492,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,9941.244769805335,9933.52026068543,0.0,0.0,0.0,165.61966273385812,0.0,9952.314207738345,9932.239932921522,9915.086871217494,9896.554461562991,9926.378711518611,0.0,0.0,0.0,33.90387998343846,0.0,2.6097367890526186,0.0,0.0,9899.987672475063,0.0,0.0,0.0,12.223672758920799,0.0,9886.74607387746,337.2410233724102,0.0,0.0,0.0
confidence_in_domestic_institutions|WVS_E,9946.778298692505,9939.0537895726,0.0,0.0,0.0,532.9952968841858,9952.314207738345,0.0,9937.773461808692,9920.620400104664,9902.087990450162,9931.91224040578,0.0,0.0,0.0,10.884942947057596,0.0,0.0,0.0,0.0,9896.828863346105,0.0,0.0,0.0,2.692266581155465,0.0,9893.212394212394,376.3870822694352,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,9926.704023875682,9918.979514755778,0.0,0.0,0.0,0.0,9932.239932921522,9937.773461808692,0.0,9900.546125287843,9882.01371563334,9911.837965588958,0.0,0.0,0.0,23.10411636783877,55.35493432236808,20.857530003871474,0.0,0.0,9872.87950802585,0.0,30.905252194782335,0.0,113.7613582018173,0.0,9861.89273099089,756.8321249302844,0.0,0.0,0.0
democratic_system_evaluation|WVS_E,9909.550962171654,9901.82645305175,13.983234402982873,0.0,54.052832537097146,108.86319845857417,9915.086871217494,9920.620400104664,9900.546125287843,0.0,9864.860653929312,9894.68490388493,239.85430667804937,0.0,19.580814050208772,391.1761236286422,285.3770138612785,0.0,0.0,0.0,9855.726446321822,0.0,906.2253087703248,0.0,96.60829649778985,0.0,9818.269144713577,167.75399319842546,0.0,0.0,0.0
