construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9970.588543378695,73.57085900392985,44.87597854929426,4.4728934352696434,0.0,0.0,9971.138612333101,9961.676962676962,9967.637606099841,9968.901168014376,9943.26353447449,289.0150237907909,0.0,0.0,0.0,0.0,0.0,9961.803595333717,0.0,0.0,0.0,67.33866527173615,0.0,0.0,0.0,9972.16200859508,79.19644846744015,0.0,0.0,0.0
autocracy_support|WVS_E,9970.588543378695,0.0,0.0,0.0,0.0,0.0,0.0,9990.346203330844,9980.884553674705,9989.366057789934,9988.108759012119,9970.276575068234,1.121845788234154,0.0,0.0,0.0,0.0,0.0,9984.713241998164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9991.369599592823,0.0,0.0,0.0,0.0
child_qualities_autonomy_self_expression|WVS_A,73.57085900392985,0.0,0.0,9978.121377361622,9982.240166037764,0.0,0.0,37.16341968753175,113.0876485207194,0.0,48.37669681659225,0.0,16.356734716660014,0.0,9982.74401917709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.802084625614032,0.0,0.0,0.0,0.0,9979.44737608305,0.0,0.0,0.0
child_qualities_conformity_tradition|WVS_A,44.87597854929426,0.0,9978.121377361622,0.0,9987.816569854413,0.0,0.0,0.0,77.8477258067558,0.0,5.302829739687066,257.56806352737067,16.127659148936527,0.0,9988.320422993738,0.0,0.0,0.0,9.235045780922999,0.0,0.0,0.0,21.118570521606053,0.0,0.0,0.0,0.0,9985.023779899699,0.0,0.0,0.0
child_qualities_prosocial_diligence|WVS_A,4.4728934352696434,0.0,9982.240166037764,9987.816569854413,0.0,0.0,0.0,0.0,37.72916636445953,0.0,0.0,139.98299824813728,4.719005113169658,0.0,9992.43921166988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.860022216443767,0.0,0.0,0.0,0.0,9989.14256857584,0.0,0.0,0.0
civic_dishonesty_tolerance|WVS_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_civil_society_organizations|WVS_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_in_domestic_institutions|WVS_E,9971.138612333101,9990.346203330844,37.16341968753175,0.0,0.0,0.0,0.0,0.0,9981.434622629113,9988.206691851052,9988.658827966525,9964.998065140277,1.792662606610996,0.0,0.0,0.0,0.0,0.0,9981.561255285866,0.0,0.0,0.0,0.5663428605698542,0.0,0.0,0.0,9991.919668547229,0.0,0.0,0.0,0.0
confidence_in_international_organizations|WVS_E,9961.676962676962,9980.884553674705,113.0876485207194,77.8477258067558,37.72916636445953,0.0,0.0,9981.434622629113,0.0,9977.933616395852,9979.197178310385,9953.559544770502,5.220417415539366,0.0,0.0,0.0,0.0,0.0,9972.099605629726,0.0,0.0,0.0,267.5856559599033,0.0,0.0,0.0,9982.45801889109,44.70047576922026,0.0,0.0,0.0
democratic_system_evaluation|WVS_E,9967.637606099841,9989.366057789934,0.0,0.0,0.0,0.0,0.0,9988.206691851052,9977.933616395852,0.0,9985.157821733264,9968.614136568849,2.571748054155357,0.0,0.0,0.0,0.0,0.0,9983.05080349878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9990.071025190804,0.0,0.0,0.0,0.0
