construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,24.390243902439025,37.17510542708305,37.6056338028169,28.98550724637681,45.409379968203496,60.75893440292601,37.726358148893354,39.77858280503419,9999.0,66.09195402298852,18.38235294117647,47.16732542819499,36.63003663003663,17.6056338028169,19.305019305019304,27.380724819290755,25.95389744083566,22.98850574712644,42.760267054919396,33.25508607198748,34.275079185258825,42.17565837284147,25.29794149512459,16.920473773265652,32.24692223619904,29.42596477208404,9999.0,9999.0,25.137400642616512
child_qualities_autonomy_self_expression|WVS_A,9999.0,24.390243902439025,0.0,29.79763151397509,31.46788990825688,24.092863881830652,39.86399750199494,47.33747746837149,31.588614254333336,33.64083891047417,9999.0,64.38004402054293,12.836970474967908,39.892537041909904,39.15275994865212,11.46788990825688,11.534025374855824,15.45595054095827,15.105740181268883,21.27659574468085,38.50277955459144,27.11734217742746,26.504085255095347,36.03791447828145,11.876484560570072,19.59797120906989,23.094688221709006,22.757877378850814,9999.0,9999.0,11.402508551881414
child_qualities_conformity_tradition|WVS_A,9999.0,37.17510542708305,29.79763151397509,0.0,37.961227113725656,38.70211717008565,60.01390262794315,53.38213986120644,39.6901959703426,41.74242062648344,9999.0,66.4938106390097,32.98687560091613,54.501790330164894,54.36347432645506,19.569471624266146,19.880715705765407,24.57002457002457,28.241064394065493,31.720139911021917,52.24990458140851,25.510204081632654,21.186440677966104,44.139496194290714,17.921146953405017,26.41011129975476,28.57142857142857,28.80253977168576,9999.0,9999.0,26.01176184013641
child_qualities_prosocial_diligence|WVS_A,9999.0,37.6056338028169,31.46788990825688,37.961227113725656,0.0,34.149582797760395,52.733967901063025,55.50107306812206,40.12072434607646,42.172949002217294,9999.0,75.25411656261784,25.706940874035993,49.94925595783965,52.022730347720206,20.0,20.920502092050206,25.06265664160401,21.929824561403507,32.150668286755774,48.559498470521184,35.64945226917058,35.89056197228973,44.57002457002457,20.04008016032064,28.13008130081301,34.64128843338214,30.921472978601383,9999.0,9999.0,21.459227467811157
civic_dishonesty_tolerance|WVS_F,9999.0,28.98550724637681,24.092863881830652,38.70211717008565,34.149582797760395,0.0,50.80385685808491,39.52569169960474,45.06187157128078,50.192734922562984,9999.0,45.50422255340288,23.77682983105789,18.181818181818183,47.17311395063889,28.473277908988322,29.19847863418905,23.107021996615906,25.19035532994924,34.681386882495694,39.790626332659265,32.97433098917845,28.977000281089303,53.03903473280967,20.78097021668063,20.907282199300102,33.65471591695134,24.630541871921185,9999.0,9999.0,12.69035532994924
confidence_in_civil_society_organizations|WVS_E,9999.0,45.409379968203496,39.86399750199494,60.01390262794315,52.733967901063025,50.80385685808491,0.0,78.89606901103625,59.84712766417235,62.76849706045192,9999.0,88.00263678312459,27.027027027027028,66.60353001816416,53.34281650071124,40.59554805823463,40.13318692217775,45.17584735370579,42.7502974672786,48.861088162398204,55.680322155966856,54.6448087431694,44.052863436123346,65.13318692217774,43.693693693693696,35.69253829219167,53.613685245596685,50.12171524873604,9999.0,9999.0,38.11350152813567
confidence_in_domestic_institutions|WVS_E,9999.0,60.75893440292601,47.33747746837149,53.38213986120644,55.50107306812206,39.52569169960474,78.89606901103625,0.0,60.90628552866656,64.87275761368377,9999.0,80.35368529753453,52.12765957446808,57.70750988142292,76.95476884141138,43.15330060010911,43.878501325309834,48.309178743961354,45.780910348461894,51.25878121743807,69.78975053580491,39.37007874015748,34.84320557491289,67.71905742393045,35.46099290780142,43.949957254151165,50.964868876793666,46.342385726082156,9999.0,9999.0,43.55160779453281
confidence_in_international_organizations|WVS_E,9999.0,37.726358148893354,31.588614254333336,39.6901959703426,40.12072434607646,45.06187157128078,59.84712766417235,60.90628552866656,0.0,42.29367334829375,9999.0,67.37529293605624,32.82010063714532,49.504950495049506,55.581717253877876,20.120724346076457,22.172949002217294,30.53739101274312,28.854348800224926,24.271844660194173,49.994382653634425,35.77017661524704,37.12752706716489,44.69074891610103,25.44529262086514,24.154589371980677,34.762012779458594,31.941055315343597,9999.0,9999.0,32.37151624133154
democratic_system_evaluation|WVS_E,9999.0,39.77858280503419,33.64083891047417,41.74242062648344,42.172949002217294,50.192734922562984,62.76849706045192,64.87275761368377,42.29367334829375,0.0,9999.0,72.36744941662974,35.74147003342489,45.04504504504504,57.63394191001871,22.172949002217294,27.100271002710027,32.58961566888396,30.906573456365763,30.12048192771084,56.14282358468405,35.97122302158274,33.44481605351171,46.742973572241866,29.41176470588235,30.303030303030305,36.81423743559943,33.993279971484434,9999.0,9999.0,37.50237959261374
