construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,19.73860953090167,18.083182640144663,8.097165991902834,45.20437551290546,25.425626243011664,20.58156049876925,57.608874339749406,19.14688974880891,16.93889897156685,44.169241461311096,44.008009681837535,13.774104683195592,16.907738679127505,31.152647975077883,13.75515818431912,13.869625520110958,17.064846416382252,21.43049932523617,18.90359168241966,45.076752763634545,18.679176573913416,28.017484717002436,23.62511630246184,10.152284263959391,9999.0,24.903888680978465,30.232605549099954,9999.0,30.796627568016394,19.79307242465137
autocracy_support|WVS_E,19.73860953090167,0.0,25.060877236445375,11.641443538998836,34.013605442176875,26.595744680851062,24.12583804586525,64.58656893605011,22.69116729590491,20.48317651866285,49.334530717509445,47.55228722893354,18.93939393939394,20.452016226223506,40.32258064516129,15.267175572519083,18.083182640144663,24.461956359511657,24.97477687233217,18.281535648994517,48.621030310730546,22.223454121009418,31.561762264098437,27.169393849557842,14.970059880239521,9999.0,28.448166228074466,35.05038116538009,9999.0,34.34090511511239,23.337349971747372
child_qualities_autonomy_self_expression|WVS_A,18.083182640144663,25.060877236445375,0.0,18.61596654631668,48.74689043634542,23.487947444123677,12.853470437017997,39.52569169960474,21.14164904862579,20.79002079002079,31.347962382445143,42.07033088294955,11.037527593818984,14.970059880239521,34.790496714959126,12.315270935960593,14.471780028943561,17.482517482517483,12.345679012345679,21.598272138228943,43.139073964746565,22.221691497353373,26.477539742149762,31.187863769707963,10.090817356205854,9999.0,32.26376635842315,30.171138641346417,9999.0,28.85894876912841,10.504201680672269
child_qualities_conformity_tradition|WVS_A,8.097165991902834,11.641443538998836,18.61596654631668,0.0,37.10720952100263,17.328460251108826,12.484394506866415,58.14165824592142,11.049723756906078,8.841732979664014,42.59025872933502,35.910843689934694,12.195121951219512,8.810572687224669,35.552176217137855,11.614401858304298,11.086474501108647,12.820512820512821,13.333333333333334,25.906735751295336,36.97958677173171,10.582010582010582,19.9203187250996,15.527950310559007,8.525149190110827,9999.0,16.80672268907563,28.60547047525139,9999.0,22.699461576113556,11.695906432748536
child_qualities_prosocial_diligence|WVS_A,45.20437551290546,34.013605442176875,48.74689043634542,37.10720952100263,0.0,32.57328990228013,49.59160402786904,88.27258213595016,42.223786066150595,31.152647975077883,61.39173370631471,60.87710155881592,47.987664810094714,33.77683055610589,69.29078611321603,37.735849056603776,45.33704513819845,47.412810576703905,50.44054285433596,51.81380499987127,61.94584464061295,26.525198938992045,45.28431041801613,26.38522427440633,42.263759086189,9999.0,46.08294930875576,58.46818858079725,9999.0,47.665719444994785,44.42645781915169
civic_dishonesty_tolerance|WVS_F,25.425626243011664,26.595744680851062,23.487947444123677,17.328460251108826,32.57328990228013,0.0,27.314880045087165,63.013639143728426,21.096503916085414,26.17019323077284,28.81844380403458,35.61815856659418,29.523582202328342,8.517887563884157,42.5531914893617,28.942862109413127,28.414934752217476,22.722433018429612,30.661793584442158,33.222591362126245,36.6869016483912,15.769519180998008,20.0253674257944,32.856410561667836,19.42301297282636,9999.0,34.13518294018446,33.20924558857551,9999.0,22.406776452773045,19.167514826929953
confidence_in_civil_society_organizations|WVS_E,20.58156049876925,24.12583804586525,12.853470437017997,12.484394506866415,49.59160402786904,27.314880045087165,0.0,52.37916213662274,23.53411826377249,21.32612748653043,44.201432819463136,45.89726348391304,15.290519877675841,18.79699248120301,34.013605442176875,15.479876160990711,18.6219739292365,20.32520325203252,25.199149449363674,27.700831024930746,46.96600656571005,23.066405088876998,30.30447234311325,28.012344817425422,13.21003963011889,9999.0,29.291117195942046,27.932960893854748,9999.0,32.6858813700919,15.822784810126581
confidence_in_domestic_institutions|WVS_E,57.608874339749406,64.58656893605011,39.52569169960474,58.14165824592142,88.27258213595016,63.013639143728426,52.37916213662274,0.0,60.66734074823053,60.31571248962553,70.87365408204988,81.5960225825543,50.56321929342373,54.49575157984427,74.31618841456387,51.84096263556533,53.997471728548305,57.00820918212223,51.87137071195042,61.123963837833685,82.66476566435131,61.74738319695812,66.00323144175451,70.71355546931271,49.616509055810596,9999.0,71.78945805802789,69.69683034095115,9999.0,68.38464046873315,50.02989338027701
confidence_in_international_organizations|WVS_E,19.14688974880891,22.69116729590491,21.14164904862579,11.049723756906078,42.223786066150595,21.096503916085414,23.53411826377249,60.66734074823053,0.0,19.891456736570092,48.942252715837625,39.67888735491128,22.22222222222222,12.578616352201257,40.54054054054054,20.408163265306122,18.41620626151013,20.0,24.38305709023941,35.11178565174246,40.7476304367083,15.698587127158554,24.0860962141115,26.577674067465082,13.513513513513514,9999.0,27.85644644598171,33.59383479865408,9999.0,26.467505241090144,18.587360594795538
democratic_system_evaluation|WVS_E,16.93889897156685,20.48317651866285,20.79002079002079,8.841732979664014,31.152647975077883,26.17019323077284,21.32612748653043,60.31571248962553,19.891456736570092,0.0,47.23015361313234,44.75257666959871,16.835016835016834,17.652305666888683,38.13813813813814,13.422818791946309,14.184397163120568,16.260162601626018,22.175066312997348,20.66115702479339,45.82131975139573,19.4237435616746,28.762051704763614,24.369683290223023,11.11111111111111,9999.0,25.648455668739643,31.191432396251674,9999.0,31.541194555777572,20.537639412412553
democratic_values_importance|WVS_E,44.169241461311096,49.334530717509445,31.347962382445143,42.59025872933502,61.39173370631471,28.81844380403458,44.201432819463136,70.87365408204988,48.942252715837625,47.23015361313234,0.0,63.46390736634639,30.395136778115504,36.36363636363637,40.0,43.66323331840574,45.8197424113887,48.830479864962626,43.69364139479082,35.3356890459364,64.53265044814341,43.61526798075022,47.87111622554661,58.118209039894026,41.1522633744856,9999.0,59.39698141841065,54.03579871664978,9999.0,50.25252525252526,41.852164063117414
economic_ideology|WVS_E,44.008009681837535,47.55228722893354,42.07033088294955,35.910843689934694,60.87710155881592,35.61815856659418,45.89726348391304,81.5960225825543,39.67888735491128,44.75257666959871,63.46390736634639,0.0,48.105965641154214,27.100271002710027,65.03242343867926,47.525245548239,46.99731819104335,41.304816457255484,49.24417702326803,59.60366854988117,55.26928508721707,34.351902619823875,38.60775086462027,51.4387940004937,38.00539641165223,9999.0,52.71756637901032,51.791629027401385,9999.0,40.989159891598916,37.74989826575582
gender_role_traditionalism|WVS_D,13.774104683195592,18.93939393939394,11.037527593818984,12.195121951219512,47.987664810094714,29.523582202328342,15.290519877675841,50.56321929342373,22.22222222222222,16.835016835016834,30.395136778115504,48.105965641154214,0.0,21.005694638444183,23.752969121140143,13.869625520110958,16.44736842105263,19.569471624266146,13.440860215053764,23.364485981308412,49.17470872295122,22.777132533230095,32.11544067631911,27.72307226177852,11.001100110011002,9999.0,29.001844640295143,23.64066193853428,9999.0,34.89458352733307,13.245033112582782
immigrant_origin_status|WVS_G,16.907738679127505,20.452016226223506,14.970059880239521,8.810572687224669,33.77683055610589,8.517887563884157,18.79699248120301,54.49575157984427,12.578616352201257,17.652305666888683,36.36363636363637,27.100271002710027,21.005694638444183,0.0,37.93215243596923,20.42497454552897,19.897047188333318,14.204545454545453,22.143906020558003,32.50339754717115,28.169014084507044,7.251631617113851,11.507479861910241,24.338522997783677,10.905125408942203,9999.0,25.617295376300298,24.691358024691358,9999.0,13.88888888888889,10.649627263045794
importance_of_life_domains|WVS_A,31.152647975077883,40.32258064516129,34.790496714959126,35.552176217137855,69.29078611321603,42.5531914893617,34.013605442176875,74.31618841456387,40.54054054054054,38.13813813813814,40.0,65.03242343867926,23.752969121140143,37.93215243596923,0.0,36.231884057971016,38.46153846153846,43.32244074540629,25.641025641025642,36.63003663003663,66.10116652047627,45.18378405308309,49.43963229787947,48.12407344052914,27.027027027027028,9999.0,49.199976029244326,47.10734831216759,9999.0,51.821041324858115,33.67003367003367
job_scarcity_gender_discrimination|WVS_C,13.75515818431912,15.267175572519083,12.315270935960593,11.614401858304298,37.735849056603776,28.942862109413127,15.479876160990711,51.84096263556533,20.408163265306122,13.422818791946309,43.66323331840574,47.525245548239,13.869625520110958,20.42497454552897,36.231884057971016,0.0,22.700876359412945,18.484288354898336,14.025245441795231,22.93577981651376,48.59398863003601,22.19641244031488,31.5347205834039,23.64066193853428,12.004801920768308,9999.0,28.248587570621467,24.752475247524753,9999.0,34.313863434417854,22.81947261663286
job_scarcity_nativist_preference|WVS_C,13.869625520110958,18.083182640144663,14.471780028943561,11.086474501108647,45.33704513819845,28.414934752217476,18.6219739292365,53.997471728548305,18.41620626151013,14.184397163120568,45.8197424113887,46.99731819104335,16.44736842105263,19.897047188333318,38.46153846153846,22.700876359412945,0.0,19.841269841269842,16.80672268907563,27.247956403269754,48.06606127284036,21.66848508311923,31.00679322620825,26.246719160104984,12.453300124533001,9999.0,27.893197190184278,29.41176470588235,9999.0,33.7859360772222,22.782380933857183
life_autonomy_morality_permissiveness|WVS_F,17.064846416382252,24.461956359511657,17.482517482517483,12.820512820512821,47.412810576703905,22.722433018429612,20.32520325203252,57.00820918212223,20.0,16.260162601626018,48.830479864962626,41.304816457255484,19.569471624266146,14.204545454545453,43.32244074540629,18.484288354898336,19.841269841269842,0.0,21.88183807439825,35.96843809880191,42.37355953905249,21.456177071659305,25.712025316455694,28.348463131071828,21.34566201062365,9999.0,29.627235509588452,34.013605442176875,9999.0,28.093434343434343,18.484288354898336
offline_political_participation|WVS_E,21.43049932523617,24.97477687233217,12.345679012345679,13.333333333333334,50.44054285433596,30.661793584442158,25.199149449363674,51.87137071195042,24.38305709023941,22.175066312997348,43.69364139479082,49.24417702326803,13.440860215053764,22.143906020558003,25.641025641025642,14.025245441795231,16.80672268907563,21.88183807439825,0.0,22.271714922048996,50.31292010506505,23.915343915343918,33.253652058432934,28.861283643892342,13.089005235602095,9999.0,30.140056022408963,28.328611898016998,9999.0,36.03279490944689,16.89189189189189
outgroup_trust|WVS_G,18.90359168241966,18.281535648994517,21.598272138228943,25.906735751295336,51.81380499987127,33.222591362126245,27.700831024930746,61.123963837833685,35.11178565174246,20.66115702479339,35.3356890459364,59.60366854988117,23.364485981308412,32.50339754717115,36.63003663003663,22.93577981651376,27.247956403269754,35.96843809880191,22.271714922048996,0.0,57.80346820809249,36.48874633330592,44.01087740908139,41.43468606185434,21.598272138228943,9999.0,42.71345844037097,41.678593423369506,9999.0,46.39228643606003,32.10247381890121
postmaterialist_values|WVS_E,45.076752763634545,48.621030310730546,43.139073964746565,36.97958677173171,61.94584464061295,36.6869016483912,46.96600656571005,82.66476566435131,40.7476304367083,45.82131975139573,64.53265044814341,55.26928508721707,49.17470872295122,28.169014084507044,66.10116652047627,48.59398863003601,48.06606127284036,42.37355953905249,50.31292010506505,57.80346820809249,0.0,35.4206457016209,39.67649394641728,52.507537082290725,39.074139493449245,9999.0,53.786309460807345,52.8603721091984,9999.0,42.05790297339593,38.81864134755284
